,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201411070TOR,TOR,240,36.2,84,0.431,6.2,22,0.2888,27.2,35.2,0.7798,11.6,26.2,37.8,18.2,8.4,5,8.6,22.6,105.8,0.5318,0.4678,0.2624,0.422,25.4,70.44,45.5,50.84,9.06,9.5,7.96,100,114.46,107.96,48.86,48.86,2.165,0.3732,TOR,240,37.4,74.8,0.501,9,22.6,0.3974,16,24.4,0.654,10.6,33.6,44.2,23.6,4.8,5.4,18.6,28.4,99.8,0.5842,0.5606,0.3042,0.3336,29.56,74.6,54.52,63.26,5.2,8.7,17.82,100,107.96,114.46,47.195,47.195,2.1142,0.5002
201411070UTA,UTA,240,38.2,81.2,0.4708,8.2,25.4,0.3078,18.6,22.8,0.8192,12.6,29.4,42,21.4,6.2,4.4,14.2,19.6,103.2,0.5654,0.5214,0.3126,0.28,31.2,78.42,54.04,56.36,6.74,8.08,13.52,100,113.32,115.16,46.815,46.815,2.2046,0.4602,UTA,240,38.8,80.4,0.4818,9,23.6,0.3872,17.8,21.8,0.8058,7.8,27.8,35.6,18.8,7.4,5.6,12,19.8,104.4,0.581,0.538,0.292,0.2782,21.58,68.8,45.96,46.74,8.16,10.06,11.78,100,115.16,113.32,47.4775,47.4775,2.2052,0.3982
201411080ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411080CHI,CHI,245,36.6,77,0.476,9.2,21.8,0.418,22.6,29.6,0.7632,9,32.2,41.2,22.4,5,8,15.6,21.8,105,0.5832,0.5348,0.2808,0.3952,22.66,66.3,46.9,61.06,5.38,10.56,14.7,100,111.88,108.44,48.83,49.93494792,2.1516,0.459,CHI,245,38.6,91.4,0.4234,5.6,17.2,0.3124,19.2,24.6,0.7572,16.4,30.4,46.8,22.6,8,3.8,11.2,25.2,102,0.499,0.4544,0.1886,0.2682,33.7,77.34,53.1,58.52,8.54,6.9,9.96,100,108.44,111.88,48.9425,50.07453125,2.0806,0.4644
201411080HOU,HOU,240,34.6,73.6,0.4708,13.8,31.8,0.4344,20.6,28.8,0.7196,9.6,33,42.6,21,8.6,6.2,18.6,22.6,103.6,0.6026,0.565,0.434,0.3926,27.68,74.02,53.66,61.54,9.34,10.3,17.72,100,113.12,97.86,48.14,48.14,2.161,0.438,HOU,240,34,83.4,0.4112,5.8,22.6,0.2472,15.8,20.8,0.7756,11.6,25.2,36.8,17.6,9.8,4.2,13.8,21.4,89.6,0.4892,0.4494,0.2748,0.2562,25.98,72.32,46.34,52.04,10.56,9.9,13.12,100,97.86,113.12,47.74,47.74,1.887,0.3684
201411080IND,IND,245,34.2,82.2,0.4166,7.8,24.6,0.313,14.6,18.4,0.8122,13,34.2,47.2,19.6,3.8,6.4,16.8,20.4,90.8,0.504,0.4646,0.3006,0.2254,29.16,81.5,54.4,57.92,4.18,10.44,15.72,100,99.06,105.52,47.37,48.448125,1.9196,0.412,IND,245,36,81.4,0.4458,7.4,20.8,0.3592,17.2,21.2,0.8288,7.8,31.6,39.4,23.2,9.2,4.6,11.4,20.8,96.6,0.5348,0.4914,0.2578,0.269,18.5,70.84,45.6,64.56,10.14,8.14,11.18,100,105.52,99.06,47.535,48.64880208,2.039,0.4882
201411080LAC,LAC,240,36,81.8,0.4428,9,27.2,0.338,21.8,26.8,0.8108,8.2,25.6,33.8,23.8,8.8,4.2,11.4,21.8,102.8,0.5518,0.4988,0.3356,0.337,18.16,76.62,44.06,65.98,9.32,8.1,10.86,100,108.86,110.16,48.865,48.865,2.1034,0.4872,LAC,240,36.6,73.2,0.4984,8.2,20.6,0.3812,22.8,27.8,0.8296,7.8,35.2,43,24.2,5,4,19,25.2,104.2,0.6106,0.5536,0.2806,0.3862,23.38,81.84,55.96,67.02,5.28,7.26,18.24,100,110.16,108.86,48.8025,48.8025,2.1306,0.4948
201411080MIA,MIA,240,35.2,77,0.4568,9.2,25.2,0.3614,22,29.6,0.7466,10.2,28.2,38.4,22,8.8,3,13.8,22.4,101.6,0.564,0.5166,0.3284,0.3888,26.54,77.32,50.76,61.92,9.5,5.54,13.24,100,111.22,109.38,47.33,47.33,2.1446,0.46,MIA,240,35.6,74.2,0.4824,7.8,22.6,0.3214,20.4,29,0.7112,8.4,29.2,37.6,20.8,7.2,6.2,15.2,23.8,99.4,0.576,0.5372,0.3126,0.3906,22.68,73.46,49.24,58.78,7.88,11.78,14.96,100,109.38,111.22,47.3875,47.3875,2.1046,0.4402
201411080MIL,MIL,240,35.2,83.4,0.4238,6.6,20.4,0.3134,14.6,19,0.7788,13.4,30.8,44.2,21.6,10.6,5.6,16.8,23.2,91.6,0.5008,0.4634,0.246,0.2294,30,75.08,51.66,61.24,11.48,9.72,15.26,100,98.9,99.9,47.9125,47.9125,1.9144,0.4526,MIL,240,34.8,77,0.4552,6.2,19.8,0.3132,16.8,26.2,0.6276,10.4,30.6,41,20.8,9.2,5.4,17.2,19.6,92.6,0.5252,0.4958,0.2558,0.3442,24.94,70,48.34,59.38,9.74,8.76,16.28,100,99.9,98.9,48.1225,48.1225,1.9246,0.4296
201411080SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
