MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
656,2018-2019,Los Angeles Lakers,Chicago Bulls,2019-01-16,107,100,-270,0.9311308066351691,-303,0.9315051647811118,-294,0.931411373356566,-333,0.9317812972186468,-286,0.9313230648995406,-278,0.9312296921582421,-278,0.9312296921582421,-294,0.931411373356566,-303,0.9315051647811118
657,2018-2019,Denver Nuggets,Golden State Warriors,2019-01-16,111,142,125,0.9421163702140487,110,0.9431535625482292,114,0.9428500537589942,110,0.9431535625482292,112,0.9429990738401953,127,0.9419967363892596,125,0.9421163702140487,108,0.9433138265350686,114,0.9428500537589942
658,2018-2019,Milwaukee Bucks,Miami Heat,2019-01-16,124,86,-385,0.932158248995206,-435,0.9324359084283632,-400,0.9322488172093131,-455,0.9325299229381865,-417,0.9323436032732639,-370,0.9320603572058341,-370,0.9320603572058341,-400,0.9322488172093131,-400,0.9322488172093131
659,2018-2019,Atlanta Hawks,Oklahoma City Thunder,2019-01-15,142,126,362,0.9371683019649467,363,0.9371611504104921,375,0.9370783147583587,359,0.9371899963452199,384,0.9370195944462066,370,0.9371121748600663,405,0.9368927546960303,359,0.9371899963452199,380,0.9370453480630285
660,2018-2019,Indiana Pacers,Phoenix Suns,2019-01-15,131,97,-526,0.9328060437319334,-769,0.9333656997208398,-667,0.9331803682354916,-625,0.9330865008509747,-625,0.9330865008509747,-556,0.9329015587509858,-588,0.9329927169446075,-556,0.9329015587509858,-667,0.9331803682354916
661,2018-2019,Philadelphia 76ers,Minnesota Timberwolves,2019-01-15,149,107,-227,0.9304804066240366,-256,0.9309429433797592,-244,0.9307648292962044,-250,0.93085601519157,-250,0.93085601519157,-233,0.9305855100247622,-233,0.9305855100247622,-227,0.9304804066240366,-250,0.93085601519157
662,2018-2019,Los Angeles Clippers,New Orleans Pelicans,2019-01-15,117,121,104,0.943653026041194,-105,0.9257626520895786,-105,0.9257626520895786,-120,0.9268556422337221,-105,0.9257626520895786,106,0.9434801958166444,106,0.9434801958166444,-103,0.9255930984902947,-105,0.9257626520895786
663,2018-2019,Sacramento Kings,Portland Trail Blazers,2019-01-15,115,107,-123,0.9270425082906242,-133,0.9276049658250801,-132,0.9275525261752512,-133,0.9276049658250801,-135,0.9277075316107751,-123,0.9270425082906242,-123,0.9270425082906242,-133,0.9276049658250801,-133,0.9276049658250801
664,2018-2019,Utah Jazz,Detroit Pistons,2019-01-15,100,94,-303,0.9315051647811118,-357,0.9319688821594527,-345,0.9318783426070982,-385,0.932158248995206,-345,0.9318783426070982,-312,0.9315935624496133,-323,0.9316949348101996,-333,0.9317812972186468,-345,0.9318783426070982
665,2018-2019,San Antonio Spurs,Charlotte Hornets,2019-01-15,93,108,-303,0.9315051647811118,-345,0.9318783426070982,-333,0.9317812972186468,-333,0.9317812972186468,-312,0.9315935624496133,-312,0.9315935624496133,-323,0.9316949348101996,-345,0.9318783426070982,-333,0.9317812972186468
666,2018-2019,Houston Rockets,Memphis Grizzlies,2019-01-15,112,94,-147,0.9282647133114422,-161,0.9288104303680628,-161,0.9288104303680628,-167,0.929016466399644,-172,0.9291772459618604,-149,0.9283489096573206,-149,0.9283489096573206,-172,0.9291772459618604,-167,0.929016466399644
667,2018-2019,Brooklyn Nets,Boston Celtics,2019-01-14,109,102,118,0.9425672977074846,108,0.9433138265350686,120,0.9424330479855493,125,0.9421163702140487,120,0.9424330479855493,116,0.9427062169849654,116,0.9427062169849654,112,0.9429990738401953,114,0.9428500537589942
668,2018-2019,Los Angeles Lakers,Cleveland Cavaliers,2019-01-14,95,101,-556,0.9329015587509858,-769,0.9333656997208398,-667,0.9331803682354916,-667,0.9331803682354916,-625,0.9330865008509747,-625,0.9330865008509747,-588,0.9329927169446075,-625,0.9330865008509747,-588,0.9329927169446075
669,2018-2019,Denver Nuggets,Portland Trail Blazers,2019-01-14,116,113,-169,0.9290819131390873,-192,0.9297370587380758,-185,0.9295548186111948,-208,0.9301077672941913,-192,0.9297370587380758,-175,0.929269328802039,-172,0.9291772459618604,-179,0.92938733125649,-189,0.9296606000983767
670,2018-2019,Dallas Mavericks,Golden State Warriors,2019-01-13,114,119,211,0.9390298175344903,189,0.9395506064824021,210,0.9390511112104815,200,0.9392758183440566,202,0.9392290882038407,206,0.9391383633462501,204,0.9391832788545645,204,0.9391832788545645,200,0.9392758183440566
671,2018-2019,Orlando Magic,Houston Rockets,2019-01-13,116,109,181,0.9397715472481828,162,0.9403842804899285,185,0.9396586753352295,195,0.9393968590422968,181,0.9397715472481828,172,0.9400448160900694,177,0.9398895497026338,175,0.939950585454936,179,0.9398298855402709
672,2018-2019,Atlanta Hawks,Milwaukee Bucks,2019-01-13,114,133,390,0.9369819570910313,361,0.9371754932502595,400,0.9369217436113648,375,0.9370783147583587,384,0.9370195944462066,400,0.9369217436113648,390,0.9369819570910313,359,0.9371899963452199,380,0.9370453480630285
673,2018-2019,New York Knicks,Philadelphia 76ers,2019-01-13,105,108,313,0.9375748861730171,305,0.9376537137235612,325,0.9374639436944733,240,0.9384898134751495,280,0.9379291863464309,330,0.9374201062409453,334,0.937385984114956,290,0.9378132781424828,320,0.9375091553628453
674,2018-2019,Washington Wizards,Toronto Raptors,2019-01-13,138,140,170,0.9401094951059005,163,0.94034844813661,175,0.939950585454936,179,0.9398298855402709,181,0.9397715472481828,172,0.9400448160900694,183,0.9397144911163602,175,0.939950585454936,179,0.9398298855402709
675,2018-2019,Sacramento Kings,Charlotte Hornets,2019-01-13,104,97,-213,0.9302122456109703,-238,0.9306690650295233,-238,0.9306690650295233,-227,0.9304804066240366,-227,0.9304804066240366,-213,0.9302122456109703,-222,0.9303885000628641,-217,0.9302923776043899,-227,0.9304804066240366
676,2018-2019,Utah Jazz,Chicago Bulls,2019-01-13,110,102,-714,0.9332723351414941,-1000,0.9336457934588775,-833,0.933458840404312,-909,0.9335524288795316,-833,0.933458840404312,-714,0.9332723351414941,-714,0.9332723351414941,-769,0.9333656997208398,-833,0.933458840404312
677,2018-2019,Phoenix Suns,Denver Nuggets,2019-01-13,102,93,346,0.9372883651632128,309,0.9376137880810778,325,0.9374639436944733,359,0.9371899963452199,330,0.9374201062409453,370,0.9371121748600663,341,0.937328202308961,359,0.9371899963452199,333,0.9373944375633374
678,2018-2019,Minnesota Timberwolves,New Orleans Pelicans,2019-01-13,110,106,108,0.9433138265350686,102,0.943832701027112,114,0.9428500537589942,-105,0.9257626520895786,106,0.9434801958166444,110,0.9431535625482292,108,0.9433138265350686,108,0.9433138265350686,110,0.9431535625482292
679,2018-2019,Oklahoma City Thunder,San Antonio Spurs,2019-01-13,122,112,-238,0.9306690650295233,-270,0.9311308066351691,-250,0.93085601519157,-250,0.93085601519157,-270,0.9311308066351691,-250,0.93085601519157,-263,0.9310393656188048,-263,0.9310393656188048,-278,0.9312296921582421
680,2018-2019,Orlando Magic,Boston Celtics,2019-01-12,105,103,242,0.9384573622367859,238,0.9385228124137386,250,0.9383327703336711,260,0.9381878540757044,220,0.9388469252763196,244,0.9384254451751856,244,0.9384254451751856,235,0.9385733684799105,250,0.9383327703336711
681,2018-2019,Miami Heat,Memphis Grizzlies,2019-01-12,112,108,-156,0.9286267039704743,-164,0.9289153214386858,-156,0.9286267039704743,-175,0.929269328802039,-159,0.9287383177570093,-154,0.9285498944829664,-154,0.9285498944829664,-154,0.9285498944829664,-167,0.929016466399644
682,2018-2019,Los Angeles Clippers,Detroit Pistons,2019-01-12,104,109,-278,0.9312296921582421,-312,0.9315935624496133,-303,0.9315051647811118,-294,0.931411373356566,-303,0.9315051647811118,-278,0.9312296921582421,-278,0.9312296921582421,-286,0.9313230648995406,-303,0.9315051647811118
683,2018-2019,Golden State Warriors,Chicago Bulls,2019-01-12,146,109,-1667,0.9340191398283242,-3333,0.9342991214841143,-2000,0.934112383060806,-2500,0.9342057569495567,-2000,0.934112383060806,-1667,0.9340191398283242,-1667,0.9340191398283242,-1667,0.9340191398283242,-2000,0.934112383060806
684,2018-2019,Portland Trail Blazers,Charlotte Hornets,2019-01-12,127,96,-263,0.9310393656188048,-270,0.9311308066351691,-263,0.9310393656188048,-294,0.931411373356566,-270,0.9311308066351691,-250,0.93085601519157,-263,0.9310393656188048,-263,0.9310393656188048,-278,0.9312296921582421
685,2018-2019,Utah Jazz,Los Angeles Lakers,2019-01-12,113,95,-333,0.9317812972186468,-417,0.9323436032732639,-385,0.932158248995206,-333,0.9317812972186468,-385,0.932158248995206,-345,0.9318783426070982,-357,0.9319688821594527,-370,0.9320603572058341,-400,0.9322488172093131
686,2018-2019,Houston Rockets,Cleveland Cavaliers,2019-01-12,141,113,-1250,0.9338323733536535,-2000,0.934112383060806,-1667,0.9340191398283242,-1667,0.9340191398283242,-1429,0.9339258871969152,-1250,0.9338323733536535,-1250,0.9338323733536535,-1250,0.9338323733536535,-1667,0.9340191398283242
