gameid,ref,att
202110230TOR,"['Andy Nagy', 'Aaron Smith', 'Josh Tiven']",19800
202110240BRK,"['James Capers Jr.', 'Suyash Mehta', 'Derek Richardson']",17732
202110240HOU,"['Bennie Adams', 'J.B. DeRosa', 'Ben Taylor']",16069
202110240LAL,"['Brandon Adair', 'Kevin Cutler', 'Marc Davis']",18997
202110240NYK,"['John Butler', 'Bill Kennedy', 'Tre Maddox']",16273
202110240OKC,"['Jacyn Goble', 'Rodney Mott', 'Phenizee Ransom']",14256
202110240SAC,"['Brent Barnaky', 'Derrick Collins', 'Jenna Schroeder']",13876
202110250ATL,"['Aaron Smith', 'Jonathan Sterling', 'Josh Tiven']",14209
202110250BRK,"['Ray Acosta', 'Tyler Ford', 'Scott Wall']",14487
202110250CHO,"['Matt Boland', 'Courtney Kirkland', 'Matt Myers']",17238
202110250DEN,"['Tony Brothers', 'Nick Buchert', 'Tom Washington']",14221
202110250IND,"['Mark Lindsay', 'C.J. Washington', 'Leon Wood']",10339
202110250LAC,"['Brent Barnaky', 'Eric Lewis', 'Natalie Sago']",15672
202110250MIA,"['Evan Scott', 'Kevin Scott', 'Dedric Taylor']",19600
202110250MIN,"['Eric Dalen', 'Nate Green', 'Ed Malloy']",14435
202110250TOR,"['Suyash Mehta', 'Michael Smith', 'James Williams']",19800
202110260DAL,"['John Conley', 'Justin Van Duyne', 'Sean Wright']",19337
202110260NYK,"['Mitchell Ervin', 'Brett Nansel', 'James Williams']",15218
202110260OKC,"['J.B. DeRosa', 'Marat Kogut', 'Ben Taylor']",0
202110260SAS,"['Curtis Blair', 'Brian Forte', 'Andy Nagy']",18354
202110260UTA,"['Brandon Adair', 'Derrick Collins', 'David Guthrie']",18306
202110270BOS,"['James Capers Jr.', 'Michael Smith', 'Leon Wood']",0
202110270BRK,"['Jacyn Goble', 'Ed Malloy', 'Brandon Schwab']",17732
202110270LAC,"['Derrick Collins', 'Mousa Dagher', 'Tre Maddox']",13276
202110270MIL,"['Matt Myers', 'Dedric Taylor', 'Zach Zarba']",17341
202110270NOP,"['Brian Forte', 'Pat Fraher', 'Evan Scott']",15541
202110270OKC,"['Scott Foster', 'Lauren Holtkamp-Sterling', 'Gediminas Petraitis']",15783
202110270ORL,"['Danielle Scott', 'Josh Tiven', 'Scott Wall']",14082
202110270PHO,"['Eric Lewis', 'Suyash Mehta', 'Natalie Sago']",14678
202110270POR,"['Rodney Mott', 'J.T. Orr', 'Scott Twardoski']",16241
202110270TOR,"['Matt Boland', 'Marc Davis', 'Karl Lane']",19800
202110280CHI,"['Nate Green', 'David Guthrie', 'Justin Van Duyne']",20972
202110280DAL,"['Brandon Adair', 'Sean Corbin', 'Tyler Ford']",19228
202110280GSW,"['Eric Dalen', 'Bill Kennedy', 'Jonathan Sterling']",18064
202110280HOU,"['Curtis Blair', 'Mitchell Ervin', 'Marat Kogut']",15858
202110280PHI,"['J.B. DeRosa', 'Andy Nagy', 'Tom Washington']",20017
202110280WAS,"['Derek Richardson', 'Ben Taylor', 'C.J. Washington']",13653
202110290BRK,"['Phenizee Ransom', 'Dedric Taylor', 'Sean Wright']",16139
202110290DEN,"['Bennie Adams', 'Scott Foster', 'J.T. Orr']",18315
202110290LAL,"['John Butler', 'Eric Lewis', 'Natalie Sago']",18997
202110290MIA,"['Tony Brothers', 'Brian Forte', 'Aaron Smith']",19600
202110290NOP,"['Mitchell Ervin', 'Matt Myers', 'Kevin Scott']",17507
202110290POR,"['Eric Dalen', 'Courtney Kirkland', 'Suyash Mehta']",16510
202110290TOR,"['James Capers Jr.', 'Brett Nansel', 'Leon Wood']",19800
202110300CHI,"['Tyler Ford', 'Matt Myers', 'Scott Wall']",20668
202110300DET,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Brandon Schwab']",11423
202110300GSW,"['Nate Green', 'Bill Kennedy', 'Tre Maddox']",18064
202110300IND,"['Nick Buchert', 'Jenna Schroeder', 'Tom Washington']",10578
202110300MEM,"['Brent Barnaky', 'Derek Richardson', 'Josh Tiven']",15989
202110300MIL,"['Matt Boland', 'Evan Scott', 'James Williams']",17341
202110300MIN,"['Ray Acosta', 'Kevin Cutler', 'Justin Van Duyne']",17136
202110300NOP,"['Curtis Blair', 'Gediminas Petraitis', 'C.J. Washington']",16508
202110300PHI,"['Ed Malloy', 'Phenizee Ransom', 'Michael Smith']",20031
202110300PHO,"['Sean Corbin', 'Rodney Mott', 'Jonathan Sterling']",14516
202110300WAS,"['John Conley', 'J.B. DeRosa', 'Zach Zarba']",15813
202110310BRK,"['Mark Lindsay', 'Aaron Smith', 'Scott Twardoski']",13507
202110310CHO,"['James Capers Jr.', 'John Conley', 'Dedric Taylor']",14960
202110310DAL,"['Derrick Collins', 'Mousa Dagher', 'Pat Fraher']",19231
202110310LAL,"['Eric Dalen', 'Nate Green', 'Courtney Kirkland']",16448
202110310MIL,"['Scott Foster', 'Brett Nansel', 'Leon Wood']",17341
202111010ATL,"['Brandon Adair', 'Marc Davis', 'Suyash Mehta']",14632
202111010BOS,"['Ray Acosta', 'Ed Malloy', 'Natalie Sago']",19156
202111010CHO,"['Nick Buchert', 'Pat Fraher', 'Brandon Schwab']",13889
202111010IND,"['Jacyn Goble', 'David Guthrie', 'Danielle Scott']",10227
202111010LAC,"['Sean Corbin', 'Jonathan Sterling', 'James Williams']",13722
202111010MEM,"['Curtis Blair', 'Matt Boland', 'Jenna Schroeder']",12683
202111010MIN,"['Mitchell Ervin', 'Tyler Ford', 'Andy Nagy']",14744
202111010NYK,"['Kevin Cutler', 'Marat Kogut', 'Phenizee Ransom']",16528
202111010PHI,"['Evan Scott', 'Ben Taylor', 'Scott Wall']",20115
202111020DAL,"['Rodney Mott', 'Brett Nansel', 'Dedric Taylor']",19255
202111020DET,"['John Butler', 'Brian Forte', 'Marat Kogut']",9254
202111020LAL,"['J.B. DeRosa', 'Jonathan Sterling', 'James Williams']",18997
202111020PHO,"['Lauren Holtkamp-Sterling', 'Courtney Kirkland', 'Justin Van Duyne']",14323
202111020UTA,"['Nate Green', 'Bill Kennedy', 'Michael Smith']",18306
202111030BRK,"['Brent Barnaky', 'Matt Boland', 'Josh Tiven']",17323
202111030CLE,"['Ray Acosta', 'Danielle Scott', 'Zach Zarba']",16231
202111030GSW,"['J.B. DeRosa', 'Derek Richardson', 'Kevin Scott']",18064
202111030IND,"['Bennie Adams', 'Aaron Smith', 'Ben Taylor']",11607
202111030MEM,"['Karl Lane', 'Brandon Schwab', 'Tom Washington']",12977
202111030MIN,"['Derrick Collins', 'Marc Davis', 'Jenna Schroeder']",15386
202111030ORL,"['Brandon Adair', 'Sean Wright']",12735
202111030PHI,"['Brian Forte', 'J.T. Orr', 'Scott Twardoski']",20438
202111030SAC,"['Tony Brothers', 'Sean Corbin', 'Andy Nagy']",0
202111030SAS,"['Eric Lewis', 'Gediminas Petraitis', 'C.J. Washington']",16356
202111030WAS,"['Mark Lindsay', 'Natalie Sago', 'Evan Scott']",13538
202111040ATL,"['John Butler', 'Derrick Collins', 'Mark Lindsay']",16590
202111040DET,"['Ray Acosta', 'Pat Fraher', 'Tre Maddox']",8702
202111040LAL,"['John Conley', 'Lauren Holtkamp-Sterling', 'Kevin Scott']",18997
202111040MIA,"['Nick Buchert', 'Mitchell Ervin', 'Scott Foster']",19600
202111040PHO,"['James Capers Jr.', 'Andy Nagy', 'Michael Smith']",15058
202111050DET,"['Bennie Adams', 'Brian Forte', 'Eric Lewis']",14235
202111050GSW,"['Jacyn Goble', 'David Guthrie', 'Leon Wood']",18064
202111050MIL,"['Ed Malloy', 'Scott Twardoski', 'Tom Washington']",17341
202111050MIN,"['Marat Kogut', 'Ben Taylor', 'C.J. Washington']",17136
202111050ORL,"['Brandon Adair', 'Nick Buchert', 'Zach Zarba']",14101
202111050POR,"['Tony Brothers', 'Sean Corbin', 'Justin Van Duyne']",16841
202111050SAC,"['Tyler Ford', 'Rodney Mott', 'Danielle Scott']",14905
202111050TOR,"['Curtis Blair', 'J.T. Orr', 'Jenna Schroeder']",19800
202111050WAS,"['Kevin Cutler', 'Gediminas Petraitis', 'Phenizee Ransom']",16302
202111060CHI,"['Bill Kennedy', 'Brett Nansel', 'Dedric Taylor']",20936
202111060DAL,"['John Butler', 'Tre Maddox', 'Scott Wall']",20052
202111060DEN,"['Lauren Holtkamp-Sterling', 'Evan Scott', 'Josh Tiven']",16046
202111060MIA,"['Ray Acosta', 'Brandon Adair', 'Zach Zarba']",19600
202111060PHO,"['John Conley', 'Karl Lane', 'Kevin Scott']",15412
202111060POR,"['James Capers Jr.', 'Andy Nagy', 'Michael Smith']",19393
202111070GSW,"['Tony Brothers', 'Tyler Ford', 'Scott Twardoski']",18064
202111070LAC,"['Jacyn Goble', 'David Guthrie', 'Matt Myers']",15781
202111070NYK,"['Pat Fraher', 'Suyash Mehta', 'Natalie Sago']",19040
202111070OKC,"['Bennie Adams', 'Derrick Collins', 'James Williams']",12972
202111070ORL,"['Courtney Kirkland', 'J.T. Orr', 'C.J. Washington']",13386
202111070SAC,"['Mitchell Ervin', 'Marat Kogut', 'Sean Wright']",12993
202111070TOR,"['Kevin Cutler', 'Brian Forte', 'Nate Green']",19800
202111070WAS,"['J.B. DeRosa', 'Scott Foster', 'Jonathan Sterling']",15570
202111080CHI,"['J.B. DeRosa', 'Tre Maddox', 'Brett Nansel']",19459
202111080DAL,"['Nick Buchert', 'Lauren Holtkamp-Sterling', 'Mark Lindsay']",19231
202111080DEN,"['John Conley', 'Kevin Scott', 'Michael Smith']",15577
202111080GSW,"['James Capers Jr.', 'Marat Kogut', 'Matt Myers']",18064
202111080LAL,"['Karl Lane', 'Scott Twardoski', 'Sean Wright']",18997
202111080MEM,"['Bill Kennedy', 'Dedric Taylor', 'Leon Wood']",12416
202111080PHI,"['Brent Barnaky', 'Marc Davis', 'Scott Wall']",20224
202111080SAC,"['Jacyn Goble', 'Evan Scott', 'Josh Tiven']",13566
202111090LAC,"['Ray Acosta', 'Tyler Ford', 'David Guthrie']",14131
202111090PHI,"['Sean Corbin', 'Eric Lewis', 'Aaron Smith']",20029
202111090UTA,"['Curtis Blair', 'Mitchell Ervin', 'Derek Richardson']",18306
202111100BOS,"['Brent Barnaky', 'Pat Fraher', 'C.J. Washington']",19156
202111100CHI,"['Michael Smith', 'Zach Zarba']",20910
202111100CLE,"['Brandon Adair', 'Nate Green', 'Tre Maddox']",18056
202111100DEN,"['Jacyn Goble', 'Bill Kennedy', 'Jonathan Sterling']",15232
202111100GSW,"['John Butler', 'Karl Lane', 'Sean Wright']",18064
202111100HOU,"['Rodney Mott', 'Gediminas Petraitis', 'Dedric Taylor']",15350
202111100LAL,"['Marat Kogut', 'J.T. Orr', 'Josh Tiven']",18997
202111100MEM,"['Tony Brothers', 'Derrick Collins', 'Brett Nansel']",13880
202111100NOP,"['Scott Foster', 'Natalie Sago', 'Jenna Schroeder']",15355
202111100NYK,"['Brian Forte', 'Phenizee Ransom', 'James Williams']",18027
202111100ORL,"['Brandon Schwab', 'Ben Taylor', 'Scott Wall']",13882
202111100PHO,"['Bennie Adams', 'Curtis Blair', 'Mitchell Ervin']",15672
202111100SAS,"['Matt Myers', 'Tom Washington', 'Leon Wood']",15065
202111110LAC,"['James Capers Jr.', 'Kevin Cutler', 'Mousa Dagher']",16150
202111110PHI,"['Brandon Adair', 'Mark Lindsay', 'Suyash Mehta']",20112
202111110UTA,"['Ray Acosta', 'Tyler Ford', 'Ed Malloy']",18306
202111120BOS,"['Nate Green', 'Courtney Kirkland', 'Dedric Taylor']",19156
202111120CHO,"['Tre Maddox', 'Gediminas Petraitis', 'C.J. Washington']",19257
202111120CLE,"['Brent Barnaky', 'Scott Foster', 'Dannica Mosher']",17095
202111120DEN,"['Ray Acosta', 'Karl Lane', 'Sean Wright']",16849
202111120GSW,"['Nick Buchert', 'J.T. Orr', 'Josh Tiven']",18064
202111120HOU,"['Matt Boland', 'Tony Brothers', 'Jenna Schroeder']",15468
202111120LAL,"['Curtis Blair', 'Brett Nansel', 'Derek Richardson']",18997
202111120MEM,"['David Guthrie', 'Mark Lindsay', 'Jonathan Sterling']",15886
202111120NOP,"['Phenizee Ransom', 'Natalie Sago', 'Tom Washington']",14650
202111120OKC,"['Marc Davis', 'Aaron Smith', 'Justin Van Duyne']",12881
202111120SAS,"['J.B. DeRosa', 'Rodney Mott', 'Evan Scott']",13425
202111130CLE,"['John Conley', 'Gediminas Petraitis', 'James Williams']",19432
202111130IND,"['John Butler', 'Mitchell Ervin', 'Kevin Scott']",14483
202111130LAC,"['Nick Buchert', 'Ed Malloy', 'Brandon Schwab']",15285
202111130NOP,"['J.B. DeRosa', 'Ben Taylor', 'Scott Twardoski']",14358
202111130ORL,"['Sean Corbin', 'Suyash Mehta', 'Michael Smith']",17272
202111130TOR,"['Jacyn Goble', 'Eric Lewis', 'Andy Nagy']",19800
202111130UTA,"['Bennie Adams', 'Pat Fraher', 'Scott Wall']",18306
202111140ATL,"['Tony Brothers', 'Marat Kogut', 'Justin Van Duyne']",16901
202111140CHO,"['David Guthrie', 'Mark Lindsay']",19559
202111140DEN,"['Marc Davis', 'Brett Nansel', 'Derek Richardson']",14583
202111140HOU,"['Derrick Collins', 'Brian Forte', 'Scott Twardoski']",16088
202111140LAC,"['Curtis Blair', 'Matt Boland', 'Leon Wood']",17899
202111140LAL,"['Kevin Cutler', 'Bill Kennedy', 'Danielle Scott']",18997
202111140OKC,"['Ray Acosta', 'Rodney Mott', 'Evan Scott']",15080
202111150ATL,"['Kane Fitzgerald', 'Andy Nagy', 'Gediminas Petraitis']",13061
202111150CLE,"['Tony Brothers', 'Marat Kogut', 'Phenizee Ransom']",17186
202111150DAL,"['Derrick Collins', 'Kevin Scott', 'C.J. Washington']",19797
202111150DET,"['Brandon Adair', 'Jenna Schroeder', 'Zach Zarba']",10092
202111150LAL,"['Bennie Adams', 'Pat Fraher', 'Scott Wall']",18997
202111150MEM,"['John Butler', 'Tyler Ford', 'Natalie Sago']",11482
202111150MIN,"['James Capers Jr.', 'Aaron Smith']",16274
202111150NYK,"['Sean Corbin', 'J.B. DeRosa', 'Lauren Holtkamp-Sterling']",16792
202111150OKC,"['Brent Barnaky', 'Matt Kallio', 'Courtney Kirkland']",12330
202111150POR,"['Nick Buchert', 'Ed Malloy', 'Brandon Schwab']",16142
202111150WAS,"['Karl Lane', 'Matt Myers', 'Sean Wright']",13914
202111160BRK,"['Mitchell Ervin', 'Eric Lewis', 'Justin Van Duyne']",17732
202111160LAC,"['Marc Davis', 'Dedric Taylor', 'Scott Twardoski']",13298
202111160UTA,"['Matt Boland', 'Kevin Cutler', 'Scott Foster']",18306
202111170ATL,"['Suyash Mehta', 'Leon Wood', 'Zach Zarba']",16445
202111170BRK,"['Karl Lane', 'Andy Nagy', 'Ben Taylor']",16922
202111170CHO,"['Ray Acosta', 'Kane Fitzgerald', 'Dannica Mosher']",14402
202111170DET,"['James Capers Jr.', 'Matt Myers', 'Michael Smith']",11457
202111170MIA,"['Brian Forte', 'Marat Kogut', 'Jonathan Sterling']",19600
202111170MIL,"['Brandon Adair', 'Brent Barnaky', 'David Guthrie']",17341
202111170MIN,"['John Butler', 'Mark Lindsay', 'James Williams']",13108
202111170NYK,"['Nate Green', 'Courtney Kirkland', 'Derek Richardson']",16680
202111170OKC,"['J.T. Orr', 'C.J. Washington', 'Tom Washington']",12066
202111170PHO,"['Pat Fraher', 'Tre Maddox', 'Scott Wall']",14838
202111170POR,"['Mousa Dagher', 'Scott Foster', 'Natalie Sago']",17492
202111180CLE,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Ed Malloy']",19432
202111180DEN,"['John Butler', 'Pat Fraher', 'Scott Twardoski']",14547
202111180MEM,"['John Conley', 'Mitchell Ervin', 'Zach Zarba']",13419
202111180MIA,"['Nick Buchert', 'Jacyn Goble', 'Brandon Schwab']",19600
202111180MIN,"['Brandon Adair', 'Matt Boland', 'Sean Corbin']",13572
202111180UTA,"['Marc Davis', 'Natalie Sago', 'Dedric Taylor']",18306
202111190BOS,"['Ray Acosta', 'Tyler Ford', 'Sean Wright']",19156
202111190BRK,"['Curtis Blair', 'Jonathan Sterling', 'Leon Wood']",16966
202111190CHO,"['Brian Forte', 'Marat Kogut', 'Justin Van Duyne']",16787
202111190DEN,"['J.B. DeRosa', 'Scott Twardoski', 'James Williams']",19520
202111190DET,"['Brent Barnaky', 'Nate Green', 'Josh Tiven']",20088
202111190MIL,"['Eric Lewis', 'Matt Myers', 'Gediminas Petraitis']",17341
202111190NOP,"['James Capers Jr.', 'Suyash Mehta', 'Scott Wall']",15274
202111190PHO,"['Kevin Cutler', 'Bill Kennedy', 'Evan Scott']",17071
202111190SAC,"['Rodney Mott', 'Brett Nansel', 'Aaron Smith']",13159
202111200ATL,"['Brian Forte', 'Courtney Kirkland', 'Brandon Schwab']",17320
202111200BOS,"['Nick Buchert', 'Mark Lindsay', 'Derek Richardson']",19156
202111200IND,"['Brandon Adair', 'Jenna Schroeder', 'Josh Tiven']",15081
202111200MIL,"['Ray Acosta', 'Sean Corbin', 'Mitchell Ervin']",17341
202111200MIN,"['Suyash Mehta', 'Gediminas Petraitis', 'Ben Taylor']",17136
202111200NYK,"['Bennie Adams', 'Curtis Blair', 'Karl Lane']",19812
202111200POR,"['Marc Davis', 'Brett Nansel', 'Dedric Taylor']",17027
202111200SAC,"['Mousa Dagher', 'Lauren Holtkamp-Sterling', 'Tre Maddox']",13180
202111200WAS,"['Scott Foster', 'Jacyn Goble', 'Andy Nagy']",20476
202111210CHI,"['Marat Kogut', 'Jonathan Sterling', 'Sean Wright']",21813
202111210DET,"['Scott Foster', 'Phenizee Ransom', 'Justin Van Duyne']",15532
202111210GSW,"['Bill Kennedy', 'Evan Scott', 'Aaron Smith']",18064
202111210LAC,"['J.B. DeRosa', 'Nate Green', 'James Williams']",17149
202111210PHO,"['Mousa Dagher', 'Kane Fitzgerald', 'Natalie Sago']",16072
202111220ATL,"['Curtis Blair', 'Matt Boland', 'Phenizee Ransom']",15806
202111220BOS,"['Brian Forte', 'Matt Myers', 'Michael Smith']",19156
202111220CHI,"['Pat Fraher', 'Leon Wood']",21586
202111220CLE,"['Courtney Kirkland', 'Jenna Schroeder', 'Justin Van Duyne']",17387
202111220MIL,"['Jacyn Goble', 'Suyash Mehta', 'Rodney Mott']",17341
202111220NOP,"['Brent Barnaky', 'Tyler Ford', 'Danielle Scott']",15689
202111220SAC,"['John Butler', 'Kevin Cutler', 'J.B. DeRosa']",13948
202111220SAS,"['Mitchell Ervin', 'Tre Maddox', 'Andy Nagy']",14715
202111220UTA,"['Brett Nansel', 'Dedric Taylor', 'James Williams']",18306
202111220WAS,"['John Conley', 'Mark Lindsay', 'Derek Richardson']",16575
202111230DET,"['Matt Kallio', 'Karl Lane', 'Ed Malloy']",13123
202111230LAC,"['Kane Fitzgerald', 'Natalie Sago', 'Scott Twardoski']",17067
202111230NYK,"['Nick Buchert', 'Josh Tiven', 'Scott Wall']",19812
202111230POR,"['Brandon Adair', 'David Guthrie', 'Aaron Smith']",17052
202111240BOS,"['Matt Boland', 'Tony Brothers', 'Evan Scott']",19156
202111240CLE,"['Ray Acosta', 'Sean Corbin', 'Suyash Mehta']",18055
202111240GSW,"['Brandon Adair', 'Kane Fitzgerald', 'Ben Taylor']",18064
202111240HOU,"['Brent Barnaky', 'Tre Maddox', 'Phenizee Ransom']",16074
202111240IND,"['Matt Kallio', 'Karl Lane', 'Rodney Mott']",15572
202111240MEM,"['James Capers Jr.', 'Mitchell Ervin', 'Robert Hussey']",15409
202111240MIL,"['Kevin Cutler', 'Bill Kennedy', 'Danielle Scott']",17341
202111240MIN,"['Curtis Blair', 'Andy Nagy', 'Michael Smith']",17136
202111240NOP,"['Eric Lewis', 'Dedric Taylor']",14659
202111240OKC,"['Marc Davis', 'Marat Kogut', 'Brandon Schwab']",14081
202111240ORL,"['Tyler Ford', 'Lauren Holtkamp-Sterling', 'Matt Myers']",16114
202111240SAC,"['Derrick Collins', 'Jonathan Sterling', 'James Williams']",14997
202111240SAS,"['Jacyn Goble', 'Gediminas Petraitis', 'Kevin Scott']",13161
202111260CHO,"['Scott Foster', 'Robert Hussey', 'Scott Wall']",19314
202111260DEN,"['Gediminas Petraitis', 'Jonathan Sterling', 'Josh Tiven']",19520
202111260GSW,"['Andy Nagy', 'Leon Wood', 'Zach Zarba']",18064
202111260IND,"['Bennie Adams', 'Bill Kennedy', 'Mark Lindsay']",13508
202111260LAC,"['Brandon Adair', 'Mousa Dagher', 'Brian Forte']",18139
202111260LAL,"['David Guthrie', 'Brett Nansel', 'Ben Taylor']",18997
202111260MEM,"['Danielle Scott', 'Michael Smith', 'Sean Wright']",16622
202111260NYK,"['Matt Boland', 'Rodney Mott', 'J.T. Orr']",19812
202111260OKC,"['Derrick Collins', 'Marat Kogut', 'Tre Maddox']",14579
202111260ORL,"['Kevin Cutler', 'Eric Lewis']",18236
202111260SAS,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Phenizee Ransom']",15360
202111260UTA,"['Derek Richardson', 'Kevin Scott', 'Justin Van Duyne']",18306
202111270ATL,"['Kevin Cutler', 'Ed Malloy']",17287
202111270BRK,"['J.B. DeRosa', 'Pat Fraher', 'Aaron Smith']",18071
202111270CHI,"['Danielle Scott', 'Dedric Taylor', 'James Williams']",21110
202111270CLE,"['James Capers Jr.', 'Evan Scott', 'Tom Washington']",18248
202111270DAL,"['John Goble', 'Karl Lane', 'Brandon Schwab']",20223
202111270HOU,"['Ray Acosta', 'Courtney Kirkland', 'Jenna Schroeder']",14687
202111270PHI,"['Sean Corbin', 'Mitchell Ervin', 'Jacyn Goble']",21011
202111270UTA,"['David Guthrie', 'Jonathan Sterling', 'Ben Taylor']",18306
202111280IND,"['Robert Hussey', 'Scott Wall', 'Sean Wright']",13130
202111280LAC,"['Brian Forte', 'Gediminas Petraitis', 'Kevin Scott']",19068
202111280LAL,"['Andy Nagy', 'Derek Richardson', 'Zach Zarba']",18997
202111280MEM,"['Brent Barnaky', 'Lauren Holtkamp-Sterling', 'Tre Maddox']",12844
202111280TOR,"['Scott Foster', 'Dannica Mosher', 'Michael Smith']",19800
202111290CHI,"['Tony Brothers', 'Jacyn Goble', 'Suyash Mehta']",21366
202111290DAL,"['Brent Barnaky', 'Tyler Ford', 'Marat Kogut']",19229
202111290HOU,"['Mitchell Ervin', 'John Goble']",12829
202111290LAC,"['Bennie Adams', 'Leon Wood', 'Zach Zarba']",15691
202111290MIA,"['Kevin Cutler', 'Pat Fraher', 'Aaron Smith']",19600
202111290MIN,"['Eric Lewis', 'J.T. Orr', 'Jonathan Sterling']",14191
202111290PHI,"['Curtis Blair', 'Matt Boland', 'Nick Buchert']",20193
202111290SAS,"['Ray Acosta', 'Derrick Collins', 'Courtney Kirkland', 'Brett Nansel']",12606
202111290UTA,"['John Butler', 'Karl Lane', 'Josh Tiven']",18306
202111300BRK,"['Scott Foster', 'Jason Goldenberg', 'Mark Lindsay']",18081
202111300PHO,"['Karl Lane', 'Derek Richardson', 'Josh Tiven']",17071
202111300POR,"['Gediminas Petraitis', 'Kevin Scott', 'Justin Van Duyne']",16071
202111300SAC,"['Mousa Dagher', 'Brian Forte', 'Bill Kennedy']",12459
202111300TOR,"['John Conley', 'Rodney Mott', 'Tom Washington']",19800
202112010BOS,"['J.B. DeRosa', 'Kane Fitzgerald', 'Aaron Smith']",19156
202112010IND,"['Brent Barnaky', 'Tony Brothers', 'Dannica Mosher']",12656
202112010LAC,"['Derrick Collins', 'Robert Hussey', 'Courtney Kirkland']",17217
202112010MIA,"['Sean Corbin', 'David Guthrie', 'Jonathan Sterling']",19600
202112010MIL,"['James Capers Jr.', 'Brett Nansel', 'Natalie Sago']",17341
202112010NOP,"['Marc Davis', 'Andy Nagy', 'J.T. Orr']",15558
202112010OKC,"['Mitchell Ervin', 'C.J. Washington', 'Zach Zarba']",13222
202112010ORL,"['Suyash Mehta', 'Dedric Taylor', 'James Williams']",14191
202112010WAS,"['Brandon Adair', 'Lauren Holtkamp-Sterling', 'Sean Wright']",15318
202112020MEM,"['Karl Lane', 'Evan Scott', 'Josh Tiven']",13103
202112020NYK,"['Tyler Ford', 'Natalie Sago', 'Ben Taylor']",19812
202112020PHO,"['Eric Lewis', 'Matt Myers', 'Michael Smith']",0
202112020POR,"['Brian Forte', 'Tre Maddox', 'Phenizee Ransom']",16143
202112020TOR,"['Curtis Blair', 'Pat Fraher']",19800
202112030ATL,"['Mousa Dagher', 'Tyler Ford', 'David Guthrie']",17092
202112030BRK,"['Nick Buchert', 'Kane Fitzgerald', 'Dedric Taylor']",17732
202112030DAL,"['Brandon Adair', 'Tony Brothers', 'Jacyn Goble']",19218
202112030GSW,"['Bennie Adams', 'Bill Kennedy', 'J.T. Orr']",18064
202112030HOU,"['Marat Kogut', 'Mark Lindsay', 'Sean Wright']",13697
202112030IND,"['J.B. DeRosa', 'Brett Nansel', 'James Williams']",13854
