gameid,ref,att
201611030ORL,"['James Capers Jr.', 'Tyler Ford', 'Courtney Kirkland']",17026
201611040BRK,"['Tony Brown', 'Jason Phillips', 'Scott Wall']",15775
201611040CHI,"['Mark Ayotte', 'Dan Crawford', 'Pat Fraher']",22376
201611040DAL,"['Derrick Collins', 'Karl Lane', 'Sean Wright']",19475
201611040LAL,"['Bennie Adams', 'Tom Washington', 'Leon Wood']",18997
201611040MEM,"['Nick Buchert', 'C.J. Washington', 'Zach Zarba']",17115
201611040NOP,"['Mitchell Ervin', 'Derrick Stafford', 'James Williams']",15379
201611040TOR,"['Curtis Blair', 'Bill Kennedy', 'Eric Lewis']",19800
201611040UTA,"['Sean Corbin', 'Brian Forte', 'Mark Lindsay']",19911
201611040WAS,"['Scott Foster', 'Marat Kogut', 'Gary Zielinski']",14663
201611050ATL,"['Jason Goldenberg', 'Leroy Richardson', 'Bill Spooner']",16895
201611050DET,"['James Capers Jr.', 'Kane Fitzgerald', 'Vladimir Voyard-Tadal']",16218
201611050IND,"['Eric Dalen', 'Jason Phillips', 'Aaron Smith']",17020
201611050MIL,"['Monty McCutchen', 'Phenizee Ransom', 'Michael Smith']",16021
201611050OKC,"['Courtney Kirkland', 'Gediminas Petraitis', 'Josh Tiven']",18203
201611050ORL,"['John Goble', 'Tre Maddox', 'Ken Mauer']",18846
201611050PHI,"['Mike Callahan', 'Brett Nansel', 'Gary Zielinski']",20497
201611050SAS,"['Karl Lane', 'Ed Malloy', 'James Williams']",18418
201611060BOS,"['Bill Kennedy', 'Eric Lewis', 'Scott Twardoski']",17452
201611060DAL,"['Nick Buchert', 'Justin Van Duyne', 'Tom Washington']",19345
201611060LAL,"['Sean Corbin', 'Ron Garretson', 'Ben Taylor']",18997
201611060MEM,"['Mark Ayotte', 'Tony Brown', 'Pat Fraher']",16233
201611060NYK,"['Curtis Blair', 'Matt Boland', 'Scott Foster']",19812
201611060TOR,"['Kevin Scott', 'Scott Wall', 'Sean Wright']",19800
201611070CHI,"['Tony Brothers', 'James Williams', 'Leon Wood']",21320
201611070CHO,"['Mike Callahan', 'Mark Lindsay', 'Tre Maddox']",16880
201611070GSW,"['J.T. Orr', 'Jason Phillips', 'Leroy Richardson']",19596
201611070LAC,"['Steve Anderson', 'Ken Mauer', 'Josh Tiven']",19060
201611070OKC,"['Eric Dalen', 'John Goble', 'Derrick Stafford']",18203
201611070PHI,"['Lauren Holtkamp-Sterling', 'Bill Kennedy', 'Michael Smith']",14168
201611070WAS,"['Marc Davis', 'Eric Lewis', 'Dedric Taylor']",13173
201611080BRK,"['Nick Buchert', 'Bill Spooner', 'Scott Twardoski']",13610
201611080CLE,"['Tony Brown', 'Tre Maddox', 'Monty McCutchen']",20562
201611080LAL,"['Mark Ayotte', 'Dan Crawford', 'C.J. Washington']",18997
201611080MEM,"['Matt Boland', 'Justin Van Duyne', 'Tom Washington']",15109
201611080POR,"['Steve Anderson', 'Rodney Mott', 'Josh Tiven']",19239
201611080SAC,"['Sean Corbin', 'Pat Fraher', 'Haywoode Workman']",17608
201611090ATL,"['Kevin Cutler', 'Kane Fitzgerald', 'Derrick Stafford']",16354
201611090CHO,"['John Goble', 'Scott Twardoski', 'Sean Wright']",15712
201611090GSW,"['Pat Fraher', 'Ken Mauer', 'Ben Taylor']",19596
201611090IND,"['Tony Brothers', 'Derek Richardson', 'Kevin Scott']",15360
201611090LAC,"['Bennie Adams', 'Haywoode Workman', 'Gary Zielinski']",19060
201611090NYK,"['Mike Callahan', 'Karl Lane', 'Michael Smith']",19812
201611090OKC,"['Mark Lindsay', 'James Williams', 'Leon Wood']",18203
201611090ORL,"['Derrick Collins', 'Bill Kennedy', 'Scott Wall']",17102
201611090PHO,"['J.T. Orr', 'Jason Phillips', 'Leroy Richardson']",16719
201611090SAS,"['Eric Dalen', 'Scott Foster', 'Courtney Kirkland']",18418
201611090WAS,"['Brian Forte', 'Justin Van Duyne', 'Zach Zarba']",12675
201611100DEN,"['Sean Corbin', 'Dan Crawford', 'C.J. Washington']",17569
201611100MIA,"['Brent Barnaky', 'Marc Davis', 'Lauren Holtkamp-Sterling']",19600
201611100MIL,"['Steve Anderson', 'Ron Garretson', 'Zach Zarba']",12159
201611100SAC,"['J.T. Orr', 'Jason Phillips', 'Josh Tiven']",17608
201611110BOS,"['Tony Brothers', 'Eric Dalen', 'Dedric Taylor']",18624
201611110CHO,"['Derrick Collins', 'Kane Fitzgerald', 'Derek Richardson']",18107
201611110OKC,"['Tony Brown', 'Kevin Cutler', 'Monty McCutchen']",18203
201611110ORL,"['Nick Buchert', 'Marat Kogut', 'Derrick Stafford']",18846
201611110PHI,"['Matt Boland', 'James Capers Jr.', 'Tyler Ford']",17643
201611110POR,"['Ken Mauer', 'Leroy Richardson', 'Ben Taylor']",19918
201611110SAS,"['Eric Lewis', 'Mark Lindsay', 'Haywoode Workman']",18418
201611110WAS,"['John Goble', 'Courtney Kirkland', 'Scott Twardoski']",20356
201611120ATL,"['Mark Lindsay', 'Ed Malloy', 'Gediminas Petraitis']",17399
201611120CHI,"['Steve Anderson', 'Mike Callahan', 'Derrick Collins']",21962
201611120DEN,"['James Williams', 'Leon Wood', 'Sean Wright']",13997
201611120HOU,"['Brent Barnaky', 'Marat Kogut', 'Tom Washington']",18055
201611120IND,"['Sean Corbin', 'Kevin Cutler', 'Kane Fitzgerald']",17923
201611120MIA,"['Brian Forte', 'Karl Lane', 'Scott Wall']",19600
201611120MIL,"['Bennie Adams', 'Tyler Ford', 'John Goble']",14327
201611120MIN,"['Michael Smith', 'Dedric Taylor', 'Zach Zarba']",14494
201611120NOP,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Rodney Mott']",17138
201611120PHO,"['Dan Crawford', 'Kevin Scott', 'C.J. Washington']",17126
201611120TOR,"['Matt Boland', 'Scott Foster', 'Jacyn Goble']",19800
201611130CLE,"['Pat Fraher', 'Brett Nansel', 'Derrick Stafford']",20562
201611130GSW,"['Jason Goldenberg', 'Monty McCutchen', 'Gary Zielinski']",19596
201611130MIN,"['Tony Brothers', 'Courtney Kirkland', 'Ben Taylor']",14432
201611130OKC,"['Brent Barnaky', 'Curtis Blair', 'James Capers Jr.']",18203
201611130POR,"['Mark Ayotte', 'Tre Maddox', 'Bill Spooner']",19362
201611140DET,"['Bennie Adams', 'Matt Boland', 'Nick Buchert']",14172
201611140HOU,"['Curtis Blair', 'Derrick Collins', 'Zach Zarba']",13183
201611140IND,"['Tony Brown', 'Eric Lewis', 'Gediminas Petraitis']",14825
201611140LAC,"['Tyler Ford', 'James Williams', 'Sean Wright']",19060
201611140NOP,"['John Goble', 'Marat Kogut', 'Leon Wood']",15001
201611140NYK,"['Ron Garretson', 'Ed Malloy', 'Justin Van Duyne']",19812
201611140SAS,"['Rodney Mott', 'Jason Phillips', 'Aaron Smith']",18418
201611140UTA,"['Dan Crawford', 'Kevin Scott', 'C.J. Washington']",18176
201611150CLE,"['Steve Anderson', 'Brent Barnaky', 'Tom Washington']",20562
201611150LAL,"['Karl Lane', 'Tre Maddox', 'Monty McCutchen']",18426
201611150MIA,"['Sean Corbin', 'Ken Mauer', 'Phenizee Ransom']",19600
201611150MIN,"['Marc Davis', 'Jason Goldenberg', 'Josh Tiven']",10349
201611150POR,"['Tyler Ford', 'Kevin Scott', 'Sean Wright']",19393
201611160ATL,"['Tony Brothers', 'Tony Brown', 'Lauren Holtkamp-Sterling']",14656
201611160BOS,"['Steve Anderson', 'James Capers Jr.', 'Pat Fraher']",18624
201611160DEN,"['Kevin Cutler', 'Kane Fitzgerald', 'Eric Lewis']",10247
201611160IND,"['Curtis Blair', 'Scott Foster', 'Josh Tiven']",17022
201611160LAC,"['Mike Callahan', 'Rodney Mott', 'J.T. Orr']",19060
201611160NYK,"['Mitchell Ervin', 'Brian Forte', 'Courtney Kirkland']",19812
201611160OKC,"['Jason Phillips', 'Leroy Richardson', 'Aaron Smith']",18203
201611160ORL,"['Michael Smith', 'Dedric Taylor', 'Gary Zielinski']",16127
201611160PHI,"['Eric Dalen', 'Derrick Stafford', 'Vladimir Voyard-Tadal']",14863
201611160SAC,"['Bill Kennedy', 'Karl Lane', 'Derek Richardson']",17608
201611160TOR,"['Ron Garretson', 'Marat Kogut', 'Ed Malloy']",21050
201611170HOU,"['John Goble', 'Mark Lindsay', 'Dedric Taylor']",15550
201611170MIA,"['Bill Spooner', 'Ben Taylor', 'Gary Zielinski']",19600
201611170MIN,"['Matt Boland', 'Ken Mauer', 'James Williams']",16866
201611170UTA,"['Kevin Cutler', 'Monty McCutchen', 'Rodney Mott']",19911
201611170WAS,"['Bennie Adams', 'Sean Corbin', 'Brett Nansel']",16704
201611180BOS,"['Derrick Collins', 'Lauren Holtkamp-Sterling', 'Zach Zarba']",18624
201611180CHO,"['Steve Anderson', 'James Capers Jr.', 'Leroy Richardson']",17989
201611180CLE,"['Tony Brothers', 'Ron Garretson', 'Aaron Smith']",20562
201611180DAL,"['Bill Kennedy', 'Mark Lindsay', 'Tre Maddox']",19715
201611180DEN,"['Marc Davis', 'Karl Lane', 'Scott Twardoski']",12476
201611180IND,"['Dan Crawford', 'Marat Kogut', 'C.J. Washington']",16780
201611180LAL,"['Mike Callahan', 'Tyler Ford', 'Courtney Kirkland']",18997
201611180NOP,"['Nick Buchert', 'Vladimir Voyard-Tadal', 'Tom Washington']",15552
201611180OKC,"['Pat Fraher', 'Eric Lewis', 'Justin Van Duyne']",18203
201611180SAC,"['Kane Fitzgerald', 'Scott Foster', 'Leon Wood']",17608
201611190DET,"['Brent Barnaky', 'Jacyn Goble', 'Ken Mauer']",16107
201611190HOU,"['Ed Malloy', 'Josh Tiven', 'James Williams']",14760
201611190LAC,"['Mark Ayotte', 'Marc Davis', 'Scott Twardoski']",19060
201611190MEM,"['Sean Corbin', 'Ben Taylor', 'Gary Zielinski']",17112
201611190MIL,"['J.T. Orr', 'Jason Phillips', 'Michael Smith']",18717
201611190NOP,"['Curtis Blair', 'Tony Brown', 'Eric Lewis']",15739
201611190ORL,"['Mitchell Ervin', 'Kevin Scott', 'Bill Spooner']",18846
201611190PHI,"['Brian Forte', 'Tre Maddox', 'Tom Washington']",18125
201611190WAS,"['Matt Boland', 'Monty McCutchen', 'Gediminas Petraitis']",15848
201611200BRK,"['James Capers Jr.', 'Eric Dalen', 'C.J. Washington']",16608
201611200DEN,"['Bennie Adams', 'Tyler Ford', 'Pat Fraher']",12565
201611200LAL,"['Kane Fitzgerald', 'Scott Foster', 'Phenizee Ransom']",18997
201611200NYK,"['Bill Kennedy', 'Rodney Mott', 'Haywoode Workman']",19812
201611200OKC,"['Tony Brothers', 'Nick Buchert', 'Lauren Holtkamp-Sterling']",18203
201611200SAC,"['Mike Callahan', 'Kevin Cutler', 'Courtney Kirkland']",17608
201611210CHO,"['Bill Spooner', 'Josh Tiven', 'Haywoode Workman']",14181
201611210DET,"['Tony Brown', 'Bill Kennedy', 'Ben Taylor']",13632
201611210IND,"['Ken Mauer', 'Kevin Scott', 'Leon Wood']",17923
201611210LAC,"['Mitchell Ervin', 'John Goble', 'Derrick Stafford']",19060
201611210MIL,"['Karl Lane', 'Justin Van Duyne', 'Tom Washington']",12306
201611210MIN,"['Ed Malloy', 'Gediminas Petraitis', 'Leroy Richardson']",13167
201611210PHI,"['Marat Kogut', 'J.T. Orr', 'Jason Phillips']",16477
201611210SAS,"['Mark Ayotte', 'Dan Crawford', 'Gary Zielinski']",18418
201611210WAS,"['Rodney Mott', 'Derek Richardson', 'Michael Smith']",12790
201611220ATL,"['J.T. Orr', 'Josh Tiven', 'James Williams']",19120
201611220DEN,"['Brent Barnaky', 'Ron Garretson', 'Brett Nansel']",14328
201611220LAL,"['Marc Davis', 'Mark Lindsay', 'Scott Twardoski']",18997
201611220NYK,"['Derrick Collins', 'Monty McCutchen', 'Ben Taylor']",19812
201611230BRK,"['Curtis Blair', 'Sean Corbin', 'Jason Phillips']",16210
201611230CHO,"['Eric Dalen', 'Monty McCutchen', 'Rodney Mott']",18515
201611230CLE,"['Dan Crawford', 'Tyler Ford', 'James Williams']",20562
201611230DAL,"['Brian Forte', 'Marat Kogut', 'Tom Washington']",20042
201611230DET,"['Kane Fitzgerald', 'Leroy Richardson', 'Justin Van Duyne']",14520
201611230GSW,"['Steve Anderson', 'Brent Barnaky', 'James Capers Jr.']",19596
201611230HOU,"['Bennie Adams', 'Mark Ayotte', 'Bill Spooner']",18055
201611230IND,"['Mike Callahan', 'Tre Maddox', 'Michael Smith']",16032
201611230NOP,"['Karl Lane', 'Ken Mauer', 'Kevin Scott']",15555
201611230ORL,"['Tony Brothers', 'Aaron Smith', 'Leon Wood']",17069
201611230PHI,"['Nick Buchert', 'Pat Fraher', 'Derek Richardson']",15880
201611230SAC,"['Mitchell Ervin', 'John Goble', 'Derrick Stafford']",17608
201611230UTA,"['Scott Foster', 'Mark Lindsay', 'Dedric Taylor']",19229
201611250BOS,"['Marc Davis', 'Kane Fitzgerald', 'Justin Van Duyne']",18624
201611250CLE,"['Mike Callahan', 'Derrick Collins', 'Kevin Cutler']",20562
201611250DEN,"['Mark Ayotte', 'Ed Malloy', 'Gediminas Petraitis']",14327
201611250DET,"['Curtis Blair', 'Courtney Kirkland', 'Michael Smith']",17023
201611250IND,"['Tyler Ford', 'Leroy Richardson', 'Zach Zarba']",16083
201611250LAL,"['Tony Brown', 'Mitchell Ervin', 'Derrick Stafford']",18997
201611250MEM,"['Bennie Adams', 'Monty McCutchen', 'Aaron Smith']",17222
201611250MIL,"['Pat Fraher', 'Bill Kennedy', 'Ben Taylor']",16223
201611250NYK,"['Nick Buchert', 'Marat Kogut', 'James Williams']",19812
201611250ORL,"['Eric Dalen', 'Jason Phillips', 'Phenizee Ransom']",17103
201611250PHI,"['Tony Brothers', 'Sean Corbin', 'Jacyn Goble']",18234
201611250PHO,"['Brent Barnaky', 'John Goble', 'Dedric Taylor']",16728
201611250POR,"['Brian Forte', 'Scott Foster', 'Haywoode Workman']",19393
201611250SAC,"['Mark Lindsay', 'Tre Maddox', 'Rodney Mott']",17608
201611250UTA,"['Steve Anderson', 'James Capers Jr.', 'Gary Zielinski']",19911
201611260CHO,"['Tyler Ford', 'Courtney Kirkland', 'Jason Phillips']",19195
201611260GSW,"['Brian Forte', 'Bill Spooner', 'Haywoode Workman']",19596
201611260MIA,"['Karl Lane', 'Brett Nansel', 'Tom Washington']",19600
201611260OKC,"['Dan Crawford', 'Ron Garretson', 'C.J. Washington']",18203
201611260WAS,"['Lauren Holtkamp-Sterling', 'Ken Mauer', 'Kevin Scott']",17066
201611270BRK,"['Kevin Cutler', 'Kane Fitzgerald', 'James Williams']",13646
201611270DAL,"['Nick Buchert', 'Monty McCutchen', 'Derek Richardson']",19302
201611270IND,"['Sean Corbin', 'Jason Goldenberg', 'Bill Kennedy']",15572
201611270LAL,"['John Goble', 'Ed Malloy', 'Gediminas Petraitis']",18997
201611270ORL,"['Mike Callahan', 'Derrick Collins', 'Brett Nansel']",16521
201611270PHI,"['Marc Davis', 'Michael Smith', 'Ben Taylor']",19311
201611270PHO,"['Tony Brown', 'Mitchell Ervin', 'Derrick Stafford']",15365
201611270POR,"['Steve Anderson', 'Brent Barnaky', 'James Capers Jr.']",19393
201611280GSW,"['Bennie Adams', 'Mark Lindsay', 'J.T. Orr']",19596
201611280MEM,"['Scott Foster', 'Ron Garretson', 'Tre Maddox']",13143
201611280MIA,"['Derrick Collins', 'Dan Crawford', 'C.J. Washington']",19600
201611280MIN,"['Eric Dalen', 'Pat Fraher', 'Bill Kennedy']",9384
201611280NYK,"['Josh Tiven', 'Scott Twardoski', 'Tom Washington']",19812
201611280TOR,"['Curtis Blair', 'Leroy Richardson', 'James Williams']",19800
201611280WAS,"['Tony Brothers', 'Eric Lewis', 'Leon Wood']",12571
201611290BRK,"['Lauren Holtkamp-Sterling', 'Ken Mauer', 'Kevin Scott']",15681
201611290CHO,"['Matt Boland', 'Mike Callahan', 'Ben Taylor']",14266
201611290MIL,"['Mark Ayotte', 'Marat Kogut', 'Monty McCutchen']",16559
201611290NOP,"['Kane Fitzgerald', 'Brett Nansel', 'Jason Phillips']",14024
201611290SAS,"['Sean Corbin', 'Brian Forte', 'Dedric Taylor']",18418
201611290UTA,"['John Goble', 'Derrick Stafford', 'Haywoode Workman']",19911
201611300BOS,"['Tony Brothers', 'Nick Buchert', 'Eric Dalen']",17338
201611300CHI,"['Scott Foster', 'Marat Kogut', 'Gary Zielinski']",21773
201611300DAL,"['Matt Boland', 'Jason Phillips', 'Leroy Richardson']",19245
201611300DEN,"['Steve Anderson', 'James Capers Jr.', 'Mark Lindsay']",11471
201611300MIN,"['Dan Crawford', 'Eric Lewis', 'Vladimir Voyard-Tadal']",13987
201611300OKC,"['Curtis Blair', 'Tony Brown', 'Brian Forte']",18203
201611300PHO,"['Ron Garretson', 'Bill Spooner', 'Haywoode Workman']",15909
201611300POR,"['Courtney Kirkland', 'Ed Malloy', 'Gediminas Petraitis']",19107
201611300TOR,"['Tyler Ford', 'Michael Smith', 'Sean Wright']",19800
201612010BRK,"['Brent Barnaky', 'Scott Foster', 'Aaron Smith']",12675
201612010CHO,"['Kane Fitzgerald', 'Karl Lane', 'James Williams']",14471
201612010CLE,"['Eric Lewis', 'Sean Wright', 'Gary Zielinski']",20562
201612010GSW,"['Bill Kennedy', 'Tre Maddox', 'Josh Tiven']",19596
201612010MEM,"['Curtis Blair', 'Rodney Mott', 'Kevin Scott']",13344
201612010UTA,"['Courtney Kirkland', 'Ed Malloy', 'Gediminas Petraitis']",19073
201612020ATL,"['Pat Fraher', 'Karl Lane', 'Rodney Mott']",15500
201612020BOS,"['Tony Brown', 'J.T. Orr', 'Jason Phillips']",18624
201612020CHI,"['Nick Buchert', 'Bill Spooner', 'Dedric Taylor']",21775
201612020DEN,"['Dan Crawford', 'Leroy Richardson', 'Ben Taylor']",15549
201612020NOP,"['Derrick Collins', 'Eric Dalen', 'Marc Davis']",16538
201612020NYK,"['Brent Barnaky', 'Kevin Cutler', 'Monty McCutchen']",19812
201612020PHI,"['John Goble', 'Mark Lindsay', 'C.J. Washington']",13711
201612020SAS,"['Mike Callahan', 'Tyler Ford', 'Kevin Scott']",18418
201612020TOR,"['Mark Ayotte', 'Sean Corbin', 'Derek Richardson']",19800
201612030CHO,"['Marc Davis', 'Scott Twardoski', 'Gary Zielinski']",16982
201612030DAL,"['Tyler Ford', 'John Goble', 'Eric Lewis']",19857
201612030GSW,"['Courtney Kirkland', 'Ed Malloy', 'Justin Van Duyne']",19596
201612030MEM,"['Mitchell Ervin', 'Brian Forte', 'Derrick Stafford']",17017
201612030MIL,"['Matt Boland', 'Kane Fitzgerald', 'Leon Wood']",15565
201612030PHI,"['Kevin Cutler', 'Scott Foster', 'Ron Garretson']",17063
201612030POR,"['Bennie Adams', 'Tre Maddox', 'Ken Mauer']",19393
201612030TOR,"['Nick Buchert', 'Aaron Smith', 'Tom Washington']",19800
201612030UTA,"['Brett Nansel', 'Josh Tiven', 'Sean Wright']",19911
201612040DET,"['Mark Ayotte', 'J.T. Orr', 'Jason Phillips']",15206
201612040LAC,"['Tony Brothers', 'Ben Taylor', 'Josh Tiven']",19060
201612040NYK,"['James Capers Jr.', 'Derek Richardson', 'Michael Smith']",19812
201612040OKC,"['Marat Kogut', 'Rodney Mott', 'Bill Spooner']",18203
201612050ATL,"['Brent Barnaky', 'Tyler Ford', 'John Goble']",14654
201612050BRK,"['Pat Fraher', 'Mark Lindsay', 'Haywoode Workman']",12529
201612050CHI,"['Mike Callahan', 'Mitchell Ervin', 'Leroy Richardson']",21351
201612050DAL,"['Derrick Collins', 'Sean Corbin', 'Derrick Stafford']",19228
201612050GSW,"['Brett Nansel', 'Kevin Scott', 'Sean Wright']",19596
201612050HOU,"['Marc Davis', 'Courtney Kirkland', 'Scott Twardoski']",15730
201612050LAL,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Ken Mauer']",18279
201612050MIL,"['Dan Crawford', 'Ron Garretson', 'Jacyn Goble']",14256
201612050NOP,"['Tony Brown', 'Justin Van Duyne', 'James Williams']",13795
201612050PHI,"['Karl Lane', 'Monty McCutchen', 'Aaron Smith']",11815
201612050TOR,"['James Capers Jr.', 'Eric Dalen', 'J.T. Orr']",19800
201612060DET,"['Brian Forte', 'C.J. Washington', 'Gary Zielinski']",14305
201612060MEM,"['Marat Kogut', 'Jason Phillips', 'Michael Smith']",13521
201612060MIA,"['Scott Foster', 'Eric Lewis', 'Leon Wood']",19610
201612060MIN,"['Steve Anderson', 'Karl Lane', 'Tom Washington']",12585
201612060UTA,"['Tony Brothers', 'Kevin Scott', 'Ben Taylor']",18997
201612060WAS,"['Nick Buchert', 'Bill Kennedy', 'Tre Maddox']",12116
201612070ATL,"['Sean Corbin', 'Marc Davis', 'C.J. Washington']",11326
201612070BRK,"['Brian Forte', 'Jacyn Goble', 'Derrick Stafford']",14159
201612070CHO,"['John Goble', 'Eric Lewis', 'Justin Van Duyne']",15141
201612070DAL,"['Dan Crawford', 'Ron Garretson', 'Haywoode Workman']",19711
201612070HOU,"['Derrick Collins', 'Pat Fraher', 'Rodney Mott']",16141
201612070LAC,"['Mark Ayotte', 'Bill Spooner', 'James Williams']",19239
201612070MIL,"['Ed Malloy', 'Gediminas Petraitis', 'Gary Zielinski']",14033
201612070NYK,"['Mike Callahan', 'Leroy Richardson', 'Josh Tiven']",19812
201612070ORL,"['Brent Barnaky', 'Curtis Blair', 'Kane Fitzgerald']",17009
201612070PHO,"['Matt Boland', 'Ken Mauer', 'Scott Twardoski']",17452
201612080CHI,"['Derrick Collins', 'Eric Dalen', 'Zach Zarba']",21489
201612080MEM,"['J.T. Orr', 'Josh Tiven', 'Tom Washington']",14317
201612080NOP,"['James Capers Jr.', 'Ben Taylor', 'Leon Wood']",14158
201612080TOR,"['Scott Foster', 'Marat Kogut', 'Mark Lindsay']",19800
201612080UTA,"['Matt Boland', 'Monty McCutchen', 'Aaron Smith']",19911
201612080WAS,"['Tony Brown', 'Courtney Kirkland', 'Justin Van Duyne']",12645
