,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910250OKC,WAS,OKC,WAS,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",24,22,24,15,[],85,-1,2.0,"['gilgesh01', 'paulch01', 'gallida01', 'adamsst01', 'fergute01', 'schrode01', 'diallha01', 'bazleda01', 'naderab01', 'muscami01', 'noelne01', 'burtode02', 'pattoju01']","[0, 1]",0,28,24,26,19,[],97,-1,2.0,"['hachiru01', 'bealbr01', 'smithis01', 'bryanth01', 'bongais01', 'bertada01', 'wagnemo01', 'chiozch01', 'mathega01', 'schofad01', 'robinju01', 'thomais02', 'mcraejo01']","[0, 1]",0,none,830392923.0,363304152.0,63876378.692307696,27946473.230769232,1,1
201910250SAC,POR,SAC,POR,10:00p,"Golden 1 Center, Sacramento, California",27,30,27,28,[],112,-1,2.0,"['foxde01', 'barneha02', 'hieldbu01', 'bjeline01', 'dedmode01', 'bogdabo01', 'arizatr01', 'holmeri01', 'josepco01', 'ferreyo01', 'jamesju01', 'gabriwe01', 'swanica01']","[0, 1]",0,25,32,37,28,[],122,-1,2.0,"['lillada01', 'mccolcj01', 'colliza01', 'hoodro01', 'whiteha01', 'bazemke01', 'simonan01', 'hezonma01', 'tollian01', 'labissk01', 'littlna01', 'trentga02']","[0, 1]",0,conference,632382868.0,677526050.0,48644836.0,56460504.16666666,1,1
201910260ATL,ATL,ATL,ORL,7:30p,"State Farm Arena, Atlanta, Georgia",23,29,25,26,[],103,1,2.0,"['youngtr01', 'collijo01', 'reddica01', 'huntede01', 'lenal01', 'bembrde01', 'huertke01', 'parkeja01', 'cartevi01', 'turneev01', 'jonesda03', 'fernabr01', 'wallaty01']","[1, 0]",0,26,24,25,24,[],99,1,3.0,"['vucevni01', 'gordoaa01', 'fournev01', 'isaacjo01', 'augusdj01', 'fultzma01', 'rosste01', 'aminual01', 'cartemi01', 'bambamo01', 'iwundwe01', 'birchkh01', 'frazime01']","[1, 0]",0,division,499614625.0,719679147.0,38431894.23076923,55359934.38461538,1,1
201910260CHI,TOR,CHI,TOR,8:00p,"United Center, Chicago, Illinois",23,17,22,22,[],84,1,1.0,"['markkla01', 'lavinza01', 'satorto01', 'cartewe01', 'porteot01', 'whiteco01', 'dunnkr01', 'arcidry01', 'kornelu01', 'youngth01', 'harrish01', 'valende01', 'gaffoda01']","[1, 1]",0,24,24,36,24,[],108,-1,1.0,"['lowryky01', 'vanvlfr01', 'siakapa01', 'anunoog01', 'gasolma01', 'powelno01', 'ibakase01', 'thomama02', 'daviste02', 'johnsst04', 'bouchch01', 'millema01', 'holliro01']","[1, 1]",0,conference,532303649.0,805011819.0,40946434.538461536,61923986.07692308,2,2
201910260CLE,CLE,CLE,IND,8:00p,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",26,39,25,20,[],110,-1,3.0,"['thomptr01', 'loveke01', 'sextoco01', 'garlada01', 'osmande01', 'porteke02', 'nancela02', 'dellama01', 'clarkjo01', 'hensojo01', 'cookty01', 'mckinal01', 'knighbr03']","[0, 1]",0,28,20,26,25,[],99,-1,3.0,"['turnemy01', 'warretj01', 'brogdma01', 'sabondo01', 'sumneed01', 'holidju01', 'mccontj01', 'leaftj01', 'mcderdo01', 'bitadgo01', 'johnsal02', 'holidaa01', 'sampsja02']","[0, 1]",0,division,727539014.0,375741952.0,55964539.538461536,28903227.07692308,1,1
201910260DET,PHI,DET,PHI,7:00p,"Little Caesars Arena, Detroit, Michigan",29,28,26,28,[],111,-1,2.0,"['morrima02', 'snellto01', 'drumman01', 'fraziti01', 'brownbr01', 'kennalu01', 'rosede01', 'gallola01', 'makerth01', 'woodch01', 'thomakh01', 'mykhasv01', 'bonejo01']","[1, 1]",0,28,26,29,34,[],117,1,3.0,"['richajo01', 'harrito02', 'simmobe01', 'horfoal01', 'thybuma01', 'scottmi01', 'oquinky01', 'miltosh01', 'ennisja01', 'korkmfu01', 'netora01', 'burketr01', 'pelleno01']","[1, 0]",0,conference,521164704.0,673219223.0,40089592.615384616,51786094.07692308,2,1
201910260HOU,HOU,HOU,NOP,8:00p,"Toyota Center, Houston, Texas",29,32,36,29,[],126,-1,2.0,"['tuckepj01', 'hardeja01', 'westbru01', 'houseda01', 'capelca01', 'gordoer01', 'riverau01', 'sefolth01', 'chandty01', 'mclembe01', 'anderry01', 'clarkga01', 'clemoch01']","[0, 1]",0,24,37,39,23,[],123,-2,1.0,"['ingrabr01', 'balllo01', 'hartjo01', 'redicjj01', 'favorde01', 'willike04', 'jacksfr01', 'alexani01', 'okafoja01', 'mellini01', 'hayesja02', 'mooreet01', 'cheatzy01']","[0, 2]",0,division,1304281908.0,502496483.0,100329377.53846154,38653575.615384616,1,2
201910260MIL,MIA,MIL,MIA,5:00p,"Fiserv Forum, Milwaukee, Wisconsin",33,37,23,28,[],126,1,2.0,"['middlkh01', 'antetgi01', 'lopezbr01', 'bledser01', 'matthwe02', 'hillge01', 'ilyaser01', 'korveky01', 'connapa01', 'lopezro01', 'brownst02', 'divindo01', 'wilsodj01']","[1, 0]",0,29,24,29,39,[],131,1,3.0,"['winslju01', 'adebaba01', 'herroty01', 'nunnke01', 'leoname01', 'dragigo01', 'olynyke01', 'robindu01', 'jonesde02', 'silvach01', 'hasleud01', 'maconda01', 'okpalkz01']","[1, 0]",0,conference,1112208856.0,499747244.0,85554527.38461539,38442095.692307696,1,1
201910260NYK,BOS,NYK,BOS,7:30p,"Madison Square Garden (IV), New York, New York",24,27,25,19,[],95,-2,1.0,"['barrerj01', 'paytoel01', 'randlju01', 'morrima03', 'robinmi01', 'portibo01', 'knoxke01', 'trieral01', 'smithde03', 'gibsota01', 'dotsoda01', 'ntilila01', 'ellinwa01']","[0, 2]",0,22,24,36,36,[],118,1,1.0,"['tatumja01', 'walkeke02', 'brownja02', 'haywago01', 'williro04', 'smartma01', 'edwarca01', 'willigr01', 'ojelese01', 'poirivi01', 'fallta01', 'wanambr01', 'greenja02']","[1, 1]",0,division,447345145.0,607247295.0,34411165.0,46711330.38461538,2,2
201910260PHO,PHO,PHO,LAC,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",26,29,36,39,[],130,-1,1.0,"['bookede01', 'saricda01', 'carteje01', 'baynear01', 'oubreke01', 'kaminfr01', 'bridgmi01', 'johnsty01', 'johnsca02', 'okoboel01', 'aytonde01', 'diallch01', 'harpeja01']","[1, 1]",0,22,33,30,37,[],122,2,2.0,"['shamela01', 'leonaka01', 'pattepa01', 'beverpa01', 'zubaciv01', 'harremo01', 'willilo02', 'harklma01', 'greenja01', 'mannte01', 'motlejo01', 'robinje01', 'kabenmf01']","[2, 0]",0,division,379142751.0,572668047.0,29164827.0,44051388.23076923,2,2
