,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,referees,attendance,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210210WAS,WAS,WAS,CHI,"Capital One Arena, Washington, District of Columbia",conference,10/21/2022 19:00,10/21/2022 21:00,"['Brian Forte', 'Pat Fraher', 'Andy Nagy']",20476,0,26,30,21,25,[],102,1,2,"['bealbr01', 'kuzmaky01', 'porzikr01', 'morrimo01', 'avdijde01', 'hachiru01', 'wrighde01', 'gaffoda01', 'bartowi01', 'gillan01', 'goodwjo01', 'davisjo06', 'schakjo01', 'toddis01', 'gibsota01']","[1, 0]",0,700000000,58333333.33,1,30,20,24,26,[],100,1,2,"['derozde01', 'dosunay01', 'carusal01', 'vucevni01', 'willipa01', 'whiteco01', 'dragigo01', 'drumman01', 'greenja02', 'terryda01', 'hillma01', 'bradlto01', 'simonma01', 'jonesde02']","[1, 0]",0,700000000,58333333.33,1
202210210ATL,ATL,ATL,ORL,"State Farm Arena, Atlanta, Georgia",division,10/21/2022 19:30,10/21/2022 21:30,"['Brandon Schwab', 'Dedric Taylor', 'Zach Zarba']",17822,0,19,31,30,28,[],108,1,2,"['murrade01', 'youngtr01', 'collijo01', 'huntede01', 'capelca01', 'holidju01', 'okongon01', 'holidaa01', 'johnsja05', 'kaminfr01', 'krejcvi01', 'forretr01', 'culveja01', 'griffaj01', 'martity01']","[1, 0]",0,700000000,58333333.33,1,27,27,27,17,[],98,-1,2,"['wagnefr01', 'rosste01', 'banchpa01', 'cartewe01', 'suggsja01', 'anthoco01', 'hamptrj01', 'bambamo01', 'okekech01', 'bolbo01', 'harrike01', 'schofad01', 'houstca01']","[0, 1]",0,700000000,58333333.33,1
202210210BRK,BRK,BRK,TOR,"Barclays Center, Brooklyn, New York",division,10/21/2022 19:30,10/21/2022 21:30,"['James Capers Jr.', 'Sean Corbin', 'Dannica Mosher']",17732,0,28,21,29,31,[],109,-1,2,"['irvinky01', 'onealro01', 'duranke01', 'claxtni01', 'simmobe01', 'morrima02', 'harrijo01', 'millspa02', 'sharpda01', 'edwarke02', 'dukeda01', 'willial06', 'sumneed01', 'thomaca02', 'watanyu01']","[0, 1]",0,700000000,58333333.33,1,24,28,27,26,[],105,1,2,"['vanvlfr01', 'anunoog01', 'siakapa01', 'trentga02', 'barnesc01', 'kolokch01', 'achiupr01', 'bantoda01', 'youngth01', 'champju01', 'dowtije01', 'hernaju01', 'harpero02', 'birchkh01', 'flynnma01']","[1, 0]",0,700000000,58333333.33,1
202210210MIA,BOS,MIA,BOS,"FTX Arena, Miami, Florida",conference,10/21/2022 19:30,10/21/2022 21:30,"['Nick Buchert', 'Scott Foster', 'Marat Kogut']",19600,0,22,29,26,27,[],104,-1,2,"['butleji01', 'herroty01', 'adebaba01', 'lowryky01', 'martica02', 'vincega01', 'strusma01', 'dedmode01', 'robindu01', 'highsha01', 'hasleud01', 'smithdr01', 'jovicni01']","[0, 1]",0,700000000,58333333.33,1,30,29,30,22,[],111,1,3,"['tatumja01', 'brownja02', 'horfoal01', 'smartma01', 'whitede01', 'willigr01', 'brogdma01', 'vonleno01', 'hausesa01', 'pritcpa01', 'jacksju01', 'kornelu01', 'kabenmf01', 'davisjd01', 'griffbl01']","[1, 0]",0,700000000,58333333.33,1
202210210NYK,NYK,NYK,DET,"Madison Square Garden (IV), New York, New York",conference,10/21/2022 19:30,10/21/2022 21:30,"['Eric Dalen', 'Sean Wright']",19812,0,30,42,31,27,[],130,-1,2,"['brunsja01', 'barrerj01', 'randlju01', 'robinmi01', 'fournev01', 'quickim01', 'harteis01', 'toppiob01', 'reddica01', 'rosede01', 'mcbrimi01', 'simsje01', 'mykhasv01', 'arcidry01', 'keelstr01']","[0, 1]",0,700000000,58333333.33,1,20,32,29,25,[],106,1,2,"['beysa01', 'cunnica01', 'stewais01', 'iveyja01', 'bogdabo02', 'durenja01', 'hayeski01', 'diallha01', 'josepco01', 'knoxke01', 'keybr01', 'mcgruro01', 'boehebu01', 'noelne01']","[1, 0]",0,700000000,58333333.33,1
202210210HOU,MEM,HOU,MEM,"Toyota Center, Houston, Texas",division,10/21/2022 20:00,10/21/2022 22:00,"['Matt Boland', 'Bill Kennedy', 'Natalie Sago']",18055,0,32,38,30,22,[],122,-1,2,"['gordoer01', 'greenja05', 'porteke02', 'smithja05', 'fernabr01', 'sengual01', 'martike04', 'easonta01', 'mathega01', 'chrisjo01', 'marjabo01', 'hudgitr01', 'nixda01', 'garubus01']","[0, 1]",0,700000000,58333333.33,1,26,36,33,34,[],129,1,2,"['banede01', 'adamsst01', 'moranja01', 'aldamsa01', 'konchjo01', 'roddyda01', 'jonesty01', 'laravja01', 'clarkbr01', 'tillmxa01', 'willivi01', 'loftoke01', 'chandke01']","[1, 0]",0,700000000,58333333.33,1
202210210MIN,UTA,MIN,UTA,"Target Center, Minneapolis, Minnesota",division,10/21/2022 20:00,10/21/2022 22:30,"['J.B. DeRosa', 'David Guthrie']",17136,0,41,23,23,33,[6],126,1,2,"['edwaran01', 'russeda01', 'mcdanja02', 'goberru01', 'townska01', 'nowelja01', 'princta02', 'mclaujo01', 'reidna01', 'riverau01', 'forbebr01', 'anderky01', 'minotjo01', 'knighna01', 'moorewe01']","[1, 0]",0,700000000,58333333.33,1,26,29,33,32,[12],132,1,2,"['markkla01', 'conlemi01', 'clarkjo01', 'olynyke01', 'vandeja01', 'beaslma01', 'sextoco01', 'kesslwa01', 'hortota01', 'gayru01', 'agbajoc01', 'fontesi01', 'bolmale01', 'juzanjo01', 'alexani01']","[1, 0]",0,700000000,58333333.33,1
202210210GSW,DEN,GSW,DEN,"Chase Center, San Francisco, California",conference,10/21/2022 22:00,10/22/2022 0:00,"['Brandon Adair', 'Courtney Kirkland', 'Gediminas Petraitis']",18064,0,34,18,36,35,[],123,1,3,"['wiggian01', 'curryst01', 'greendr01', 'thompkl01', 'looneke01', 'poolejo01', 'greenja01', 'wisemja01', 'moodymo01', 'divindo01', 'kuminjo01', 'baldwpa01', 'rolliry01']","[1, 0]",0,700000000,58333333.33,1,40,30,28,30,[],128,-1,2,"['jokicni01', 'caldwke01', 'brownbr01', 'gordoaa01', 'portemi01', 'braunch01', 'hylanbo01', 'greenje02', 'jordade01', 'reedda01', 'whiteja03', 'cancavl01', 'smithis01', 'watsope01', 'nnajize01']","[0, 1]",0,700000000,58333333.33,1
202210210POR,POR,POR,PHO,"Moda Center, Portland, Oregon",conference,10/21/2022 22:00,10/22/2022 0:30,"['Tony Brothers', 'Lauren Holtkamp-Sterling', 'Scott Twardoski']",19393,0,25,22,28,27,[11],113,1,2,"['lillada01', 'simonan01', 'hartjo01', 'grantje01', 'nurkiju01', 'winslju01', 'eubandr01', 'littlna01', 'sharpsh01', 'browngr01', 'walkeja01', 'johnske07']","[1, 0]",0,700000000,58333333.33,1,28,25,26,23,[9],111,1,2,"['bookede01', 'aytonde01', 'bridgmi01', 'paulch01', 'johnsca02', 'leeda03', 'payneca01', 'landajo01', 'okogijo01', 'craigto01', 'biyombi01', 'washidu02', 'wainris01', 'saricda01']","[1, 0]",0,700000000,58333333.33,1
202210220PHI,SAS,PHI,SAS,"Wells Fargo Center, Philadelphia, Pennsylvania",none,10/22/2022 18:00,10/22/2022 20:00,"['Karl Lane', 'Tre Maddox', 'Evan Scott']",19822,0,25,26,26,28,[],105,-2,2,"['hardeja01', 'maxeyty01', 'embiijo01', 'harrito02', 'tuckepj01', 'houseda01', 'meltode01', 'niangge01', 'harremo01', 'thybuma01', 'sprinja01', 'miltosh01', 'reedpa01', 'korkmfu01']","[0, 2]",0,700000000,58333333.33,2,19,35,31,29,[],114,1,1,"['vassede01', 'johnske04', 'jonestr01', 'poeltja01', 'sochaje01', 'mcderdo01', 'primojo01', 'richajo01', 'robyis01', 'dienggo01', 'colliza01', 'bateske01', 'halljo02', 'branhma01', 'langfro01']","[1, 1]",0,700000000,58333333.33,2
