,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201502040MIN,MIN,MIN,MIA,8:00p,"Target Center, Minneapolis, Minnesota",27,26,23,26,[],102,-3,2.0,"['youngth01', 'martike02', 'wiggian01', 'rubiori01', 'pekovni01', 'dienggo01', 'willima01', 'bennean01', 'lavinza01', 'budinch01', 'robingl02', 'danietr01', 'brownlo01']","[8, 40]",0,24,27,32,18,[],101,-1,1.0,"['whiteha01', 'denglu01', 'boshch01', 'chalmma01', 'napiesh01', 'coleno01', 'grangda01', 'johnsty01', 'anderch01', 'ennisja01', 'willish03', 'hasleud01', 'hamilju01']","[21, 27]",1,none,833765467.0,825608141.0
201502040NOP,OKC,NOP,OKC,8:00p,"Smoothie King Center, New Orleans, Louisiana",29,28,19,15,[],91,2,2.0,"['davisan02', 'gordoer01', 'evansty01', 'cunnida01', 'asikom01', 'anderry01', 'pondequ01', 'fredeji01', 'ajincal01', 'witheje01', 'salmojo01', 'douglto01', 'babbilu01']","[26, 22]",2,31,20,26,25,[],102,1,2.0,"['ibakase01', 'westbru01', 'waitedi01', 'adamsst01', 'roberan03', 'morroan01', 'perkike01', 'jacksre01', 'collini01', 'smithis01', 'lambje01', 'jonespe01', 'jerregr01']","[24, 24]",0,conference,771452233.0,1012464658.0
201502040SAS,SAS,SAS,ORL,8:30p,"AT&T Center, San Antonio, Texas",24,27,27,32,[],110,-1,4.0,"['leonaka01', 'duncati01', 'parketo01', 'greenda02', 'diawbo01', 'ginobma01', 'millspa02', 'belinma01', 'josepco01', 'baynear01', 'willire02', 'bonnema01', 'pendeje02']","[30, 18]",0,25,19,30,29,[],103,-9,2.0,"['oladivi01', 'paytoel01', 'harrito02', 'vucevni01', 'fournev01', 'greenwi01', 'harklma01', 'gordobe01', 'fryech01', 'oquinky01', 'ridnolu01', 'nichoan01', 'dedmode01']","[15, 36]",0,none,1176445994.0,922501611.0
201502040TOR,BRK,TOR,BRK,7:30p,"Air Canada Centre, Toronto, Canada",28,23,21,21,[],93,-1,2.0,"['lowryky01', 'derozde01', 'valanjo01', 'johnsam01', 'vasqugr01', 'rosste01', 'pattepa01', 'willilo02', 'hansbty01', 'cabocbr01', 'fieldla01', 'stiemgr01', 'hayesch01']","[33, 16]",2,22,27,27,33,[],109,1,2.0,"['jackja01', 'anderal01', 'plumlma01', 'johnsjo02', 'garneke01', 'willide01', 'lopezbr01', 'bogdabo02', 'jeffeco01', 'jordaje01', 'morrida01', 'brownma02', 'karasse01']","[19, 28]",0,division,925444908.0,1096934470.0
201502040UTA,MEM,UTA,MEM,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",23,28,20,19,[],90,-1,1.0,"['haywago01', 'kanteen01', 'favorde01', 'exumda01', 'inglejo01', 'burketr01', 'goberru01', 'millsel01', 'johnsch04', 'booketr01', 'novakst01', 'evansje01', 'clarkia01']","[17, 31]",1,30,28,19,23,[],100,7,2.0,"['randoza01', 'gasolma01', 'conlemi01', 'leeco01', 'greenje02', 'allento01', 'calatni01', 'koufoko01', 'udrihbe01', 'leuerjo01', 'greenja01', 'cartevi01']","[36, 12]",0,conference,778529617.0,1159366158.0
201502050CHO,CHO,CHO,WAS,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",34,15,20,25,[],94,2,3.0,"['roberbr01', 'hendege02', 'jeffeal01', 'zelleco01', 'kiddgmi01', 'stephla01', 'willima02', 'maxieja01', 'nealga01', 'williel01', 'vonleno01', 'tayloje03', 'hairspj02']","[21, 27]",1,30,24,20,13,[],87,-4,1.0,"['walljo01', 'piercpa01', 'gortama01', 'hilarne01', 'bealbr01', 'butlera01', 'humphkr01', 'templga01', 'porteot01', 'blairde01', 'webstma02', 'serapke01', 'millean02']","[31, 19]",0,division,556138531.0,1266010412.0
201502050CLE,CLE,CLE,LAC,8:00p,"Quicken Loans Arena, Cleveland, Ohio",30,35,29,11,[],105,1,3.0,"['irvinky01', 'smithjr01', 'loveke01', 'mozgoti01', 'jamesle01', 'dellama01', 'thomptr01', 'shumpim01', 'millemi01', 'mariosh01', 'haywobr01', 'jonesja02']","[30, 20]",1,20,22,21,31,[],94,-1,3.0,"['crawfja01', 'paulch01', 'jordade01', 'griffbl01', 'barnema02', 'riverau01', 'jonesda02', 'davisgl01', 'hawessp01', 'wilcocj01', 'udohek01', 'turkohe01', 'redicjj01']","[33, 16]",0,none,1524597293.0,1304870170.0
201502050POR,POR,POR,PHO,10:30p,"Moda Center, Portland, Oregon",27,19,20,42,[],108,1,2.0,"['batumni01', 'aldrila01', 'lillada01', 'matthwe02', 'lopezro01', 'leoname01', 'blakest01', 'mccolcj01', 'bartowi01', 'clavevi01', 'crabbal01', 'robinth01', 'wrighdo01']","[33, 16]",0,15,20,30,22,[],87,-2,3.0,"['morrima02', 'bledser01', 'dragigo01', 'tuckepj01', 'lenal01', 'thomais02', 'plumlmi01', 'greenge01', 'wrighbr03', 'morrima03', 'goodwar01', 'dragizo01', 'bullore01']","[28, 22]",1,conference,1218197733.0,687024803.0
201502050SAC,DAL,SAC,DAL,10:00p,"Sleep Train Arena, Sacramento, California",23,20,17,18,[],78,-1,2.0,"['couside01', 'gayru01', 'mclembe01', 'thompja02', 'collida01', 'stausni01', 'willide02', 'sessira01', 'mccalra01', 'casspom01', 'landrca01', 'millequ01', 'holliry01']","[17, 30]",0,23,37,23,18,[],101,-1,1.0,"['bareajo01', 'ellismo01', 'chandty01', 'parsoch01', 'aminual01', 'jefferi01', 'villach01', 'harride01', 'smithgr02', 'feltora01', 'poweldw01', 'ledori01', 'nowitdi01']","[33, 18]",2,conference,537917609.0,1153692541.0
201502060ATL,ATL,ATL,GSW,7:30p,"Philips Arena, Atlanta, Georgia",21,31,37,35,[],124,1,2.0,"['millspa01', 'korveky01', 'carrode01', 'teaguje01', 'horfoal01', 'bazemke01', 'schrode01', 'scottmi01', 'anticpe01', 'muscami01', 'macksh01', 'jenkijo01', 'brandel01']","[41, 9]",0,25,27,33,31,[],116,3,2.0,"['thompkl01', 'curryst01', 'greendr01', 'barneha02', 'bogutan01', 'iguodan01', 'speigma01', 'leeda02', 'livinsh01', 'barbole01', 'mcadoja01', 'rushbr01', 'holidju01']","[39, 8]",0,none,1098404162.0,1307660596.0
201502060BOS,BOS,BOS,PHI,7:30p,"TD Garden, Boston, Massachusetts",29,31,15,32,[],107,2,2.0,"['smartma01', 'sullija01', 'bradlav01', 'turneev01', 'bassbr01', 'crowdja01', 'zellety01', 'thornma01', 'youngja01', 'pressph01', 'wallage01', 'princta01']","[18, 30]",2,15,27,27,27,[],96,1,3.0,"['mbahalu01', 'covinro01', 'noelne01', 'mcdankj01', 'sampsja02', 'thompho01', 'fraziti01', 'simshe01', 'grantje01', 'thomama01', 'cartemi01', 'aldemfu01']","[11, 39]",0,division,579848363.0,249955087.0
201502060BRK,BRK,BRK,NYK,7:00p,"Barclays Center, Brooklyn, New York",29,24,15,24,[],92,2,2.0,"['jackja01', 'johnsjo02', 'anderal01', 'garneke01', 'plumlma01', 'lopezbr01', 'bogdabo02', 'willide01', 'jeffeco01', 'morrida01', 'karasse01', 'jordaje01', 'brownma02']","[20, 28]",2,21,24,25,18,[],88,-1,3.0,"['anthoca01', 'gallola01', 'caldejo01', 'amundlo01', 'smithja02', 'thomala01', 'stoudam01', 'larkish01', 'hardati02', 'aldrico01', 'weartr01', 'prigipa01', 'acyqu01']","[10, 39]",0,division,1096934470.0,767248634.0
201502060DET,DET,DET,DEN,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",28,28,24,18,[],98,-1,2.0,"['monrogr01', 'augusdj01', 'drumman01', 'singlky01', 'caldwke01', 'meeksjo01', 'butleca01', 'tollian01', 'lucasjo02', 'jerebjo01', 'anthojo01', 'martica01', 'dinwisp01']","[19, 31]",0,21,21,20,26,[],88,-4,2.0,"['lawsoty01', 'nurkiju01', 'farieke01', 'afflaar01', 'chandwi01', 'gallida01', 'arthuda01', 'hicksjj01', 'foyera01', 'harriga01', 'greener01', 'geeal01', 'nelsoja01']","[19, 31]",1,none,642135186.0,734437579.0
201502060HOU,HOU,HOU,MIL,8:00p,"Toyota Center, Houston, Texas",36,32,28,21,[],117,1,2.0,"['hardeja01', 'arizatr01', 'beverpa01', 'motiedo01', 'dorsejo01', 'smithjo03', 'breweco01', 'joneste01', 'terryja01', 'shvedal01', 'papanko01', 'canaais01']","[34, 15]",1,23,33,26,29,[],111,5,2.0,"['knighbr03', 'antetgi01', 'middlkh01', 'dudleja01', 'hensojo01', 'mayooj01', 'bayleje01', 'gutiejo01', 'ilyaser01', 'obryajo01', 'pachuza01', 'martike01']","[27, 22]",0,none,780200117.0,842653196.0
201502060IND,IND,IND,CLE,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",27,20,20,36,[],103,1,2.0,"['hibbero01', 'hillso01', 'milescj01', 'westda01', 'hillge01', 'scolalu01', 'watsocj01', 'stuckro01', 'rudezda01', 'whittsh01', 'sloando01', 'mahinia01', 'copelch01']","[18, 32]",0,31,24,15,29,[],99,2,1.0,"['irvinky01', 'jamesle01', 'loveke01', 'mozgoti01', 'smithjr01', 'thomptr01', 'shumpim01', 'dellama01', 'mariosh01', 'millemi01', 'jonesja02', 'haywobr01']","[31, 20]",1,division,624224778.0,1524597293.0
201502060MIN,MIN,MIN,MEM,8:00p,"Target Center, Minneapolis, Minnesota",24,19,22,25,[],90,1,2.0,"['wiggian01', 'youngth01', 'martike02', 'rubiori01', 'pekovni01', 'willima01', 'dienggo01', 'bennean01', 'lavinza01', 'robingl02', 'danietr01', 'budinch01', 'brownlo01']","[9, 40]",0,23,20,26,20,[],89,8,2.0,"['conlemi01', 'gasolma01', 'greenje02', 'randoza01', 'leeco01', 'allento01', 'koufoko01', 'calatni01', 'udrihbe01', 'greenja01', 'leuerjo01', 'adamsjo01']","[37, 12]",1,conference,833765467.0,990993874.0
201502060OKC,NOP,OKC,NOP,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",33,23,25,32,[],113,2,2.0,"['duranke01', 'westbru01', 'ibakase01', 'adamsst01', 'roberan03', 'perkike01', 'waitedi01', 'morroan01', 'jacksre01', 'collini01', 'jonespe01', 'smithis01', 'lambje01']","[25, 24]",1,29,24,30,33,[],116,-1,2.0,"['davisan02', 'evansty01', 'cunnida01', 'gordoer01', 'asikom01', 'pondequ01', 'anderry01', 'fredeji01', 'ajincal01', 'witheje01', 'salmojo01', 'douglto01', 'babbilu01']","[26, 23]",2,conference,1318057935.0,771452233.0
201502060ORL,ORL,ORL,LAL,7:00p,"Amway Center, Orlando, Florida",26,12,31,22,[],103,0,2.0,"['harrito02', 'vucevni01', 'oladivi01', 'paytoel01', 'fryech01', 'gordoaa01', 'greenwi01', 'ridnolu01', 'fournev01', 'oquinky01', 'harklma01', 'gordobe01', 'dedmode01']","[15, 37]",0,23,29,26,13,[],97,-2,2.0,"['ellinwa01', 'kellyry01', 'sacrero01', 'clarkjo01', 'blackta01', 'johnswe01', 'linje01', 'davised01', 'boozeca01', 'youngni01', 'pricero01', 'hilljo01', 'bryanko01']","[13, 36]",1,none,989383335.0,849624601.0
201502060PHO,PHO,PHO,UTA,9:00p,"US Airways Center, Phoenix, Arizona",25,29,22,24,[],100,-3,1.0,"['tuckepj01', 'bledser01', 'morrima02', 'dragigo01', 'plumlmi01', 'morrima03', 'thomais02', 'wrighbr03', 'greenge01', 'lenal01', 'goodwar01', 'dragizo01', 'bullore01']","[28, 23]",0,24,18,29,22,[],93,-2,2.0,"['haywago01', 'favorde01', 'inglejo01', 'exumda01', 'kanteen01', 'goberru01', 'burketr01', 'johnsch04', 'booketr01', 'millsel01', 'novakst01', 'evansje01', 'clarkia01']","[17, 32]",1,conference,687024803.0,778529617.0
201502060SAS,SAS,SAS,MIA,9:30p,"AT&T Center, San Antonio, Texas",30,22,25,21,[],98,1,2.0,"['leonaka01', 'parketo01', 'duncati01', 'baynear01', 'greenda02', 'ginobma01', 'millspa02', 'splitti01', 'diawbo01', 'belinma01', 'bonnema01', 'josepco01', 'willire02']","[31, 18]",0,19,22,20,24,[],85,-2,2.0,"['boshch01', 'denglu01', 'napiesh01', 'chalmma01', 'anderch01', 'hamilju01', 'johnsty01', 'ennisja01', 'coleno01', 'hasleud01', 'whiteha01', 'grangda01']","[21, 28]",0,none,1216408424.0,811067799.0
201502060TOR,TOR,TOR,LAC,7:00p,"Air Canada Centre, Toronto, Canada",19,38,38,28,[],123,-2,2.0,"['lowryky01', 'derozde01', 'johnsam01', 'vasqugr01', 'valanjo01', 'willilo02', 'pattepa01', 'rosste01', 'johnsja01', 'fieldla01', 'hansbty01', 'stiemgr01', 'hayesch01']","[33, 17]",1,34,25,20,28,[],107,-2,1.0,"['paulch01', 'griffbl01', 'jordade01', 'riverau01', 'barnema02', 'crawfja01', 'hawessp01', 'jonesda02', 'davisgl01', 'wilcocj01', 'udohek01', 'turkohe01', 'redicjj01']","[33, 17]",0,none,995106462.0,1304870170.0
201502070DAL,DAL,DAL,POR,8:30p,"American Airlines Center, Dallas, Texas",24,26,20,26,[],111,1,2.0,"['ellismo01', 'parsoch01', 'chandty01', 'nowitdi01', 'bareajo01', 'aminual01', 'harride01', 'jefferi01', 'villach01', 'smithgr02', 'poweldw01', 'ledori01', 'feltora01']","[34, 18]",0,25,30,28,13,[],101,2,2.0,"['batumni01', 'lillada01', 'aldrila01', 'matthwe02', 'lopezro01', 'blakest01', 'kamanch01', 'mccolcj01', 'leoname01', 'wrighdo01', 'robinth01', 'crabbal01', 'bartowi01']","[34, 16]",1,conference,1153692541.0,1300725101.0
201502070MIL,MIL,MIL,BOS,8:30p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",23,30,27,16,[],96,-1,1.0,"['knighbr03', 'antetgi01', 'middlkh01', 'hensojo01', 'dudleja01', 'mayooj01', 'bayleje01', 'ilyaser01', 'gutiejo01', 'pachuza01', 'obryajo01', 'martike01']","[27, 23]",0,23,23,29,18,[],93,3,1.0,"['bradlav01', 'smartma01', 'turneev01', 'sullija01', 'bassbr01', 'crowdja01', 'thornma01', 'princta01', 'zellety01', 'youngja01', 'wallage01', 'pressph01']","[19, 30]",0,conference,842653196.0,579848363.0
201502070NOP,CHI,NOP,CHI,7:00p,"Smoothie King Center, New Orleans, Louisiana",20,19,17,16,[],72,1,1.0,"['evansty01', 'gordoer01', 'asikom01', 'cunnida01', 'davisan02', 'anderry01', 'ajincal01', 'pondequ01', 'fredeji01', 'douglto01', 'witheje01', 'babbilu01', 'salmojo01']","[27, 23]",0,18,30,33,26,[],107,-3,3.0,"['butleji01', 'rosede01', 'gasolpa01', 'noahjo01', 'hinriki01', 'snellto01', 'gibsota01', 'brookaa01', 'mirotni01', 'mooreet01', 'bairsca01', 'mcderdo01', 'mohamna01']","[30, 20]",1,none,771452233.0,1126733306.0
201502070NYK,GSW,NYK,GSW,7:30p,"Madison Square Garden (IV), New York, New York",19,29,26,18,[],92,-2,1.0,"['gallola01', 'thomala01', 'smithja02', 'caldejo01', 'amundlo01', 'hardati02', 'larkish01', 'acyqu01', 'stoudam01', 'aldrico01', 'earlycl01', 'weartr01', 'prigipa01']","[10, 40]",0,32,32,27,15,[],106,-1,1.0,"['thompkl01', 'greendr01', 'curryst01', 'barneha02', 'bogutan01', 'iguodan01', 'leeda02', 'livinsh01', 'speigma01', 'barbole01', 'rushbr01', 'holidju01', 'ezelife01']","[39, 9]",0,none,502250190.0,1319277492.0
201502070PHI,PHI,PHI,CHO,7:30p,"Wells Fargo Center, Philadelphia, Pennsylvania",23,19,28,19,[],89,-1,1.0,"['fraziti01', 'noelne01', 'mbahalu01', 'covinro01', 'sampsja02', 'thompho01', 'mcdankj01', 'grantje01', 'simshe01', 'thomama01', 'cartemi01', 'aldemfu01']","[11, 40]",0,24,24,13,20,[],81,3,2.0,"['hendege02', 'roberbr01', 'jeffeal01', 'zelleco01', 'kiddgmi01', 'willima02', 'stephla01', 'nealga01', 'maxieja01', 'tayloje03', 'williel01', 'vonleno01', 'hairspj02']","[22, 27]",1,conference,249955087.0,556138531.0
201502070UTA,UTA,UTA,SAC,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",25,24,26,27,[],102,-3,1.0,"['haywago01', 'millsel01', 'exumda01', 'kanteen01', 'favorde01', 'burketr01', 'goberru01', 'booketr01', 'novakst01', 'clarkia01', 'inglejo01', 'evansje01']","[17, 33]",0,15,24,22,29,[],90,-2,2.0,"['couside01', 'mclembe01', 'sessira01', 'gayru01', 'thompja02', 'casspom01', 'evansre01', 'mccalra01', 'stausni01', 'landrca01', 'millequ01', 'willide02', 'holliry01']","[17, 31]",1,conference,777187408.0,526768265.0
201502070WAS,WAS,WAS,BRK,7:00p,"Verizon Center, Washington, District of Columbia",28,30,31,25,[],114,-5,2.0,"['walljo01', 'piercpa01', 'porteot01', 'hilarne01', 'gortama01', 'serapke01', 'templga01', 'butlera01', 'millean02', 'humphkr01', 'webstma02', 'blairde01', 'goodedr01']","[31, 20]",1,19,19,23,16,[],77,3,1.0,"['lopezbr01', 'jackja01', 'johnsjo02', 'plumlma01', 'anderal01', 'willide01', 'jordaje01', 'bogdabo02', 'jeffeco01', 'morrida01', 'brownma02', 'karasse01', 'garneke01']","[21, 28]",1,conference,1156086673.0,1096934470.0
201502080CHO,IND,CHO,IND,6:00p,"Time Warner Cable Arena, Charlotte, North Carolina",32,24,27,19,[],102,-1,1.0,"['roberbr01', 'hendege02', 'jeffeal01', 'zelleco01', 'tayloje03', 'nealga01', 'willima02', 'stephla01', 'maxieja01', 'williel01', 'vonleno01', 'kiddgmi01', 'hairspj02']","[22, 28]",1,20,19,36,28,[],103,2,2.0,"['westda01', 'hibbero01', 'stuckro01', 'hillge01', 'milescj01', 'scolalu01', 'watsocj01', 'hillso01', 'rudezda01', 'whittsh01', 'sloando01', 'copelch01', 'allenla01']","[19, 32]",1,conference,556138531.0,555616749.0
201502080CLE,CLE,CLE,LAL,3:30p,"Quicken Loans Arena, Cleveland, Ohio",32,32,32,24,[],120,-1,2.0,"['loveke01', 'smithjr01', 'irvinky01', 'jamesle01', 'mozgoti01', 'shumpim01', 'thomptr01', 'dellama01', 'jonesja02', 'harrijo01', 'millemi01', 'mariosh01', 'haywobr01']","[31, 21]",1,28,21,30,26,[],105,-3,2.0,"['ellinwa01', 'clarkjo01', 'blackta01', 'sacrero01', 'kellyry01', 'johnswe01', 'davised01', 'youngni01', 'linje01', 'boozeca01', 'pricero01', 'hilljo01', 'bryanko01']","[13, 37]",0,none,1578260539.0,849624601.0
201502080DET,MIN,DET,MIN,6:00p,"The Palace of Auburn Hills, Auburn Hills, Michigan",24,27,22,28,[],101,1,2.0,"['augusdj01', 'singlky01', 'monrogr01', 'caldwke01', 'drumman01', 'tollian01', 'meeksjo01', 'butleca01', 'lucasjo02', 'anthojo01', 'martica01', 'jerebjo01', 'dinwisp01']","[20, 31]",0,32,29,20,31,[],112,2,2.0,"['martike02', 'youngth01', 'wiggian01', 'willima01', 'pekovni01', 'lavinza01', 'bennean01', 'dienggo01', 'brownlo01', 'rubiori01', 'robingl02', 'danietr01', 'budinch01']","[10, 40]",1,none,642135186.0,833765467.0
201502080HOU,POR,HOU,POR,7:00p,"Toyota Center, Houston, Texas",27,21,32,18,[],98,2,2.0,"['arizatr01', 'hardeja01', 'motiedo01', 'beverpa01', 'dorsejo01', 'smithjo03', 'breweco01', 'terryja01', 'joneste01', 'shvedal01', 'papanko01', 'canaais01']","[35, 15]",1,26,35,20,28,[],109,-1,1.0,"['lillada01', 'aldrila01', 'matthwe02', 'lopezro01', 'batumni01', 'blakest01', 'mccolcj01', 'leoname01', 'kamanch01', 'bartowi01', 'wrighdo01', 'robinth01', 'crabbal01']","[34, 17]",0,conference,780200117.0,1300725101.0
201502080MEM,MEM,MEM,ATL,6:00p,"FedEx Forum, Memphis, Tennessee",20,22,27,25,[],94,-1,2.0,"['gasolma01', 'randoza01', 'conlemi01', 'leeco01', 'greenje02', 'allento01', 'udrihbe01', 'koufoko01', 'calatni01', 'leuerjo01', 'greenja01', 'adamsjo01']","[37, 13]",0,16,27,23,22,[],88,2,2.0,"['korveky01', 'horfoal01', 'teaguje01', 'carrode01', 'millspa01', 'bazemke01', 'scottmi01', 'anticpe01', 'schrode01', 'paynead01', 'macksh01', 'jenkijo01', 'brandel01']","[42, 9]",1,none,990993874.0,1083468009.0
201502080OKC,OKC,OKC,LAC,1:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",28,38,35,30,[],131,-1,2.0,"['westbru01', 'ibakase01', 'duranke01', 'roberan03', 'adamsst01', 'waitedi01', 'jacksre01', 'mcgarmi01', 'collini01', 'jonespe01', 'lambje01', 'smithis01', 'perkike01']","[25, 25]",0,26,30,19,33,[],108,-3,2.0,"['paulch01', 'hawessp01', 'jordade01', 'barnema02', 'riverau01', 'crawfja01', 'turkohe01', 'wilcocj01', 'udohek01', 'jonesda02', 'davisgl01', 'redicjj01', 'griffbl01']","[33, 18]",1,conference,1298209097.0,1304870170.0
201502080ORL,CHI,ORL,CHI,6:00p,"Amway Center, Orlando, Florida",16,29,29,23,[],97,1,2.0,"['harrito02', 'oladivi01', 'vucevni01', 'paytoel01', 'fryech01', 'oquinky01', 'fournev01', 'greenwi01', 'dedmode01', 'gordoaa01', 'harklma01', 'nichoan01', 'gordobe01']","[16, 37]",1,32,18,24,24,[],98,1,1.0,"['butleji01', 'gasolpa01', 'noahjo01', 'snellto01', 'rosede01', 'gibsota01', 'mooreet01', 'brookaa01', 'mirotni01', 'mohamna01', 'mcderdo01', 'bairsca01']","[31, 20]",1,conference,971251593.0,1055041038.0
201502080SAC,SAC,SAC,PHO,9:00p,"Sleep Train Arena, Sacramento, California",26,22,25,12,[],85,-3,1.0,"['mclembe01', 'couside01', 'sessira01', 'thompja02', 'casspom01', 'willide02', 'mccalra01', 'landrca01', 'evansre01', 'stausni01', 'millequ01', 'holliry01']","[17, 32]",1,18,24,17,24,[],83,1,2.0,"['thomais02', 'morrima02', 'dragigo01', 'tuckepj01', 'plumlmi01', 'greenge01', 'morrima03', 'wrighbr03', 'warretj01', 'lenal01', 'ennisty01', 'dragizo01', 'bledser01']","[29, 23]",1,division,355332096.0,715747292.0
201502080TOR,TOR,TOR,SAS,7:00p,"Air Canada Centre, Toronto, Canada",28,17,19,23,[],87,1,2.0,"['lowryky01', 'derozde01', 'valanjo01', 'johnsja01', 'johnsam01', 'pattepa01', 'vasqugr01', 'willilo02', 'rosste01', 'hansbty01', 'stiemgr01', 'hayesch01', 'fieldla01']","[34, 17]",0,25,21,12,24,[],82,2,2.0,"['leonaka01', 'duncati01', 'parketo01', 'greenda02', 'baynear01', 'ginobma01', 'diawbo01', 'splitti01', 'belinma01', 'josepco01', 'millspa02', 'bonnema01', 'pendeje02']","[32, 18]",0,none,995106462.0,1216511612.0
201502090DAL,LAC,DAL,LAC,8:30p,"American Airlines Center, Dallas, Texas",31,22,27,18,[],98,2,2.0,"['bareajo01', 'parsoch01', 'nowitdi01', 'ellismo01', 'chandty01', 'harride01', 'jefferi01', 'villach01', 'aminual01', 'feltora01', 'poweldw01', 'smithgr02', 'ledori01']","[35, 18]",0,32,34,28,21,[],115,-4,1.0,"['paulch01', 'jordade01', 'barnema02', 'redicjj01', 'hawessp01', 'crawfja01', 'riverau01', 'turkohe01', 'davisgl01', 'jonesda02', 'wilcocj01', 'udohek01', 'griffbl01']","[33, 19]",1,conference,1153692541.0,1304870170.0
201502090DEN,OKC,DEN,OKC,9:00p,"Pepsi Center, Denver, Colorado",18,41,33,22,[],114,-5,3.0,"['lawsoty01', 'chandwi01', 'nurkiju01', 'farieke01', 'afflaar01', 'foyera01', 'arthuda01', 'gallida01', 'hicksjj01', 'greener01', 'harriga01', 'mcgeeja01', 'geeal01']","[19, 32]",1,38,35,33,18,[],124,1,1.0,"['duranke01', 'westbru01', 'roberan03', 'ibakase01', 'perkike01', 'collini01', 'mcgarmi01', 'jacksre01', 'waitedi01', 'morroan01', 'smithis01', 'lambje01', 'jonespe01']","[26, 25]",1,division,735023373.0,1193613881.0
201502090IND,SAS,IND,SAS,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",28,17,34,14,[],93,3,1.0,"['stuckro01', 'westda01', 'hibbero01', 'milescj01', 'hillge01', 'scolalu01', 'watsocj01', 'hillso01', 'rudezda01', 'whittsh01', 'sloando01', 'copelch01', 'allenla01']","[20, 32]",0,30,17,18,30,[],95,-1,1.0,"['greenda02', 'leonaka01', 'parketo01', 'duncati01', 'bonnema01', 'diawbo01', 'belinma01', 'millspa02', 'splitti01', 'baynear01', 'josepco01', 'willire02', 'pendeje02']","[32, 19]",1,none,555616749.0,1093722379.0
201502090MIA,MIA,MIA,NYK,7:30p,"AmericanAirlines Arena, Miami, Florida",23,29,25,32,[],109,-3,3.0,"['boshch01', 'chalmma01', 'denglu01', 'napiesh01', 'whiteha01', 'coleno01', 'anderch01', 'grangda01', 'johnsty01', 'hasleud01', 'hamilju01', 'ennisja01']","[21, 29]",1,32,24,18,21,[],95,-3,2.0,"['anthoca01', 'smithja02', 'caldejo01', 'gallola01', 'amundlo01', 'larkish01', 'stoudam01', 'hardati02', 'thomala01', 'bargnan01', 'aldrico01', 'acyqu01', 'prigipa01']","[10, 41]",0,conference,811067799.0,839964070.0
201502090MIL,MIL,MIL,BRK,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",24,23,32,24,[],103,1,2.0,"['dudleja01', 'antetgi01', 'middlkh01', 'knighbr03', 'hensojo01', 'bayleje01', 'mayooj01', 'pachuza01', 'ilyaser01', 'gutiejo01', 'obryajo01', 'martike01']","[28, 23]",1,30,22,16,29,[],97,-1,2.0,"['johnsjo02', 'anderal01', 'jackja01', 'plumlma01', 'garneke01', 'bogdabo02', 'willide01', 'lopezbr01', 'jeffeco01', 'morrida01', 'karasse01', 'jordaje01', 'brownma02']","[21, 29]",0,conference,842653196.0,1096934470.0
201502090MIN,ATL,MIN,ATL,8:00p,"Target Center, Minneapolis, Minnesota",30,23,19,33,[],105,3,1.0,"['wiggian01', 'youngth01', 'martike02', 'rubiori01', 'pekovni01', 'dienggo01', 'muhamsh01', 'willima01', 'bennean01', 'lavinza01', 'danietr01', 'brownlo01', 'budinch01']","[11, 40]",0,32,25,29,31,[],117,-1,1.0,"['carrode01', 'teaguje01', 'korveky01', 'millspa01', 'horfoal01', 'bazemke01', 'scottmi01', 'schrode01', 'brandel01', 'jenkijo01', 'paynead01', 'macksh01', 'anticpe01']","[42, 10]",1,none,833474647.0,1083468009.0
201502090NOP,UTA,NOP,UTA,8:00p,"Smoothie King Center, New Orleans, Louisiana",25,27,15,29,[],96,-1,2.0,"['gordoer01', 'evansty01', 'asikom01', 'ajincal01', 'cunnida01', 'babbilu01', 'douglto01', 'pondequ01', 'witheje01', 'fredeji01', 'salmojo01', 'davisan02', 'anderry01']","[27, 24]",2,27,15,29,29,[],100,1,2.0,"['haywago01', 'millsel01', 'favorde01', 'exumda01', 'kanteen01', 'goberru01', 'burketr01', 'novakst01', 'booketr01', 'clarkia01', 'inglejo01', 'evansje01']","[18, 33]",0,conference,771452233.0,777187408.0
