,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410310CHI,CLE,CHI,CLE,8:00p,"United Center, Chicago, Illinois",27,25,17,29,[],108,1,2.0,"['dunlemi02', 'noahjo01', 'gasolpa01', 'hinriki01', 'rosede01', 'gibsota01', 'snellto01', 'brookaa01', 'mcderdo01', 'mirotni01', 'bairsca01', 'mohamna01', 'mooreet01']","[1, 0]",0,28,30,20,20,[],114,-1,1.0,"['jamesle01', 'loveke01', 'irvinky01', 'varejan01', 'waitedi01', 'thomptr01', 'dellama01', 'mariosh01', 'millemi01', 'harrijo01', 'kirkal01', 'haywobr01', 'jonesja02']","[0, 1]",0,division,1030310016.0,1506856369.0
201410310IND,MEM,IND,MEM,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",19,34,14,22,[],89,1,2.0,"['sloando01', 'milescj01', 'hibbero01', 'scolalu01', 'hillso01', 'copelch01', 'allenla01', 'mahinia01', 'rudezda01', 'stuckro01', 'whittsh01', 'watsocj01', 'westda01']","[1, 0]",0,23,22,33,19,[],97,1,2.0,"['conlemi01', 'gasolma01', 'randoza01', 'allento01', 'leeco01', 'pondequ01', 'koufoko01', 'princta01', 'udrihbe01', 'leuerjo01', 'cartevi01', 'adamsjo01', 'stokeja01']","[1, 0]",0,none,530075145.0,1149465178.0
201410310LAL,LAC,LAL,LAC,10:30p,"STAPLES Center, Los Angeles, California",22,34,34,21,[],111,-2,2.0,"['bryanko01', 'linje01', 'hilljo01', 'johnswe01', 'boozeca01', 'davised01', 'ellinwa01', 'sacrero01', 'pricero01', 'clarkjo01', 'henryxa01', 'randlju01', 'kellyry01']","[0, 2]",0,31,31,24,32,[],118,1,1.0,"['griffbl01', 'jordade01', 'paulch01', 'redicjj01', 'barnema02', 'crawfja01', 'hawessp01', 'douglch01', 'farmajo01', 'turkohe01', 'udohek01', 'cunnija01', 'bullore01']","[1, 0]",0,division,886272329.0,1248258713.0
201410310MIL,MIL,MIL,PHI,8:30p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",24,22,27,20,[],93,-1,2.0,"['parkeja01', 'knighbr03', 'middlkh01', 'sandela01', 'dudleja01', 'mayooj01', 'antetgi01', 'hensojo01', 'bayleje01', 'woltena01', 'marshke01', 'ilyaser01', 'pachuza01']","[0, 1]",0,24,23,27,7,[],81,-1,2.0,"['noelne01', 'thompho01', 'wroteto01', 'johnsch04', 'simshe01', 'mbahalu01', 'shvedal01', 'thomama01', 'mcdankj01', 'daviebr01', 'sampsja02', 'cartemi01']","[0, 1]",0,conference,824086066.0,122676513.0
201410310PHO,PHO,PHO,SAS,10:00p,"US Airways Center, Phoenix, Arizona",11,25,31,27,[],94,1,2.0,"['bledser01', 'dragigo01', 'morrima02', 'morrima03', 'plumlmi01', 'lenal01', 'thomais02', 'greenge01', 'tollian01', 'tuckepj01', 'randosh01', 'dragizo01', 'goodwar01']","[1, 0]",0,24,21,26,18,[],89,1,3.0,"['parketo01', 'duncati01', 'leonaka01', 'greenda02', 'dayeau01', 'diawbo01', 'ginobma01', 'belinma01', 'josepco01', 'baynear01', 'pendeje02', 'bonnema01', 'anderky01']","[1, 0]",0,conference,660745538.0,1153684034.0
201410310SAC,SAC,SAC,POR,10:00p,"Sleep Train Arena, Sacramento, California",26,22,23,32,[],103,-1,2.0,"['collida01', 'gayru01', 'mclembe01', 'couside01', 'thompja02', 'evansre01', 'stausni01', 'landrca01', 'casspom01', 'sessira01', 'holliry01', 'willide02', 'mccalra01']","[0, 1]",0,24,24,23,23,[],94,1,2.0,"['aldrila01', 'matthwe02', 'lillada01', 'batumni01', 'lopezro01', 'blakest01', 'kamanch01', 'mccolcj01', 'wrighdo01', 'freeljo01', 'robinth01', 'crabbal01', 'bartowi01']","[1, 0]",0,conference,568585399.0,1249507621.0
201411010ATL,ATL,ATL,IND,7:30p,"Philips Arena, Atlanta, Georgia",27,24,19,32,[],102,-1,3.0,"['millspa01', 'carrode01', 'teaguje01', 'korveky01', 'horfoal01', 'anticpe01', 'bazemke01', 'macksh01', 'sefolth01', 'scottmi01', 'schrode01', 'muscami01', 'brandel01']","[0, 1]",0,18,26,19,29,[],92,-1,1.0,"['sloando01', 'hibbero01', 'hillso01', 'scolalu01', 'milescj01', 'copelch01', 'allenla01', 'mahinia01', 'rudezda01', 'stuckro01', 'westda01', 'whittsh01', 'watsocj01']","[1, 1]",0,conference,1139781922.0,530075145.0
201411010CHO,MEM,CHO,MEM,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",15,15,16,23,[],69,1,3.0,"['jeffeal01', 'walkeke02', 'kiddgmi01', 'stephla01', 'willima02', 'nealga01', 'zelleco01', 'hendege02', 'roberbr01', 'maxieja01', 'hairspj02', 'pargoja01', 'biyombi01']","[1, 0]",0,23,13,15,20,[],71,2,1.0,"['gasolma01', 'allento01', 'conlemi01', 'randoza01', 'princta01', 'udrihbe01', 'cartevi01', 'koufoko01', 'pondequ01', 'leuerjo01', 'stokeja01', 'adamsjo01']","[2, 0]",0,none,795158986.0,1074037025.0
201411010DET,BRK,DET,BRK,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",25,22,28,15,[],90,-2,2.0,"['smithjo03', 'caldwke01', 'jennibr01', 'singlky01', 'drumman01', 'monrogr01', 'augusdj01', 'butleca01', 'mitchto02', 'datomlu01', 'jerebjo01', 'dinwisp01', 'anthojo01']","[0, 2]",0,33,26,22,21,[],102,-1,3.0,"['willide01', 'johnsjo02', 'garneke01', 'bogdabo02', 'plumlma01', 'teletmi01', 'jackja01', 'jordaje01', 'anderal01', 'kirilan01', 'karasse01', 'jeffeco01', 'gutiejo01']","[0, 1]",0,conference,730200602.0,1084502018.0
201411010GSW,GSW,GSW,LAL,10:30p,"Oracle Arena, Oakland, California",29,32,32,34,[],127,1,3.0,"['thompkl01', 'curryst01', 'greendr01', 'bogutan01', 'barneha02', 'iguodan01', 'barbole01', 'ezelife01', 'livinsh01', 'speigma01', 'holidju01', 'rushbr01', 'kuzmiog01']","[1, 0]",0,35,20,31,18,[],104,-3,1.0,"['bryanko01', 'johnswe01', 'hilljo01', 'linje01', 'boozeca01', 'pricero01', 'davised01', 'ellinwa01', 'henryxa01', 'sacrero01', 'clarkjo01', 'randlju01', 'kellyry01']","[0, 3]",0,division,1225336378.0,886272329.0
201411010HOU,HOU,HOU,BOS,8:00p,"Toyota Center, Houston, Texas",37,20,24,23,[],104,2,3.0,"['canaais01', 'howardw01', 'hardeja01', 'joneste01', 'arizatr01', 'papanko01', 'terryja01', 'motiedo01', 'blackta01', 'danietr01', 'dorsejo01', 'johnsni01', 'garcifr01']","[2, 0]",0,22,16,24,28,[],90,1,3.0,"['rondora01', 'greenje02', 'bradlav01', 'sullija01', 'olynyke01', 'turneev01', 'bassbr01', 'zellety01', 'thornma01', 'smartma01', 'youngja01', 'pressph01', 'wallage01']","[1, 0]",0,none,836521689.0,709626038.0
201411010MIN,CHI,MIN,CHI,8:00p,"Target Center, Minneapolis, Minnesota",25,24,32,24,[],105,1,2.0,"['martike02', 'pekovni01', 'rubiori01', 'wiggian01', 'youngth01', 'bennean01', 'willima01', 'breweco01', 'dienggo01', 'hummero01', 'muhamsh01', 'budinch01', 'lavinza01']","[1, 1]",0,27,36,22,21,[],106,-1,1.0,"['butleji01', 'gasolpa01', 'dunlemi02', 'noahjo01', 'hinriki01', 'mirotni01', 'brookaa01', 'mcderdo01', 'snellto01', 'mooreet01', 'mohamna01', 'rosede01', 'bairsca01']","[1, 1]",0,none,872156191.0,1127584543.0
201411010NOP,DAL,NOP,DAL,7:00p,"Smoothie King Center, New Orleans, Louisiana",26,26,37,15,[],104,1,4.0,"['davisan02', 'evansty01', 'holidjr01', 'gordoer01', 'asikom01', 'anderry01', 'riverau01', 'salmojo01', 'fredeji01', 'ajincal01', 'babbilu01', 'milleda01', 'witheje01']","[1, 0]",0,32,34,20,23,[],109,1,2.0,"['parsoch01', 'ellismo01', 'nelsoja01', 'nowitdi01', 'chandty01', 'harride01', 'wrighbr03', 'aminual01', 'bareajo01', 'jefferi01', 'villach01', 'crowdja01', 'smithgr02']","[1, 1]",0,division,978047165.0,1200637488.0
201411010OKC,OKC,OKC,DEN,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",29,26,21,26,[],102,-2,2.0,"['jonespe01', 'telfase01', 'roberan03', 'ibakase01', 'adamsst01', 'thomala01', 'collini01', 'perkike01', 'westbru01', 'morroan01', 'lambje01', 'jacksre01']","[0, 2]",0,17,16,23,35,[],91,1,3.0,"['afflaar01', 'lawsoty01', 'farieke01', 'gallida01', 'mozgoti01', 'foyera01', 'mcgeeja01', 'chandwi01', 'geeal01', 'robinna01', 'arthuda01', 'nurkiju01', 'hicksjj01']","[1, 0]",0,division,945998393.0,760209873.0
201411010ORL,TOR,ORL,TOR,7:00p,"Amway Center, Orlando, Florida",26,26,26,17,[],95,-2,2.0,"['harrito02', 'vucevni01', 'fryech01', 'paytoel01', 'fournev01', 'gordobe01', 'harklma01', 'ridnolu01', 'dedmode01', 'gordoaa01', 'marblde01', 'nichoan01', 'greenwi01']","[0, 2]",0,29,20,38,21,[],108,1,3.0,"['lowryky01', 'derozde01', 'rosste01', 'valanjo01', 'johnsam01', 'pattepa01', 'johnsja01', 'hansbty01', 'vasqugr01', 'willilo02', 'fieldla01', 'stiemgr01', 'hayesch01']","[1, 0]",0,conference,889665847.0,995106462.0
201411010PHI,MIA,PHI,MIA,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",30,24,29,13,[],96,-2,1.0,"['wroteto01', 'thompho01', 'simshe01', 'noelne01', 'mbahalu01', 'daviebr01', 'johnsch04', 'mcdankj01', 'thomama01', 'shvedal01', 'sampsja02', 'cartemi01']","[0, 2]",0,32,28,27,27,[],114,1,3.0,"['boshch01', 'wadedw01', 'denglu01', 'willish03', 'coleno01', 'chalmma01', 'napiesh01', 'anderch01', 'mcrobjo01', 'ennisja01', 'hamilju01', 'dawkian01', 'brownsh01']","[1, 0]",0,conference,122676513.0,779250777.0
201411010UTA,UTA,UTA,PHO,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",33,26,30,29,[],118,-2,2.0,"['haywago01', 'burksal01', 'burketr01', 'favorde01', 'kanteen01', 'booketr01', 'exumda01', 'goberru01', 'hoodro01', 'inglejo01', 'novakst01', 'clarkia01', 'evansje01']","[0, 2]",0,22,33,20,16,[],91,2,1.0,"['dragigo01', 'morrima02', 'bledser01', 'plumlmi01', 'morrima03', 'greenge01', 'thomais02', 'lenal01', 'tollian01', 'goodwar01', 'ennisty01', 'randosh01', 'tuckepj01']","[2, 0]",0,conference,873504036.0,663244303.0
201411010WAS,WAS,WAS,MIL,7:00p,"Verizon Center, Washington, District of Columbia",29,20,34,25,[],108,1,2.0,"['gortama01', 'walljo01', 'templga01', 'hilarne01', 'piercpa01', 'porteot01', 'goodedr01', 'millean02', 'humphkr01', 'ricegl02', 'blairde01', 'serapke01', 'butlera01']","[1, 1]",0,17,27,24,29,[],97,1,1.0,"['knighbr03', 'parkeja01', 'middlkh01', 'sandela01', 'dudleja01', 'bayleje01', 'mayooj01', 'ilyaser01', 'hensojo01', 'pachuza01', 'antetgi01', 'marshke01', 'woltena01']","[1, 1]",0,conference,1109623444.0,824086066.0
201411020LAC,SAC,LAC,SAC,3:30p,"STAPLES Center, Los Angeles, California",19,32,23,18,[],92,2,2.0,"['griffbl01', 'paulch01', 'redicjj01', 'barnema02', 'jordade01', 'hawessp01', 'farmajo01', 'douglch01', 'cunnija01', 'turkohe01', 'udohek01', 'crawfja01', 'bullore01']","[2, 0]",0,25,20,25,28,[],98,1,2.0,"['collida01', 'gayru01', 'thompja02', 'couside01', 'mclembe01', 'stausni01', 'casspom01', 'landrca01', 'sessira01', 'evansre01', 'willide02', 'mccalra01', 'holliry01']","[1, 1]",0,division,1248258713.0,568585399.0
201411020MIA,MIA,MIA,TOR,6:00p,"AmericanAirlines Arena, Miami, Florida",31,33,23,20,[],107,2,1.0,"['boshch01', 'denglu01', 'wadedw01', 'coleno01', 'willish03', 'chalmma01', 'hamilju01', 'napiesh01', 'ennisja01', 'mcrobjo01', 'brownsh01', 'grangda01', 'dawkian01']","[2, 0]",0,26,28,23,25,[],102,2,1.0,"['derozde01', 'lowryky01', 'valanjo01', 'rosste01', 'pattepa01', 'vasqugr01', 'hansbty01', 'willilo02', 'johnsja01', 'hayesch01', 'fieldla01', 'noguelu01', 'stiemgr01']","[2, 0]",0,conference,811574466.0,924122910.0
201411020NYK,NYK,NYK,CHO,7:30p,"Madison Square Garden (IV), New York, New York",29,23,27,17,[],96,1,3.0,"['anthoca01', 'larkish01', 'shumpim01', 'dalemsa01', 'acyqu01', 'smithjr01', 'prigipa01', 'stoudam01', 'smithja02', 'hardati02', 'aldrico01', 'earlycl01', 'weartr01']","[1, 1]",0,21,29,30,13,[],93,-1,1.0,"['stephla01', 'jeffeal01', 'walkeke02', 'willima02', 'kiddgmi01', 'nealga01', 'zelleco01', 'roberbr01', 'hendege02', 'maxieja01', 'biyombi01', 'hairspj02', 'pargoja01']","[1, 1]",0,conference,849122972.0,795158986.0
201411020POR,GSW,POR,GSW,9:00p,"Moda Center, Portland, Oregon",22,26,20,22,[],90,-1,2.0,"['lillada01', 'aldrila01', 'matthwe02', 'batumni01', 'lopezro01', 'blakest01', 'kamanch01', 'bartowi01', 'robinth01', 'mccolcj01', 'wrighdo01', 'leoname01', 'crabbal01']","[1, 1]",0,30,21,17,27,[],95,2,1.0,"['thompkl01', 'bogutan01', 'curryst01', 'greendr01', 'barneha02', 'iguodan01', 'livinsh01', 'barbole01', 'ezelife01', 'speigma01', 'rushbr01', 'kuzmiog01', 'holidju01']","[2, 0]",0,conference,1300725101.0,1225336378.0
