gameid,ref,att
202101060NOP,"['James Capers Jr.', 'Jenna Schroeder', 'Dedric Taylor']",750
202101060NYK,"['Eric Dalen', 'Brandon Schwab', 'Josh Tiven']",0
202101060ORL,"['Sean Corbin', 'Mitchell Ervin', 'Haywoode Workman']",2948
202101060PHI,"['Marat Kogut', 'Ed Malloy', 'Suyash Mehta']",0
202101060PHO,"['David Guthrie', 'Robert Hussey', 'Karl Lane']",0
202101060SAC,"['Mark Ayotte', 'Mousa Dagher', 'Justin Van Duyne']",0
202101070BRK,"['Scott Foster', 'Aaron Smith', 'Leon Wood']",0
202101070DEN,"['John Goble', 'Tre Maddox', 'Ashley Moyer-Gleich']",0
202101070LAL,"['Danielle Scott', 'Michael Smith', 'Zach Zarba']",0
202101070MEM,"['Tony Brothers', 'John Butler', 'Mitchell Ervin']",0
202101070POR,"['Derrick Collins', 'Brett Nansel', 'James Williams']",0
202101080BOS,"['Eric Dalen', 'Scott Foster', 'Matt Myers']",0
202101080DET,"['John Conley', 'Marc Davis', 'Gediminas Petraitis']",0
202101080GSW,"['Nick Buchert', 'David Guthrie', 'Justin Van Duyne']",0
202101080HOU,"['Robert Hussey', 'Scott Twardoski', 'Sean Wright']",3039
202101080LAL,"['Karl Lane', 'Danielle Scott', 'Zach Zarba']",0
202101080MEM,"['Mousa Dagher', 'Jacyn Goble', 'Rodney Mott']",0
202101080MIL,"['Courtney Kirkland', 'Dedric Taylor', 'Haywoode Workman']",0
202101080NOP,"['Brandon Adair', 'Sean Corbin', 'Eric Lewis']",750
202101080NYK,"['Tony Brown', 'J.B. DeRosa', 'Andy Nagy']",0
202101080SAC,"['Mark Ayotte', 'Derrick Collins', 'Leroy Richardson']",0
202101090CHO,"['Jacyn Goble', 'Tre Maddox', 'Suyash Mehta']",0
202101090DAL,"['Brandon Adair', 'Brian Forte', 'Scott Twardoski']",0
202101090IND,"['Marc Davis', 'Andy Nagy', 'Scott Wall']",0
202101090MIL,"['Bill Kennedy', 'Derek Richardson', 'Dedric Taylor']",0
202101090MIN,"['Matt Boland', 'Eric Lewis', 'Ashley Moyer-Gleich']",0
202101090PHI,"['James Capers Jr.', 'Brandon Schwab', 'Aaron Smith']",0
202101090SAC,"['David Guthrie', 'Brett Nansel', 'Michael Smith']",0
202101090WAS,"['John Butler', 'J.B. DeRosa', 'Ken Mauer']",0
202101100BRK,"['Sean Corbin', 'Robert Hussey', 'Jonathan Sterling']",0
202101100DET,"['Curtis Blair', 'Gediminas Petraitis', 'Haywoode Workman']",0
202101100GSW,"['Mark Ayotte', 'Justin Van Duyne', 'James Williams']",0
202101100HOU,"['John Conley', 'Brian Forte', 'Rodney Mott']",3327
202101100LAC,"['Karl Lane', 'Leroy Richardson', 'Zach Zarba']",0
202101100MIN,"['Matt Boland', 'Courtney Kirkland', 'Ashley Moyer-Gleich']",0
202101100NYK,"['Tony Brown', 'Mousa Dagher', 'Natalie Sago']",0
202101110ATL,"['John Conley', 'Eric Dalen', 'Bill Kennedy']",0
202101110CHO,"['Jason Goldenberg', 'Tre Maddox', 'Natalie Sago']",0
202101110CLE,"['Curtis Blair', 'Gediminas Petraitis', 'Derek Richardson']",1944
202101110ORL,"['James Capers Jr.', 'Phenizee Ransom', 'Scott Wall']",3248
202101110POR,"['Nick Buchert', 'Simone Jelks', 'Eric Lewis']",0
202101110SAC,"['David Guthrie', 'Michael Smith', 'Justin Van Duyne']",0
202101110WAS,"['John Butler', 'Ken Mauer', 'Dedric Taylor']",0
202101120BRK,"['Sean Corbin', 'Scott Foster', 'Jonathan Sterling']",0
202101120CLE,"['Marat Kogut', 'Matt Myers', 'Zach Zarba']",1944
202101120GSW,"['Brian Forte', 'Jenna Schroeder', 'James Williams']",0
202101120HOU,"['Rodney Mott', 'Danielle Scott', 'Ben Taylor']",3221
202101120OKC,"['Lauren Holtkamp-Sterling', 'Ed Malloy', 'Andy Nagy']",0
202101120PHI,"['Marc Davis', 'J.B. DeRosa', 'Haywoode Workman']",0
202101130CHO,"['Phenizee Ransom', 'Kevin Scott', 'Dedric Taylor']",0
202101130DET,"['Marat Kogut', 'Derek Richardson', 'Zach Zarba']",0
202101130LAC,"['Eric Lewis', 'Leroy Richardson', 'James Williams']",0
202101130MIN,"['Eric Dalen', 'Tre Maddox', 'Scott Wall']",0
202101130NYK,"['Tony Brothers', 'Nate Green', 'Bill Kennedy']",0
202101130OKC,"['Curtis Blair', 'Nick Buchert', 'Brett Nansel']",0
202101130SAC,"['Simone Jelks', 'Josh Tiven', 'Leon Wood']",0
202101140DEN,"['Ed Malloy', 'Ben Taylor', 'Justin Van Duyne']",0
202101140PHI,"['Sean Corbin', 'Scott Foster', 'Ashley Moyer-Gleich']",0
202101140POR,"['Brian Forte', 'Jenna Schroeder', 'Scott Twardoski']",0
202101140SAS,"['Nick Buchert', 'Marc Davis', 'Evan Scott']",0
202101140TOR,"['Derrick Collins', 'John Goble', 'Danielle Scott']",0
202101150BOS,"['Brent Barnaky', 'Natalie Sago', 'Kevin Scott']",0
202101150CLE,"['Eric Dalen', 'Ken Mauer', 'Phenizee Ransom']",1944
202101150LAL,"['Tyler Ford', 'Jacyn Goble', 'David Guthrie']",0
202101150MIL,"['Brandon Adair', 'Tony Brothers', 'Tom Washington']",0
202101150OKC,"['Marat Kogut', 'Rodney Mott', 'Brett Nansel']",0
202101150SAC,"['Simone Jelks', 'Josh Tiven', 'Leon Wood']",0
202101150UTA,"['Ed Malloy', 'Justin Van Duyne', 'James Williams']",1932
202101160BRK,"['Bill Kennedy', 'Phenizee Ransom', 'Derek Richardson']",0
202101160MEM,"['Courtney Kirkland', 'Andy Nagy', 'Aaron Smith']",206
202101160MIA,"['Tony Brown', 'Sean Corbin', 'Danielle Scott']",0
202101160POR,"['Brian Forte', 'Evan Scott', 'Scott Twardoski']",0
202101160SAS,"['Marc Davis', 'Karl Lane', 'Dannica Mosher']",0
202101160TOR,"['Derrick Collins', 'John Goble', 'Suyash Mehta']",0
202101170BOS,"['Brent Barnaky', 'Nate Green', 'Sean Wright']",0
202101170DAL,"['Matt Boland', 'Ed Malloy', 'Brett Nansel']",0
202101170DEN,"['Tony Brothers', 'Simone Jelks', 'Leon Wood']",0
202101170LAC,"['Tyler Ford', 'Jacyn Goble', 'Josh Tiven']",0
202101170SAC,"['Mitchell Ervin', 'Brian Forte', 'Jenna Schroeder']",0
202101180ATL,"['Karl Lane', 'Ed Malloy', 'Suyash Mehta']",0
202101180BRK,"['Derrick Collins', 'Marc Davis', 'J.B. DeRosa']",0
202101180CHI,"['Brandon Adair', 'Bill Kennedy', 'Scott Wall']",0
