,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away,gameState,gameState
teamData,winner,teamHome,teamAway,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed,datetime,endtime
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201810190MEM,MEM,MEM,ATL,"FedEx Forum, Memphis, Tennessee",37,40,29,25,[],131,-1,2.0,"['templga01', 'gasolma01', 'conlemi01', 'parsoch01', 'greenja01', 'jacksja02', 'macksh01', 'casspom01', 'anderky01', 'brookdi01', 'seldewa01', 'brookma01', 'harrian01']","[0, 1]",0,33,28,21,35,[],117,-1,2.0,"['youngtr01', 'lenal01', 'princta02', 'bazemke01', 'cartevi01', 'bembrde01', 'poythal01', 'plumlmi01', 'linje01', 'huertke01', 'dorsety01', 'adamsja01', 'spellom01']","[0, 1]",0,none,770040675.0,503849458.0,59233898.07692308,38757650.615384616,1,1,2018-10-19 20:00:00,2018-10-19 22:00:00
201810190MIL,MIL,MIL,IND,"Fiserv Forum, Milwaukee, Wisconsin",30,32,31,25,[],118,1,2.0,"['antetgi01', 'middlkh01', 'brogdma01', 'bledser01', 'lopezbr01', 'ilyaser01', 'hensojo01', 'divindo01', 'snellto01', 'woodch01', 'dellama01', 'brownst02', 'connapa01']","[1, 0]",0,25,28,23,25,[],101,1,2.0,"['oladivi01', 'turnemy01', 'bogdabo02', 'youngth01', 'collida01', 'evansty01', 'sabondo01', 'mcderdo01', 'josepco01', 'oquinky01', 'johnsal02', 'holidaa01', 'sumneed01']","[1, 0]",0,division,945506527.0,716695046.0,72731271.3076923,55130388.15384615,1,1,2018-10-19 20:30:00,2018-10-19 22:30:00
201810190MIN,MIN,MIN,CLE,"Target Center, Minneapolis, Minnesota",32,39,33,27,[],131,-1,2.0,"['wiggian01', 'butleji01', 'townska01', 'teaguje01', 'gibsota01', 'rosede01', 'tollian01', 'jonesty01', 'dienggo01', 'okogijo01', 'bateske01', 'nunnaja01', 'denglu01']","[0, 1]",0,30,24,41,28,[],123,-1,2.0,"['loveke01', 'thomptr01', 'osmande01', 'hoodro01', 'hillge01', 'clarkjo01', 'sextoco01', 'zizican01', 'dekkesa01', 'korveky01', 'smithjr01', 'nwabada01', 'fryech01']","[0, 1]",0,none,1090338652.0,883218594.0,83872204.0,67939891.84615384,1,1,2018-10-19 20:00:00,2018-10-19 22:00:00
201810190NOP,NOP,NOP,SAC,"Smoothie King Center, New Orleans, Louisiana",40,32,38,39,[],149,1,2.0,"['mirotni01', 'holidjr01', 'davisan02', 'paytoel01', 'mooreet01', 'randlju01', 'milleda01', 'hillso01', 'clarkia01', 'okafoja01', 'jacksfr01', 'diallch01', 'fraziti01']","[1, 0]",0,32,31,27,39,[],129,-1,2.0,"['foxde01', 'hieldbu01', 'caulewi01', 'ferreyo01', 'bjeline01', 'baglema01', 'jacksju01', 'masonfr01', 'shumpim01', 'gilesha01', 'labissk01', 'mclembe01']","[0, 1]",0,conference,691140123.0,330883955.0,53164624.84615385,27573662.916666668,1,1,2018-10-19 20:00:00,2018-10-19 22:00:00
201810190ORL,CHO,ORL,CHO,"Amway Center, Orlando, Florida",10,21,23,34,[],88,1,2.0,"['fournev01', 'gordoaa01', 'vucevni01', 'augusdj01', 'isaacjo01', 'grantje02', 'simmojo02', 'rosste01', 'bambamo01', 'iwundwe01', 'martija01', 'briscis01', 'birchkh01']","[1, 0]",0,22,29,31,38,[],120,-1,2.0,"['batumni01', 'walkeke02', 'lambje01', 'zelleco01', 'willima02', 'monkma01', 'kiddgmi01', 'hernawi01', 'parketo01', 'bridgmi02', 'bacondw01', 'kaminfr01', 'biyombi01']","[0, 1]",0,division,598470324.0,989081344.0,46036178.76923077,76083180.3076923,1,1,2018-10-19 19:00:00,2018-10-19 21:00:00
201810190TOR,TOR,TOR,BOS,"Scotiabank Arena, Toronto, Canada",18,31,33,31,[],113,1,2.0,"['leonaka01', 'lowryky01', 'ibakase01', 'greenda02', 'siakapa01', 'vanvlfr01', 'anunoog01', 'valanjo01', 'milescj01', 'powelno01', 'brownlo01', 'monrogr01', 'richama01']","[1, 0]",0,25,28,26,22,[],101,1,3.0,"['tatumja01', 'irvinky01', 'horfoal01', 'haywago01', 'brownja02', 'morrima03', 'roziete01', 'smartma01', 'baynear01', 'theisda01', 'wanambr01', 'ojelese01', 'yabusgu01']","[1, 0]",0,division,1092127609.0,1060327483.0,84009816.07692307,81563652.53846154,1,1,2018-10-19 20:00:00,2018-10-19 22:00:00
201810190UTA,GSW,UTA,GSW,"Vivint Smart Home Arena, Salt Lake City, Utah",34,47,22,20,[],123,1,2.0,"['inglejo01', 'mitchdo01', 'goberru01', 'rubiori01', 'favorde01', 'crowdja01', 'exumda01', 'burksal01', 'onealro01', 'niangge01', 'udohek01', 'allengr01', 'sefolth01']","[1, 0]",0,32,37,28,27,[],124,1,3.0,"['duranke01', 'curryst01', 'thompkl01', 'greendr01', 'jonesda03', 'jerebjo01', 'looneke01', 'livinsh01', 'mckinal01', 'cookqu01', 'belljo01', 'evansja02', 'leeda03']","[1, 0]",0,conference,769626862.0,1035503393.0,59202066.307692304,79654107.15384616,1,1,2018-10-19 22:30:00,2018-10-20 00:30:00
201810200CHI,DET,CHI,DET,"United Center, Chicago, Illinois",27,31,26,32,[],116,-1,2.0,"['holidju01', 'lavinza01', 'portibo01', 'payneca01', 'cartewe01', 'lopezro01', 'parkeja01', 'blakean01', 'arcidry01', 'feliccr01', 'hutchch01']","[0, 1]",0,25,35,25,33,[],118,1,3.0,"['griffbl01', 'bullore01', 'johnsst04', 'jacksre01', 'drumman01', 'smithis01', 'gallola01', 'pachuza01', 'robingl02', 'caldejo01', 'ellenhe01', 'brownbr01', 'kennalu01']","[1, 0]",0,division,394898198.0,815618633.0,35899836.18181818,62739894.84615385,1,1,2018-10-20 20:00:00,2018-10-20 22:00:00
201810200DAL,DAL,DAL,MIN,"American Airlines Center, Dallas, Texas",37,32,28,43,[],140,-1,3.0,"['doncilu01', 'matthwe02', 'jordade01', 'finnedo01', 'smithde03', 'bareajo01', 'brunsja01', 'klebima01', 'poweldw01', 'broekry01', 'spaldra01', 'maconda01', 'mejrisa01']","[0, 1]",0,46,23,30,37,[],136,1,1.0,"['teaguje01', 'townska01', 'gibsota01', 'okogijo01', 'wiggian01', 'rosede01', 'tollian01', 'dienggo01', 'jonesty01', 'willicj01', 'bateske01', 'nunnaja01', 'denglu01']","[1, 1]",0,conference,484691839.0,909777186.0,37283987.615384616,69982860.46153846,1,2,2018-10-20 20:30:00,2018-10-20 22:30:00
201810200DEN,DEN,DEN,PHO,"Pepsi Center, Denver, Colorado",30,35,27,27,[],119,1,3.0,"['murraja01', 'harriga01', 'millspa01', 'jokicni01', 'bartowi01', 'lylestr01', 'craigto01', 'hernaju01', 'plumlma01', 'morrimo01', 'beaslma01', 'welshth01', 'lydonty01']","[1, 0]",0,16,33,30,12,[],91,1,3.0,"['bookede01', 'canaais01', 'arizatr01', 'aytonde01', 'anderry01', 'jacksjo02', 'warretj01', 'chandty01', 'bridgmi01', 'holmeri01', 'crawfja01', 'bendedr01', 'okoboel01']","[1, 0]",0,conference,702403332.0,837728890.0,54031025.538461536,64440683.84615385,1,1,2018-10-20 21:00:00,2018-10-20 23:00:00
