,gameid,ref,att
179,201711110HOU,"['Jacyn Goble', 'Kevin Scott', 'Tom Washington']",18055
180,201711110MIL,"['Ray Acosta', 'Mark Ayotte', 'James Capers Jr.']",18717
181,201711110NOP,"['Kevin Cutler', 'David Guthrie', 'Aaron Smith']",17624
182,201711110NYK,"['Ron Garretson', 'Jason Goldenberg', 'Ben Taylor']",19812
183,201711110PHO,"['Nick Buchert', 'Pat Fraher', 'Haywoode Workman']",16910
184,201711110SAS,"['Brian Forte', 'Scott Foster', 'C.J. Washington']",18418
185,201711110UTA,"['Matt Boland', 'Ed Malloy', 'Gediminas Petraitis']",17413
186,201711110WAS,"['Tre Maddox', 'Ken Mauer', 'Jonathan Sterling']",17260
187,201711120BOS,"['John Goble', 'Lauren Holtkamp-Sterling', 'Karl Lane']",18624
188,201711120DET,"['Tyler Ford', 'J.T. Orr', 'Sean Wright']",16236
189,201711120IND,"['Kane Fitzgerald', 'Ben Taylor', 'Scott Wall']",15581
190,201711120OKC,"['Bennie Adams', 'Sean Corbin', 'Jacyn Goble']",18203
191,201711130GSW,"['Eric Lewis', 'Haywoode Workman', 'Gary Zielinski']",19596
192,201711130LAC,"['Matt Boland', 'Vladimir Voyard-Tadal', 'Zach Zarba']",19068
193,201711130MIL,"['Derrick Collins', 'Mitchell Ervin', 'Ron Garretson']",13244
194,201711130NOP,"['Rodney Mott', 'Tom Washington', 'Leon Wood']",14631
195,201711130NYK,"['Brent Barnaky', 'Tony Brothers', 'Tre Maddox']",19812
196,201711130PHO,"['Marat Kogut', 'Ed Malloy', 'Gediminas Petraitis']",17533
197,201711130POR,"['Tony Brown', 'Mark Lindsay', 'Derek Richardson']",18895
198,201711130UTA,"['Marc Davis', 'Randy Richardson', 'Michael Smith']",17236
199,201711130WAS,"['Mark Ayotte', 'David Guthrie', 'J.T. Orr']",14660
200,201711140BRK,"['Kevin Cutler', 'Ken Mauer', 'James Williams']",17732
201,201711140DAL,"['Mike Callahan', 'Kevin Scott', 'Scott Wall']",19535
202,201711140HOU,"['Bennie Adams', 'Sean Corbin', 'Brett Nansel']",18055
203,201711150ATL,"['Tony Brothers', 'Derrick Collins', 'Brett Nansel']",13860
204,201711150CHO,"['Eric Dalen', 'Courtney Kirkland', 'Derrick Stafford']",19427
205,201711150LAL,"['Marc Davis', 'Eric Lewis', 'Michael Smith']",18997
206,201711150MEM,"['Bill Kennedy', 'Rodney Mott', 'Jonathan Sterling']",16033
207,201711150MIA,"['Scott Foster', 'Leroy Richardson', 'Leon Wood']",19600
208,201711150MIL,"['John Goble', 'Ben Taylor', 'Justin Van Duyne']",14594
209,201711150MIN,"['Tony Brown', 'Mark Lindsay', 'J.T. Orr']",18978
210,201711150NOP,"['Brian Forte', 'Kevin Scott', 'Haywoode Workman']",15654
211,201711150NYK,"['Mark Ayotte', 'Jacyn Goble', 'Monty McCutchen']",18695
212,201711150OKC,"['Lauren Holtkamp-Sterling', 'Josh Tiven', 'Sean Wright']",18203
213,201711150POR,"['Marat Kogut', 'Randy Richardson', 'Zach Zarba']",19206
214,201711160BOS,"['James Capers Jr.', 'Tyler Ford', 'Pat Fraher']",18624
215,201711160PHO,"['Karl Lane', 'Bill Spooner', 'Scott Twardoski']",16875
216,201711170BRK,"['Curtis Blair', 'Nick Buchert', 'Scott Foster']",14495
217,201711170CHI,"['Marc Davis', 'Brian Forte', 'Gediminas Petraitis']",20493
218,201711170CLE,"['Sean Corbin', 'Ed Malloy', 'Leon Wood']",20562
219,201711170DAL,"['Eric Dalen', 'Ron Garretson', 'Brett Nansel']",19459
220,201711170DEN,"['Kevin Cutler', 'Marat Kogut', 'Sean Wright']",16816
221,201711170IND,"['J.B. DeRosa', 'Derrick Stafford', 'Josh Tiven']",17188
222,201711170LAL,"['Tre Maddox', 'Randy Richardson', 'Zach Zarba']",18997
223,201711170SAC,"['Eric Lewis', 'C.J. Washington', 'Gary Zielinski']",17583
224,201711170SAS,"['David Guthrie', 'Bill Kennedy', 'Leroy Richardson']",18418
225,201711170TOR,"['Derrick Collins', 'Kane Fitzgerald', 'Dedric Taylor']",19800
226,201711170WAS,"['Mike Callahan', 'Justin Van Duyne', 'Scott Wall']",17551
227,201711180ATL,"['Courtney Kirkland', 'Mark Lindsay', 'Justin Van Duyne']",16381
228,201711180CHO,"['John Goble', 'Phenizee Ransom', 'Michael Smith']",17640
229,201711180DAL,"['Matt Boland', 'Jacyn Goble', 'Tom Washington']",19949
230,201711180MEM,"['Tony Brown', 'Ken Mauer', 'Aaron Smith']",17266
231,201711180ORL,"['James Capers Jr.', 'Kevin Scott', 'Jonathan Sterling']",19157
232,201711180PHI,"['Bennie Adams', 'Tony Brothers', 'Lauren Holtkamp-Sterling']",20848
233,201711180POR,"['Mitchell Ervin', 'Karl Lane', 'Bill Spooner']",19522
234,201711190BRK,"['Kane Fitzgerald', 'Ben Taylor', 'Scott Wall']",17732
235,201711190LAL,"['Mitchell Ervin', 'Karl Lane', 'Rodney Mott']",18997
236,201711190MIA,"['Derrick Collins', 'David Guthrie', 'Haywoode Workman']",19600
237,201711190MIN,"['Sean Corbin', 'Gediminas Petraitis', 'Leon Wood']",16069
238,201711190PHO,"['Eric Dalen', 'Ron Garretson', 'C.J. Washington']",16264
239,201711190TOR,"['Brent Barnaky', 'Curtis Blair', 'Ed Malloy']",19800
240,201711200CHO,"['Bennie Adams', 'Curtis Blair', 'James Williams']",15978
241,201711200DAL,"['Mark Ayotte', 'Brian Forte', 'J.T. Orr']",20302
242,201711200DET,"['Brent Barnaky', 'Jason Goldenberg', 'Tom Washington']",20491
243,201711200MEM,"['Tony Brothers', 'Jacyn Goble', 'Mark Lindsay']",15785
244,201711200MIL,"['Courtney Kirkland', 'Gediminas Petraitis', 'Michael Smith']",16122
245,201711200NOP,"['Nick Buchert', 'Derrick Collins', 'Justin Van Duyne']",16765
246,201711200NYK,"['Tony Brown', 'Marat Kogut', 'Josh Tiven']",18848
247,201711200ORL,"['Ken Mauer', 'Leroy Richardson', 'Dedric Taylor']",17239
248,201711200PHI,"['Ray Acosta', 'David Guthrie', 'Derrick Stafford']",20587
249,201711200SAC,"['Eric Dalen', 'Bill Kennedy', 'Derek Richardson']",17583
250,201711200SAS,"['Matt Boland', 'Pat Fraher', 'Aaron Smith']",18418
251,201711210LAL,"['Brett Nansel', 'Bill Spooner', 'Gary Zielinski']",18997
252,201711220ATL,"['Brent Barnaky', 'J.B. DeRosa', 'Sean Wright']",12675
253,201711220CHO,"['James Capers Jr.', 'Aaron Smith', 'Ben Taylor']",16041
254,201711220CLE,"['Marc Davis', 'Michael Smith', 'Jonathan Sterling']",20562
255,201711220HOU,"['Brian Forte', 'Scott Wall', 'Haywoode Workman']",18055
256,201711220MEM,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Ed Malloy']",16101
257,201711220MIA,"['Sean Corbin', 'Eric Lewis', 'Dedric Taylor']",19704
258,201711220MIN,"['Nick Buchert', 'Jason Goldenberg', 'Tom Washington']",16402
259,201711220NOP,"['Mitchell Ervin', 'Tyler Ford', 'John Goble']",17539
260,201711220NYK,"['Ray Acosta', 'Leroy Richardson', 'Zach Zarba']",19812
261,201711220OKC,"['Karl Lane', 'Monty McCutchen', 'Kevin Scott']",18203
262,201711220PHI,"['Mike Callahan', 'Courtney Kirkland', 'Phenizee Ransom']",20605
263,201711220PHO,"['Kevin Cutler', 'Rodney Mott', 'J.T. Orr']",16270
264,201711220SAC,"['Ron Garretson', 'Scott Twardoski', 'Leon Wood']",17583
265,201711220UTA,"['Bill Kennedy', 'Tre Maddox', 'Justin Van Duyne']",17434
266,201711240ATL,"['Kane Fitzgerald', 'Tyler Ford', 'Kevin Scott']",14355
267,201711240BOS,"['Jacyn Goble', 'Mark Lindsay', 'James Williams']",18624
268,201711240BRK,"['Derrick Collins', 'Gediminas Petraitis', 'Sean Wright']",15246
269,201711240CLE,"['Mitchell Ervin', 'Pat Fraher', 'David Guthrie']",20562
270,201711240DEN,"['Ron Garretson', 'Brett Nansel', 'Bill Spooner']",16736
271,201711240GSW,"['Bennie Adams', 'Mark Ayotte', 'J.T. Orr']",19596
272,201711240IND,"['Marat Kogut', 'Jonathan Sterling', 'Tom Washington']",16523
273,201711240MIN,"['Brandon Adair', 'Tre Maddox', 'Monty McCutchen']",18978
274,201711240OKC,"['Eric Dalen', 'Ken Mauer', 'C.J. Washington']",18203
275,201711240PHO,"['Tony Brothers', 'Derek Richardson', 'Gary Zielinski']",16574
276,201711250ATL,"['Brian Forte', 'Ben Taylor', 'Josh Tiven']",12278
277,201711250CHO,"['Sean Corbin', 'Marat Kogut', 'Mark Lindsay']",18597
278,201711250DAL,"['Brent Barnaky', 'Derrick Stafford', 'Dedric Taylor']",20340
279,201711250GSW,"['Scott Foster', 'Jason Goldenberg', 'Leon Wood']",19596
280,201711250HOU,"['Nick Buchert', 'Eric Dalen', 'Marc Davis']",18055
281,201711250IND,"['James Capers Jr.', 'Mitchell Ervin', 'Karl Lane']",16303
282,201711250PHI,"['John Goble', 'Aaron Smith', 'Scott Wall']",20585
283,201711250SAC,"['Mark Ayotte', 'Kevin Cutler', 'Rodney Mott']",17583
284,201711250UTA,"['Tony Brothers', 'Leroy Richardson', 'Scott Twardoski']",17298
285,201711250WAS,"['Kane Fitzgerald', 'Tyler Ford', 'Eric Lewis']",18092
286,201711260CHI,"['Curtis Blair', 'Pat Fraher', 'Zach Zarba']",20928
287,201711260MEM,"['Matt Boland', 'Courtney Kirkland', 'Tre Maddox']",14889
288,201711260MIN,"['Mike Callahan', 'Lauren Holtkamp-Sterling', 'Michael Smith']",16448
289,201711270BOS,"['Tony Brown', 'David Guthrie', 'Haywoode Workman']",18624
290,201711270GSW,"['Tony Brothers', 'Derek Richardson', 'Leroy Richardson']",19596
291,201711270HOU,"['Brent Barnaky', 'Tyler Ford', 'Derrick Stafford']",16189
292,201711270IND,"['Brian Forte', 'Ron Garretson', 'C.J. Washington']",12501
293,201711270LAC,"['Scott Foster', 'Jason Goldenberg', 'James Williams']",18086
294,201711270NYK,"['J.B. DeRosa', 'Bill Kennedy', 'Gary Zielinski']",18409
295,201711270PHI,"['Curtis Blair', 'Karl Lane', 'Sean Wright']",20527
296,201711270SAS,"['Ken Mauer', 'Josh Tiven', 'Scott Twardoski']",17918
297,201711280CHI,"['Mark Lindsay', 'Monty McCutchen', 'Brett Nansel']",18324
