,gameid,ref,att
635,201801140NYK,"['Ron Garretson', 'Bill Spooner', 'Justin Van Duyne']",19812
636,201801140PHO,"['Mark Ayotte', 'Kane Fitzgerald', 'Brett Nansel']",17091
637,201801150ATL,"['Sean Corbin', 'Jason Phillips', 'Derek Richardson']",15806
638,201801150BRK,"['Ray Acosta', 'Brian Forte', 'Karl Lane']",17732
639,201801150CHI,"['J.T. Orr', 'Scott Wall', 'Sean Wright']",20546
640,201801150CLE,"['Scott Foster', 'Marat Kogut', 'Eric Lewis']",20562
641,201801150DET,"['Tyler Ford', 'Lauren Holtkamp-Sterling', 'Derrick Stafford']",17200
642,201801150LAC,"['Bennie Adams', 'Mike Callahan', 'Michael Smith']",17622
643,201801150MEM,"['Brent Barnaky', 'Scott Twardoski', 'James Williams']",17794
644,201801150OKC,"['Matt Boland', 'Ken Mauer', 'Gediminas Petraitis']",18203
645,201801150PHI,"['John Goble', 'Leroy Richardson', 'Dedric Taylor']",20637
646,201801150UTA,"['Mark Lindsay', 'Aaron Smith', 'Tom Washington']",18306
647,201801150WAS,"['Marc Davis', 'Courtney Kirkland', 'Haywoode Workman']",19607
648,201801160BOS,"['Lauren Holtkamp-Sterling', 'Kevin Scott', 'Sean Wright']",18624
649,201801160DEN,"['Tony Brothers', 'Rodney Mott', 'Jonathan Sterling']",14097
650,201801160ORL,"['Brent Barnaky', 'Mitchell Ervin', 'Bill Kennedy']",18589
651,201801160POR,"['Kevin Cutler', 'Jacyn Goble', 'Ed Malloy']",18604
652,201801170ATL,"['Bill Kennedy', 'Karl Lane', 'J.T. Orr']",10894
653,201801170BRK,"['Scott Foster', 'Ben Taylor', 'Justin Van Duyne']",15425
654,201801170CHI,"['Mark Ayotte', 'Ron Garretson', 'Scott Twardoski']",21372
655,201801170CHO,"['Derrick Collins', 'C.J. Washington', 'Zach Zarba']",11528
656,201801170LAC,"['Jacyn Goble', 'Ed Malloy', 'Gary Zielinski']",15043
657,201801170MEM,"['J.B. DeRosa', 'Pat Fraher', 'Derrick Stafford']",12885
658,201801170MIL,"['Marat Kogut', 'Jason Phillips', 'Dedric Taylor']",16695
659,201801170OKC,"['James Capers Jr.', 'Courtney Kirkland', 'Leon Wood']",18203
660,201801170SAC,"['Mike Callahan', 'Kevin Cutler', 'Michael Smith']",17583
661,201801170TOR,"['Derek Richardson', 'Scott Wall', 'James Williams']",19800
662,201801180BOS,"['Sean Corbin', 'Aaron Smith', 'Bill Spooner']",18624
663,201801180CLE,"['Kane Fitzgerald', 'David Guthrie', 'Scott Twardoski']",20562
664,201801180HOU,"['Pat Fraher', 'Tre Maddox', 'Zach Zarba']",18055
665,201801180POR,"['Tony Brothers', 'Rodney Mott', 'Jonathan Sterling']",19071
666,201801190BRK,"['David Guthrie', 'Derek Richardson', 'Tom Washington']",17732
667,201801190DEN,"['Bennie Adams', 'Courtney Kirkland', 'C.J. Washington']",15732
668,201801190DET,"['Bill Kennedy', 'Josh Tiven', 'Justin Van Duyne']",14744
669,201801190LAL,"['Mike Callahan', 'Jacyn Goble', 'Eric Lewis']",18997
670,201801190MEM,"['Ron Garretson', 'John Goble', 'Leroy Richardson']",16831
671,201801190TOR,"['Brent Barnaky', 'J.B. DeRosa', 'Ken Mauer']",19800
672,201801190UTA,"['Ed Malloy', 'Rodney Mott', 'Leon Wood']",18306
673,201801200ATL,"['Nick Buchert', 'Mitchell Ervin', 'Zach Zarba']",15597
674,201801200CHO,"['Ron Garretson', 'Scott Twardoski', 'Gary Zielinski']",18687
675,201801200CLE,"['Marc Davis', 'Tyler Ford', 'Brian Forte']",20562
676,201801200HOU,"['Derrick Collins', 'Jason Phillips', 'Kevin Scott']",18055
677,201801200MIN,"['Sean Corbin', 'Scott Foster', 'Haywoode Workman']",17828
678,201801200NOP,"['Matt Boland', 'James Capers Jr.', 'Dedric Taylor']",18212
679,201801200PHI,"['Mark Ayotte', 'Jason Goldenberg', 'Sean Wright']",20826
680,201801200POR,"['Eric Lewis', 'C.J. Washington', 'James Williams']",19464
681,201801200UTA,"['Tony Brothers', 'Karl Lane', 'Jonathan Sterling']",18306
682,201801210BOS,"['Pat Fraher', 'Leroy Richardson', 'Ben Taylor']",18624
683,201801210DET,"['John Goble', 'Marat Kogut', 'Michael Smith']",17554
684,201801210LAL,"['Bennie Adams', 'Kevin Cutler', 'J.T. Orr']",18997
685,201801210SAS,"['Matt Boland', 'Bill Kennedy', 'Gediminas Petraitis']",18418
686,201801220ATL,"['John Goble', 'Courtney Kirkland', 'Marat Kogut']",11096
687,201801220CHO,"['Pat Fraher', 'Tre Maddox', 'Ben Taylor']",11806
688,201801220DAL,"['Brian Forte', 'Jacyn Goble', 'David Guthrie']",19328
689,201801220DEN,"['Marc Davis', 'Karl Lane', 'Scott Wall']",14474
690,201801220HOU,"['James Capers Jr.', 'Jason Goldenberg', 'Leon Wood']",18055
691,201801220LAC,"['Eric Lewis', 'C.J. Washington', 'James Williams']",16347
692,201801220MEM,"['Curtis Blair', 'Derrick Collins', 'Mark Lindsay']",14288
693,201801220MIL,"['Nick Buchert', 'Derek Richardson', 'Zach Zarba']",14766
694,201801220NOP,"['Kane Fitzgerald', 'Tyler Ford', 'Lauren Holtkamp-Sterling']",17101
695,201801230GSW,"['Brent Barnaky', 'Brett Nansel', 'James Williams']",19596
696,201801230LAL,"['Matt Boland', 'Marc Davis', 'Gediminas Petraitis']",18997
697,201801230OKC,"['Sean Corbin', 'Jason Phillips', 'Leroy Richardson']",18203
698,201801230ORL,"['J.B. DeRosa', 'Tyler Ford', 'Brian Forte']",18846
699,201801230SAS,"['Mark Lindsay', 'Dedric Taylor', 'Tom Washington']",18418
700,201801240ATL,"['Bennie Adams', 'Derrick Collins', 'Ben Taylor']",12780
701,201801240CHO,"['J.B. DeRosa', 'David Guthrie', 'Josh Tiven']",14588
702,201801240DAL,"['Bill Kennedy', 'Aaron Smith', 'Michael Smith']",19378
703,201801240DET,"['Ray Acosta', 'Pat Fraher', 'Ken Mauer']",15682
704,201801240IND,"['Tony Brown', 'Jason Goldenberg', 'Derrick Stafford']",14060
705,201801240LAC,"['Rodney Mott', 'Scott Wall', 'Sean Wright']",19430
706,201801240MEM,"['Kane Fitzgerald', 'Courtney Kirkland', 'Leon Wood']",15812
707,201801240PHI,"['Mike Callahan', 'Tre Maddox', 'Gary Zielinski']",20547
708,201801240POR,"['Brent Barnaky', 'Gediminas Petraitis', 'Bill Spooner']",18920
709,201801250DEN,"['Nick Buchert', 'Scott Foster', 'Dedric Taylor']",15482
710,201801250GSW,"['Matt Boland', 'Marc Davis', 'Scott Twardoski']",19596
711,201801250MIA,"['David Guthrie', 'Tom Washington', 'Haywoode Workman']",19600
712,201801250OKC,"['Kevin Cutler', 'Ron Garretson', 'Zach Zarba']",18203
713,201801260CHI,"['Brett Nansel', 'Michael Smith', 'Bill Spooner']",21827
714,201801260CHO,"['Ray Acosta', 'Karl Lane', 'Jason Phillips']",15479
715,201801260CLE,"['Ken Mauer', 'Leon Wood', 'Gary Zielinski']",20562
716,201801260DAL,"['Bennie Adams', 'Rodney Mott', 'J.T. Orr']",19876
717,201801260MEM,"['Tony Brown', 'Bill Kennedy', 'Tre Maddox']",16369
718,201801260MIL,"['Kane Fitzgerald', 'Eric Lewis', 'Aaron Smith']",18717
719,201801260NOP,"['Pat Fraher', 'John Goble', 'Kevin Scott']",17186
720,201801260PHO,"['Matt Boland', 'Gediminas Petraitis', 'Sean Wright']",17068
721,201801260SAS,"['Brent Barnaky', 'James Capers Jr.', 'Justin Van Duyne']",18418
722,201801260TOR,"['Mike Callahan', 'Brian Forte', 'Jacyn Goble']",19800
723,201801270ATL,"['Pat Fraher', 'Jonathan Sterling', 'Scott Wall']",15843
724,201801270DEN,"['Ron Garretson', 'Derek Richardson', 'Sean Wright']",19520
725,201801270DET,"['Mitchell Ervin', 'David Guthrie', 'Tom Washington']",20491
726,201801270GSW,"['Nick Buchert', 'Derrick Stafford', 'Dedric Taylor']",19596
727,201801270IND,"['Ben Taylor', 'C.J. Washington', 'Zach Zarba']",17923
728,201801270MIA,"['Courtney Kirkland', 'Leroy Richardson', 'James Williams']",19600
729,201801270MIN,"['Tony Brothers', 'Kevin Cutler', 'J.B. DeRosa']",16231
730,201801280CHI,"['Derrick Collins', 'Mark Lindsay', 'Justin Van Duyne']",21630
731,201801280CLE,"['Brett Nansel', 'Michael Smith', 'Bill Spooner']",20562
732,201801280HOU,"['Tyler Ford', 'Brian Forte', 'J.T. Orr']",18055
733,201801280NOP,"['Bennie Adams', 'Curtis Blair', 'Jason Phillips']",16378
734,201801280OKC,"['Scott Foster', 'Eric Lewis', 'Aaron Smith']",18202
735,201801280SAS,"['Tony Brown', 'Lauren Holtkamp-Sterling', 'Gary Zielinski']",18418
736,201801280TOR,"['Rodney Mott', 'Josh Tiven', 'Scott Twardoski']",19800
737,201801290ATL,"['Tyler Ford', 'David Guthrie', 'Lauren Holtkamp-Sterling']",12589
738,201801290DAL,"['Curtis Blair', 'Derrick Stafford', 'Ben Taylor']",19555
739,201801290DEN,"['James Capers Jr.', 'Kevin Cutler', 'Tre Maddox']",19520
740,201801290IND,"['Brent Barnaky', 'John Goble', 'Haywoode Workman']",14225
741,201801290MEM,"['Mike Callahan', 'Karl Lane', 'Scott Wall']",13202
742,201801290MIL,"['Tony Brothers', 'Josh Tiven', 'Scott Twardoski']",14126
743,201801300DET,"['Derrick Collins', 'Kane Fitzgerald', 'Gediminas Petraitis']",18508
744,201801300HOU,"['Bennie Adams', 'Tony Brown', 'Dedric Taylor']",18055
745,201801300LAC,"['Mark Lindsay', 'Justin Van Duyne', 'Zach Zarba']",16705
746,201801300NOP,"['Brett Nansel', 'Michael Smith', 'Bill Spooner']",14292
747,201801300NYK,"['Ken Mauer', 'Jonathan Sterling', 'Leon Wood']",19505
748,201801300SAS,"['Brian Forte', 'Pat Fraher', 'Leroy Richardson']",18418
749,201801300TOR,"['Jason Goldenberg', 'Jason Phillips', 'Kevin Scott']",19800
750,201801300UTA,"['Mark Ayotte', 'Ron Garretson', 'J.T. Orr']",18306
751,201801300WAS,"['Tony Brothers', 'Jacyn Goble', 'Marat Kogut']",20356
752,201801310ATL,"['Eric Lewis', 'Josh Tiven', 'Scott Twardoski']",13103
753,201801310BOS,"['Mike Callahan', 'Derrick Collins', 'Marat Kogut']",18624
754,201801310BRK,"['Curtis Blair', 'Nick Buchert', 'Rodney Mott']",15577
755,201801310CLE,"['Mitchell Ervin', 'Scott Foster', 'Karl Lane']",20562
756,201801310IND,"['Sean Corbin', 'J.B. DeRosa', 'Ed Malloy']",15093
757,201801310ORL,"['Jacyn Goble', 'Scott Wall', 'James Williams']",18553
758,201801310PHO,"['James Capers Jr.', 'Mark Lindsay', 'Tre Maddox']",15923
759,201801310POR,"['Ron Garretson', 'Aaron Smith', 'Gary Zielinski']",19422
760,201802010DEN,"['Tony Brown', 'Justin Van Duyne', 'Zach Zarba']",18407
761,201802010DET,"['Jason Goldenberg', 'Rodney Mott', 'Leroy Richardson']",17481
762,201802010MIN,"['Pat Fraher', 'Ken Mauer', 'Jonathan Sterling']",17199
763,201802010SAS,"['Mark Ayotte', 'Kevin Cutler', 'John Goble']",18418
764,201802010WAS,"['Karl Lane', 'Tom Washington', 'Haywoode Workman']",15599
765,201802020BOS,"['Brian Forte', 'Jacyn Goble', 'Gediminas Petraitis']",18624
766,201802020BRK,"['Mike Callahan', 'Jason Goldenberg', 'Dedric Taylor']",17732
767,201802020CHO,"['Mitchell Ervin', 'Scott Foster', 'Michael Smith']",17135
768,201802020MIL,"['Sean Corbin', 'David Guthrie', 'Haywoode Workman']",18717
769,201802020OKC,"['Tyler Ford', 'Mark Lindsay', 'James Williams']",18203
770,201802020PHI,"['Derrick Collins', 'Lauren Holtkamp-Sterling', 'Jason Phillips']",20636
771,201802020PHO,"['Kane Fitzgerald', 'Brett Nansel', 'Kevin Scott']",16560
772,201802020SAC,"['Bennie Adams', 'Aaron Smith', 'Zach Zarba']",17583
773,201802020TOR,"['Curtis Blair', 'Tony Brothers', 'Marat Kogut']",19800
774,201802030CLE,"['Tony Brothers', 'J.T. Orr', 'Josh Tiven']",20562
775,201802030DEN,"['Ray Acosta', 'Ed Malloy', 'Ben Taylor']",20103
776,201802030DET,"['Brian Forte', 'Jacyn Goble', 'Dedric Taylor']",18747
777,201802030IND,"['Ken Mauer', 'Jonathan Sterling', 'Gary Zielinski']",17923
778,201802030LAC,"['Kevin Cutler', 'Bill Spooner', 'Leon Wood']",19068
779,201802030MIN,"['David Guthrie', 'Scott Wall', 'C.J. Washington']",17954
780,201802030ORL,"['Brent Barnaky', 'Scott Foster', 'Lauren Holtkamp-Sterling']",18846
781,201802030SAC,"['Kane Fitzgerald', 'Ron Garretson', 'Kevin Scott']",17583
782,201802030SAS,"['J.B. DeRosa', 'Eric Lewis', 'James Williams']",18418
783,201802040BOS,"['Sean Corbin', 'Tom Washington', 'Haywoode Workman']",18624
784,201802040BRK,"['Tony Brown', 'Mitchell Ervin', 'Derrick Stafford']",14392
785,201802040NYK,"['Pat Fraher', 'Jason Goldenberg', 'Leroy Richardson']",19441
786,201802040OKC,"['Nick Buchert', 'Karl Lane', 'Jason Phillips']",18203
787,201802040PHO,"['Bennie Adams', 'Rodney Mott', 'Justin Van Duyne']",14487
788,201802040TOR,"['Mark Lindsay', 'Gediminas Petraitis', 'Michael Smith']",19800
789,201802050DEN,"['Kane Fitzgerald', 'Brett Nansel', 'Kevin Scott']",14410
790,201802050DET,"['J.B. DeRosa', 'John Goble', 'Scott Wall']",13810
791,201802050IND,"['Tyler Ford', 'Eric Lewis', 'Scott Twardoski']",13169
792,201802050LAC,"['Ray Acosta', 'Ed Malloy', 'Ben Taylor']",15127
793,201802050MIA,"['David Guthrie', 'C.J. Washington', 'Gary Zielinski']",19600
794,201802050NOP,"['Derrick Collins', 'Jacyn Goble', 'Sean Wright']",14293
795,201802050SAC,"['Marat Kogut', 'Rodney Mott', 'Justin Van Duyne']",17583
796,201802060ATL,"['Sean Corbin', 'C.J. Washington', 'James Williams']",11866
797,201802060BRK,"['Brian Forte', 'Haywoode Workman', 'Zach Zarba']",15064
798,201802060GSW,"['Lauren Holtkamp-Sterling', 'Marat Kogut', 'Ken Mauer']",19596
799,201802060LAL,"['Tre Maddox', 'Ed Malloy', 'Ben Taylor']",18997
800,201802060NYK,"['Karl Lane', 'Gediminas Petraitis', 'Tom Washington']",19812
801,201802060ORL,"['Pat Fraher', 'Jason Goldenberg', 'Dedric Taylor']",18846
802,201802060PHI,"['Mark Ayotte', 'J.T. Orr', 'Derrick Stafford']",20530
803,201802060TOR,"['James Capers Jr.', 'Tyler Ford', 'Aaron Smith']",20017
804,201802070CLE,"['Nick Buchert', 'Mike Callahan', 'Gediminas Petraitis']",20562
805,201802070DET,"['Courtney Kirkland', 'Mark Lindsay', 'Aaron Smith']",15114
806,201802070MEM,"['Marc Davis', 'Scott Twardoski', 'Gary Zielinski']",13187
807,201802070MIA,"['Jason Goldenberg', 'Eric Lewis', 'Scott Wall']",19600
808,201802070PHO,"['Curtis Blair', 'Jason Phillips', 'Michael Smith']",15993
809,201802080GSW,"['Brent Barnaky', 'Tre Maddox', 'Sean Wright']",19596
810,201802080LAL,"['Derrick Collins', 'Kevin Cutler', 'John Goble']",18997
811,201802080ORL,"['Matt Boland', 'Jonathan Sterling', 'Tom Washington']",16215
812,201802080POR,"['Lauren Holtkamp-Sterling', 'Marat Kogut', 'Ken Mauer']",19178
813,201802080TOR,"['Mark Ayotte', 'David Guthrie', 'J.T. Orr']",19800
814,201802080WAS,"['Bill Kennedy', 'Leroy Richardson', 'Kevin Scott']",20356
815,201802090ATL,"['Ray Acosta', 'Bill Kennedy', 'Gary Zielinski']",16438
816,201802090BOS,"['Mitchell Ervin', 'Courtney Kirkland', 'Derrick Stafford']",18624
817,201802090CHI,"['James Capers Jr.', 'Derek Richardson', 'Josh Tiven']",21558
818,201802090DET,"['Mike Callahan', 'David Guthrie', 'Brett Nansel']",16697
819,201802090HOU,"['Jacyn Goble', 'Rodney Mott', 'James Williams']",18055
820,201802090MIA,"['Bennie Adams', 'Tyler Ford', 'Aaron Smith']",20018
821,201802090PHI,"['Matt Boland', 'Sean Corbin', 'Justin Van Duyne']",20489
822,201802090SAC,"['Brent Barnaky', 'Scott Twardoski', 'Sean Wright']",17583
823,201802090UTA,"['Curtis Blair', 'Jason Phillips', 'Michael Smith']",18306
824,201802100BRK,"['Ed Malloy', 'Jonathan Sterling', 'Ben Taylor']",16572
825,201802100CHI,"['Karl Lane', 'Ken Mauer', 'Dedric Taylor']",21112
826,201802100DAL,"['Tony Brown', 'Kane Fitzgerald', 'Jason Goldenberg']",20162
827,201802100GSW,"['Derrick Collins', 'Kevin Cutler', 'Marc Davis']",19596
828,201802100ORL,"['Ray Acosta', 'Mark Lindsay', 'Leroy Richardson']",18347
829,201802100PHI,"['J.B. DeRosa', 'Brian Forte', 'Pat Fraher']",20504
830,201802100PHO,"['John Goble', 'Lauren Holtkamp-Sterling', 'Marat Kogut']",16325
831,201802110ATL,"['Bennie Adams', 'Mitchell Ervin', 'Michael Smith']",15214
832,201802110BOS,"['Eric Lewis', 'Scott Wall', 'Zach Zarba']",18624
833,201802110CHO,"['Bill Kennedy', 'Courtney Kirkland', 'Derek Richardson']",18320
834,201802110HOU,"['Curtis Blair', 'James Capers Jr.', 'Gediminas Petraitis']",18055
835,201802110IND,"['Brett Nansel', 'Kevin Scott', 'James Williams']",17923
836,201802110MIN,"['Matt Boland', 'J.B. DeRosa', 'Tom Washington']",18068
837,201802110OKC,"['Brent Barnaky', 'Jacyn Goble', 'Sean Wright']",18203
838,201802110POR,"['Mark Ayotte', 'David Guthrie', 'C.J. Washington']",19730
839,201802120BRK,"['Sean Corbin', 'Justin Van Duyne', 'James Williams']",13735
840,201802120CHI,"['Mike Callahan', 'Tyler Ford', 'Jason Goldenberg']",18611
841,201802120DET,"['Ray Acosta', 'Karl Lane', 'Derrick Stafford']",14453
842,201802120GSW,"['Mark Ayotte', 'David Guthrie', 'C.J. Washington']",19596
843,201802120PHI,"['Courtney Kirkland', 'Ed Malloy', 'Dedric Taylor']",20589
844,201802120UTA,"['Tony Brown', 'Tre Maddox', 'Rodney Mott']",18306
845,201802130DAL,"['Mitchell Ervin', 'Mark Lindsay', 'Kevin Scott']",19801
846,201802130DEN,"['J.T. Orr', 'Tom Washington', 'Gary Zielinski']",17623
847,201802130MIL,"['Jacyn Goble', 'Gediminas Petraitis', 'Jason Phillips']",14720
848,201802130MIN,"['Derrick Collins', 'Aaron Smith', 'Sean Wright']",18978
849,201802130OKC,"['James Capers Jr.', 'Pat Fraher', 'Derek Richardson']",18203
850,201802130TOR,"['Brian Forte', 'Leroy Richardson', 'Scott Wall']",19800
851,201802140BOS,"['Brent Barnaky', 'Karl Lane', 'Ken Mauer']",18624
852,201802140BRK,"['Bennie Adams', 'J.B. DeRosa', 'Marat Kogut']",13159
853,201802140CHI,"['Kevin Cutler', 'Lauren Holtkamp-Sterling', 'Zach Zarba']",21006
854,201802140DET,"['Ben Taylor', 'Justin Van Duyne', 'James Williams']",15849
855,201802140HOU,"['Sean Corbin', 'Courtney Kirkland', 'Tre Maddox']",18055
856,201802140MEM,"['Matt Boland', 'David Guthrie', 'C.J. Washington']",16012
857,201802140NOP,"['Mitchell Ervin', 'John Goble', 'Michael Smith']",15436
858,201802140NYK,"['Curtis Blair', 'Mike Callahan', 'Josh Tiven']",19812
859,201802140ORL,"['Nick Buchert', 'Derrick Stafford', 'Haywoode Workman']",18428
860,201802140PHI,"['Ray Acosta', 'Tony Brothers', 'Gediminas Petraitis']",20492
861,201802140POR,"['Tony Brown', 'Bill Spooner', 'Leon Wood']",19520
862,201802140UTA,"['Ron Garretson', 'Bill Kennedy', 'Scott Twardoski']",18306
863,201802150MIL,"['Derrick Collins', 'Scott Wall', 'Sean Wright']",15486
864,201802150MIN,"['James Capers Jr.', 'Kevin Scott', 'Justin Van Duyne']",17534
865,201802220CHI,"['Scott Foster', 'Marat Kogut', 'Aaron Smith']",21312
866,201802220CHO,"['Ron Garretson', 'Jacyn Goble', 'Ed Malloy']",14112
867,201802220CLE,"['Rodney Mott', 'Jason Phillips', 'Scott Twardoski']",20562
868,201802220GSW,"['Nick Buchert', 'Mike Callahan', 'Gediminas Petraitis']",19596
869,201802220ORL,"['Bennie Adams', 'Ken Mauer', 'Leon Wood']",18846
870,201802220SAC,"['Marc Davis', 'Eric Lewis', 'Dedric Taylor']",17583
871,201802230DEN,"['Tony Brothers', 'J.B. DeRosa', 'Ben Taylor']",20027
872,201802230DET,"['Matt Boland', 'Mark Lindsay', 'Sean Wright']",20491
873,201802230HOU,"['Derrick Collins', 'Bill Kennedy', 'Leroy Richardson']",18055
874,201802230IND,"['David Guthrie', 'Rodney Mott', 'Derek Richardson']",17923
875,201802230LAL,"['Marc Davis', 'Eric Lewis', 'Dedric Taylor']",18997
876,201802230MEM,"['Tony Brown', 'Brian Forte', 'Tre Maddox']",18119
877,201802230NOP,"['Curtis Blair', 'James Williams', 'Gary Zielinski']",17751
878,201802230PHO,"['Courtney Kirkland', 'Jonathan Sterling', 'Zach Zarba']",17126
879,201802230TOR,"['Lauren Holtkamp-Sterling', 'Kevin Scott', 'Derrick Stafford']",20047
880,201802230UTA,"['Kevin Cutler', 'J.T. Orr', 'Bill Spooner']",18306
881,201802230WAS,"['Brent Barnaky', 'Mitchell Ervin', 'John Goble']",17824
882,201802240GSW,"['Scott Foster', 'Pat Fraher', 'Scott Wall']",19596
883,201802240MIA,"['Bennie Adams', 'Josh Tiven', 'Leon Wood']",19600
884,201802240MIN,"['Mark Ayotte', 'Ed Malloy', 'Brett Nansel']",18978
885,201802240NYK,"['Kane Fitzgerald', 'Tyler Ford', 'Marat Kogut']",19812
886,201802240PHI,"['Ron Garretson', 'Karl Lane', 'Scott Twardoski']",20594
887,201802240PHO,"['Tony Brothers', 'J.B. DeRosa', 'Ben Taylor']",17112
888,201802240SAC,"['Nick Buchert', 'Mike Callahan', 'Gediminas Petraitis']",17583
889,201802240UTA,"['Courtney Kirkland', 'Jonathan Sterling', 'Zach Zarba']",18306
890,201802250CHO,"['Rodney Mott', 'Leroy Richardson', 'Bill Spooner']",17894
891,201802250CLE,"['Mark Lindsay', 'Ken Mauer', 'Derek Richardson']",20562
892,201802250DEN,"['Marc Davis', 'Eric Lewis', 'Dedric Taylor']",20044
893,201802250MIL,"['Brian Forte', 'Bill Kennedy', 'Tre Maddox']",18717
894,201802250WAS,"['Matt Boland', 'Tony Brown', 'Derrick Stafford']",17180
895,201802260ATL,"['Bennie Adams', 'Josh Tiven', 'Haywoode Workman']",16328
896,201802260BOS,"['Derrick Collins', 'Scott Twardoski', 'James Williams']",18624
897,201802260BRK,"['Brent Barnaky', 'David Guthrie', 'Leon Wood']",15081
898,201802260DAL,"['Tony Brothers', 'Ben Taylor', 'C.J. Washington']",19536
899,201802260NOP,"['Kevin Cutler', 'Aaron Smith', 'Sean Wright']",14302
900,201802260NYK,"['Jason Phillips', 'Derek Richardson', 'Kevin Scott']",19812
901,201802260OKC,"['Mark Ayotte', 'Jonathan Sterling', 'Zach Zarba']",18203
902,201802260SAC,"['Scott Foster', 'Pat Fraher', 'Scott Wall']",17583
903,201802260TOR,"['Ron Garretson', 'Marat Kogut', 'J.T. Orr']",19800
904,201802260UTA,"['Nick Buchert', 'Mike Callahan', 'Gediminas Petraitis']",18306
905,201802270CHO,"['Tony Brown', 'Ken Mauer', 'Haywoode Workman']",14521
906,201802270CLE,"['Matt Boland', 'Kane Fitzgerald', 'Leroy Richardson']",20562
907,201802270DEN,"['Mark Ayotte', 'Tre Maddox', 'Derrick Stafford']",15004
908,201802270MIA,"['Lauren Holtkamp-Sterling', 'Rodney Mott', 'Bill Spooner']",19600
909,201802270MIL,"['Curtis Blair', 'Mark Lindsay', 'Ed Malloy']",16093
910,201802270POR,"['Bill Kennedy', 'Justin Van Duyne', 'Gary Zielinski']",19468
911,201802280ATL,"['Derrick Collins', 'John Goble', 'Scott Twardoski']",13316
912,201802280BOS,"['Ron Garretson', 'J.T. Orr', 'Tom Washington']",18624
913,201802280DAL,"['Bennie Adams', 'Mike Callahan', 'Kevin Cutler']",20202
914,201802280DET,"['Sean Corbin', 'Jason Goldenberg', 'Jason Phillips']",16146
915,201802280LAC,"['Scott Foster', 'Pat Fraher', 'Scott Wall']",19068
916,201802280MEM,"['Curtis Blair', 'James Capers Jr.', 'Michael Smith']",13484
917,201802280ORL,"['Tony Brothers', 'Brett Nansel', 'Josh Tiven']",17328
918,201802280SAS,"['Jacyn Goble', 'Courtney Kirkland', 'Zach Zarba']",18418
919,201802280WAS,"['Marc Davis', 'Brian Forte', 'Leon Wood']",20356
920,201803010CLE,"['Eric Lewis', 'Ed Malloy', 'J.T. Orr']",20562
921,201803010MIA,"['Tony Brown', 'David Guthrie', 'Aaron Smith']",19600
922,201803010POR,"['Nick Buchert', 'Karl Lane', 'Derrick Stafford']",19533
923,201803010SAC,"['Mark Ayotte', 'Bill Kennedy', 'Derek Richardson']",17583
924,201803020ATL,"['Courtney Kirkland', 'Brett Nansel', 'Sean Wright']",16728
925,201803020CHI,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Michael Smith']",21017
926,201803020LAC,"['Karl Lane', 'Mark Lindsay', 'Bill Spooner']",17190
927,201803020MEM,"['Tony Brothers', 'Kevin Cutler', 'Marat Kogut']",16421
928,201803020MIL,"['Bennie Adams', 'James Capers Jr.', 'Justin Van Duyne']",17217
929,201803020ORL,"['Mitchell Ervin', 'Brian Forte', 'David Guthrie']",17223
930,201803020PHI,"['Jason Goldenberg', 'James Williams', 'Gary Zielinski']",20487
931,201803020PHO,"['Tyler Ford', 'Ken Mauer', 'Scott Wall']",18055
932,201803020UTA,"['Brent Barnaky', 'Kane Fitzgerald', 'Tre Maddox']",18306
933,201803020WAS,"['Sean Corbin', 'Scott Twardoski', 'Zach Zarba']",18631
934,201803030CLE,"['Gediminas Petraitis', 'Aaron Smith', 'James Williams']",20562
935,201803030HOU,"['Tony Brown', 'Ed Malloy', 'Dedric Taylor']",18476
936,201803030MIA,"['Kevin Scott', 'Tom Washington', 'Haywoode Workman']",19600
937,201803030ORL,"['Eric Lewis', 'J.T. Orr', 'Ben Taylor']",17875
938,201803030POR,"['Derrick Collins', 'Ron Garretson', 'Derek Richardson']",20063
939,201803030SAC,"['Tyler Ford', 'Mark Lindsay', 'Derrick Stafford']",17583
940,201803030SAS,"['Marat Kogut', 'Jason Phillips', 'Jonathan Sterling']",18557
941,201803040ATL,"['Matt Boland', 'J.B. DeRosa', 'Bill Kennedy']",15166
942,201803040DAL,"['Mark Ayotte', 'David Guthrie', 'Dedric Taylor']",19798
943,201803040LAC,"['Brent Barnaky', 'Curtis Blair', 'Ken Mauer']",16384
944,201803040MIL,"['Scott Foster', 'Courtney Kirkland', 'Aaron Smith']",15587
945,201803040SAC,"['Derrick Collins', 'Kane Fitzgerald', 'Leon Wood']",17583
946,201803040TOR,"['Ray Acosta', 'James Capers Jr.', 'Michael Smith']",19800
947,201803040WAS,"['Mike Callahan', 'Gediminas Petraitis', 'Gary Zielinski']",16646
948,201803050CHI,"['Sean Corbin', 'Jason Phillips', 'Leroy Richardson']",21286
949,201803050CLE,"['Karl Lane', 'Ben Taylor', 'Zach Zarba']",20562
950,201803050IND,"['J.B. DeRosa', 'Brian Forte', 'Bill Kennedy']",15874
951,201803050LAL,"['Kevin Cutler', 'Tyler Ford', 'Rodney Mott']",18997
952,201803050MIA,"['Nick Buchert', 'Pat Fraher', 'Jacyn Goble']",19600
953,201803050SAS,"['Marc Davis', 'Mark Lindsay', 'Haywoode Workman']",18418
