,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710200MIL,CLE,MIL,CLE,7:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",25,24,24,24,[],97,1,2.0,"['antetgi01', 'middlkh01', 'brogdma01', 'snellto01', 'makerth01', 'dellama01', 'monrogr01', 'terryja01', 'teletmi01', 'hensojo01', 'brownst02', 'vaughra01', 'wilsodj01']","[1, 0]",0,25,30,31,30,[],116,1,3.0,"['jamesle01', 'loveke01', 'wadedw01', 'crowdja01', 'rosede01', 'thomptr01', 'smithjr01', 'korveky01', 'greenje02', 'shumpim01', 'fryech01', 'caldejo01', 'osmande01']","[1, 0]",0,division
201710200MIN,MIN,MIN,UTA,8:00p,"Target Center, Minneapolis, Minnesota",19,27,24,30,[],100,-1,2.0,"['butleji01', 'wiggian01', 'teaguje01', 'townska01', 'gibsota01', 'crawfja01', 'dienggo01', 'jonesty01', 'bjeline01', 'muhamsh01', 'aldrico01', 'brookaa01', 'georgma01']","[0, 1]",0,16,26,23,32,[],97,1,2.0,"['inglejo01', 'goberru01', 'rubiori01', 'favorde01', 'hoodro01', 'sefolth01', 'mitchdo01', 'johnsjo02', 'udohek01', 'burksal01', 'jerebjo01', 'netora01', 'onealro01']","[1, 0]",0,division
201710200NOP,GSW,NOP,GSW,9:30p,"Smoothie King Center, New Orleans, Louisiana",39,25,26,30,[],120,-1,2.0,"['davisan02', 'holidjr01', 'couside01', 'cunnida01', 'mooreet01', 'clarkia01', 'crawfjo02', 'milleda01', 'allento01', 'cookech01', 'diallch01', 'jonesja04']","[0, 1]",0,26,35,37,30,[],128,-1,3.0,"['duranke01', 'thompkl01', 'curryst01', 'greendr01', 'pachuza01', 'iguodan01', 'livinsh01', 'westda01', 'youngni01', 'mcgeeja01', 'belljo01', 'cookqu01', 'mccawpa01']","[0, 1]",0,conference
201710200PHI,BOS,PHI,BOS,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",21,29,22,20,[],92,-1,2.0,"['simmobe01', 'redicjj01', 'bayleje01', 'embiijo01', 'covinro01', 'saricda01', 'fultzma01', 'luwawti01', 'mccontj01', 'johnsam01', 'anderju01', 'okafoja01', 'stausni01']","[0, 1]",0,24,22,23,33,[],102,-2,2.0,"['brownja02', 'horfoal01', 'irvinky01', 'tatumja01', 'baynear01', 'roziete01', 'larkish01', 'birdja01', 'theisda01', 'naderab01', 'yabusgu01', 'ojelese01']","[0, 2]",0,division
201710200PHO,LAL,PHO,LAL,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",36,37,26,31,[],130,-1,2.0,"['bookede01', 'warretj01', 'bledser01', 'chandty01', 'jacksjo02', 'jamesmi02', 'lenal01', 'bendedr01', 'chrisma01', 'danietr01', 'jonesde02', 'peteral01', 'ulisty01']","[0, 1]",0,40,30,36,26,[],132,-1,1.0,"['balllo01', 'ingrabr01', 'breweco01', 'lopezbr01', 'nancela02', 'kuzmaky01', 'clarkjo01', 'randlju01', 'bogutan01', 'carusal01', 'ennisty01', 'hartjo01', 'caldwke01']","[0, 1]",0,division
201710200WAS,WAS,WAS,DET,7:00p,"Capital One Arena, Washington, District of Columbia",29,29,33,24,[],115,1,2.0,"['porteot01', 'oubreke01', 'bealbr01', 'gortama01', 'walljo01', 'scottmi01', 'meeksjo01', 'fraziti01', 'mahinia01', 'felixca01', 'mcculch01', 'satorto01', 'youngmi02']","[1, 0]",0,31,34,16,30,[],111,1,2.0,"['harrito02', 'bradlav01', 'jacksre01', 'drumman01', 'johnsst04', 'leuerjo01', 'kennalu01', 'smithis01', 'moreler01', 'gallola01', 'ellenhe01', 'tollian01']","[1, 0]",0,conference
201710210CHI,SAS,CHI,SAS,8:00p,"United Center, Chicago, Illinois",21,17,17,22,[],77,-1,2.0,"['markkla01', 'holidju01', 'grantje02', 'lopezro01', 'zipsepa01', 'valende01', 'feliccr01', 'nwabada01', 'feldeka01', 'arcidry01', 'blakean01', 'pondequ01']","[0, 1]",0,19,22,24,22,[],87,1,3.0,"['aldrila01', 'anderky01', 'greenda02', 'murrade01', 'gasolpa01', 'ginobma01', 'gayru01', 'millspa02', 'lauvejo01', 'forbebr01', 'paulbr01', 'bertada01', 'whitede01']","[1, 0]",0,none
201710210CLE,ORL,CLE,ORL,8:00p,"Quicken Loans Arena, Cleveland, Ohio",18,27,20,28,[],93,2,1.0,"['jamesle01', 'loveke01', 'crowdja01', 'wadedw01', 'caldejo01', 'shumpim01', 'thomptr01', 'greenje02', 'smithjr01', 'korveky01', 'fryech01', 'osmande01', 'zizican01']","[2, 0]",0,36,20,32,26,[],114,-1,1.0,"['vucevni01', 'augusdj01', 'fournev01', 'rosste01', 'isaacjo01', 'hezonma01', 'macksh01', 'simmojo02', 'speigma01', 'biyombi01', 'iwundwe01', 'afflaar01', 'birchkh01']","[1, 1]",0,conference
201710210DEN,DEN,DEN,SAC,9:00p,"Pepsi Center, Denver, Colorado",17,25,24,30,[],96,-1,3.0,"['jokicni01', 'harriga01', 'chandwi01', 'millspa01', 'murraja01', 'bartowi01', 'mudiaem01', 'farieke01', 'plumlma01', 'hernaju01', 'lylestr01', 'beaslma01', 'arthuda01']","[0, 1]",0,18,16,18,27,[],79,1,1.0,"['caulewi01', 'hillge01', 'hieldbu01', 'randoza01', 'jacksju01', 'foxde01', 'labissk01', 'masonfr01', 'templga01', 'koufoko01', 'richama01', 'sampsja02', 'cartevi01']","[1, 1]",0,conference
201710210HOU,HOU,HOU,DAL,8:00p,"Toyota Center, Houston, Texas",33,29,30,15,[],107,2,3.0,"['hardeja01', 'arizatr01', 'gordoer01', 'anderry01', 'capelca01', 'tuckepj01', 'mbahalu01', 'jacksde01', 'blackta01', 'hilarne01', 'qizh01', 'brownbo02', 'willitr02']","[2, 0]",0,20,19,19,33,[],91,-2,1.0,"['ferreyo01', 'barneha02', 'matthwe02', 'nowitdi01', 'finnedo01', 'clavegi01', 'bareajo01', 'poweldw01', 'noelne01', 'klebima01', 'witheje01', 'mejrisa01']","[0, 2]",0,division
201710210LAC,LAC,LAC,PHO,10:30p,"STAPLES Center, Los Angeles, California",23,35,32,40,[],130,1,2.0,"['gallida01', 'jordade01', 'griffbl01', 'beverpa01', 'teodomi01', 'riverau01', 'willilo02', 'johnswe01', 'dekkesa01', 'reedwi02', 'harremo01', 'thornsi01', 'johnsbr02']","[1, 0]",0,18,26,20,24,[],88,-2,1.0,"['bookede01', 'jacksjo02', 'chandty01', 'bledser01', 'warretj01', 'lenal01', 'jamesmi02', 'bendedr01', 'chrisma01', 'danietr01', 'ulisty01', 'jonesde02', 'peteral01']","[0, 2]",0,division
