,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510300ATL,ATL,ATL,CHO,8:00p,"Philips Arena, Atlanta, Georgia",29,24,23,21,[],97,1,1.0,"['millspa01', 'horfoal01', 'teaguje01', 'schrode01', 'bazemke01', 'pattela01', 'sefolth01', 'splitti01', 'scottmi01', 'tavarwa01', 'macksh01', 'hardati02', 'holidju01']","[1, 1]",0,22,30,17,25,[],94,-1,2.0,"['willima02', 'walkeke02', 'batumni01', 'jeffeal01', 'hairspj02', 'linje01', 'hawessp01', 'zelleco01', 'lambje01', 'kaminfr01', 'roberbr01', 'harriaa01', 'hansbty01']","[0, 1]",0,division,961631775,892586756,73971675.0,68660519.6923077
201510300BOS,TOR,BOS,TOR,7:30p,"TD Garden, Boston, Massachusetts",26,28,21,28,[],103,1,2.0,"['crowdja01', 'bradlav01', 'smartma01', 'leeda02', 'zellety01', 'thomais02', 'turneev01', 'johnsam01', 'olynyke01', 'sullija01', 'jerebjo01', 'roziete01', 'hunterj01']","[1, 0]",0,26,28,30,29,[],113,1,2.0,"['derozde01', 'carrode01', 'lowryky01', 'valanjo01', 'scolalu01', 'pattepa01', 'rosste01', 'josepco01', 'biyombi01', 'johnsja01', 'bennean01', 'powelno01', 'wrighde01']","[1, 0]",0,division,696028303,1132685053,53540638.692307696,87129619.46153846
201510300CLE,CLE,CLE,MIA,7:00p,"Quicken Loans Arena, Cleveland, Ohio",29,18,29,26,[],102,1,2.0,"['jamesle01', 'loveke01', 'willima01', 'smithjr01', 'mozgoti01', 'dellama01', 'thomptr01', 'jefferi01', 'varejan01', 'cunnija01', 'harrijo01', 'jonesja02', 'kaunsa01']","[1, 1]",0,23,19,25,25,[],92,1,2.0,"['whiteha01', 'dragigo01', 'boshch01', 'wadedw01', 'denglu01', 'winslju01', 'greenge01', 'chalmma01', 'mcrobjo01', 'stoudam01', 'ennisja01', 'johnsty01', 'hasleud01']","[1, 0]",0,conference,1315128624,1295324532,101163740.3076923,99640348.61538461
201510300DEN,MIN,DEN,MIN,9:00p,"Pepsi Center, Denver, Colorado",16,23,24,15,[],78,1,2.0,"['gallida01', 'farieke01', 'mudiaem01', 'harriga01', 'lauvejo01', 'bartowi01', 'arthuda01', 'nelsoja01', 'jokicni01', 'millemi01', 'foyera01', 'greener01', 'hicksjj01']","[1, 0]",0,26,23,30,16,[],95,1,2.0,"['townska01', 'wiggian01', 'rubiori01', 'princta01', 'garneke01', 'bjeline01', 'martike02', 'lavinza01', 'muhamsh01', 'dienggo01', 'rudezda01', 'millean02', 'paynead01']","[1, 0]",0,division,786917468,1197807854,60532112.92307692,92139065.6923077
201510300DET,DET,DET,CHI,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",23,12,29,19,[],98,2,2.0,"['morrima03', 'drumman01', 'caldwke01', 'jacksre01', 'ilyaser01', 'tollian01', 'blakest01', 'bullore01', 'baynear01', 'johnsst04', 'dinwisp01', 'hillida01', 'anthojo01']","[2, 0]",0,19,20,25,19,[],94,2,2.0,"['butleji01', 'mirotni01', 'rosede01', 'gasolpa01', 'snellto01', 'gibsota01', 'mooreet01', 'brookaa01', 'noahjo01', 'mcderdo01', 'portibo01', 'feliccr01', 'hinriki01']","[2, 0]",0,division,685880335,1123091775,52760025.76923077,86391675.0
201510300HOU,GSW,HOU,GSW,9:30p,"Toyota Center, Houston, Texas",29,15,21,27,[],92,-1,2.0,"['hardeja01', 'lawsoty01', 'arizatr01', 'howardw01', 'joneste01', 'breweco01', 'harremo01', 'beverpa01', 'capelca01', 'mcdankj01', 'dekkesa01', 'thornma01', 'terryja01']","[0, 1]",0,30,27,24,31,[],112,1,3.0,"['greendr01', 'curryst01', 'barneha02', 'ezelife01', 'thompkl01', 'iguodan01', 'livinsh01', 'barbole01', 'speigma01', 'mcadoja01', 'thompja02', 'rushbr01', 'clarkia01']","[1, 0]",0,conference,1072073784,1121756802,82467214.15384616,86288984.76923077
201510300MIL,WAS,MIL,WAS,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",33,32,27,21,[],113,-1,2.0,"['middlkh01', 'cartemi01', 'monrogr01', 'antetgi01', 'obryajo01', 'bayleje01', 'vasqugr01', 'plumlmi01', 'copelch01', 'inglida01', 'vaughra01', 'mayooj01', 'hensojo01']","[0, 1]",0,22,39,21,36,[],118,1,2.0,"['walljo01', 'porteot01', 'bealbr01', 'gortama01', 'humphkr01', 'sessira01', 'dudleja01', 'nealga01', 'hilarne01', 'goodedr01', 'oubreke01', 'templga01', 'blairde01']","[1, 0]",0,conference,651085781,1108619521,50083521.615384616,85278424.6923077
201510300ORL,OKC,ORL,OKC,7:00p,"Amway Center, Orlando, Florida",35,32,26,24,[9],136,-1,2.0,"['oladivi01', 'harrito02', 'vucevni01', 'fournev01', 'paytoel01', 'watsocj01', 'gordoaa01', 'hezonma01', 'dedmode01', 'napiesh01', 'nichoan01', 'smithja02', 'fryech01']","[0, 1]",0,31,22,22,42,[9],139,1,2.0,"['duranke01', 'westbru01', 'adamsst01', 'ibakase01', 'roberan03', 'waitedi01', 'augusdj01', 'kanteen01', 'morroan01', 'singlky01', 'novakst01', 'mcgarmi01', 'collini01']","[1, 0]",0,none,877015234,1271932336,67462710.3076923,97840948.92307693
201510300PHI,UTA,PHI,UTA,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",19,14,20,18,[],71,-1,2.0,"['okafoja01', 'noelne01', 'thompho01', 'canaais01', 'sampsja02', 'mccontj01', 'grantje01', 'stausni01', 'holmeri01', 'woodch01', 'covinro01', 'marshke01']","[0, 1]",0,28,22,24,25,[],99,-1,2.0,"['goberru01', 'haywago01', 'favorde01', 'hoodro01', 'netora01', 'burketr01', 'burksal01', 'booketr01', 'inglejo01', 'lylestr01', 'millsel01', 'johnsch04', 'pleisti01']","[0, 1]",0,none,295991731,731070063,24665977.583333332,56236158.692307696
201510300PHO,PHO,PHO,POR,10:30p,"Talking Stick Resort Arena, Phoenix, Arizona",27,28,28,27,[],110,-1,2.0,"['morrima02', 'bledser01', 'knighbr03', 'chandty01', 'tuckepj01', 'warretj01', 'lenal01', 'weemsso01', 'leuerjo01', 'pricero01', 'goodwar01', 'bookede01', 'teletmi01']","[0, 1]",0,23,26,20,23,[],92,1,2.0,"['lillada01', 'mccolcj01', 'aminual01', 'plumlma01', 'leoname01', 'harklma01', 'crabbal01', 'vonleno01', 'davised01', 'connapa01', 'fraziti01', 'montelu01', 'kamanch01']","[1, 0]",0,conference,809720214,846916212,62286170.307692304,65147400.92307692
