,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb1xBet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb1xBet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,
201510310WAS,74.61928934010153,76.35933806146572,76.35933806146572,77.52808988764045,77.52808988764045,79.38144329896907,78.11816192560175,78.11816192560175,27.397260273972602,25.773195876288657,25.97402597402597,27.027027027027028,26.666666666666668,26.595744680851062,26.666666666666668,26.31578947368421
201511010BOS,32.362459546925564,31.05590062111801,31.84713375796178,31.25,31.25,33.557046979865774,32.25806451612903,33.33333333333333,70.41420118343196,70.93023255813954,70.41420118343196,73.54497354497354,72.45179063360881,72.45179063360881,71.42857142857143,71.42857142857143
201511010CHI,76.905311778291,78.11816192560175,78.72340425531915,80.0,79.38144329896907,80.65764023210832,79.38144329896907,80.0,25.31645569620253,23.809523809523807,23.923444976076556,24.449877750611247,25.64102564102564,25.380710659898476,25.0,24.449877750611247
201511010CHO,46.728971962616825,45.248868778280546,45.87155963302752,48.07692307692308,46.728971962616825,48.07692307692308,46.728971962616825,46.728971962616825,55.55555555555556,56.896551724137936,56.52173913043478,56.896551724137936,57.446808510638306,58.15899581589959,57.446808510638306,58.15899581589959
201511010LAL,39.0625,38.31417624521073,38.61003861003861,39.37007874015748,37.735849056603776,40.48582995951417,38.46153846153847,37.735849056603776,63.63636363636363,63.63636363636363,64.15770609318996,65.75342465753424,65.39792387543253,65.39792387543253,64.53900709219859,66.66666666666666
201511010MIA,62.121212121212125,63.63636363636363,62.121212121212125,63.63636363636363,64.15770609318996,64.91228070175438,63.23529411764706,64.53900709219859,40.16064257028113,38.31417624521073,40.16064257028113,40.816326530612244,38.46153846153847,41.32231404958678,40.0,40.0
201511010OKC,91.74236168455822,91.74236168455822,92.5925925925926,91.74236168455822,93.4597776324395,92.5925925925926,93.4597776324395,91.74236168455822,10.526315789473683,10.319917440660474,9.70873786407767,11.76470588235294,11.11111111111111,13.054830287206268,11.11111111111111,12.903225806451612
201511010TOR,70.41420118343196,69.41896024464832,71.42857142857143,70.93023255813954,72.45179063360881,71.91011235955057,71.42857142857143,72.45179063360881,32.362459546925564,32.6797385620915,31.05590062111801,33.89830508474576,31.25,34.129692832764505,32.25806451612903,32.25806451612903
201511020BRK,49.01960784313725,49.504950495049506,49.504950495049506,50.495049504950494,50.0,51.45631067961165,50.0,50.0,53.48837209302325,52.60663507109005,53.271028037383175,54.337899543378995,54.54545454545454,54.337899543378995,54.54545454545454,54.54545454545454
201511020GSW,82.63888888888889,79.38144329896907,81.30841121495327,84.02555910543131,83.33333333333334,85.46511627906976,83.33333333333334,84.02555910543131,20.2020202020202,22.727272727272727,21.008403361344538,20.833333333333336,22.22222222222222,20.833333333333336,21.052631578947366,20.0
201511020HOU,39.0625,36.36363636363637,38.16793893129771,39.37007874015748,37.735849056603776,40.0,37.735849056603776,37.735849056603776,63.63636363636363,65.75342465753424,64.15770609318996,65.39792387543253,65.39792387543253,65.75342465753424,64.91228070175438,66.66666666666666
201511020LAC,82.63888888888889,79.38144329896907,81.30841121495327,83.33333333333334,83.33333333333334,84.02555910543131,81.98198198198197,83.33333333333334,19.646365422396855,22.727272727272727,21.141649048625794,21.27659574468085,22.22222222222222,22.271714922049,22.22222222222222,21.052631578947366
