,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb10x10bet,impliedProb1xBet,impliedProbCoolbet,impliedProbCurebet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb10x10bet,impliedProb1xBet,impliedProbCoolbet,impliedProbCurebet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,
202012290PHI,NaN,NaN,54.337899543378995,NaN,54.95495495495496,NaN,53.70370370370371,52.83018867924528,54.54545454545454,54.54545454545454,54.95495495495496,54.54545454545454,55.55555555555556,NaN,NaN,49.504950495049506,NaN,50.0,NaN,49.01960784313725,49.504950495049506,49.504950495049506,50.0,50.98039215686274,50.0,49.01960784313725
202012290PHO,NaN,NaN,58.15899581589959,NaN,55.947136563876654,NaN,55.55555555555556,55.15695067264574,55.947136563876654,55.55555555555556,57.08154506437768,55.55555555555556,58.15899581589959,NaN,NaN,45.45454545454545,NaN,49.01960784313725,NaN,47.16981132075472,47.16981132075472,48.54368932038835,49.01960784313725,49.01960784313725,49.01960784313725,46.728971962616825
202012290SAC,NaN,NaN,52.38095238095239,NaN,53.271028037383175,NaN,51.21951219512195,52.15311004784689,53.271028037383175,53.48837209302325,53.48837209302325,52.60663507109005,53.48837209302325,NaN,NaN,51.21951219512195,NaN,51.92307692307693,NaN,51.21951219512195,50.24875621890548,51.21951219512195,51.21951219512195,52.60663507109005,52.60663507109005,51.21951219512195
202012290WAS,NaN,NaN,71.91011235955057,NaN,72.97297297297297,NaN,71.42857142857143,70.41420118343196,71.42857142857143,70.93023255813954,71.91011235955057,70.93023255813954,73.54497354497354,NaN,NaN,32.05128205128205,NaN,32.05128205128205,NaN,31.05590062111801,32.362459546925564,32.89473684210527,32.89473684210527,33.89830508474576,33.33333333333333,31.25
202012300BOS,NaN,NaN,75.18610421836229,NaN,75.72815533980582,NaN,73.54497354497354,74.61928934010153,75.18610421836229,74.61928934010153,76.905311778291,75.18610421836229,74.09326424870466,NaN,NaN,28.653295128939828,NaN,29.239766081871345,NaN,29.069767441860467,28.57142857142857,28.57142857142857,28.985507246376812,28.985507246376812,29.411764705882355,30.3951367781155
202012300BRK,NaN,NaN,69.41896024464832,NaN,69.96996996996997,NaN,70.41420118343196,69.41896024464832,69.41896024464832,70.93023255813954,70.41420118343196,70.93023255813954,70.41420118343196,NaN,NaN,34.129692832764505,NaN,35.08771929824561,NaN,31.948881789137378,33.33333333333333,34.48275862068966,32.89473684210527,35.842293906810035,33.33333333333333,33.89830508474576
202012300DAL,NaN,NaN,80.0,NaN,78.72340425531915,NaN,76.35933806146572,77.52808988764045,78.72340425531915,77.52808988764045,80.0,78.11816192560175,79.38144329896907,NaN,NaN,23.86634844868735,NaN,26.246719160104988,NaN,26.31578947368421,25.773195876288657,25.31645569620253,25.64102564102564,25.97402597402597,26.666666666666668,25.64102564102564
202012300LAC,NaN,NaN,70.93023255813954,NaN,68.05111821086261,NaN,68.94409937888199,70.41420118343196,69.41896024464832,70.93023255813954,70.93023255813954,71.42857142857143,68.94409937888199,NaN,NaN,32.89473684210527,NaN,37.03703703703704,NaN,31.25,32.467532467532465,34.72222222222222,32.89473684210527,35.08771929824561,32.89473684210527,35.842293906810035
202012300MIA,NaN,NaN,31.15264797507788,NaN,33.557046979865774,NaN,29.585798816568047,30.959752321981426,32.89473684210527,30.3951367781155,32.89473684210527,31.25,31.25,NaN,NaN,72.45179063360881,NaN,71.42857142857143,NaN,72.97297297297297,71.91011235955057,71.42857142857143,72.97297297297297,72.97297297297297,72.97297297297297,73.54497354497354
202012300SAS,NaN,NaN,27.100271002710024,NaN,33.11258278145696,NaN,27.932960893854748,27.77777777777778,26.666666666666668,27.027027027027028,28.57142857142857,27.77777777777778,33.89830508474576,NaN,NaN,76.35933806146572,NaN,71.91011235955057,NaN,74.61928934010153,75.18610421836229,77.52808988764045,76.905311778291,77.52808988764045,76.35933806146572,70.41420118343196
