,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb10x10bet,impliedProb1xBet,impliedProbBetFinal,impliedProbCoolbet,impliedProbCurebet,impliedProbDitobet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbN1 Bet,impliedProbParimatch,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb10x10bet,impliedProb1xBet,impliedProbBetFinal,impliedProbCoolbet,impliedProbCurebet,impliedProbDitobet,impliedProbGGBET,impliedProbLasbet,impliedProbMarathonbet,impliedProbN1 Bet,impliedProbParimatch,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110200PHO,73.54497354497354,70.93023255813954,70.41420118343196,70.41420118343196,72.97297297297297,NaN,70.41420118343196,72.45179063360881,69.96996996996997,NaN,70.41420118343196,69.41896024464832,70.41420118343196,71.42857142857143,71.42857142857143,70.93023255813954,70.41420118343196,31.746031746031743,30.864197530864196,34.48275862068966,33.557046979865774,31.25,NaN,33.33333333333333,30.58103975535168,30.3951367781155,NaN,33.33333333333333,33.11258278145696,34.72222222222222,32.89473684210527,34.48275862068966,33.33333333333333,33.89830508474576
202110200POR,70.41420118343196,70.41420118343196,72.45179063360881,71.42857142857143,69.96996996996997,NaN,72.45179063360881,69.41896024464832,71.42857142857143,NaN,71.91011235955057,71.42857142857143,71.42857142857143,72.97297297297297,72.97297297297297,72.45179063360881,73.54497354497354,34.84320557491289,31.05590062111801,32.25806451612903,32.6797385620915,34.24657534246575,NaN,31.25,33.670033670033675,31.05590062111801,NaN,31.746031746031743,31.545741324921135,32.89473684210527,30.3951367781155,32.89473684210527,31.746031746031743,31.25
202110200SAS,69.96996996996997,72.45179063360881,73.54497354497354,71.91011235955057,69.96996996996997,NaN,71.91011235955057,68.94409937888199,73.54497354497354,NaN,73.54497354497354,72.97297297297297,72.97297297297297,72.97297297297297,74.61928934010153,73.54497354497354,73.54497354497354,35.3356890459364,28.901734104046245,31.25,32.05128205128205,34.24657534246575,NaN,31.746031746031743,34.129692832764505,29.069767441860467,NaN,30.3951367781155,29.850746268656714,30.76923076923077,30.3951367781155,31.25,30.76923076923077,31.25
202110200TOR,61.68582375478927,57.08154506437768,57.80590717299579,57.08154506437768,61.38996138996139,NaN,58.50622406639005,60.629921259842526,57.80590717299579,NaN,60.317460317460316,56.896551724137936,57.80590717299579,58.50622406639005,58.50622406639005,58.50622406639005,58.15899581589959,43.66812227074236,44.44444444444444,46.2962962962963,47.16981132075472,42.91845493562232,NaN,45.248868778280546,42.5531914893617,44.843049327354265,NaN,45.45454545454545,45.662100456621005,46.2962962962963,45.45454545454545,47.61904761904761,45.45454545454545,46.728971962616825
202110200UTA,88.49252013808976,90.08919722497522,91.74236168455822,92.5925925925926,88.49252013808976,NaN,90.9090909090909,87.71498771498771,90.9090909090909,NaN,92.5925925925926,91.74236168455822,94.34069043576685,92.5925925925926,93.4597776324395,92.5925925925926,90.08919722497522,16.528925619834713,11.76470588235294,12.5,11.428571428571429,15.625,NaN,12.77139208173691,15.267175572519085,11.904761904761903,NaN,11.11111111111111,11.481056257175661,10.526315789473683,11.76470588235294,12.21001221001221,11.76470588235294,14.285714285714285
202110210ATL,59.83935742971887,57.08154506437768,57.80590717299579,58.50622406639005,59.51417004048582,NaN,56.14035087719298,58.8477366255144,57.446808510638306,NaN,57.446808510638306,56.896551724137936,58.15899581589959,58.50622406639005,58.50622406639005,58.50622406639005,58.8477366255144,45.45454545454545,44.44444444444444,46.2962962962963,45.45454545454545,44.843049327354265,NaN,47.61904761904761,44.44444444444444,45.04504504504504,NaN,46.728971962616825,45.662100456621005,45.87155963302752,45.45454545454545,47.61904761904761,45.45454545454545,45.45454545454545
202110210GSW,61.68582375478927,63.23529411764706,64.15770609318996,64.53900709219859,61.38996138996139,NaN,63.23529411764706,60.629921259842526,64.53900709219859,NaN,63.63636363636363,63.63636363636363,64.91228070175438,64.91228070175438,64.53900709219859,64.53900709219859,61.68582375478927,43.66812227074236,38.02281368821293,40.0,39.682539682539684,42.91845493562232,NaN,40.32258064516129,42.5531914893617,38.02281368821293,NaN,41.66666666666667,39.0625,40.0,37.735849056603776,40.32258064516129,38.46153846153847,42.5531914893617
202110210MIA,49.01960784313725,57.08154506437768,58.8477366255144,58.8477366255144,49.01960784313725,NaN,58.50622406639005,48.07692307692308,57.446808510638306,NaN,61.68582375478927,58.8477366255144,58.50622406639005,58.50622406639005,59.83935742971887,58.50622406639005,57.08154506437768,56.14035087719298,44.44444444444444,45.87155963302752,45.248868778280546,55.55555555555556,NaN,45.248868778280546,54.95495495495496,42.73504273504273,NaN,44.052863436123346,44.052863436123346,45.45454545454545,45.45454545454545,46.08294930875576,45.45454545454545,47.61904761904761
202110220BOS,NaN,71.91011235955057,73.54497354497354,73.54497354497354,NaN,NaN,72.45179063360881,NaN,74.09326424870466,NaN,75.18610421836229,74.09326424870466,72.45179063360881,74.61928934010153,75.72815533980582,74.09326424870466,74.09326424870466,NaN,29.585798816568047,30.3951367781155,30.3951367781155,NaN,NaN,31.25,NaN,28.57142857142857,NaN,30.76923076923077,28.901734104046245,32.25806451612903,28.985507246376812,30.3951367781155,30.3951367781155,30.3951367781155
202110220CHI,NaN,70.41420118343196,72.45179063360881,71.91011235955057,NaN,NaN,70.41420118343196,NaN,73.54497354497354,NaN,72.45179063360881,71.42857142857143,71.42857142857143,72.97297297297297,73.54497354497354,72.45179063360881,70.41420118343196,NaN,31.05590062111801,32.25806451612903,32.05128205128205,NaN,NaN,35.587188612099645,NaN,29.239766081871345,NaN,31.746031746031743,31.446540880503143,32.89473684210527,30.3951367781155,32.89473684210527,31.746031746031743,33.89830508474576
