index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
4269;Detroit Pistons - Houston Rockets;William Hill;+170;-200;Saturday, 31 Jan 2015, 23:30;Final result 114:101 (32:27, 27:19, 27:23, 28:32);1;Detroit Pistons;Houston Rockets;31 Jan 2015;114;101;2014-2015
4292;Indiana Pacers - Sacramento Kings;bet-at-home;-227;+174;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4293;Indiana Pacers - Sacramento Kings;bet365;-233;+190;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4294;Indiana Pacers - Sacramento Kings;bwin;-222;+179;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4295;Indiana Pacers - Sacramento Kings;Marathonbet;-196;+179;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4296;Indiana Pacers - Sacramento Kings;Pinnacle;-222;+200;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4297;Indiana Pacers - Sacramento Kings;Unibet;-227;+185;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4298;Indiana Pacers - Sacramento Kings;William Hill;-233;+190;Saturday, 31 Jan 2015, 23:00;Final result 94:99 (21:34, 29:30, 17:15, 27:20);1;Indiana Pacers;Sacramento Kings;31 Jan 2015; 94;99 ;2014-2015
4321;Orlando Magic - Dallas Mavericks;bet-at-home;+225;-303;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4322;Orlando Magic - Dallas Mavericks;bet365;+250;-312;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
