,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710190LAL,31.347962382445143,33.33333333333333,34.48275862068966,31.84713375796178,32.89473684210527,32.25806451612903,33.670033670033675,32.25806451612903,35.842293906810035,70.93023255813954,71.42857142857143,67.53246753246754,70.41420118343196,70.93023255813954,71.42857142857143,72.45179063360881,71.42857142857143,68.94409937888199,0.30649702412773083,0.3181818181818181,0.3380158033362599,0.3114288873327682,0.31682876510462715,0.31111111111111106,0.3172771848860687,0.31111111111111106,0.3420510314644458,0.6935029758722692,0.6818181818181819,0.6619841966637402,0.6885711126672318,0.6831712348953728,0.6888888888888889,0.6827228151139313,0.6888888888888889,0.6579489685355542
201710190OKC,89.28188638799571,90.08919722497522,84.7560975609756,87.71498771498771,87.71498771498771,90.08919722497522,91.74236168455822,90.08919722497522,90.9090909090909,12.5,14.925373134328357,17.24137931034483,14.705882352941178,15.625,14.285714285714285,14.347202295552366,14.285714285714285,13.79310344827586,0.8771883638278267,0.8578733114532419,0.8309626881055453,0.856417131164891,0.8488000594397801,0.8631307650569723,0.8647633022769126,0.8631307650569723,0.8682634730538923,0.12281163617217322,0.1421266885467581,0.16903731189445478,0.143582868835109,0.15119994056021993,0.13686923494302766,0.1352366977230875,0.13686923494302766,0.13173652694610777
201710190TOR,90.08919722497522,92.5925925925926,90.08919722497522,91.74236168455822,91.74236168455822,92.5925925925926,94.34069043576685,92.5925925925926,91.74236168455822,11.76470588235294,12.34567901234568,12.048192771084338,10.787486515641856,11.11111111111111,11.76470588235294,11.79245283018868,11.76470588235294,12.903225806451612,0.8844943048480339,0.8823529411764706,0.8820393513917953,0.8947868673854058,0.891971454058876,0.8872651356993737,0.888890006765951,0.8872651356993737,0.8766959399261804,0.11550569515196611,0.11764705882352942,0.11796064860820463,0.10521313261459413,0.10802854594112399,0.11273486430062629,0.11110999323404908,0.11273486430062629,0.12330406007381951
201710200BRK,57.80590717299579,57.08154506437768,58.50622406639005,55.55555555555556,55.947136563876654,56.52173913043478,57.08154506437768,56.896551724137936,57.08154506437768,43.66812227074236,47.61904761904761,43.66812227074236,47.16981132075472,48.54368932038835,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761,0.5696620848691737,0.5451883661916845,0.5726116795828974,0.5408163265306123,0.5354263026482747,0.5427435387673956,0.5379917512690355,0.5443833464257659,0.5451883661916845,0.4303379151308263,0.4548116338083154,0.4273883204171026,0.45918367346938777,0.46457369735172527,0.4572564612326043,0.46200824873096447,0.45561665357423403,0.4548116338083154
201710200CHO,64.53900709219859,65.75342465753424,66.21621621621621,64.15770609318996,65.39792387543253,65.39792387543253,65.75342465753424,64.91228070175438,66.66666666666666,37.17472118959108,39.37007874015748,35.842293906810035,38.61003861003861,39.37007874015748,37.735849056603776,40.0,37.735849056603776,37.735849056603776,0.6345161875631821,0.625487379437718,0.6488064164016895,0.6242980837855671,0.6242165760798897,0.6341077419763247,0.6217616580310881,0.6323766526926798,0.6385542168674698,0.36548381243681793,0.374512620562282,0.3511935835983105,0.3757019162144329,0.37578342392011027,0.3658922580236754,0.37823834196891193,0.36762334730732027,0.3614457831325302
201710200DAL,64.91228070175438,69.96996996996997,65.39792387543253,69.41896024464832,68.94409937888199,69.96996996996997,70.41420118343196,70.93023255813954,69.41896024464832,36.76470588235294,35.08771929824561,36.63003663003663,33.11258278145696,35.08771929824561,34.48275862068966,35.842293906810035,33.33333333333333,35.08771929824561,0.6384166455214413,0.6660147434933054,0.6409804092077965,0.677049795563632,0.6627212736985441,0.6698721126202042,0.6626813836051176,0.6802973977695168,0.6642538117973202,0.36158335447855877,0.33398525650669475,0.3590195907922034,0.32295020443636796,0.3372787263014559,0.33012788737979576,0.3373186163948823,0.31970260223048325,0.3357461882026798
201710200IND,36.496350364963504,35.842293906810035,33.557046979865774,34.96503496503497,35.08771929824561,35.842293906810035,36.36363636363637,35.842293906810035,33.89830508474576,65.39792387543253,69.41896024464832,68.45425867507886,67.53246753246754,68.94409937888199,68.94409937888199,69.41896024464832,68.94409937888199,70.41420118343196,0.35817861834766873,0.3405079503920527,0.32895419546313015,0.34113060428849906,0.3372787263014559,0.3420510314644458,0.3437582128777924,0.3420510314644458,0.3249687530045188,0.6418213816523313,0.6594920496079473,0.6710458045368698,0.658869395711501,0.6627212736985441,0.6579489685355542,0.6562417871222076,0.6579489685355542,0.6750312469954812
201710200MIL,48.07692307692308,53.48837209302325,49.01960784313725,52.38095238095239,52.15311004784689,52.38095238095239,54.12844036697248,54.54545454545454,49.01960784313725,53.70370370370371,51.21951219512195,53.271028037383175,50.0,52.15311004784689,52.38095238095239,52.15311004784689,50.0,55.55555555555556,0.4723582925122463,0.5108342361863488,0.4792189179505553,0.5116279069767442,0.5,0.5,0.5092929126053197,0.5217391304347826,0.46875,0.5276417074877536,0.4891657638136511,0.5207810820494446,0.4883720930232558,0.5,0.5,0.49070708739468033,0.47826086956521746,0.53125
201710200MIN,64.15770609318996,65.75342465753424,64.91228070175438,64.53900709219859,65.39792387543253,65.39792387543253,66.21621621621621,64.53900709219859,65.75342465753424,37.735849056603776,39.37007874015748,37.17472118959108,37.87878787878788,39.37007874015748,37.735849056603776,40.0,38.46153846153847,38.46153846153847,0.6296542111900179,0.625487379437718,0.6358525522264102,0.630154233553667,0.6242165760798897,0.6341077419763247,0.6234096692111959,0.6265889830508474,0.6309403437815975,0.3703457888099821,0.374512620562282,0.36414744777358976,0.369845766446333,0.37578342392011027,0.3658922580236754,0.3765903307888041,0.3734110169491526,0.3690596562184025
201710200NOP,21.27659574468085,22.22222222222222,20.833333333333336,21.69197396963124,22.22222222222222,23.52941176470588,23.25581395348837,22.22222222222222,21.78649237472767,81.98198198198197,82.63888888888889,81.30841121495327,80.65764023210832,81.30841121495327,81.98198198198197,82.63888888888889,81.98198198198197,83.33333333333334,0.206051605717468,0.2119205298013245,0.20396492565764396,0.21193996810651933,0.21464393179538618,0.22300351582119537,0.21961262772609424,0.21325648414985593,0.20725388601036265,0.793948394282532,0.7880794701986754,0.7960350743423561,0.7880600318934807,0.7853560682046139,0.7769964841788046,0.7803873722739058,0.7867435158501441,0.7927461139896373
