,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210190TOR,59.183673469387756,57.08154506437768,58.50622406639005,58.50622406639005,58.8477366255144,57.80590717299579,58.15899581589959,58.15899581589959,57.446808510638306,57.08154506437768,59.183673469387756,58.50622406639005,59.183673469387756,58.50622406639005,58.8477366255144,46.08294930875576,44.44444444444444,45.45454545454545,45.662100456621005,46.728971962616825,45.248868778280546,45.45454545454545,45.662100456621005,45.248868778280546,47.16981132075472,46.08294930875576,45.45454545454545,46.728971962616825,45.45454545454545,45.45454545454545,0.5622263914946842,0.5622357914513856,0.5627721335268505,0.5616508121282672,0.5573931732905905,0.5609240973007023,0.5613069016152716,0.5601847592057563,0.5593887691009656,0.5475376728289576,0.5622263914946842,0.5627721335268505,0.558797046641455,0.5627721335268505,0.5642037302725968,0.4377736085053158,0.43776420854861436,0.4372278664731495,0.4383491878717328,0.44260682670940954,0.43907590269929786,0.4386930983847283,0.4398152407942437,0.44061123089903437,0.45246232717104246,0.4377736085053158,0.4372278664731495,0.4412029533585449,0.4372278664731495,0.43579626972740315
202210190MIN,86.20689655172413,84.7560975609756,86.96219035202087,85.46511627906976,86.96219035202087,85.46511627906976,86.20689655172413,88.49252013808976,85.46511627906976,84.02555910543131,86.20689655172413,86.96219035202087,89.28188638799571,86.20689655172413,84.7560975609756,18.867924528301888,17.123287671232877,18.01801801801802,18.726591760299627,17.543859649122805,17.543859649122805,17.699115044247787,15.748031496062993,17.88908765652952,19.646365422396855,18.867924528301888,18.181818181818183,16.666666666666664,18.181818181818183,20.0,0.8204334365325078,0.8319258834139542,0.8283674770914217,0.8202679261844552,0.8321258946354703,0.8296861075353995,0.8296622613803231,0.8489260537364289,0.826914755517092,0.8104948325028608,0.8204334365325078,0.8270769924473002,0.8426909458775924,0.8258258258258258,0.8090803259604191,0.17956656346749228,0.16807411658604576,0.17163252290857825,0.17973207381554476,0.1678741053645297,0.17031389246460044,0.17033773861967694,0.151073946263571,0.17308524448290785,0.18950516749713925,0.17956656346749228,0.1729230075526998,0.15730905412240767,0.1741741741741742,0.1909196740395809
202210190SAS,51.45631067961165,50.0,52.38095238095239,50.98039215686274,51.21951219512195,50.495049504950494,50.73891625615764,50.73891625615764,50.73891625615764,51.21951219512195,51.45631067961165,51.21951219512195,51.92307692307693,51.21951219512195,52.38095238095239,53.70370370370371,51.92307692307693,51.92307692307693,53.271028037383175,54.12844036697248,52.60663507109005,52.83018867924528,53.271028037383175,51.92307692307693,52.83018867924528,53.70370370370371,53.48837209302325,54.12844036697248,53.70370370370371,52.38095238095239,0.48931441272012305,0.490566037735849,0.5021949078138718,0.4890138864475303,0.4861937128292268,0.4897596941561988,0.48990397559005655,0.48782754957507085,0.4942327212328135,0.49226006191950467,0.48931441272012305,0.4891657638136511,0.4896023956080519,0.48816185966422726,0.5,0.5106855872798769,0.5094339622641509,0.4978050921861282,0.5109861135524697,0.5138062871707731,0.5102403058438012,0.5100960244099435,0.5121724504249292,0.5057672787671864,0.5077399380804953,0.5106855872798769,0.5108342361863488,0.510397604391948,0.5118381403357727,0.5
202210190UTA,32.89473684210527,30.58103975535168,31.25,32.25806451612903,32.89473684210527,32.05128205128205,32.25806451612903,31.446540880503143,32.05128205128205,31.746031746031743,32.89473684210527,31.25,32.25806451612903,31.25,30.76923076923077,72.45179063360881,70.93023255813954,72.97297297297297,71.91011235955057,71.42857142857143,70.93023255813954,71.42857142857143,72.45179063360881,70.93023255813954,72.45179063360881,72.45179063360881,72.97297297297297,73.54497354497354,72.97297297297297,73.54497354497354,0.312252692426797,0.3012575752268189,0.29983792544570503,0.30967292971468335,0.3153153153153153,0.3112333526346265,0.31111111111111106,0.3026664665566061,0.3112333526346265,0.3046707793025305,0.312252692426797,0.29983792544570503,0.304887885142765,0.29983792544570503,0.29496683573936794,0.6877473075732029,0.698742424773181,0.7001620745542949,0.6903270702853167,0.6846846846846846,0.6887666473653734,0.6888888888888889,0.6973335334433938,0.6887666473653734,0.6953292206974695,0.6877473075732029,0.7001620745542949,0.6951121148572351,0.7001620745542949,0.705033164260632
202210190PHO,64.53900709219859,62.825278810408925,64.53900709219859,64.15770609318996,64.53900709219859,63.63636363636363,62.546816479400746,64.15770609318996,63.63636363636363,64.15770609318996,64.53900709219859,64.15770609318996,64.91228070175438,63.63636363636363,64.53900709219859,40.816326530612244,38.759689922480625,39.682539682539684,40.0,40.0,39.37007874015748,37.735849056603776,40.0,39.37007874015748,40.0,40.816326530612244,39.37007874015748,40.98360655737705,39.37007874015748,40.0,0.612584146173925,0.6184505404102011,0.6192482177576151,0.6159669649002064,0.6173677069199458,0.6177901320361362,0.6237051652455782,0.6159669649002064,0.6177901320361362,0.6159669649002064,0.612584146173925,0.6197148542921789,0.6129820749592613,0.6177901320361362,0.6173677069199458,0.38741585382607496,0.3815494595897989,0.38075178224238493,0.38403303509979353,0.38263229308005425,0.38220986796386386,0.3762948347544219,0.38403303509979353,0.38220986796386386,0.38403303509979353,0.38741585382607496,0.38028514570782107,0.3870179250407388,0.38220986796386386,0.38263229308005425
202210190SAC,60.9375,58.8477366255144,61.38996138996139,60.629921259842526,58.8477366255144,59.83935742971887,62.121212121212125,60.629921259842526,59.83935742971887,58.50622406639005,60.9375,61.68582375478927,61.68582375478927,60.9375,60.629921259842526,44.44444444444444,42.73504273504273,42.5531914893617,43.66812227074236,45.45454545454545,43.290043290043286,41.49377593360996,43.290043290043286,42.91845493562232,45.87155963302752,44.44444444444444,41.66666666666667,44.44444444444444,42.5531914893617,44.44444444444444,0.5782537067545305,0.5793081956995949,0.5906109223109144,0.5813140803745096,0.5642037302725968,0.5802356749102311,0.5995388629330745,0.5834290025256668,0.5823338980492141,0.5605237244246691,0.5782537067545305,0.5968489341983317,0.5812274368231047,0.5888210729200128,0.5770191507077436,0.42174629324546953,0.4206918043004051,0.40938907768908556,0.41868591962549034,0.43579626972740315,0.41976432508976885,0.4004611370669256,0.4165709974743333,0.4176661019507859,0.439476275575331,0.42174629324546953,0.40315106580166826,0.4187725631768953,0.41117892707998716,0.4229808492922564
202210200PHI,64.15770609318996,62.825278810408925,64.53900709219859,63.23529411764706,63.63636363636363,62.825278810408925,62.121212121212125,64.53900709219859,64.53900709219859,64.15770609318996,64.15770609318996,63.63636363636363,65.39792387543253,63.23529411764706,63.63636363636363,41.1522633744856,38.759689922480625,39.682539682539684,40.98360655737705,41.66666666666667,40.16064257028113,38.02281368821293,39.682539682539684,38.16793893129771,40.0,41.1522633744856,40.0,40.65040650406504,40.0,40.816326530612244,0.609227278457078,0.6184505404102011,0.6192482177576151,0.6067545685866296,0.6043165467625898,0.6100375465707948,0.6203187021802912,0.6192482177576151,0.6283801591903432,0.6159669649002064,0.609227278457078,0.6140350877192983,0.6166803724434304,0.6125356125356125,0.6092362344582593,0.39077272154292203,0.3815494595897989,0.38075178224238493,0.3932454314133703,0.3956834532374101,0.3899624534292051,0.37968129781970894,0.38075178224238493,0.3716198408096568,0.38403303509979353,0.39077272154292203,0.3859649122807018,0.38331962755656945,0.3874643874643875,0.39076376554174064
202210200LAL,39.37007874015748,36.76470588235294,37.735849056603776,38.46153846153847,39.37007874015748,37.735849056603776,37.878787878787875,37.735849056603776,37.03703703703704,39.37007874015748,39.37007874015748,37.03703703703704,38.46153846153847,37.03703703703704,39.37007874015748,66.21621621621621,64.53900709219859,66.21621621621621,65.75342465753424,65.75342465753424,65.39792387543253,65.75342465753424,66.21621621621621,65.39792387543253,64.91228070175438,66.21621621621621,66.66666666666666,67.53246753246754,66.66666666666666,65.39792387543253,0.3728711075279654,0.36291568001647273,0.36301201864115773,0.3690596562184025,0.374512620562282,0.3658922580236754,0.36551171640296415,0.36301201864115773,0.3615663705742525,0.37753344813882633,0.3728711075279654,0.3571428571428572,0.36286522148916117,0.3571428571428572,0.37578342392011027,0.6271288924720346,0.6370843199835272,0.6369879813588422,0.6309403437815975,0.625487379437718,0.6341077419763247,0.6344882835970358,0.6369879813588422,0.6384336294257476,0.6224665518611736,0.6271288924720346,0.6428571428571428,0.6371347785108388,0.6428571428571428,0.6242165760798897
202210210CHO,32.25806451612903,30.58103975535168,32.25806451612903,31.746031746031743,33.33333333333333,31.05590062111801,30.3951367781155,31.545741324921135,30.959752321981426,32.25806451612903,32.25806451612903,31.25,32.25806451612903,31.25,31.25,72.97297297297297,70.93023255813954,71.91011235955057,72.45179063360881,71.42857142857143,71.91011235955057,73.54497354497354,72.45179063360881,71.42857142857143,71.42857142857143,72.97297297297297,72.97297297297297,73.54497354497354,72.97297297297297,73.54497354497354,0.30654515327257664,0.3012575752268189,0.30967292971468335,0.3046707793025305,0.3181818181818181,0.30161312186525685,0.2924293295786851,0.30333163423051535,0.3023758099352052,0.31111111111111106,0.30654515327257664,0.29983792544570503,0.304887885142765,0.29983792544570503,0.2982013253392237,0.6934548467274234,0.698742424773181,0.6903270702853167,0.6953292206974695,0.6818181818181819,0.6983868781347431,0.7075706704213148,0.6966683657694847,0.6976241900647948,0.6888888888888889,0.6934548467274234,0.7001620745542949,0.6951121148572351,0.7001620745542949,0.7017986746607763
202210210IND,55.947136563876654,54.12844036697248,57.80590717299579,55.55555555555556,54.12844036697248,54.95495495495496,55.15695067264574,54.54545454545454,54.54545454545454,53.271028037383175,55.947136563876654,55.55555555555556,55.55555555555556,55.55555555555556,54.54545454545454,49.504950495049506,47.61904761904761,46.728971962616825,49.01960784313725,50.0,48.07692307692308,48.54368932038835,49.504950495049506,48.07692307692308,50.98039215686274,49.504950495049506,49.01960784313725,50.495049504950494,49.01960784313725,50.0,0.5305455598295901,0.531987977672821,0.5529820061111321,0.53125,0.5198237885462554,0.5333781738691777,0.531886309248919,0.5242214532871972,0.5315161839863713,0.5109861135524697,0.5305455598295901,0.53125,0.5238589211618258,0.53125,0.5217391304347826,0.4694544401704099,0.46801202232717903,0.4470179938888679,0.46875,0.48017621145374445,0.46662182613082226,0.4681136907510811,0.4757785467128028,0.46848381601362865,0.4890138864475303,0.4694544401704099,0.46875,0.47614107883817425,0.46875,0.47826086956521746
