,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110200PHO,73.54497354497354,70.93023255813954,70.41420118343196,70.41420118343196,72.97297297297297,,70.41420118343196,72.45179063360881,69.96996996996997,,70.41420118343196,69.41896024464832,70.41420118343196,71.42857142857143,71.42857142857143,70.93023255813954,70.41420118343196,31.746031746031743,30.8641975308642,34.48275862068966,33.557046979865774,31.25,,33.33333333333333,30.58103975535168,30.3951367781155,,33.33333333333333,33.11258278145696,34.72222222222222,32.89473684210527,34.48275862068966,33.33333333333333,33.89830508474576,0.6984924623115578,0.6967987589902693,0.6712701808986578,0.6772468584087697,0.7001620745542949,,0.6787072243346008,0.7031913066941399,0.6971543421519322,,0.6787072243346008,0.677049795563632,0.6697412647541625,0.6846846846846846,0.6744186046511628,0.6802973977695168,0.6750312469954812,0.3015075376884422,0.3032012410097306,0.32872981910134214,0.3227531415912303,0.29983792544570503,,0.3212927756653992,0.2968086933058601,0.3028456578480679,,0.3212927756653992,0.32295020443636796,0.3302587352458376,0.3153153153153153,0.3255813953488372,0.31970260223048325,0.3249687530045188
202110200POR,70.41420118343196,70.41420118343196,72.45179063360881,71.42857142857143,69.96996996996997,,72.45179063360881,69.41896024464832,71.42857142857143,,71.91011235955057,71.42857142857143,71.42857142857143,72.97297297297297,72.97297297297297,72.45179063360881,73.54497354497354,34.84320557491289,31.05590062111801,32.25806451612903,32.6797385620915,34.24657534246575,,31.25,33.670033670033675,31.05590062111801,,31.746031746031743,31.54574132492113,32.89473684210527,30.3951367781155,32.89473684210527,31.746031746031743,31.25,0.6689714610306936,0.6939403817595712,0.6919290503267419,0.6860986547085202,0.6713902265729849,,0.6986551552382534,0.673388667485692,0.696969696969697,,0.6937370956641432,0.6936542669584245,0.6846846846846846,0.7059524755622666,0.6892845146120256,0.6953292206974695,0.7017986746607763,0.33102853896930645,0.3060596182404288,0.3080709496732581,0.3139013452914798,0.3286097734270151,,0.30134484476174667,0.326611332514308,0.303030303030303,,0.3062629043358568,0.3063457330415754,0.3153153153153153,0.29404752443773347,0.31071548538797455,0.3046707793025305,0.2982013253392237
202110200SAS,69.96996996996997,72.45179063360881,73.54497354497354,71.91011235955057,69.96996996996997,,71.91011235955057,68.94409937888199,73.54497354497354,,73.54497354497354,72.97297297297297,72.97297297297297,72.97297297297297,74.61928934010153,73.54497354497354,73.54497354497354,35.3356890459364,28.901734104046245,31.25,32.05128205128205,34.24657534246575,,31.746031746031743,34.129692832764505,29.069767441860467,,30.3951367781155,29.850746268656717,30.76923076923077,30.3951367781155,31.25,30.76923076923077,31.25,0.6644464373885266,0.7148423384499364,0.7017986746607763,0.6917001524179023,0.6713902265729849,,0.6937370956641432,0.668880982251198,0.716709634870196,,0.7075706704213148,0.7096900745390349,0.7034068136272544,0.7059524755622666,0.7048246928378784,0.705033164260632,0.7017986746607763,0.3355535626114733,0.28515766155006367,0.2982013253392237,0.30829984758209783,0.3286097734270151,,0.3062629043358568,0.33111901774880204,0.283290365129804,,0.2924293295786851,0.29030992546096507,0.2965931863727455,0.29404752443773347,0.29517530716212165,0.29496683573936794,0.2982013253392237
202110200TOR,61.68582375478927,57.08154506437768,57.80590717299579,57.08154506437768,61.38996138996139,,58.50622406639005,60.629921259842526,57.80590717299579,,60.31746031746032,56.896551724137936,57.80590717299579,58.50622406639005,58.50622406639005,58.50622406639005,58.15899581589959,43.66812227074236,44.44444444444444,46.2962962962963,47.16981132075472,42.91845493562232,,45.24886877828055,42.5531914893617,44.843049327354265,,45.45454545454545,45.662100456621005,46.2962962962963,45.45454545454545,47.61904761904761,45.45454545454545,46.728971962616825,0.5855103304800775,0.5622357914513856,0.5552803422652557,0.5475376728289576,0.5885427423070202,,0.5638877327590887,0.5875953888618283,0.5631416932406776,,0.5702592087312416,0.5547708605204575,0.5552803422652557,0.5627721335268505,0.551293986222305,0.5627721335268505,0.5544868210118182,0.4144896695199225,0.43776420854861436,0.4447196577347444,0.45246232717104246,0.4114572576929798,,0.43611226724091134,0.41240461113817173,0.4368583067593224,,0.4297407912687585,0.44522913947954246,0.4447196577347444,0.4372278664731495,0.4487060137776949,0.4372278664731495,0.44551317898818177
202110200UTA,88.49252013808976,90.08919722497522,91.74236168455822,92.5925925925926,88.49252013808976,,90.9090909090909,87.71498771498771,90.9090909090909,,92.5925925925926,91.74236168455822,94.34069043576685,92.5925925925926,93.4597776324395,92.5925925925926,90.08919722497522,16.528925619834713,11.76470588235294,12.5,11.428571428571429,15.625,,12.77139208173691,15.267175572519085,11.904761904761903,,11.11111111111111,11.48105625717566,10.526315789473683,11.76470588235294,12.21001221001221,11.76470588235294,14.285714285714285,0.8426138061559917,0.8844943048480339,0.8800871373403307,0.8901322482197355,0.8499291955928574,,0.8768197088465846,0.8517493215801264,0.8842105263157896,,0.8928571428571428,0.8887746939007936,0.8996222342147868,0.8872651356993737,0.8844512492338944,0.8872651356993737,0.8631307650569723,0.1573861938440084,0.11550569515196611,0.11991286265966927,0.10986775178026449,0.1500708044071426,,0.12318029115341546,0.1482506784198736,0.11578947368421053,,0.10714285714285714,0.11122530609920635,0.10037776578521315,0.11273486430062629,0.1155487507661056,0.11273486430062629,0.13686923494302766
202110210ATL,59.83935742971887,57.08154506437768,57.80590717299579,58.50622406639005,59.51417004048582,,56.14035087719298,58.8477366255144,57.44680851063831,,57.44680851063831,56.896551724137936,58.15899581589959,58.50622406639005,58.50622406639005,58.50622406639005,58.8477366255144,45.45454545454545,44.44444444444444,46.2962962962963,45.45454545454545,44.843049327354265,,47.61904761904761,44.44444444444444,45.04504504504504,,46.728971962616825,45.662100456621005,45.87155963302752,45.45454545454545,47.61904761904761,45.45454545454545,45.45454545454545,0.5683079056865464,0.5622357914513856,0.5552803422652557,0.5627721335268505,0.5702927924009672,,0.5410628019323672,0.5697211155378487,0.5605012156349356,,0.551441114716549,0.5547708605204575,0.5590568613704291,0.5627721335268505,0.551293986222305,0.5627721335268505,0.5642037302725968,0.4316920943134535,0.43776420854861436,0.4447196577347444,0.4372278664731495,0.4297072075990328,,0.45893719806763283,0.4302788844621514,0.43949878436506445,,0.44855888528345095,0.44522913947954246,0.4409431386295708,0.4372278664731495,0.4487060137776949,0.4372278664731495,0.43579626972740315
202110210GSW,61.68582375478927,63.23529411764706,64.15770609318996,64.53900709219859,61.38996138996139,,63.23529411764706,60.629921259842526,64.53900709219859,,63.63636363636363,63.63636363636363,64.91228070175438,64.91228070175438,64.53900709219859,64.53900709219859,61.68582375478927,43.66812227074236,38.02281368821293,40.0,39.68253968253968,42.91845493562232,,40.32258064516129,42.5531914893617,38.02281368821293,,41.66666666666667,39.0625,40.0,37.735849056603776,40.32258064516129,38.46153846153847,42.5531914893617,0.5855103304800775,0.6244961069081671,0.6159669649002064,0.6192482177576151,0.5885427423070202,,0.6106275767292716,0.5875953888618283,0.629269318749507,,0.6043165467625898,0.6196403872752421,0.6187290969899666,0.6323766526926798,0.6154685284171485,0.6265889830508474,0.5917728943458199,0.4144896695199225,0.37550389309183274,0.38403303509979353,0.3807517822423849,0.4114572576929798,,0.3893724232707283,0.41240461113817173,0.37073068125049297,,0.3956834532374101,0.380359612724758,0.38127090301003347,0.36762334730732027,0.38453147158285145,0.3734110169491526,0.40822710565418
202110210MIA,49.01960784313725,57.08154506437768,58.8477366255144,58.8477366255144,49.01960784313725,,58.50622406639005,48.07692307692308,57.44680851063831,,61.68582375478927,58.8477366255144,58.50622406639005,58.50622406639005,59.83935742971887,58.50622406639005,57.08154506437768,56.14035087719298,44.44444444444444,45.87155963302752,45.24886877828055,55.55555555555556,,45.24886877828055,54.95495495495496,42.73504273504273,,44.05286343612335,44.05286343612335,45.45454545454545,45.45454545454545,46.08294930875576,45.45454545454545,47.61904761904761,0.46614327772325814,0.5622357914513856,0.5619569528067202,0.5653184981128024,0.46875,,0.5638877327590887,0.46662182613082226,0.5734253040479217,,0.5833798904975497,0.5718891492397948,0.5627721335268505,0.5627721335268505,0.5649363129662957,0.5627721335268505,0.5451883661916845,0.533856722276742,0.43776420854861436,0.43804304719327974,0.4346815018871975,0.53125,,0.43611226724091134,0.5333781738691777,0.42657469595207836,,0.41662010950245026,0.42811085076020505,0.4372278664731495,0.4372278664731495,0.43506368703370435,0.4372278664731495,0.4548116338083154
202110220BOS,,71.91011235955057,73.54497354497354,73.54497354497354,,,72.45179063360881,,74.09326424870466,,75.18610421836229,74.09326424870466,72.45179063360881,74.61928934010153,75.72815533980582,74.09326424870466,74.09326424870466,,29.585798816568047,30.3951367781155,30.3951367781155,,,31.25,,28.57142857142857,,30.76923076923077,28.901734104046245,32.25806451612903,28.98550724637681,30.3951367781155,30.3951367781155,30.3951367781155,,0.7085025546967116,0.7075706704213148,0.7075706704213148,,,0.6986551552382534,,0.7217015140591204,,0.7096018735362998,0.7193870132891331,0.6919290503267419,0.7202300646169141,0.7135865635949057,0.7091051592385489,0.7091051592385489,,0.29149744530328836,0.2924293295786851,0.2924293295786851,,,0.30134484476174667,,0.2782984859408796,,0.2903981264637002,0.2806129867108669,0.3080709496732581,0.2797699353830859,0.28641343640509426,0.29089484076145117,0.29089484076145117
202110220CHI,,70.41420118343196,72.45179063360881,71.91011235955057,,,70.41420118343196,,73.54497354497354,,72.45179063360881,71.42857142857143,71.42857142857143,72.97297297297297,73.54497354497354,72.45179063360881,70.41420118343196,,31.05590062111801,32.25806451612903,32.05128205128205,,,35.587188612099645,,29.239766081871345,,31.746031746031743,31.446540880503143,32.89473684210527,30.3951367781155,32.89473684210527,31.746031746031743,33.89830508474576,,0.6939403817595712,0.6919290503267419,0.6917001524179023,,,0.6642762073144084,,0.7155242481712273,,0.6953292206974695,0.6943231441048034,0.6846846846846846,0.7059524755622666,0.690954280855517,0.6953292206974695,0.6750312469954812,,0.3060596182404288,0.3080709496732581,0.30829984758209783,,,0.3357237926855917,,0.28447575182877266,,0.3046707793025305,0.30567685589519644,0.3153153153153153,0.29404752443773347,0.30904571914448303,0.3046707793025305,0.3249687530045188
