,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb
Bookmaker,1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,
201910230PHI,69.41896024464832,70.41420118343196,NaN,69.96996996996997,70.41420118343196,70.93023255813954,70.93023255813954,71.42857142857143,70.93023255813954,71.42857142857143,32.89473684210527,33.89830508474576,NaN,32.6797385620915,32.362459546925564,33.33333333333333,32.89473684210527,34.36426116838488,33.33333333333333,33.33333333333333
201910230PHO,52.38095238095239,52.60663507109005,NaN,52.83018867924528,52.38095238095239,53.271028037383175,52.38095238095239,54.12844036697248,53.70370370370371,52.38095238095239,50.0,51.21951219512195,NaN,49.504950495049506,50.24875621890548,50.98039215686274,52.38095238095239,51.92307692307693,51.21951219512195,52.38095238095239
201910230POR,49.01960784313725,50.0,NaN,48.54368932038835,50.0,49.504950495049506,50.0,50.98039215686274,49.01960784313725,50.0,53.70370370370371,54.12844036697248,NaN,54.12844036697248,52.83018867924528,54.337899543378995,54.54545454545454,54.95495495495496,55.55555555555556,54.54545454545454
201910230SAS,84.7560975609756,86.20689655172413,NaN,84.7560975609756,84.7560975609756,85.46511627906976,86.96219035202087,88.49252013808976,86.20689655172413,85.46511627906976,18.34862385321101,17.88908765652952,NaN,17.88908765652952,18.21493624772313,17.88908765652952,17.391304347826086,17.152658662092623,18.181818181818183,19.047619047619047
201910230UTA,80.65764023210832,80.0,NaN,80.65764023210832,80.65764023210832,79.38144329896907,81.30841121495327,82.63888888888889,81.30841121495327,81.98198198198197,22.421524663677133,24.096385542168676,NaN,21.978021978021978,22.727272727272727,25.64102564102564,21.78649237472767,23.58490566037736,23.52941176470588,23.094688221709006
201910240DET,53.70370370370371,54.54545454545454,NaN,53.70370370370371,53.70370370370371,54.95495495495496,54.54545454545454,54.95495495495496,54.54545454545454,54.54545454545454,48.54368932038835,49.504950495049506,NaN,49.01960784313725,48.54368932038835,50.0,50.0,50.98039215686274,50.0,50.0
201910240GSW,50.24875621890548,51.45631067961165,NaN,50.0,50.24875621890548,49.504950495049506,51.21951219512195,52.15311004784689,50.0,51.21951219512195,52.15311004784689,52.38095238095239,NaN,52.60663507109005,52.15311004784689,54.337899543378995,53.48837209302325,53.70370370370371,54.54545454545454,53.48837209302325
201910240HOU,52.83018867924528,56.14035087719298,NaN,53.48837209302325,53.271028037383175,52.83018867924528,54.54545454545454,54.54545454545454,54.54545454545454,55.55555555555556,49.504950495049506,48.07692307692308,NaN,49.01960784313725,49.504950495049506,50.98039215686274,50.0,51.45631067961165,50.0,49.01960784313725
201910250BOS,57.446808510638306,58.8477366255144,59.51417004048582,58.15899581589959,58.15899581589959,59.83935742971887,58.50622406639005,58.8477366255144,57.446808510638306,58.8477366255144,44.642857142857146,45.45454545454545,45.04504504504504,44.44444444444444,44.44444444444444,44.052863436123346,45.45454545454545,47.16981132075472,46.728971962616825,45.45454545454545
201910250BRK,78.11816192560175,78.11816192560175,76.35933806146572,76.905311778291,76.35933806146572,79.38144329896907,77.52808988764045,80.0,77.52808988764045,78.11816192560175,25.906735751295333,25.97402597402597,28.40909090909091,25.64102564102564,26.455026455026452,25.64102564102564,25.97402597402597,26.246719160104988,27.027027027027028,26.31578947368421
