,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290PHO,88.49252013808976,90.08919722497522,91.74236168455822,90.9090909090909,90.9090909090909,,91.74236168455822,91.74236168455822,13.157894736842104,11.961722488038278,12.5,13.333333333333334,14.925373134328357,,12.5,12.5,0.8705573926773319,0.8827867252771763,0.8800871373403307,0.872093023255814,0.858974358974359,,0.8800871373403307,0.8800871373403307,0.12944260732266807,0.11721327472282372,0.11991286265966927,0.12790697674418605,0.14102564102564102,,0.11991286265966927,0.11991286265966927
201410290POR,81.30841121495327,82.63888888888889,81.98198198198197,81.98198198198197,81.98198198198197,,81.98198198198197,84.7560975609756,20.833333333333336,20.0,22.22222222222222,23.52941176470588,24.271844660194176,,22.22222222222222,23.52941176470588,0.7960350743423561,0.8051420838971584,0.7867435158501441,0.7769964841788046,0.7715673361870267,,0.7867435158501441,0.7827095064590924,0.20396492565764396,0.19485791610284167,0.21325648414985593,0.22300351582119537,0.22843266381297336,,0.21325648414985593,0.21729049354090757
201410290SAC,34.01360544217687,36.90036900369004,37.735849056603776,37.03703703703704,39.0625,,37.45318352059925,37.03703703703704,68.05111821086261,65.39792387543253,67.10526315789474,66.66666666666666,67.10526315789474,,65.75342465753424,67.53246753246754,0.33325525436000086,0.36071343875984474,0.3599336964243429,0.3571428571428572,0.36793183578621225,,0.36289520779479023,0.35418583256669733,0.6667447456399992,0.6392865612401553,0.6400663035756572,0.6428571428571428,0.6320681642137878,,0.6371047922052099,0.6458141674333027
201410290TOR,64.91228070175438,64.91228070175438,64.53900709219859,64.15770609318996,65.75342465753424,,64.91228070175438,66.66666666666666,37.03703703703704,37.59398496240601,40.32258064516129,38.46153846153847,40.32258064516129,,37.735849056603776,37.735849056603776,0.6367112810707457,0.6332518337408313,0.6154685284171485,0.6252015045674368,0.6198708602374505,,0.6323766526926798,0.6385542168674698,0.3632887189292543,0.3667481662591687,0.38453147158285145,0.3747984954325632,0.3801291397625495,,0.36762334730732027,0.3614457831325302
201410290UTA,40.0,42.19409282700422,45.45454545454545,42.5531914893617,45.04504504504504,,43.66812227074236,42.5531914893617,61.38996138996139,60.31746031746032,59.18367346938776,60.629921259842526,60.9375,,60.31746031746032,61.68582375478927,0.3945163747143945,0.41160329282634256,0.43439716312056736,0.41240461113817173,0.42502324345862663,,0.41994400746567123,0.40822710565418,0.6054836252856054,0.5883967071736574,0.5656028368794327,0.5875953888618283,0.5749767565413734,,0.5800559925343288,0.5917728943458199
201410300CLE,91.74236168455822,92.5925925925926,93.4597776324395,93.4597776324395,92.5925925925926,,93.4597776324395,94.34069043576685,10.319917440660474,9.75609756097561,10.0,11.11111111111111,13.333333333333334,,11.11111111111111,10.526315789473683,0.8988860769217282,0.9046778464254193,0.903344079903913,0.8937456567060458,0.8741258741258742,,0.8937456567060458,0.8996222342147868,0.10111392307827184,0.09532215357458076,0.09665592009608699,0.10625434329395414,0.1258741258741259,,0.10625434329395414,0.10037776578521315
201410300DAL,86.96219035202087,86.20689655172413,87.71498771498771,86.96219035202087,87.71498771498771,,87.71498771498771,87.71498771498771,15.384615384615383,16.233766233766232,16.420361247947454,18.181818181818183,18.51851851851852,,16.666666666666664,16.666666666666664,0.8496815286624204,0.8415300546448088,0.8423171246702026,0.8270769924473002,0.8256810005139626,,0.8403295409964692,0.8403295409964692,0.15031847133757958,0.15846994535519127,0.1576828753297974,0.1729230075526998,0.17431899948603735,,0.15967045900353077,0.15967045900353077
201410300LAC,90.9090909090909,92.5925925925926,93.4597776324395,93.4597776324395,93.4597776324395,,93.4597776324395,93.4597776324395,11.11111111111111,10.362694300518134,10.526315789473683,11.11111111111111,12.5,,11.11111111111111,11.11111111111111,0.8910891089108911,0.8993476234855545,0.898771889172101,0.8937456567060458,0.8820307075071367,,0.8937456567060458,0.8937456567060458,0.10891089108910891,0.10065237651444547,0.10122811082789897,0.10625434329395414,0.11796929249286321,,0.10625434329395414,0.10625434329395414
201410300MIN,68.05111821086261,68.45425867507886,69.41896024464832,69.96996996996997,69.96996996996997,,68.05111821086261,68.05111821086261,34.01360544217687,33.89830508474576,35.842293906810035,34.48275862068966,36.36363636363637,,36.36363636363637,36.36363636363637,0.6667447456399992,0.6688084417280469,0.6594920496079473,0.6698721126202042,0.6580231065468549,,0.6517385257301808,0.6517385257301808,0.33325525436000086,0.3311915582719532,0.3405079503920527,0.33012788737979576,0.34197689345314514,,0.34826147426981924,0.34826147426981924
201410300ORL,34.01360544217687,37.17472118959108,38.46153846153847,37.03703703703704,39.37007874015748,,37.03703703703704,37.03703703703704,68.05111821086261,65.39792387543253,66.66666666666666,66.66666666666666,66.66666666666666,,66.66666666666666,67.53246753246754,0.33325525436000086,0.36242334558131956,0.3658536585365854,0.3571428571428572,0.37128712871287134,,0.3571428571428572,0.35418583256669733,0.6667447456399992,0.6375766544186805,0.6341463414634145,0.6428571428571428,0.6287128712871287,,0.6428571428571428,0.6458141674333027
