,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb
Bookmaker,1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,
201710180WAS,71.91011235955057,74.09326424870466,71.91011235955057,72.45179063360881,75.18610421836229,73.54497354497354,74.09326424870466,73.54497354497354,75.18610421836229,30.3951367781155,30.76923076923077,30.211480362537763,29.850746268656714,28.985507246376812,30.76923076923077,31.746031746031743,30.76923076923077,29.411764705882355
201710190LAL,31.347962382445143,33.33333333333333,34.48275862068966,31.84713375796178,32.89473684210527,32.25806451612903,33.670033670033675,32.25806451612903,35.842293906810035,70.93023255813954,71.42857142857143,67.53246753246754,70.41420118343196,70.93023255813954,71.42857142857143,72.45179063360881,71.42857142857143,68.94409937888199
201710190OKC,89.28188638799571,90.08919722497522,84.7560975609756,87.71498771498771,87.71498771498771,90.08919722497522,91.74236168455822,90.08919722497522,90.9090909090909,12.5,14.925373134328357,17.24137931034483,14.705882352941178,15.625,14.285714285714285,14.347202295552366,14.285714285714285,13.793103448275861
201710190TOR,90.08919722497522,92.5925925925926,90.08919722497522,91.74236168455822,91.74236168455822,92.5925925925926,94.34069043576685,92.5925925925926,91.74236168455822,11.76470588235294,12.345679012345679,12.048192771084338,10.787486515641856,11.11111111111111,11.76470588235294,11.79245283018868,11.76470588235294,12.903225806451612
201710200BRK,57.80590717299579,57.08154506437768,58.50622406639005,55.55555555555556,55.947136563876654,56.52173913043478,57.08154506437768,56.896551724137936,57.08154506437768,43.66812227074236,47.61904761904761,43.66812227074236,47.16981132075472,48.54368932038835,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761
201710200CHO,64.53900709219859,65.75342465753424,66.21621621621621,64.15770609318996,65.39792387543253,65.39792387543253,65.75342465753424,64.91228070175438,66.66666666666666,37.174721189591075,39.37007874015748,35.842293906810035,38.61003861003861,39.37007874015748,37.735849056603776,40.0,37.735849056603776,37.735849056603776
201710200DAL,64.91228070175438,69.96996996996997,65.39792387543253,69.41896024464832,68.94409937888199,69.96996996996997,70.41420118343196,70.93023255813954,69.41896024464832,36.76470588235294,35.08771929824561,36.63003663003663,33.11258278145696,35.08771929824561,34.48275862068966,35.842293906810035,33.33333333333333,35.08771929824561
201710200IND,36.496350364963504,35.842293906810035,33.557046979865774,34.96503496503497,35.08771929824561,35.842293906810035,36.36363636363637,35.842293906810035,33.89830508474576,65.39792387543253,69.41896024464832,68.45425867507886,67.53246753246754,68.94409937888199,68.94409937888199,69.41896024464832,68.94409937888199,70.41420118343196
201710200MIL,48.07692307692308,53.48837209302325,49.01960784313725,52.38095238095239,52.15311004784689,52.38095238095239,54.12844036697248,54.54545454545454,49.01960784313725,53.70370370370371,51.21951219512195,53.271028037383175,50.0,52.15311004784689,52.38095238095239,52.15311004784689,50.0,55.55555555555556
201710200MIN,64.15770609318996,65.75342465753424,64.91228070175438,64.53900709219859,65.39792387543253,65.39792387543253,66.21621621621621,64.53900709219859,65.75342465753424,37.735849056603776,39.37007874015748,37.174721189591075,37.878787878787875,39.37007874015748,37.735849056603776,40.0,38.46153846153847,38.46153846153847
201710200NOP,21.27659574468085,22.22222222222222,20.833333333333336,21.69197396963124,22.22222222222222,23.52941176470588,23.25581395348837,22.22222222222222,21.78649237472767,81.98198198198197,82.63888888888889,81.30841121495327,80.65764023210832,81.30841121495327,81.98198198198197,82.63888888888889,81.98198198198197,83.33333333333334
201710200PHI,58.15899581589959,59.51417004048582,54.337899543378995,59.51417004048582,59.83935742971887,59.83935742971887,60.9375,60.317460317460316,58.15899581589959,43.66812227074236,45.45454545454545,47.61904761904761,42.91845493562232,44.44444444444444,43.66812227074236,45.248868778280546,43.66812227074236,46.728971962616825
