,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,
201810220POR,64.91228070175438,66.66666666666666,65.39792387543253,65.39792387543253,67.10526315789474,65.39792387543253,67.10526315789474,66.66666666666666,65.39792387543253,37.174721189591075,37.03703703703704,36.63003663003663,37.174721189591075,37.03703703703704,37.03703703703704,39.0625,37.03703703703704,39.37007874015748
201810220TOR,79.38144329896907,80.65764023210832,80.0,80.0,81.30841121495327,80.0,81.98198198198197,81.30841121495327,80.0,22.321428571428573,23.25581395348837,21.978021978021978,22.52252252252252,22.22222222222222,22.727272727272727,24.271844660194176,23.52941176470588,24.449877750611247
201810220UTA,83.33333333333334,85.46511627906976,84.02555910543131,84.02555910543131,85.46511627906976,84.7560975609756,86.96219035202087,86.20689655172413,86.20689655172413,18.01801801801802,18.51851851851852,17.699115044247787,18.181818181818183,18.51851851851852,18.181818181818183,19.011406844106464,18.181818181818183,18.181818181818183
201810230DEN,87.71498771498771,87.71498771498771,87.71498771498771,88.49252013808976,89.28188638799571,89.28188638799571,90.9090909090909,90.08919722497522,90.08919722497522,13.698630136986301,16.420361247947454,14.084507042253522,13.717421124828533,14.285714285714285,14.285714285714285,15.151515151515152,14.814814814814813,14.285714285714285
201810230DET,50.98039215686274,51.21951219512195,50.73891625615764,49.504950495049506,52.15311004784689,50.0,52.15311004784689,52.60663507109005,51.21951219512195,50.73891625615764,52.60663507109005,51.21951219512195,52.83018867924528,52.15311004784689,52.38095238095239,54.12844036697248,52.60663507109005,53.48837209302325
201810230NOP,68.94409937888199,69.96996996996997,69.41896024464832,69.96996996996997,71.42857142857143,69.41896024464832,69.96996996996997,69.96996996996997,70.41420118343196,32.89473684210527,34.48275862068966,32.467532467532465,32.89473684210527,32.89473684210527,34.48275862068966,36.101083032490976,34.48275862068966,33.89830508474576
201810240ATL,49.504950495049506,50.0,48.07692307692308,47.61904761904761,48.07692307692308,49.01960784313725,49.01960784313725,47.61904761904761,47.61904761904761,53.70370370370371,54.12844036697248,54.12844036697248,54.95495495495496,56.14035087719298,55.55555555555556,57.08154506437768,56.896551724137936,57.08154506437768
201810240CHI,37.174721189591075,38.46153846153847,37.03703703703704,37.59398496240601,37.735849056603776,37.03703703703704,40.0,37.03703703703704,37.735849056603776,64.91228070175438,65.75342465753424,64.91228070175438,64.91228070175438,66.66666666666666,65.39792387543253,66.21621621621621,66.66666666666666,66.66666666666666
201810240CLE,59.183673469387756,59.51417004048582,59.183673469387756,59.183673469387756,60.629921259842526,58.8477366255144,60.317460317460316,60.317460317460316,61.68582375478927,42.91845493562232,45.45454545454545,42.91845493562232,43.290043290043286,43.66812227074236,44.44444444444444,45.662100456621005,43.66812227074236,42.5531914893617
201810240GSW,83.33333333333334,84.7560975609756,84.02555910543131,84.02555910543131,84.7560975609756,84.7560975609756,86.20689655172413,84.7560975609756,85.46511627906976,18.34862385321101,19.230769230769234,18.01801801801802,18.21493624772313,18.867924528301888,18.181818181818183,19.646365422396855,19.047619047619047,19.047619047619047
201810240HOU,52.15311004784689,54.95495495495496,52.60663507109005,52.38095238095239,54.54545454545454,52.38095238095239,53.70370370370371,53.70370370370371,54.54545454545454,50.0,49.504950495049506,49.504950495049506,50.0,49.504950495049506,50.0,52.38095238095239,51.21951219512195,50.0
201810240MIA,76.905311778291,78.72340425531915,77.52808988764045,77.52808988764045,78.11816192560175,77.52808988764045,80.0,78.72340425531915,79.38144329896907,24.509803921568626,25.0,24.096385542168676,24.691358024691358,25.97402597402597,25.0,26.041666666666668,26.31578947368421,25.64102564102564
201810240MIL,67.10526315789474,70.41420118343196,68.45425867507886,68.45425867507886,70.41420118343196,66.66666666666666,70.41420118343196,70.93023255813954,71.42857142857143,34.72222222222222,33.557046979865774,33.557046979865774,34.01360544217687,33.89830508474576,35.842293906810035,35.587188612099645,33.33333333333333,33.33333333333333
201810240PHO,33.33333333333333,38.46153846153847,34.48275862068966,35.08771929824561,35.842293906810035,34.72222222222222,37.878787878787875,36.36363636363637,35.842293906810035,70.41420118343196,65.75342465753424,67.53246753246754,67.10526315789474,68.45425867507886,69.41896024464832,68.05111821086261,68.05111821086261,68.94409937888199
