,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910230PHI,69.41896024464832,70.41420118343196,,69.96996996996997,70.41420118343196,70.93023255813954,70.93023255813954,71.42857142857143,70.93023255813954,71.42857142857143,32.89473684210527,33.89830508474576,,32.6797385620915,32.362459546925564,33.33333333333333,32.89473684210527,34.36426116838488,33.33333333333333,33.33333333333333,0.6784913674440555,0.6750312469954812,,0.6816382722422991,0.6851185929086472,0.6802973977695168,0.6831712348953728,0.6751740139211136,0.6802973977695168,0.6818181818181819,0.3215086325559445,0.3249687530045188,,0.3183617277577009,0.31488140709135287,0.31970260223048325,0.31682876510462715,0.3248259860788863,0.31970260223048325,0.3181818181818181
201910230PHO,52.38095238095239,52.60663507109005,,52.83018867924528,52.38095238095239,53.271028037383175,52.38095238095239,54.12844036697248,53.70370370370371,52.38095238095239,50.0,51.21951219512195,,49.50495049504951,50.24875621890548,50.98039215686274,52.38095238095239,51.92307692307693,51.21951219512195,52.38095238095239,0.5116279069767442,0.5066800267201069,,0.5162468054034318,0.510387811634349,0.5109861135524697,0.5,0.510397604391948,0.5118381403357727,0.5,0.4883720930232558,0.49331997327989313,,0.4837531945965681,0.48961218836565096,0.4890138864475303,0.5,0.4896023956080519,0.48816185966422726,0.5
201910230POR,49.01960784313725,50.0,,48.54368932038835,50.0,49.50495049504951,50.0,50.98039215686274,49.01960784313725,50.0,53.70370370370371,54.12844036697248,,54.12844036697248,52.83018867924528,54.337899543379,54.54545454545454,54.95495495495496,55.55555555555556,54.54545454545454,0.4772004241781548,0.48017621145374445,,0.47280298429773576,0.48623853211009177,0.4767295049849798,0.47826086956521746,0.4812406203101551,0.46875,0.47826086956521746,0.5227995758218452,0.5198237885462554,,0.5271970157022642,0.5137614678899083,0.5232704950150203,0.5217391304347826,0.518759379689845,0.53125,0.5217391304347826
201910230SAS,84.7560975609756,86.20689655172413,,84.7560975609756,84.7560975609756,85.46511627906976,86.96219035202087,88.49252013808976,86.20689655172413,85.46511627906976,18.34862385321101,17.88908765652952,,17.88908765652952,18.21493624772313,17.88908765652952,17.391304347826086,17.152658662092623,18.181818181818183,19.047619047619047,0.8220389561065596,0.8281481481481482,,0.8257191740789153,0.8231062117763803,0.826914755517092,0.8333423868759846,0.8376389830856814,0.8258258258258258,0.8177483443708609,0.17796104389344042,0.1718518518518519,,0.17428082592108482,0.17689378822361962,0.17308524448290785,0.16665761312401542,0.1623610169143186,0.1741741741741742,0.1822516556291391
201910230UTA,80.65764023210832,80.0,,80.65764023210832,80.65764023210832,79.38144329896907,81.30841121495327,82.63888888888889,81.30841121495327,81.98198198198197,22.421524663677133,24.09638554216868,,21.978021978021975,22.727272727272727,25.64102564102564,21.78649237472767,23.58490566037736,23.52941176470588,23.094688221709006,0.7824824765863633,0.7685185185185185,,0.7858636900200883,0.7801683816651076,0.755852001006796,0.7886753698181028,0.7779696558529665,0.7755637126376508,0.7802110765697087,0.21751752341363673,0.23148148148148154,,0.21413630997991176,0.21983161833489243,0.2441479989932041,0.21132463018189718,0.22203034414703343,0.22443628736234922,0.21978892343029127
201910240DET,53.70370370370371,54.54545454545454,,53.70370370370371,53.70370370370371,54.95495495495496,54.54545454545454,54.95495495495496,54.54545454545454,54.54545454545454,48.54368932038835,49.50495049504951,,49.01960784313725,48.54368932038835,50.0,50.0,50.98039215686274,50.0,50.0,0.5252329875153859,0.5242214532871972,,0.5227995758218452,0.5252329875153859,0.5236051502145923,0.5217391304347826,0.518759379689845,0.5217391304347826,0.5217391304347826,0.474767012484614,0.4757785467128029,,0.4772004241781548,0.474767012484614,0.4763948497854077,0.47826086956521746,0.4812406203101551,0.47826086956521746,0.47826086956521746
201910240GSW,50.24875621890548,51.45631067961165,,50.0,50.24875621890548,49.50495049504951,51.21951219512195,52.15311004784689,50.0,51.21951219512195,52.15311004784689,52.38095238095239,,52.60663507109005,52.15311004784689,54.337899543379,53.48837209302325,53.70370370370371,54.54545454545454,53.48837209302325,0.4907015667859966,0.4955476402493321,,0.48729792147806006,0.4907015667859966,0.4767295049849798,0.4891657638136511,0.4926759856030803,0.47826086956521746,0.4891657638136511,0.5092984332140034,0.5044523597506679,,0.5127020785219399,0.5092984332140034,0.5232704950150203,0.5108342361863488,0.5073240143969198,0.5217391304347826,0.5108342361863488
201910240HOU,52.83018867924528,56.14035087719298,,53.48837209302325,53.271028037383175,52.83018867924528,54.54545454545454,54.54545454545454,54.54545454545454,55.55555555555556,49.50495049504951,48.07692307692308,,49.01960784313725,49.50495049504951,50.98039215686274,50.0,51.45631067961165,50.0,49.01960784313725,0.5162468054034318,0.5386856587892522,,0.521797153024911,0.5183217790582515,0.5089094796863863,0.5217391304347826,0.514571190674438,0.5217391304347826,0.53125,0.4837531945965681,0.4613143412107479,,0.478202846975089,0.4816782209417485,0.4910905203136137,0.47826086956521746,0.4854288093255621,0.47826086956521746,0.46875
201910250BOS,57.44680851063831,58.8477366255144,59.51417004048582,58.15899581589959,58.15899581589959,59.83935742971887,58.50622406639005,58.8477366255144,57.44680851063831,58.8477366255144,44.642857142857146,45.45454545454545,45.04504504504504,44.44444444444444,44.44444444444444,44.05286343612335,45.45454545454545,47.16981132075472,46.728971962616825,45.45454545454545,0.562709341272795,0.5642037302725968,0.5691910559179544,0.5668328047122791,0.5668328047122791,0.5759753418592374,0.5627721335268505,0.5550754357697378,0.551441114716549,0.5642037302725968,0.437290658727205,0.43579626972740315,0.43080894408204556,0.43316719528772085,0.43316719528772085,0.42402465814076257,0.4372278664731495,0.4449245642302622,0.44855888528345095,0.43579626972740315
201910250BRK,78.11816192560175,78.11816192560175,76.35933806146572,76.905311778291,76.35933806146572,79.38144329896907,77.52808988764045,80.0,77.52808988764045,78.11816192560175,25.906735751295333,25.97402597402597,28.40909090909091,25.64102564102564,26.45502645502645,25.64102564102564,25.97402597402597,26.246719160104988,27.027027027027028,26.31578947368421,0.7509563928458546,0.7504709383275546,0.728839201005154,0.7499566899578449,0.7426913390999672,0.755852001006796,0.7490483575355984,0.7529644268774703,0.7415045018878884,0.748014997794442,0.24904360715414542,0.2495290616724453,0.271160798994846,0.2500433100421551,0.25730866090003285,0.2441479989932041,0.2509516424644015,0.24703557312252966,0.25849549811211153,0.251985002205558
201910250CHO,35.3356890459364,35.842293906810035,35.587188612099645,35.08771929824561,35.587188612099645,36.36363636363637,35.08771929824561,37.735849056603776,36.36363636363637,35.08771929824561,68.05111821086261,68.45425867507886,68.94409937888199,67.53246753246754,67.10526315789474,67.53246753246754,68.05111821086261,68.45425867507886,68.05111821086261,69.41896024464832,0.341781412769303,0.3436575133072428,0.34044532786365267,0.34191829484902303,0.34654142537959964,0.35,0.3401989022335743,0.3553612465668965,0.34826147426981924,0.3357461882026798,0.6582185872306969,0.6563424866927571,0.6595546721363472,0.6580817051509769,0.6534585746204004,0.6499999999999999,0.6598010977664258,0.6446387534331035,0.6517385257301808,0.6642538117973202
201910250DEN,87.71498771498771,90.08919722497522,86.96219035202087,86.96219035202087,89.28188638799571,89.28188638799571,90.08919722497522,91.74236168455822,90.08919722497522,89.28188638799571,14.925373134328357,13.88888888888889,17.513134851138354,15.384615384615383,14.084507042253522,13.333333333333334,14.285714285714285,14.5985401459854,14.285714285714285,15.384615384615383,0.8545857301082569,0.8664248457729885,0.8323706117489187,0.8496815286624204,0.8637419128707666,0.8700647587215375,0.8631307650569723,0.8627194250313162,0.8631307650569723,0.853012997243009,0.1454142698917432,0.13357515422701158,0.16762938825108126,0.15031847133757958,0.13625808712923343,0.1299352412784625,0.13686923494302766,0.13728057496868393,0.13686923494302766,0.14698700275699092
201910250LAL,62.825278810408925,61.38996138996139,60.31746031746032,60.9375,60.629921259842526,58.8477366255144,62.121212121212125,61.38996138996139,61.68582375478927,62.546816479400746,42.19409282700422,42.5531914893617,44.44444444444444,41.66666666666667,42.01680672268908,44.843049327354265,40.81632653061224,44.44444444444444,41.66666666666667,41.66666666666667,0.5982256209579855,0.5906109223109144,0.5757575757575758,0.5939086294416244,0.5906658931218977,0.5675310114079268,0.6034845298888556,0.5800567490879611,0.5968489341983317,0.6001796945193171,0.4017743790420145,0.40938907768908556,0.42424242424242425,0.4060913705583757,0.40933410687810223,0.4324689885920732,0.39651547011114446,0.41994325091203893,0.40315106580166826,0.39982030548068287
201910250MEM,45.45454545454545,49.01960784313725,47.61904761904761,45.04504504504504,46.728971962616825,47.16981132075472,49.01960784313725,48.07692307692308,49.01960784313725,49.01960784313725,57.08154506437768,55.55555555555556,56.896551724137936,57.44680851063831,55.947136563876654,57.80590717299579,55.55555555555556,58.15899581589959,55.55555555555556,56.14035087719298,0.4433028919330289,0.46875,0.45561665357423403,0.43949878436506445,0.4551104695456915,0.4493402093129076,0.46875,0.45254866318261,0.46875,0.46614327772325814,0.556697108066971,0.53125,0.5443833464257659,0.5605012156349356,0.5448895304543085,0.5506597906870924,0.53125,0.54745133681739,0.53125,0.533856722276742
201910250NOP,56.14035087719298,55.55555555555556,58.15899581589959,56.896551724137936,56.52173913043478,55.947136563876654,56.52173913043478,57.44680851063831,56.896551724137936,56.14035087719298,46.08294930875576,48.54368932038835,47.61904761904761,45.662100456621005,45.87155963302752,48.07692307692308,47.61904761904761,48.54368932038835,47.61904761904761,49.01960784313725,0.549193293261626,0.533678756476684,0.5498210585797703,0.5547708605204575,0.5520062329567589,0.5378288134212884,0.5427435387673956,0.5419996102124343,0.5443833464257659,0.533856722276742,0.4508067067383739,0.46632124352331605,0.4501789414202298,0.44522913947954246,0.4479937670432412,0.46217118657871165,0.4572564612326043,0.45800038978756574,0.45561665357423403,0.46614327772325814
