game_id,PC1,PC2
201411120NYK,3.459551526960465,0.09918852105401602
201411120PHO,3.4563684514668913,0.08658320363068701
201411120WAS,3.4594242770967942,0.10023184610358822
201411130DAL,3.4691901745288147,0.13905669500834583
201411130GSW,3.4650282435714423,0.12272209327142695
201411130MEM,3.458106461803611,0.09312658888473087
201411130TOR,3.4526290344691395,0.07257606591056882
201411140ATL,3.456511584720123,0.08783673165424474
201411140BOS,3.4416004420333746,0.027607591455461447
201411140HOU,3.4706464207705547,0.14596808508713202
201411140IND,3.4535900376765456,0.07523466661926755
201411140LAL,3.437242717903424,0.010554744144550085
201411140NOP,3.4624383607359244,0.11168523388119907
201411140NYK,3.455075968783817,0.08176959268659693
201411140OKC,3.453849550589624,0.07691690088933459
201411140ORL,3.453586830118077,0.07567027439402857
201411140PHO,3.459621104598994,0.0998111742187923
