,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012230MIN,,,67.10526315789474,,69.41896024464832,,67.53246753246754,66.66666666666666,68.05111821086261,68.05111821086261,68.45425867507886,68.94409937888199,70.41420118343196,,,36.36363636363637,,35.587188612099645,,35.08771929824561,36.101083032490976,36.36363636363637,35.08771929824561,37.735849056603776,35.842293906810035,34.48275862068966,,,0.6485549132947976,,0.6610942406749096,,0.6580817051509769,0.648711943793911,0.6517385257301808,0.6598010977664258,0.6446387534331035,0.6579489685355542,0.6712701808986578,,,0.3514450867052023,,0.3389057593250905,,0.34191829484902303,0.35128805620608905,0.34826147426981924,0.3401989022335743,0.3553612465668965,0.3420510314644458,0.32872981910134214
202012230ORL,,,39.68253968253968,,37.45318352059925,,36.36363636363637,37.59398496240601,38.46153846153847,37.03703703703704,39.37007874015748,36.36363636363637,37.735849056603776,,,64.15770609318996,,67.53246753246754,,66.21621621621621,64.91228070175438,65.39792387543253,65.39792387543253,67.10526315789474,68.05111821086261,66.66666666666666,,,0.38214990138067056,,0.35674573758339506,,0.3544910179640719,0.3667481662591687,0.3703229113275244,0.3615663705742525,0.3697577113943758,0.34826147426981924,0.3614457831325302,,,0.6178500986193294,,0.6432542624166049,,0.6455089820359281,0.6332518337408313,0.6296770886724756,0.6384336294257476,0.6302422886056243,0.6517385257301808,0.6385542168674698
202012230PHI,,,76.35933806146572,,74.61928934010153,,75.18610421836229,74.61928934010153,72.97297297297297,75.18610421836229,76.905311778291,75.72815533980582,74.09326424870466,,,27.100271002710024,,30.3951367781155,,27.472527472527474,28.24858757062147,30.76923076923077,28.57142857142857,29.411764705882355,28.57142857142857,30.3951367781155,,,0.7380594103550132,,0.7105622731880757,,0.732389502762431,0.7253896121999499,0.7034068136272544,0.7246327297574309,0.7233580373115256,0.726063829787234,0.7091051592385489,,,0.2619405896449869,,0.2894377268119242,,0.2676104972375691,0.2746103878000502,0.2965931863727455,0.27536727024256913,0.2766419626884743,0.27393617021276595,0.29089484076145117
202012230PHO,,,54.95495495495496,,52.60663507109005,,54.12844036697248,53.271028037383175,54.54545454545454,54.54545454545454,55.15695067264574,54.54545454545454,53.48837209302325,,,49.01960784313725,,51.21951219512195,,48.54368932038835,49.50495049504951,49.50495049504951,50.0,50.73891625615764,50.0,51.21951219512195,,,0.5285423037716616,,0.5066800267201069,,0.5271970157022642,0.5183217790582515,0.5242214532871972,0.5217391304347826,0.5208602778589011,0.5217391304347826,0.5108342361863488,,,0.4714576962283384,,0.49331997327989313,,0.47280298429773576,0.4816782209417485,0.4757785467128029,0.47826086956521746,0.47913972214109896,0.47826086956521746,0.4891657638136511
202012230POR,,,50.73891625615764,,50.0,,46.728971962616825,48.07692307692308,49.01960784313725,49.01960784313725,50.24875621890548,49.01960784313725,47.61904761904761,,,52.60663507109005,,54.337899543379,,55.947136563876654,54.54545454545454,55.55555555555556,55.55555555555556,55.947136563876654,55.55555555555556,57.08154506437768,,,0.49096371933312255,,0.47921225382932164,,0.4551104695456915,0.46848381601362865,0.46875,0.46875,0.4731704296858877,0.46875,0.4548116338083154,,,0.5090362806668776,,0.5207877461706784,,0.5448895304543085,0.5315161839863713,0.53125,0.53125,0.5268295703141124,0.53125,0.5451883661916845
202012230TOR,,,62.121212121212125,,62.825278810408925,,62.121212121212125,62.546816479400746,62.121212121212125,62.121212121212125,63.23529411764706,61.68582375478927,63.63636363636363,,,41.66666666666667,,42.19409282700422,,40.48582995951417,40.16064257028113,42.01680672268908,40.81632653061224,42.5531914893617,41.66666666666667,40.81632653061224,,,0.5985401459854014,,0.5982256209579855,,0.6054283493752616,0.6089802732744607,0.5965276928719893,0.6034845298888556,0.5977521443359952,0.5968489341983317,0.6092362344582594,,,0.40145985401459855,,0.4017743790420145,,0.3945716506247384,0.3910197267255393,0.4034723071280108,0.39651547011114446,0.4022478556640047,0.40315106580166826,0.39076376554174064
202012250BOS,,,42.3728813559322,,44.05286343612335,,42.3728813559322,42.01680672268908,44.843049327354265,43.66812227074236,44.642857142857146,43.66812227074236,44.44444444444444,,,61.38996138996139,,60.9375,,60.31746031746032,60.629921259842526,58.8477366255144,59.83935742971887,61.38996138996139,60.31746031746032,59.83935742971887,,,0.40836276488395556,,0.41958958893332465,,0.4126277181032224,0.40933410687810223,0.4324689885920732,0.4218837362972501,0.4210286754665453,0.41994400746567123,0.42618741976893454,,,0.5916372351160444,,0.5804104110666755,,0.5873722818967776,0.5906658931218977,0.5675310114079268,0.5781162637027498,0.5789713245334547,0.5800559925343288,0.5738125802310655
202012250DEN,,,40.32258064516129,,42.5531914893617,,39.68253968253968,39.37007874015748,42.01680672268908,40.81632653061224,42.01680672268908,40.81632653061224,44.44444444444444,,,63.23529411764706,,62.546816479400746,,62.825278810408925,63.23529411764706,62.546816479400746,62.121212121212125,64.15770609318996,62.546816479400746,59.83935742971887,,,0.3893724232707283,,0.40488285692622644,,0.3871172000921022,0.38370387089493285,0.40183005749029294,0.39651547011114446,0.39573345437008883,0.39488279227981954,0.42618741976893454,,,0.6106275767292716,,0.5951171430737736,,0.6128827999078978,0.6162961291050671,0.5981699425097071,0.6034845298888556,0.6042665456299111,0.6051172077201805,0.5738125802310655
202012250LAL,,,72.97297297297297,,72.97297297297297,,70.93023255813954,72.45179063360881,74.09326424870466,72.97297297297297,73.54497354497354,72.97297297297297,71.42857142857143,,,30.58103975535168,,32.05128205128205,,29.411764705882355,30.3951367781155,30.76923076923077,30.3951367781155,32.25806451612903,31.25,33.33333333333333,,,0.7046851304972463,,0.6948201913559882,,0.7068847989093388,0.7044623739080169,0.7065754465982516,0.7059524755622666,0.6951121148572351,0.7001620745542949,0.6818181818181819,,,0.2953148695027536,,0.3051798086440119,,0.2931152010906612,0.29553762609198303,0.2934245534017484,0.29404752443773347,0.304887885142765,0.29983792544570503,0.3181818181818181
202012250MIA,,,60.31746031746032,,60.31746031746032,,59.83935742971887,59.51417004048582,58.8477366255144,59.83935742971887,60.9375,59.51417004048582,59.83935742971887,,,43.290043290043286,,44.843049327354265,,42.5531914893617,42.91845493562232,44.843049327354265,43.66812227074236,45.04504504504504,44.44444444444444,44.44444444444444,,,0.5821727019498607,,0.5735751996751048,,0.5844112492697988,0.5810079557598683,0.5675310114079268,0.5781162637027498,0.5749767565413734,0.5724794461272177,0.5738125802310655,,,0.4178272980501392,,0.42642480032489505,,0.4155887507302011,0.4189920442401317,0.4324689885920732,0.4218837362972501,0.42502324345862663,0.42752055387278237,0.42618741976893454
202012250MIL,,,84.7560975609756,,83.33333333333334,,83.33333333333334,84.7560975609756,84.7560975609756,84.7560975609756,85.46511627906976,84.7560975609756,85.46511627906976,,,18.76172607879925,,21.645021645021643,,18.867924528301888,18.65671641791045,19.64636542239685,19.047619047619047,20.833333333333336,19.047619047619047,19.047619047619047,,,0.8187584956955142,,0.7938144329896908,,0.8153846153846154,0.8195898970342339,0.8118208626407041,0.8165034965034965,0.8040109389243392,0.8165034965034965,0.8177483443708609,,,0.1812415043044857,,0.20618556701030924,,0.18461538461538463,0.1804101029657661,0.1881791373592959,0.1834965034965035,0.19598906107566094,0.1834965034965035,0.1822516556291391
202012260CHI,,,33.78378378378378,,36.101083032490976,,31.746031746031743,32.89473684210527,33.89830508474576,32.89473684210527,34.48275862068966,32.25806451612903,37.735849056603776,,,69.96996996996997,,68.94409937888199,,70.93023255813954,69.96996996996997,70.41420118343196,70.93023255813954,71.91011235955057,71.42857142857143,66.66666666666666,,,0.3256150506512301,,0.34367195338015244,,0.30918569117382705,0.31978642492221415,0.3249687530045188,0.31682876510462715,0.3241077931536781,0.31111111111111106,0.3614457831325302,,,0.6743849493487698,,0.6563280466198476,,0.6908143088261729,0.6802135750777858,0.6750312469954812,0.6831712348953728,0.675892206846322,0.6888888888888889,0.6385542168674698
202012260CHO,,,59.51417004048582,,58.50622406639005,,58.50622406639005,58.50622406639005,59.51417004048582,59.18367346938776,59.51417004048582,58.50622406639005,60.629921259842526,,,44.05286343612335,,46.728971962616825,,44.05286343612335,44.05286343612335,44.843049327354265,44.44444444444444,46.728971962616825,45.45454545454545,44.44444444444444,,,0.5746439580499061,,0.5559568117330582,,0.5704635785196144,0.5704635785196144,0.5702927924009672,0.5711159737417943,0.5601695217066135,0.5627721335268505,0.5770191507077436,,,0.42535604195009397,,0.4440431882669418,,0.42953642148038573,0.42953642148038573,0.4297072075990328,0.42888402625820565,0.43983047829338656,0.4372278664731495,0.4229808492922564
