,Y_prob,odds_mean,per_bet,home,firm,p_return,team_abbr
202211180CLE,0.7800631219911712,0.7919204850012461,0.0017880068216774665,False,bet365,3.75,CHO
202211180PHI,0.43013106410727875,0.4853586372803712,0.01321832161388536,False,Unibet,0.8928571428571429,MIL
202211180HOU,0.3184696174806896,0.33648770162147146,0.004777854428805528,False,Unibet,0.4901960784313725,IND
202211180CHI,0.7456085933854593,0.75254802254044,0.0,0,0,0.0,0
202211180MEM,0.6477323103204251,0.6831857645603236,0.0065735598576201594,False,bet365,2.1,OKC
202211180NOP,0.3556808897180085,0.4230609832723807,0.015552623686592803,False,Unibet,0.6578947368421053,BOS
202211180DAL,0.7739883745156366,0.7880057464766178,0.000730813486270078,False,bet365,3.5,DEN
202211180UTA,0.5529129031430616,0.4959464409370442,0.012520717716491459,True,bet365,0.9523809523809524,UTA
202211180GSW,0.6456461970084895,0.7175518638814757,0.012800183135695989,False,bet365,2.4,NYK
202211180LAL,0.6037629265176447,0.7006403850647391,0.02170037811500049,False,bet365,2.4,DET
202211190ATL,0.6409697749106614,0.6503175995117744,0.0,0,0,0.0,0
202211190IND,0.6921992332557015,0.7156953976840806,0.0037905701184385576,False,bet365,2.45,ORL
202211190PHI,0.4427724286463705,0.4121596371032701,0.006712910223352422,True,bet365,1.4,PHI
202211190POR,0.5701687348377338,0.6152305896537268,0.008938774043391842,False,bet365,1.54,UTA
202211190LAC,0.7607314786110273,0.7523643441045326,0.0,0,0,0.0,0
202211200PHO,0.6317093465467887,0.6742657353996121,0.006650571360536417,False,bet365,1.95,NYK
202211200SAC,0.8036626174787806,0.8043922853974073,0.0,0,0,0.0,0
202211200WAS,0.6727726347580592,0.6428201701525336,0.002747685641126618,True,bet365,0.5,WAS
202211200BRK,0.6613032922212414,0.7241462554311562,0.01175116213800032,False,Unibet,2.54,MEM
202211200CLE,0.6520597164806595,0.7212899125515712,0.014572212730939945,False,bet365,2.6,MIA
202211200HOU,0.22022168236686934,0.19671685981617096,0.005511664673861083,True,bet365,4.25,HOU
202211200DAL,0.8168892746977708,0.8057778721380633,0.0,0,0,0.0,0
202211200LAL,0.6556010902003362,0.6831008881276764,0.0034538739552189665,False,bet365,2.04,SAS
202211210CLE,0.5535491446133681,0.5915497577219253,0.007658791385133909,False,bet365,1.4,ATL
202211210IND,0.7177667869809974,0.7055012040134205,0.0,0,0,0.0,0
202211210CHI,0.38308309658477513,0.34525300311441914,0.005765517274149937,True,bet365,1.79,CHI
202211210MIL,0.8239274784669004,0.7794566350089788,0.017945608850175297,True,Unibet,0.25,MIL
202211210MIN,0.7674165037026642,0.7521237323225761,0.0,0,0,0.0,0
202211210NOP,0.7929768993684907,0.8052027074525189,0.0046209017824433716,False,bet365,4.5,GSW
202211210OKC,0.5260274824931561,0.5273507826949411,0.0,0,0,0.0,0
202211210LAC,0.6059047941317972,0.5538645505691642,0.01521943959307464,True,Unibet,0.78125,LAC
202211220PHI,0.3820670778710705,0.268087567487177,0.02166008540399157,True,bet365,2.6,PHI
202211220MEM,0.6161973157515089,0.5705466536427806,0.012406737696915943,True,Unibet,0.7194244604316546,MEM
202211220DEN,0.8156053872584788,0.828521951249181,0.003191030293473826,False,bet365,5.0,DET
202211220PHO,0.7612254591147832,0.7776716430590171,0.002232704995365607,False,Unibet,3.4,LAL
202211230CHO,0.590468748142122,0.6188116776717669,0.0039164980245789014,False,bet365,1.54,PHI
202211230CLE,0.7149698320114561,0.7111774437329971,0.0,0,0,0.0,0
202211230IND,0.46811278679020196,0.4651323352078923,0.0,0,0,0.0,0
202211230TOR,0.3899601584888428,0.4395242241033214,0.011369163657216385,False,Unibet,0.7299270072992701,BRK
202211230MIA,0.6385211563320922,0.6298705702834769,0.0,0,0,0.0,0
202211230ATL,0.6546406972495432,0.6257890825822943,0.007539287615436562,True,Unibet,0.5714285714285714,ATL
202211230BOS,0.5860467128788616,0.6616038184608921,0.014575692023938746,False,bet365,1.85,DAL
202211230MIL,0.665301500820524,0.7056183059796262,0.004843308911885683,False,bet365,2.2,CHI
202211230OKC,0.37750728325819133,0.48901718042308406,0.030518944848782426,False,bet365,0.9009009009009008,DEN
202211230SAS,0.3200454902558989,0.34817166060230936,0.0,0,0,0.0,0
202211230UTA,0.8182690021015904,0.83477555378389,0.0014195759341849052,False,bet365,4.75,DET
202211230GSW,0.7830388922661186,0.7950965725948645,0.0012226104694374753,False,bet365,3.75,LAC
202211250CHO,0.3539614446567692,0.3217439679036538,0.003398943210574548,True,bet365,1.95,CHO
202211250ORL,0.4397503879691028,0.5318795711345838,0.024071479808847832,False,bet365,1.1,PHI
202211250NYK,0.6247668032814844,0.6051387035073263,0.0059104524600900096,True,Unibet,0.6410256410256411,NYK
202211250SAS,0.41656286300997836,0.39475525308348863,0.0,0,0,0.0,0
202211250MIL,0.5853868623594387,0.6148226922223845,0.005173769766918091,False,bet365,1.54,CLE
202211250MIA,0.5903184542362313,0.5680150156405045,0.004358210480980234,True,Unibet,0.7299270072992701,MIA
202211250OKC,0.4368259112489252,0.4241679052609785,3.8527530237067455e-05,True,bet365,1.29,OKC
202211250IND,0.38314888627960414,0.4034638134273327,0.0011466576803737748,False,Unibet,0.6289308176100629,BRK
202211250HOU,0.3449850084710038,0.2900907721408898,0.010809314300088298,True,bet365,2.4,HOU
202211250MEM,0.5274779425677418,0.5496248838506533,0.0014733161717147918,False,bet365,1.14,NOP
202211250BOS,0.7202660811164985,0.7235467810743326,0.0,0,0,0.0,0
202211250PHO,0.8051128033286389,0.8488576810837717,0.007275457591741288,False,bet365,5.5,DET
202211250GSW,0.6720792853161233,0.7315743154367622,0.010414302280497478,False,bet365,2.6,UTA
202211250LAC,0.37369756651254527,0.3878034235097327,0.0036974027103385152,False,Unibet,0.6211180124223602,DEN
202211260TOR,0.46089782119396866,0.4372581121932321,0.0,0,0,0.0,0
202211260SAS,0.5453965570967069,0.5127663827536909,0.006118010321107714,True,bet365,0.9009009009009008,SAS
202211260HOU,0.4392317421922079,0.4649335251033545,0.000441591783553219,False,Unibet,0.7874015748031497,OKC
202211260PHO,0.6967667828786694,0.6784669992091108,0.0,0,0,0.0,0
202211270BRK,0.7119973843194641,0.729947382144468,0.002123620179803606,False,bet365,2.6,POR
202211270MIN,0.49795822281834595,0.46854525877397785,0.007455995407351798,True,Unibet,1.12,MIN
202211270LAC,0.40191636989606466,0.4561606970811363,0.014353225160078186,False,Unibet,0.8,IND
202211270ATL,0.5944805530743394,0.6127852211897932,0.005095365188129766,False,bet365,1.6,MIA
202211270NYK,0.46246394564443255,0.47033495555245997,0.0,0,0,0.0,0
202211270BOS,0.6735276351654524,0.7341888868567585,0.012232983716157456,False,Unibet,2.75,WAS
202211270DET,0.3244618822982875,0.2821662183986231,0.005549828023357212,True,bet365,2.35,DET
202211270ORL,0.42672892578854166,0.5109450175121013,0.02198132226343751,False,Unibet,1.0,PHI
202211270MIL,0.6611457231527217,0.6762160624490025,0.002214485412921033,False,Unibet,2.04,DAL
202211280WAS,0.47011309392750883,0.5155725687628978,0.008966071821747343,False,bet365,1.0,MIN
202211280PHI,0.6003528868037992,0.5700761972232793,0.006726509919161993,True,Unibet,0.7194244604316546,PHI
202211280BOS,0.7793903368376518,0.8257137120393532,0.00847912304790007,False,bet365,4.75,CHO
202211280BRK,0.8307847816262326,0.8422116415551845,0.00045873930727813317,False,bet365,5.0,ORL
202211280TOR,0.5972399440401165,0.6402407456380914,0.007716366272795774,False,bet365,1.7,CLE
202211280NOP,0.660473683164848,0.6538253817310051,0.0,0,0,0.0,0
202211280DEN,0.8111450473188703,0.8251674545656311,0.001290074658207116,False,bet365,4.5,HOU
202211280UTA,0.6036438588237621,0.5438999406218674,0.014446199717726654,True,Unibet,0.78125,UTA
202211280SAC,0.5173229485844653,0.4959798360234025,0.0030248378439696713,True,Unibet,0.970873786407767,SAC
202211280LAL,0.6523589054099729,0.5942474786598726,0.016505819677429593,True,Unibet,0.6410256410256411,LAL
202211290DET,0.33552703235607007,0.37757381196289896,0.015621423541393925,False,Unibet,0.5988023952095808,NYK
202211290DAL,0.5392490773139818,0.505223266793633,0.0014078274337591178,True,Unibet,0.8695652173913043,DAL
202211290POR,0.7022285505365751,0.6103325555395328,0.030742534489898304,True,bet365,0.5988023952095808,POR
202211300CLE,0.6197349092515897,0.6017400430856862,0.0022670122442425998,True,Unibet,0.6289308176100629,CLE
202211300ORL,0.33387051672006995,0.31281800660041464,0.0011004684433097544,True,bet365,2.04,ORL
202211300BRK,0.6747417467622181,0.659205716320014,0.0016822365235714398,True,Unibet,0.4901960784313725,BRK
202211300NYK,0.3396476761947518,0.32771643927528593,0.00015081882880905727,True,bet365,1.95,NYK
202211300BOS,0.7997173354410662,0.7874908318711955,0.0,0,0,0.0,0
202211300MIN,0.45233081042299256,0.42627969799877397,0.0,0,0,0.0,0
202211300NOP,0.45978110430154934,0.44379252630655347,0.0041408981614183245,True,bet365,1.25,NOP
202211300OKC,0.5393250322580168,0.5725838526581827,0.006389032108039724,False,bet365,1.29,SAS
202211300DEN,0.7975413904031912,0.8318661204274946,0.006442549727425592,False,bet365,5.0,HOU
202211300PHO,0.6791654833897859,0.653469521185513,0.003699460425742351,True,Unibet,0.4901960784313725,PHO
202211300UTA,0.6719462652371133,0.715795951967893,0.00721141863711342,False,bet365,2.4,LAC
202211300SAC,0.6901925395420389,0.6234219975880528,0.022204422561091012,True,Unibet,0.5714285714285714,SAC
202211300LAL,0.7396202489964415,0.6762662148919629,0.02228373213275455,True,Unibet,0.4405286343612334,LAL
202212010DET,0.33952081833281716,0.2593049903339705,0.014901985568076235,True,Unibet,2.75,DET
202212020CHO,0.3907175729434224,0.3931445180932614,0.0,0,0,0.0,0
202212020CLE,0.8041088366552575,0.8190492105469952,0.0025800466132028005,False,bet365,4.5,ORL
202212020ATL,0.3758926452959287,0.3624859360545104,0.0013156007910888918,True,bet365,1.7,ATL
202212020BOS,0.7093708030252164,0.7055544213851234,0.0,0,0,0.0,0
202212020BRK,0.5818887543360823,0.5308057987343384,0.010141788325419532,True,Unibet,0.8130081300813008,BRK
202212020MIL,0.7346975834089126,0.7525941754769108,0.0017937633468228075,False,bet365,2.9,LAL
202212020SAS,0.3723682133862701,0.28828028071202105,0.016628245344582387,True,Unibet,2.4,SAS
202212020MEM,0.6527245636646708,0.64043489761394,0.0015397509666467744,True,bet365,0.5405405405405406,MEM
202212020PHO,0.7853326090947574,0.8334058306368431,0.008640130362943662,False,bet365,5.0,HOU
202212020UTA,0.6417312605853303,0.6069092880245828,0.006513369864424756,True,bet365,0.5988023952095808,UTA
202212020GSW,0.6687549523649855,0.7072942358974216,0.005881847601694174,False,bet365,2.29,CHI
202212030NYK,0.48421298950047115,0.48165839758929796,0.0,0,0,0.0,0
