game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr
202211120WAS,0.3438549034750607,0.38716199309100113,0.012942932509566997,bet365,0.5813953488372093,UTA
202211120DET,0.40195445755871007,0.24764198646460778,0.037673352765935586,bet365,2.8,DET
202211120IND,0.5333167759373618,0.5633491001282457,0.0044505154896339995,bet365,1.2,TOR
202211120PHI,0.6080233454680339,0.5684622733925018,0.006363532661208771,Unibet,0.6802721088435374,PHI
202211120MIA,0.5714577890935187,0.7434799386119352,0.04414787570176762,Unibet,2.75,CHO
202211120DAL,0.7569494749121478,0.6818861546689798,0.03812835029149045,Unibet,0.4291845493562232,DAL
202211120NOP,0.7734861545176986,0.8056782117848992,0.008903420648568573,bet365,4.25,HOU
202211130NYK,0.6991572523607491,0.649497100357345,0.019494351416449465,Unibet,0.5,NYK
202211130CLE,0.5281037156695929,0.5197103103108283,0.0,,0.0,
202211130WAS,0.38623542899904145,0.5244320535161356,0.04987830495508954,Unibet,1.06,MEM
202211130PHI,0.6224799577176975,0.6007533213125714,0.0,,0.0,
202211130CHI,0.4923833125632403,0.47144618735295996,0.0008580687748096617,bet365,1.04,CHI
202211130SAC,0.31028325758388126,0.3873262503550579,0.029344208328865307,Unibet,0.5714285714285714,GSW
