,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
408,Terrence Ross,rosste01,198,93,-1,1,2,-1,-1,12500000.0,Right,"October 31, 2012","February 5, 1991",10 years
409,Nikola Vučević,vucevni01,208,117,-1,-1,-1,-1,1,28000000.0,Right,"December 28, 2011","October 24, 1990",11 years
410,DeAndre' Bembry,bembrde01,196,95,-1,2,1,-1,-1,2603982.0,Right,"October 27, 2016","July 4, 1994",6 years
411,Charlie Brown Jr.,brownch02,198,90,-1,1,-1,-1,-1,,Right,"November 6, 2019","February 2, 1997",3 years
412,Vince Carter,cartevi01,198,99,-1,1,2,3,-1,2564753.0,Right,"February 5, 1999","January 26, 1977",22 years
413,John Collins,collijo01,206,106,-1,-1,-1,1,-1,2686560.0,Right,"October 18, 2017","September 23, 1997",5 years
414,Allen Crabbe,crabbal01,196,96,-1,1,2,-1,-1,17818456.0,Right,"November 1, 2013","April 9, 1992",7 years
415,Bruno Fernando,fernabr01,206,108,-1,-1,-1,-1,1,1400000.0,Right,"October 24, 2019","August 15, 1998",3 years
416,Brandon Goodwin,goodwbr01,183,81,1,-1,-1,-1,-1,522738.0,Right,"December 18, 2018","October 2, 1995",4 years
417,Treveon Graham,grahatr01,196,99,-1,1,2,-1,-1,1645357.0,Right,"November 2, 2016","October 28, 1993",4 years
418,Kevin Huerter,huertke01,201,86,-1,1,2,-1,-1,2636280.0,Right,"October 17, 2018","August 27, 1998",4 years
419,De'Andre Hunter,huntede01,203,102,-1,-1,1,-1,-1,7068360.0,Right,"October 24, 2019","December 2, 1997",3 years
420,Damian Jones,jonesda03,211,111,-1,-1,-1,-1,1,2305057.0,Right,"December 10, 2016","June 30, 1995",6 years
421,Chandler Parsons,parsoch01,206,104,-1,-1,1,2,-1,25102511.0,Right,"December 29, 2011","October 25, 1988",9 years
422,Cam Reddish,reddica01,203,98,-1,-1,1,-1,-1,4245720.0,Right,"October 24, 2019","September 1, 1999",3 years
423,Jeff Teague,teaguje01,190,88,1,-1,-1,-1,-1,19000000.0,Right,"October 28, 2009","June 10, 1988",12 years
424,Evan Turner,turneev01,198,99,3,2,1,-1,-1,18606557.0,Right,"October 27, 2010","October 27, 1988",10 years
425,Tyrone Wallace,wallaty01,196,89,2,1,-1,-1,-1,502491.0,Left,"January 6, 2018","June 10, 1994",4 years
426,Trae Young,youngtr01,185,74,1,-1,-1,-1,-1,6273000.0,Right,"October 17, 2018","September 19, 1998",4 years
427,Jarrett Culver,culveja01,198,88,-1,1,-1,-1,-1,5813640.0,Right,"October 23, 2019","February 20, 1999",3 years
428,Jacob Evans,evansja02,193,95,-1,1,-1,-1,-1,1925880.0,Right,"October 22, 2018","June 18, 1997",2 years
429,Jake Layman,laymaja01,203,94,-1,-1,1,-1,-1,3581986.0,Right,"November 1, 2016","March 7, 1994",6 years
430,Kelan Martin,martike03,196,104,-1,-1,1,-1,-1,,Right,"October 25, 2019","August 3, 1995",3 years
431,Jordan McLaughlin,mclaujo01,180,83,1,-1,-1,-1,-1,,Right,"November 6, 2019","April 9, 1996",3 years
432,Jaylen Nowell,nowelja01,193,91,-1,1,-1,-1,-1,1400000.0,Right,"November 6, 2019","July 9, 1999",3 years
