gameId,home_avg_shot_quality,away_avg_shot_quality
201411220HOU,67.56765374074074,57.91860481481482
201411220IND,56.03795274074074,55.7570925925926
201411220MIL,59.82702674074072,61.28758814814815
201411220MIN,56.60573818518519,60.51564144444443
201411220NYK,52.2727482962963,53.73466522222221
201411220ORL,57.02600740740742,59.99839070370369
201411220SAS,60.11322896296296,60.08837485185186
201411220UTA,57.070152370370366,60.235075629629634
201411230BOS,65.61798277777777,63.12044322222222
201411230LAL,58.67701433333333,61.87212518518519
201411230MEM,61.73991114814815,60.502483296296305
201411230MIA,54.406269185185195,54.70405244444446
201411230OKC,60.24253940740741,62.25501051851852
201411240CHO,56.48176829629631,53.41277055555556
201411240CLE,59.87642962962964,62.86237092592593
201411240DAL,58.94702555555557,63.64433059259259
201411240HOU,66.42214707407406,61.055645148148145
201411240PHI,63.03507681481479,61.41785162962964
201411240TOR,56.551402481481475,62.21710259259261
201411240UTA,59.2833241111111,58.80697055555555
201411250DEN,63.68640803703704,59.21059896296297
201411250MIA,55.33231151851852,52.071814703703716
201411250MIL,61.50775644444444,60.36213488888889
201411250NOP,58.70477107407406,60.061458814814806
201411250WAS,58.02625574074075,55.85004822222222
201411260ATL,59.86325974074074,63.1944112962963
201411260CHO,59.00414414814814,51.312192777777774
201411260CLE,58.96343614814816,59.86836344444445
201411260DAL,58.25946733333334,61.411332
201411260DET,60.05845351851851,64.3727422962963
201411260HOU,63.34974166666666,60.31377518518517
201411260LAL,62.04709203703703,63.12194948148149
201411260MIN,55.43983925925927,61.573435111111095
201411260OKC,59.911947037037045,60.24395792592592
201411260ORL,56.56610985185186,61.29581366666666
201411260PHI,63.451340518518506,60.646684814814805
201411260PHO,63.93315411111111,64.895298
201411260SAS,61.87758470370371,61.24799944444445
201411280ATL,62.11691170370369,63.98497588888889
201411280BOS,65.12711877777777,64.63207629629629
201411280CHO,58.952900962962964,53.52884148148148
201411280DEN,62.379390592592586,62.39378466666667
201411280DET,58.56196607407408,63.650763888888875
201411280HOU,60.37616085185185,66.66993399999998
201411280IND,56.67904985185184,55.82198703703703
201411280LAL,61.60819951851852,62.32073655555555
201411280OKC,56.470481444444445,64.0266304074074
201411280POR,61.02408862962962,61.18300288888889
201411280SAS,61.9916252962963,58.41706903703704
201411280TOR,60.332623999999996,60.79102888888889
201411290ATL,63.57065607407408,61.06931540740741
201411290CLE,54.55461862962964,58.06457425925926
201411290MIL,61.18049366666668,61.31875262962963
201411290PHI,61.03859407407407,61.354157296296286
201411290UTA,58.79237755555555,59.526505925925925
201411290WAS,57.58952537037037,56.64509425925927
201411300BOS,65.78502485185184,65.84317166666668
201411300BRK,60.6566818888889,62.012189444444445
201411300DET,58.527000370370374,64.61327055555553
201411300LAL,61.617553037037034,62.141116222222216
201411300NYK,53.06159570370371,62.0359415925926
201411300PHO,65.23147862962962,63.40783048148148
201411300POR,60.3696777037037,63.96173125925926
201411300SAC,58.365816555555554,62.08736251851851
201412010LAC,56.75570907407407,57.61609292592592
201412010PHI,61.85560533333332,61.265450111111114
201412010UTA,58.03740125925926,56.902988777777786
201412010WAS,58.06674166666668,55.327923740740744
201412020ATL,63.339112148148146,58.545619962962974
201412020CHI,57.75889125925927,59.05716966666667
201412020CLE,56.674112666666666,57.00373588888889
201412020DEN,66.63964770370369,62.62043081481481
201412020DET,60.268084370370374,64.4956077037037
201412020GSW,63.890405629629626,65.00164448148148
201412020NOP,62.34757911111112,57.51093981481481
201412020NYK,55.038581666666666,62.6621198888889
201412020PHO,62.85917555555555,62.90622151851852
201412020SAC,57.223526407407405,63.1179982962963
201412030BOS,62.365610851851855,63.80385085185185
201412030BRK,58.07071751851853,61.68040555555556
201412030CHO,61.154724481481466,54.512258370370375
201412030HOU,59.91854477777777,66.58118788888888
201412030LAC,56.899331555555555,58.24347881481481
201412030MIA,53.56264444444444,57.05784240740742
201412030MIL,63.516012666666676,59.953908333333324
201412030MIN,59.76846333333333,61.09547666666667
201412030UTA,59.56483974074074,57.862248925925925
