"('probCut', '10x10bet (%)')","('colWin', 'win')",10x10bet (%),1xBet (%),BetFinal (%),Coolbet (%),Curebet (%),Ditobet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Parimatch (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(50, 60]",-1,44.0251572327044,44.21052631578947,45.59585492227979,44.973544973544975,44.705882352941174,47.48201438848921,45.12820512820513,43.529411764705884,45.90163934426229,47.30538922155689,45.81005586592179,44.221105527638194,45.30386740331492,44.6927374301676,46.73913043478261,43.125,44.65408805031446
"(50, 60]",1,55.9748427672956,55.78947368421053,54.40414507772021,55.026455026455025,55.294117647058826,52.51798561151079,54.87179487179487,56.470588235294116,54.09836065573771,52.69461077844311,54.18994413407821,55.778894472361806,54.69613259668508,55.3072625698324,53.26086956521739,56.875,55.34591194968554
"(60, 70]",-1,38.5,34.841628959276015,35.82089552238806,36.54822335025381,37.0,35.84905660377358,35.07109004739336,38.118811881188115,33.484162895927604,34.857142857142854,37.44075829383886,37.0,37.61904761904762,38.19095477386934,37.37373737373738,38.53211009174312,36.25730994152047
"(60, 70]",1,61.5,65.15837104072398,64.17910447761194,63.45177664974619,63.0,64.15094339622641,64.92890995260663,61.881188118811885,66.5158371040724,65.14285714285714,62.55924170616114,63.0,62.38095238095238,61.80904522613066,62.62626262626262,61.46788990825688,63.74269005847953
"(70, 80]",-1,31.794871794871796,31.97969543147208,34.5,32.87671232876713,31.443298969072163,29.29936305732484,31.428571428571427,30.256410256410255,33.165829145728644,34.50292397660819,34.146341463414636,31.10047846889952,32.48730964467005,33.027522935779814,34.35897435897436,33.18181818181818,31.372549019607842
"(70, 80]",1,68.2051282051282,68.02030456852792,65.5,67.12328767123287,68.55670103092784,70.70063694267516,68.57142857142857,69.74358974358974,66.83417085427136,65.49707602339181,65.85365853658537,68.89952153110048,67.51269035532995,66.97247706422019,65.64102564102564,66.81818181818181,68.62745098039215
"(80, 90]",-1,22.22222222222222,19.09090909090909,21.21212121212121,22.834645669291337,22.123893805309734,21.951219512195124,22.4,21.818181818181817,19.841269841269842,19.327731092436974,18.248175182481752,21.666666666666668,22.794117647058822,20.634920634920636,22.794117647058822,22.689075630252102,23.47826086956522
"(80, 90]",1,77.77777777777777,80.9090909090909,78.78787878787878,77.16535433070867,77.87610619469027,78.04878048780488,77.6,78.18181818181819,80.15873015873017,80.67226890756302,81.75182481751825,78.33333333333333,77.20588235294117,79.36507936507937,77.20588235294117,77.3109243697479,76.52173913043478
"(90, 100]",-1,9.45945945945946,9.836065573770492,8.450704225352112,8.450704225352112,10.144927536231885,9.615384615384615,10.0,9.375,10.526315789473685,10.843373493975903,12.857142857142858,8.955223880597014,8.974358974358974,10.81081081081081,12.871287128712872,10.126582278481013,9.67741935483871
"(90, 100]",1,90.54054054054055,90.1639344262295,91.54929577464789,91.54929577464789,89.85507246376811,90.38461538461539,90.0,90.625,89.47368421052632,89.1566265060241,87.14285714285714,91.04477611940298,91.02564102564102,89.1891891891892,87.12871287128714,89.87341772151899,90.3225806451613
