,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
Bookmaker,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280DET,DET,DET,ORL,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",24,30,32,22,[],108,-1,2.0,"['morrima03', 'drumman01', 'harrito02', 'smithis01', 'caldwke01', 'leuerjo01', 'johnsst04', 'udrihbe01', 'baynear01', 'gbinimi01', 'ellenhe01', 'marjabo01', 'hillida01']","[0, 1]",0,22,9,20,31,[],82,-1,2.0,"['gordoaa01', 'paytoel01', 'fournev01', 'vucevni01', 'ibakase01', 'hezonma01', 'biyombi01', 'greenje02', 'augusdj01', 'wilcocj01', 'watsocj01', 'zimmest01', 'rudezda01']","[0, 1]",0,conference
201610280MIA,CHO,MIA,CHO,8:00p,"AmericanAirlines Arena, Miami, Florida",23,34,20,14,[],91,1,2.0,"['waitedi01', 'dragigo01', 'winslju01', 'whiteha01', 'babbilu01', 'johnsty01', 'johnsja01', 'reedwi02', 'mcgruro01', 'willide02', 'richajo01', 'mcrobjo01', 'hasleud01']","[1, 0]",0,21,25,27,24,[],97,1,2.0,"['willima02', 'batumni01', 'walkeke02', 'kiddgmi01', 'hibbero01', 'belinma01', 'zelleco01', 'lambje01', 'hawessp01', 'sessira01', 'woodch01', 'roberbr01', 'grahatr01']","[1, 0]",0,division
201610280NOP,GSW,NOP,GSW,9:30p,"Smoothie King Center, New Orleans, Louisiana",22,28,31,33,[],114,-1,2.0,"['davisan02', 'fraziti01', 'mooreet01', 'hillso01', 'asikom01', 'cunnida01', 'stephla01', 'hieldbu01', 'gallola01', 'joneste01', 'diallch01', 'holidjr01', 'ajincal01']","[0, 1]",0,32,27,33,30,[],122,-1,3.0,"['duranke01', 'thompkl01', 'curryst01', 'greendr01', 'pachuza01', 'iguodan01', 'livinsh01', 'mccawpa01', 'westda01', 'looneke01', 'clarkia01', 'varejan01', 'mcgeeja01']","[0, 1]",0,conference
201610280OKC,OKC,OKC,PHO,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",25,24,28,25,[],113,1,2.0,"['westbru01', 'oladivi01', 'roberan03', 'adamsst01', 'sabondo01', 'singlky01', 'ilyaser01', 'kanteen01', 'chrisse01', 'lauvejo01', 'morroan01', 'collini01', 'abrinal01']","[1, 0]",0,40,13,30,19,[],110,-1,2.0,"['warretj01', 'bookede01', 'chandty01', 'bledser01', 'dudleja01', 'knighbr03', 'lenal01', 'chrisma01', 'bendedr01', 'tuckepj01', 'ulisty01', 'willial03', 'barbole01']","[0, 1]",0,conference
201610280TOR,CLE,TOR,CLE,7:00p,"Air Canada Centre, Toronto, Canada",23,17,27,24,[],91,1,2.0,"['lowryky01', 'derozde01', 'carrode01', 'valanjo01', 'siakapa01', 'pattepa01', 'josepco01', 'rosste01', 'poeltja01', 'vanvlfr01', 'powelno01', 'noguelu01', 'cabocbr01']","[1, 0]",0,28,22,21,23,[],94,1,3.0,"['jamesle01', 'irvinky01', 'thomptr01', 'loveke01', 'smithjr01', 'shumpim01', 'jefferi01', 'dunlemi02', 'liggide01', 'mcraejo01', 'jonesja02', 'anderch01', 'feldeka01']","[1, 0]",0,conference
201610280UTA,UTA,UTA,LAL,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",28,20,17,31,[],96,-1,3.0,"['hillge01', 'hoodro01', 'goberru01', 'johnsjo02', 'diawbo01', 'macksh01', 'exumda01', 'favorde01', 'lylestr01', 'inglejo01', 'witheje01', 'netora01', 'bolomjo01']","[0, 1]",0,27,16,22,24,[],89,1,2.0,"['denglu01', 'russeda01', 'randlju01', 'youngni01', 'mozgoti01', 'willilo02', 'clarkjo01', 'nancela02', 'huertma01', 'blackta01', 'ingrabr01', 'robinth01', 'artesro01']","[1, 0]",0,conference
201610290CHI,CHI,CHI,IND,8:00p,"United Center, Chicago, Illinois",24,38,30,26,[],118,1,2.0,"['butleji01', 'gibsota01', 'rondora01', 'wadedw01', 'lopezro01', 'mcderdo01', 'mirotni01', 'cartemi01', 'feliccr01', 'canaais01', 'portibo01', 'valende01', 'zipsepa01']","[1, 0]",0,20,21,26,34,[],101,-1,1.0,"['teaguje01', 'ellismo01', 'youngth01', 'georgpa01', 'turnemy01', 'youngjo01', 'milescj01', 'robingl02', 'niangge01', 'jeffeal01', 'serapke01', 'chrisra01', 'allenla01']","[1, 1]",0,division
201610290CHO,BOS,CHO,BOS,7:00p,"Spectrum Center, Charlotte, North Carolina",19,22,31,26,[],98,2,1.0,"['walkeke02', 'batumni01', 'willima02', 'kiddgmi01', 'zelleco01', 'kaminfr01', 'belinma01', 'hawessp01', 'sessira01', 'lambje01', 'woodch01', 'roberbr01', 'grahatr01']","[2, 0]",0,28,16,27,33,[],104,-1,2.0,"['bradlav01', 'thomais02', 'crowdja01', 'horfoal01', 'johnsam01', 'roziete01', 'jerebjo01', 'brownja02', 'zellety01', 'greenge01', 'mickejo01', 'youngja01', 'jacksde01']","[1, 1]",0,conference
201610290CLE,CLE,CLE,ORL,7:30p,"Quicken Loans Arena, Cleveland, Ohio",33,29,18,25,[],105,2,1.0,"['jamesle01', 'irvinky01', 'loveke01', 'smithjr01', 'thomptr01', 'jefferi01', 'dunlemi02', 'shumpim01', 'anderch01', 'feldeka01', 'mcraejo01', 'liggide01', 'jonesja02']","[2, 0]",0,20,25,17,37,[],99,-2,1.0,"['fournev01', 'paytoel01', 'ibakase01', 'gordoaa01', 'vucevni01', 'greenje02', 'augusdj01', 'biyombi01', 'hezonma01', 'wilcocj01', 'watsocj01', 'rudezda01', 'onuakar01']","[0, 2]",0,conference
201610290DEN,POR,DEN,POR,9:00p,"Pepsi Center, Denver, Colorado",28,26,34,16,[],113,1,3.0,"['gallida01', 'bartowi01', 'mudiaem01', 'jokicni01', 'nurkiju01', 'farieke01', 'chandwi01', 'nelsoja01', 'murraja01', 'stokeja01', 'millemi01', 'hernaju01', 'beaslma01']","[1, 0]",0,33,29,19,23,[],115,-1,2.0,"['lillada01', 'mccolcj01', 'plumlma01', 'harklma01', 'aminual01', 'crabbal01', 'turneev01', 'davised01', 'leoname01', 'vonleno01', 'napiesh01', 'laymaja01', 'connapa01']","[1, 1]",0,division
