,home,away,home,away,home,away,home,away,home,away,home,away
,pm_elo_prob1,pm_elo_prob1,pm_odd_prob,pm_odd_prob,pm_raptor_prob1,pm_raptor_prob1,pm_6_elo_prob1,pm_6_elo_prob1,pm_6_odd_prob,pm_6_odd_prob,pm_6_raptor_prob1,pm_6_raptor_prob1
game_id,,,,,,,,,,,,
201411070DET,-0.3957143585422107,0.5790337464587667,-0.8365872802392604,0.0442004515133001,,,,,,,,
201411070OKC,-1.4382092197674965,2.154579930572326,-0.1088970058389557,2.0655947535845067,,,,,,,,
201411070ORL,-0.5293841836638278,0.0312302151579313,-0.6118476175718457,0.2818805558430415,,,,,,,,
201411070PHI,-1.562167074203854,0.8864128753434595,-1.2665584246379786,0.7262668049184065,,,,,,,,
201411070PHO,-0.0485705086189449,2.064429240495953,-0.1247849852866158,2.1791224418335533,,,,,,,,
201411070TOR,1.1002532301936774,1.105496073520714,0.9129128974898504,0.876244542964292,,,,,,,,
201411070UTA,0.5308387196490036,0.0957092670655428,0.444992471884738,-0.0141694228448265,,,,,,,,
201411080ATL,-0.3694878193578153,-1.1859505533881265,-0.9035083273968983,-0.2416848474193775,,,,-0.4538176442640877,,0.2329987902307731,,
201411080CHI,1.1470661358966605,0.3989915633995522,0.9013544791374466,-0.1756627959394707,,,0.5811371788185479,,0.3869816588772302,,,
201411080HOU,2.111583392954396,1.5202392076146571,1.9485541693804649,1.3879609407740592,,,1.134951987233325,,1.1114806940490818,,,
201411080IND,-2.492102661689022,0.7564119410234964,-1.365839616841539,0.4771955448270262,,,-1.2185342949882578,0.4432197057937516,-0.545947344659624,0.3176165448349083,,
201411080LAC,-0.440081174451433,-0.0826406040247156,-0.7107346066014419,0.0232596671588303,,,,,,,,
201411080MIA,-0.1878182660504794,-0.5784639527296429,-0.0148322339388364,-0.3359017726144184,,,,,,,,
201411080MIL,0.2753786126056692,2.744055191705569,-0.3235211916018574,2.334928413119116,,,0.3108974027718039,1.5002041353053286,-0.060818929555076,1.3206253023114345,,
201411080SAS,-0.6017531299066952,0.0148257194029715,-0.1596961268378134,-0.3017092733873925,,,,,,,,
201411090BRK,0.060617512722052,0.0803099842237466,0.0335025715342087,0.005934710885614,,,,-0.5679003702979545,,-0.5455835199624511,,
201411090DAL,0.4651017982740404,0.094548366096713,0.4136758160799303,0.2376620692357525,,,0.1821206890567391,0.3288885659795069,0.0754046771695456,0.4382399041451213,,
201411090DET,-0.0920592246891129,0.1614461884405063,-0.4688656371241029,0.0171472329599811,,,,0.0334337287277077,,-0.1305790172303014,,
201411090LAL,-1.4898421727951754,-0.3257278570745905,-0.9606985178114408,-0.1709240774551634,,,,-0.5130785396632096,,-0.4644745536182642,,
201411090OKC,-2.0276844809007395,2.787441678113165,-0.378230665373565,2.8278474701956924,,,-1.041236001282364,1.2223651298099163,-0.1115890098569395,1.2983332650890422,,
201411090PHO,-0.7715829462361561,2.1944357085608788,-0.7735100136487549,1.799636071982376,,,0.1213337744433815,,0.0591703749942391,,,
201411090POR,-0.3993837604834667,-1.624175642875585,-0.3456132881120273,-1.7463885410337348,,,-0.2398260988197802,,-0.3278305123125358,,,
201411090TOR,1.449337362690895,-1.8228203347570548,1.3119618956271166,-1.4416460988570186,,,0.7482440574184747,-0.959626913192802,0.6457998886234697,-0.826423019871001,,
201411100CHI,0.312746873866101,-0.7285215360566264,0.0960601347996279,-1.0749380667052142,,,0.5294362742555837,-0.4815321983369384,0.3420767213800958,-0.7575926170502933,,
201411100CLE,0.1193845318589685,0.8785762479702752,-1.2099685677966607,0.4356440679425639,,,,,,,,
201411100IND,-3.04603316217513,0.7979084998080195,-1.775464360508197,0.6232196625410928,,,-1.749435785494187,0.2190148320506244,-0.884627832977356,0.0424841598212605,,
201411100LAC,-0.1233380179926815,-1.4655036584739989,-0.3418616513305839,-0.8970494681677699,,,0.0245260453250553,,-0.2687950504849807,,,
201411100NYK,-1.5483483556977,-0.0070900170482417,-0.5323030892511378,-0.6128900855651382,,,-0.60805032000639,,0.2051965686526558,,,
