,perMetric,perMetric,perMetricElo,perMetricElo,perMetricEloN,perMetricEloN,perMetricN,perMetricN,game
homeTeam,away,home,away,home,away,home,away,home,year
game_id,,,,,,,,,
201411030PHI,0.9610472567264292,-0.6835653196598714,0.8472677208918071,-0.7578147758999398,,,,,2015
201411040CHI,-0.870923211708754,0.20141595506760535,-0.9769323423118971,0.42493726294681355,,,,,2015
201411040IND,-0.22810526920465923,-0.22321780107109612,0.06107575250305608,-0.8496768378880999,,,,,2015
201411040LAL,0.08845020516785684,-0.645735158253056,0.09076726110554145,-1.0588065994946665,,,,,2015
201411040MIA,1.1126581511151366,1.0228071889416794,1.0694193277439128,0.8946717041562215,,,,,2015
201411040NOP,-0.7457584988081787,-0.6802338772823813,-0.7178387319280173,-0.41415542265660976,,,,,2015
201411040NYK,0.2152558034294656,0.9322595899177446,0.21240855166184502,0.2999844149986681,,,,,2015
201411040POR,-0.28360025519835985,-1.0023964997666166,0.199684389560134,-0.7420743926445312,,,,,2015
201411040TOR,0.033461785664335,0.224788291168317,-1.0411316026970519,0.31254028227792796,,,,,2015
201411050BOS,0.3671470826716079,0.04442344428063427,0.7096178993483724,0.27451502706615527,,,,,2015
201411050BRK,-0.3696283895083532,0.3637419205974415,-0.6435058436199852,0.40727112898637596,,,,,2015
201411050CHO,0.4707344191851499,-1.1242831027031674,0.2871211231816848,-1.1468198739875985,,,,,2015
201411050DET,0.4633631374389542,-1.2203656688094293,-0.3105702237865988,-0.9430122456301462,,,,,2015
201411050GSW,-0.3590423973153105,1.036268731487928,-0.0706717474889702,1.1508297806521943,,,,,2015
201411050MIL,0.3737225715200969,0.39674468491160964,0.5595897957505529,0.9058568260516737,,,,,2015
201411050PHI,-1.0432298281612458,-0.8351762140485788,-1.1115848751156363,-0.9799663827520455,,,,,2015
201411050PHO,1.5373962035716495,0.40341356472624135,1.5842065875473308,0.5218028344060501,,,,,2015
201411050SAC,-1.0414892352438776,1.7843373341449587,-0.6283723525145906,1.699096366360058,,,,,2015
201411050SAS,-0.20302320985661915,-0.10856562374527567,0.12831685220175393,-0.318791689549474,,,,,2015
201411050UTA,-0.8507279143856525,-0.22436237962753225,-0.051725598857113475,0.07147843413998711,,,,,2015
201411050WAS,-0.848067755187365,0.684152255908256,-1.6944579114367175,0.822963190447112,,,,,2015
201411060HOU,0.12412712167098561,1.664730920871666,-0.16713964567074857,1.6769699087184495,,,,,2015
201411060POR,0.4443590848933283,-0.4352688405793237,0.5037330672681106,-0.4906644042272834,,,,,2015
201411070BOS,-1.040160042243401,-0.5013423705376088,-1.9769907945103196,-0.11612030377914961,,,,,2015
201411070BRK,0.07958474886878486,-0.2877670247539532,-0.8578681108745343,-0.2674649297915406,,,,,2015
201411070CHO,-0.43571595527288043,-0.6387164495791815,-0.02333519167697129,-0.6718804847554343,,,,,2015
201411070DEN,-1.5200827658979228,-1.4362743429324722,-0.5110858843661299,-0.993705226650486,,,,,2015
201411070DET,0.0442004515133001,-0.83658728023926,0.5790337464587672,-0.3957143585422107,,,,,2015
201411070OKC,2.0655947535845067,-0.10889700583895578,2.154579930572326,-1.4382092197674963,,,,,2015
201411070ORL,0.2818805558430415,-0.6118476175718461,0.031230215157931562,-0.5293841836638278,,,,,2015
