gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
202111140OKC,BRK,2022,1,2021-11-14,1659.5999554106759,1351.4752345420898,1661.4835252588523,1395.7244947639156,0.7817165439437952,0.715994938070516,0.7278145861552199,0.8321601404079909,0.7952941658464378,0.7904489063854404,0.8059812033846349
202111140OKC,OKC,2022,0,2021-11-14,1351.4752345420898,1659.5999554106759,1395.7244947639156,1661.4835252588523,0.2182834560562048,0.284005061929484,0.2721854138447802,0.16783985959200912,0.20470583415356222,0.20955109361455948,0.19401879661536522
202111140DEN,POR,2022,0,2021-11-14,1512.1616286747762,1463.369416737276,1533.6912495112426,1503.7807520047832,0.328122770905089,0.3411897502852595,0.280802658223014,0.5270178247439542,0.4998711955607166,0.4365822947113517,0.42983955387065087
202111140DEN,DEN,2022,1,2021-11-14,1463.369416737276,1512.1616286747762,1503.7807520047832,1533.6912495112426,0.671877229094911,0.6588102497147404,0.719197341776986,0.47298217525604586,0.5001288044392835,0.5634177052886484,0.5701604461293492
202111140LAC,CHI,2022,1,2021-11-14,1544.451198661012,1651.5651712457066,1551.8206206153882,1684.8187744722024,0.3910197267255393,0.2627305311617226,0.2803383761836764,0.3123208240846203,0.2812453183573382,0.3477663176823565,0.30441625238414344
202111140LAC,LAC,2022,0,2021-11-14,1651.5651712457066,1544.451198661012,1684.8187744722024,1551.8206206153882,0.6089802732744607,0.7372694688382774,0.7196616238163236,0.6876791759153797,0.7187546816426618,0.6522336823176434,0.6955837476158566
202111140LAL,SAS,2022,0,2021-11-14,1446.9176931043492,1400.6646540114712,1458.692875710794,1409.832871059169,0.4491310290958797,0.3369037479325302,0.4194127029682488,0.5233729563923721,0.527115100409928,0.431883533747,0.5219242154097433
202111140LAL,LAL,2022,1,2021-11-14,1400.6646540114712,1446.9176931043492,1409.832871059169,1458.692875710794,0.5508689709041203,0.6630962520674698,0.5805872970317512,0.476627043607628,0.472884899590072,0.568116466253,0.47807578459025657
202111150ATL,ORL,2022,0,2021-11-15,1366.0418238158104,1464.914092606506,1357.980904150942,1472.021666276907,0.1771594002506157,0.1378639025891068,0.1563513228117838,0.3226000791399582,0.3038215964360025,0.1930684948626601,0.17853266194090728
202111150ATL,ATL,2022,1,2021-11-15,1464.914092606506,1366.0418238158104,1472.021666276907,1357.980904150942,0.8228405997493842,0.8621360974108931,0.8436486771882161,0.6773999208600417,0.6961784035639976,0.80693150513734,0.8214673380590928
202111150NYK,IND,2022,0,2021-11-15,1592.4200913685452,1508.231494310637,1596.1092571054976,1455.928020409951,0.4189920442401317,0.3426718152852824,0.431048066851403,0.5773574143082703,0.6534534584239051,0.4382031135215942,0.521536689062502
202111150NYK,NYK,2022,1,2021-11-15,1508.231494310637,1592.4200913685452,1455.928020409951,1596.1092571054976,0.5810079557598683,0.6573281847147175,0.5689519331485969,0.4226425856917298,0.34654654157609477,0.5617968864784059,0.47846331093749817
202111150CLE,BOS,2022,1,2021-11-15,1490.6994825609697,1435.4768538552316,1491.2326977570306,1445.9497737033314,0.6242980837855671,0.4250196978972994,0.6057247593724612,0.5362346475480209,0.5219797211415411,0.5251667456811676,0.694690391948168
202111150CLE,CLE,2022,0,2021-11-15,1435.4768538552316,1490.6994825609697,1445.9497737033314,1491.2326977570306,0.3757019162144329,0.5749803021027006,0.3942752406275388,0.46376535245197914,0.4780202788584588,0.4748332543188324,0.305309608051832
202111150DET,SAC,2022,1,2021-11-15,1488.779079016467,1334.2494406896355,1422.7138489236402,1370.8942810459776,0.6214728148657948,0.4857690434291511,0.5634486387429969,0.6719130377795097,0.5313596650173645,0.5856504543480885,0.6655660677954325
202111150DET,DET,2022,0,2021-11-15,1334.2494406896355,1488.779079016467,1370.8942810459776,1422.7138489236402,0.3785271851342051,0.5142309565708488,0.4365513612570031,0.32808696222049033,0.4686403349826355,0.41434954565191146,0.3344339322045675
202111150WAS,NOP,2022,0,2021-11-15,1409.4692110521369,1526.4638491606045,1395.0767757646727,1538.638100562397,0.3725132757390821,0.1995924173193378,0.2964027944327366,0.30023708138432453,0.26911854698222537,0.2717243840544175,0.3782961896703533
202111150WAS,WAS,2022,1,2021-11-15,1526.4638491606045,1409.4692110521369,1538.638100562397,1395.0767757646727,0.6274867242609178,0.8004075826806621,0.7035972055672634,0.6997629186156754,0.7308814530177746,0.7282756159455824,0.6217038103296466
202111150DAL,DEN,2022,0,2021-11-15,1528.2779963379915,1526.2306927381846,1577.3705427894884,1524.9422056702183,0.344937139744928,0.4430897801983311,0.3126983738666249,0.459859407538584,0.5322322113132218,0.5434701665502624,0.4682931795695211
202111150DAL,DAL,2022,1,2021-11-15,1526.2306927381846,1528.2779963379915,1524.9422056702183,1577.3705427894884,0.655062860255072,0.5569102198016689,0.6873016261333751,0.5401405924614159,0.46776778868677804,0.4565298334497376,0.5317068204304789
202111150MEM,HOU,2022,0,2021-11-15,1316.1368056246329,1505.7414248594685,1287.3164716045012,1445.3257244464626,0.1597134736118775,0.1661292191419248,0.1254553748994054,0.22026104035696986,0.2530770100640747,0.2296373334791793,0.21403101317967685
202111150MEM,MEM,2022,1,2021-11-15,1505.7414248594685,1316.1368056246329,1445.3257244464626,1287.3164716045012,0.8402865263881225,0.8338707808580752,0.8745446251005946,0.7797389596430302,0.7469229899359254,0.7703626665208206,0.7859689868203231
202111150MIN,PHO,2022,1,2021-11-15,1550.1819617751798,1487.0827046364584,1580.1178797196565,1485.2125959094028,0.6063931297709925,0.6814996297123153,0.5313226296388025,0.5474900757731187,0.5923345781165957,0.7619906744477991,0.6849993844976416
