,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,homeProbRAPTOR,awayProbRAPTOR,homeTeamProb,awayTeamProb,homeTeamEloAfter,awayTeamEloAfter
201503140MEM,1591.5571,1485.8071,1569.294189453125,1466.902587890625,0.7622508748295931,0.23774912517040697,0.7657366150964866,0.23426338490351334,1596.8500712188768,1480.5141287811232
201503140PHI,1305.9456,1425.4293,1314.7845458984375,1432.893310546875,0.4739629661077764,0.5260370338922237,0.4719900575835931,0.5280099424164069,1298.696990095552,1432.677909904448
201503140UTA,1545.056,1416.6588,1529.6842041015625,1427.6092529296875,0.7619203834633451,0.23807961653665485,0.7883085810154742,0.2116914189845259,1547.2024887537152,1414.5123112462848
201503140WAS,1506.5474,1400.2866,1492.9696044921875,1394.6705322265625,0.7579551580576467,0.2420448419423532,0.7662636639688722,0.2337363360311278,1512.6044986708357,1394.2295013291641
201503150LAC,1652.2621,1601.9164,1611.626708984375,1592.0816650390625,0.6655567257079379,0.3344432742920621,0.7038000200096917,0.2961999799903083,1645.17533700782,1609.00316299218
201503150LAL,1338.8159,1651.8879,1345.566650390625,1607.5594482421875,0.28241667868944437,0.7175833213105557,0.22678740017950125,0.7732125998204987,1336.2632535141015,1654.4405464858985
201503150NOP,1522.9375,1427.5206,1509.756103515625,1426.6556396484375,0.7415443764614886,0.25845562353851126,0.7548983537342289,0.2451016462657712,1509.1862547633825,1441.2718452366175
201503150OKC,1611.2052,1529.7437,1583.39892578125,1510.1385498046875,0.7305405643616502,0.26945943563834984,0.7397320525718127,0.2602679474281874,1615.9620101234034,1524.9868898765967
201503150ORL,1309.7018,1652.641,1331.0123291015625,1607.5594482421875,0.2657512958392382,0.7342487041607618,0.19805893994743562,0.8019410600525643,1305.5168333651973,1656.8259666348029
201503150PHO,1498.7783,1279.0592,1479.845703125,1274.6602783203125,0.8528069891505535,0.14719301084944653,0.8630020476012492,0.13699795239875076,1501.6336179095408,1276.203882090459
201503150SAS,1645.1970000000001,1351.1395,1609.538818359375,1360.923095703125,0.8815084998984455,0.11849150010155458,0.9062239793356044,0.09377602066439557,1648.1908185439102,1348.14568145609
201503150TOR,1541.6526,1634.3429,1529.6842041015625,1607.5594482421875,0.5317971139248322,0.4682028860751678,0.5105179520664632,0.4894820479335369,1528.289205388821,1647.706294611179
201503160BOS,1464.7347,1298.126,1459.045166015625,1310.900390625,0.8066575331506051,0.19334246684939493,0.82269630151336,0.17730369848664002,1469.6810492793577,1293.1796507206423
201503160DAL,1576.934,1615.6298,1566.4674072265625,1592.2586669921875,0.6052000413901106,0.39479995860988937,0.5873195154390788,0.41268048456092127,1582.3206391849963,1610.2431608150036
201503160GSW,1723.3567,1336.0887,1638.8231201171875,1337.76025390625,0.909595293800343,0.09040470619965707,0.9429421938050522,0.05705780619494777,1723.843774105237,1335.6016258947632
201503160IND,1517.0497,1527.2139,1504.0013427734375,1507.5096435546875,0.6353993075373517,0.3646006924626482,0.6264779255541058,0.3735220744458943,1497.402732567662,1546.860867432338
201503160MEM,1596.4865,1442.5758,1583.39892578125,1440.6417236328125,0.80177460529108,0.19822539470891992,0.811781467707301,0.18821853229269897,1600.177160292183,1438.885139707817
201503160MIA,1452.681,1657.1063,1443.5064697265625,1608.99365234375,0.40685681130702783,0.5931431886929722,0.35408741770603613,0.6459125822939639,1472.5445359641199,1637.24276403588
201503160MIN,1348.3278,1433.2489,1350.39892578125,1440.6417236328125,0.5140380523088277,0.4859619476911723,0.5216866667845117,0.4783133332154883,1334.5925753951626,1446.9841246048375
201503160SAC,1394.6455,1654.6151,1399.076904296875,1607.17333984375,0.34926919197906453,0.6507308080209355,0.2847828911680634,0.7152171088319367,1390.6788449369933,1658.5817550630068
201503160UTA,1547.0574,1475.3245,1529.6842041015625,1461.4207763671875,0.72484078917248,0.27515921082752004,0.7288061763208132,0.27119382367918676,1557.7259204587417,1464.6559795412581
201503160WAS,1512.1885,1648.7816,1495.414306640625,1607.5594482421875,0.4825288520089051,0.5174711479910948,0.4475321615038521,0.5524678384961479,1523.4512899849199,1637.5188100150801
201503170DET,1414.6575,1599.9318,1428.141845703125,1580.982666015625,0.4245368920104052,0.5754631079895948,0.37968667739615297,0.6203133226038471,1429.772452919967,1584.816847080033
201503170HOU,1609.6476,1305.2365,1583.39892578125,1312.0296630859375,0.8945207001631502,0.10547929983684966,0.9111677635071761,0.08883223649282386,1611.3981698276775,1303.4859301723225
201503170LAC,1644.5309,1465.4064,1609.7489013671875,1461.4207763671875,0.8068220883292565,0.19317791167074352,0.8329624300054691,0.16703756999453093,1646.989131866017,1462.948168133983
201503170NOP,1507.8823,1480.8778,1491.81396484375,1460.2095947265625,0.6808271503393123,0.3191728496606878,0.6750458833580653,0.3249541166419348,1510.4536213380738,1478.3064786619261
201503170NYK,1276.3857,1648.0088,1298.522216796875,1607.5594482421875,0.23088601567321299,0.769113984326787,0.1731323589609005,0.8268676410390996,1291.269446610901,1633.125053389099
201503180CHI,1525.3191,1495.7092,1511.56298828125,1469.8282470703125,0.693363366045599,0.30663663395440105,0.6783271283343777,0.3216728716656224,1534.524434757721,1486.5038652422788
201503180CLE,1638.9767,1448.0963,1601.86962890625,1439.2962646484375,0.8192824803349016,0.18071751966509833,0.8421671810879127,0.15783281891208736,1644.2268843092609,1442.846115690739
201503180DAL,1581.9098,1303.5917,1568.96630859375,1312.0296630859375,0.8864209114750459,0.11357908852495416,0.8982357815947147,0.10176421840528516,1583.0812724503962,1302.4202275496036
201503180GSW,1723.8157,1658.8629999999998,1638.8231201171875,1608.99365234375,0.6786028557711505,0.32139714422884946,0.7210234776085842,0.2789765223914159,1732.2001468304513,1650.4785531695486
201503180MIA,1470.8107,1638.4470000000001,1461.6702880859375,1607.5594482421875,0.4343415510817806,0.5656584489182195,0.40387478624380446,0.5961252137561955,1479.5187607444636,1629.7389392555365
201503180MIL,1478.4932,1634.6464,1469.9954833984375,1607.5594482421875,0.4461507684592821,0.5538492315407179,0.4198854122321152,0.5801145877678848,1470.273057982191,1642.866542017809
201503180OKC,1610.6539,1469.355,1583.39892578125,1461.4207763671875,0.7820765794988043,0.21792342050119579,0.8004370435547796,0.19956295644522049,1612.9217622122685,1467.0871377877315
201503180PHI,1293.5057,1428.4747,1244.58154296875,1440.1513671875,0.3658309700341388,0.6341690299658612,0.4498448100377219,0.5501551899622781,1307.088191638207,1414.8922083617929
201503180SAC,1390.3976,1646.8284,1392.8441162109375,1607.5594482421875,0.340659974972052,0.659340025027948,0.2889502090826482,0.7110497909173518,1385.1173437372843,1652.1086562627158
201503180TOR,1548.5543,1333.4803,1531.5931396484375,1343.605224609375,0.8399413423266423,0.1600586576733577,0.8598098734061126,0.14019012659388738,1550.23778248214,1331.79681751786
201503180UTA,1556.9755,1522.5231,1541.35595703125,1505.7833251953125,0.6857703684907299,0.3142296315092702,0.6843791077512994,0.3156208922487006,1548.0736155976972,1531.424984402303
201503190HOU,1611.2924,1439.1305,1583.39892578125,1440.6417236328125,0.80177460529108,0.19822539470891992,0.8273112058771542,0.17268879412284577,1614.4426755630889,1435.9802244369112
201503190LAL,1335.6298,1547.2756,1345.566650390625,1533.6849365234375,0.375838497412256,0.6241615025877439,0.34463986946561487,0.6553601305343851,1330.6707085238017,1552.2346914761981
201503190NYK,1289.7482,1331.9044,1298.522216796875,1346.04345703125,0.5749538498522919,0.42504615014770797,0.5824832287422732,0.41751677125772674,1283.4477995302314,1338.2048004697685
201503190PHO,1501.4518,1510.267,1479.845703125,1479.1053466796875,0.6410462616056751,0.3589537383943249,0.628293278921239,0.371706721078761,1505.0693847503424,1506.6494152496577
201503200BRK,1443.1869,1469.6437,1443.0010986328125,1461.4207763671875,0.615292411378835,0.384707588621165,0.6042842836433534,0.3957157163566465,1447.093678060812,1465.736921939188
201503200CHI,1533.8572,1550.1302,1521.8670654296875,1531.84912109375,0.6267232471520157,0.37327675284798434,0.618213273413089,0.381786726586911,1544.7335551941685,1539.2538448058315
201503200CLE,1643.8861,1487.1711,1609.7489013671875,1466.902587890625,0.8018561194344027,0.19814388056559734,0.8142355660433874,0.18576443395661257,1645.731779105606,1485.325420894394
201503200DAL,1583.0093,1586.1145,1568.96630859375,1564.8912353515625,0.6454513529941982,0.35454864700580185,0.6359367066454071,0.3640632933545928,1569.038942008398,1600.084857991602
201503200GSW,1731.6075,1506.9191,1646.1036376953125,1479.7572021484375,0.822475976392671,0.17752402360732894,0.8663490890839393,0.13365091091606068,1734.7928215886782,1503.733778411322
201503200LAC,1652.484,1532.2229,1611.626708984375,1516.35107421875,0.7547478609405354,0.2452521390594646,0.7803873032633306,0.2196126967366694,1657.6373779923188,1527.0695220076811
201503200MIA,1478.7822,1436.1871,1469.9954833984375,1440.6417236328125,0.6780053170634929,0.3219946829365071,0.6944153367249559,0.305584663275044,1487.4392871706964,1427.5300128293038
201503200OKC,1612.7698,1651.0712,1583.39892578125,1607.5594482421875,0.6074407423108626,0.39255925768913735,0.5878696826356424,0.41213031736435757,1620.4900764296694,1643.3509235703307
201503200ORL,1302.4922,1630.4755,1314.7845458984375,1607.7315673828125,0.2477418377916225,0.7522581622083775,0.21208929600410947,0.7879107039958906,1320.465050364524,1612.502649635476
201503200PHI,1305.9703,1282.9193,1314.7845458984375,1276.712158203125,0.68886288671725,0.3111371132827499,0.6700339242061065,0.3299660757938936,1315.0800218243867,1273.8095781756133
201503200SAC,1384.7419,1463.1089,1394.8560791015625,1461.4207763671875,0.547969277345107,0.45203072265489297,0.5310922194507818,0.4689077805492182,1395.1250534095454,1452.7257465904545
201503200SAS,1643.4958,1467.2391,1609.7489013671875,1461.4207763671875,0.8068220883292565,0.19317791167074352,0.8306528767755321,0.16934712322446782,1646.9498759150702,1463.7850240849298
201503210DET,1416.0101,1543.9181,1428.141845703125,1521.7452392578125,0.5092044166960388,0.4907955833039613,0.4599233169207548,0.5400766830792453,1432.9265250041335,1527.0016749958666
201503210GSW,1734.5906,1552.5989,1646.1036376953125,1531.658935546875,0.7745952458554484,0.22540475414455166,0.8352462576030736,0.16475374239692642,1738.4631009861528,1548.7263990138472
201503210HOU,1614.2357,1504.7997,1602.924560546875,1479.7572021484375,0.7832410475089451,0.21675895249105487,0.7695213613643144,0.23047863863568555,1591.526712580264,1527.508687419736
201503210IND,1485.4479999999999,1446.7985,1469.9954833984375,1440.6417236328125,0.6780053170634929,0.3219946829365071,0.6895744734385565,0.3104255265614436,1468.8878942385543,1463.3586057614457
201503210MEM,1601.2964,1614.2612,1583.39892578125,1592.2586669921875,0.6282333971236508,0.3717666028763492,0.6226978033363927,0.37730219666360737,1609.6927097101784,1605.8648902898215
201503220ATL,1643.9395,1646.7236,1609.7489013671875,1607.5594482421875,0.6429634629381618,0.3570365370618382,0.6363645428734676,0.3636354571265324,1623.8649124697981,1666.7981875302019
201503220BOS,1464.0114,1431.5424,1459.045166015625,1440.6417236328125,0.6640923618983053,0.33590763810169477,0.6819077309109358,0.3180922690890641,1451.2986800551143,1444.2551199448858
201503220LAC,1657.2869,1503.9360000000001,1611.626708984375,1479.7572021484375,0.7916249539998823,0.2083750460001176,0.8112886046260113,0.18871139537398862,1660.1151030982255,1501.1077969017747
201503220LAL,1330.3065,1314.4166,1347.25244140625,1331.2825927734375,0.6609601977875557,0.3390398022124444,0.6608570583171179,0.339142941682882,1338.9208939809048,1305.8022060190951
201503220MIL,1466.0321,1645.6093,1459.045166015625,1607.5594482421875,0.43063259312170904,0.5693674068782909,0.3874406437713959,0.612559356228604,1455.712764184696,1655.928635815304
201503220MIN,1338.7333,1453.5422,1345.566650390625,1441.181396484375,0.5063105525647918,0.4936894474352081,0.4787011764653592,0.5212988235346407,1329.0778210195917,1463.1976789804085
201503220OKC,1619.9015,1486.8176,1602.24365234375,1466.902587890625,0.7949021865130779,0.2050978134869222,0.7927757383936223,0.2072242616063778,1625.6063766157095,1481.1127233842906
201503220ORL,1318.7064,1428.1517,1331.0123291015625,1422.4183349609375,0.5123652299826906,0.4876347700173093,0.4864104683245125,0.5135895316754875,1304.5661181710009,1442.291981828999
201503220PHO,1529.691,1567.8274,1519.1322021484375,1544.10546875,0.6063245571286555,0.3936754428713444,0.5880997838926941,0.4119002161073059,1536.2616908110958,1561.256709188904
201503220SAC,1394.3086,1527.42,1399.076904296875,1507.2734375,0.4882064283814716,0.5117935716185283,0.4524926069480887,0.5475073930519114,1416.4516557451948,1505.2769442548054
201503220TOR,1540.0693,1274.473,1529.6842041015625,1278.5501708984375,0.8830143295524309,0.11698567044756908,0.891343803243825,0.10865619675617494,1542.6945683633949,1271.8477316366052
201503230BRK,1464.8486,1450.161,1459.045166015625,1441.0526123046875,0.6635645288004666,0.3364354711995335,0.6593041676131629,0.340695832386837,1443.756204306707,1471.253395693293
201503230CHI,1528.3859,1463.9611,1518.056640625,1461.4207763671875,0.7112922622839131,0.288707737716087,0.7204118094387556,0.27958819056124434,1534.5736795291357,1457.7733204708643
201503230GSW,1738.2103,1507.0967,1646.1036376953125,1479.7572021484375,0.822475976392671,0.17752402360732894,0.870573957594641,0.1294260424053591,1743.1023983635573,1502.2046016364427
201503230IND,1467.3978,1589.3444,1459.045166015625,1564.8912353515625,0.4915876238390784,0.5084123761609216,0.4684582443846638,0.5315417556153363,1458.5391589226779,1598.203041077322
201503230NYK,1272.0103,1609.0647,1303.9281005859375,1592.2586669921875,0.2527275360798064,0.7472724639201936,0.20349453855577773,0.7965054614442222,1266.577688067819,1614.4973119321808
201503230UTA,1548.9791,1328.3145,1531.4683837890625,1346.04345703125,0.8379478885336383,0.16205211146636173,0.863644269134805,0.13635573086519504,1538.8438903796196,1338.4497096203804
201503240DAL,1561.7576,1668.5397,1541.35595703125,1610.031005859375,0.5449584733734735,0.45504152662652664,0.4902410130417741,0.509758986958226,1571.135694841939,1659.1616051580609
201503240DET,1445.3927,1542.5321,1443.0010986328125,1513.9052734375,0.5417746467748452,0.4582253532251548,0.504116641301178,0.49588335869882205,1452.1934986088288,1535.7313013911712
