,elo_prob1,elo_prob2,carm-elo_prob1,carm-elo_prob2,raptor_prob1,raptor_prob2,raptor_prob1_pred,raptor_prob2_pred
202012230PHO,0.6754279037560826,0.3245720962439173,,,0.6437033599196298,0.3562966400803702,0.611214,0.35143209
202012250MIA,0.7259524513604411,0.2740475486395589,,,0.5822397150136305,0.4177602849863695,0.68244135,0.31721103
202012250MIL,0.8603229375713581,0.1396770624286418,,,0.8012501831955209,0.1987498168044791,0.78021556,0.17614467
202012250BOS,0.8085194966803461,0.1914805033196539,,,0.6393133360663414,0.3606866639336585,0.7252039,0.24868599
202012250LAL,0.7687562762147295,0.2312437237852704,,,0.6470188609002823,0.3529811390997177,0.70485365,0.26824367
202012250DEN,0.5557781481440015,0.4442218518559985,,,0.6125968046179044,0.3874031953820955,0.515691,0.4623133
202012260MEM,0.7736347409798666,0.2263652590201333,,,0.6118650797815955,0.3881349202184044,0.70485365,0.24469496
202012260WAS,0.5026482823206284,0.4973517176793716,,,0.487426037426111,0.512573962573889,0.4843768,0.4843768
202012260CHO,0.4753093409117743,0.5246906590882257,,,0.5404351538110409,0.4595648461889591,0.45960516,0.49010694
202012260DET,0.6464510473995205,0.3535489526004794,,,0.5768095460256117,0.4231904539743882,0.6045937,0.36521718
202012260NYK,0.417773637438794,0.582226362561206,,,0.269095592335861,0.7309044076641389,0.43115702,0.53672117
202012260CHI,0.3991937538699053,0.6008062461300947,,,0.4152307900142399,0.58476920998576,0.41719446,0.5801642
202012260SAS,0.5338202275491197,0.4661797724508802,,,0.434702884262738,0.5652971157372619,0.51707,0.48087052
202012260UTA,0.8197649860863632,0.1802350139136368,,,0.7456963875931847,0.2543036124068153,0.7252039,0.22790052
202012260POR,0.5695883721872778,0.4304116278127222,,,0.5403903868728807,0.4596096131271193,0.5381449,0.44483662
202012260SAC,0.5756832422701159,0.4243167577298841,,,0.4500568139541742,0.5499431860458258,0.53672117,0.4451612
202012270LAC,0.7679075796415157,0.2320924203584843,,,0.5471648881946076,0.4528351118053924,0.70485365,0.26824367
202012270WAS,0.4726044054291894,0.5273955945708105,,,0.4739368625588424,0.5260631374411576,0.48087052,0.487332
202012270CHO,0.4606424059378608,0.5393575940621391,,,0.2953716460103466,0.7046283539896534,0.46555278,0.52345544
202012270NOP,0.5963962903023998,0.4036037096976002,,,0.7574034207245819,0.2425965792754181,0.5884976,0.40606847
202012270CLE,0.4054438259926508,0.5945561740073492,,,0.2717547374838572,0.7282452625161427,0.40606847,0.5884976
202012270NYK,0.3070715100841784,0.6929284899158216,,,0.2110463767559142,0.7889536232440857,0.3307929,0.7099254
202012270IND,0.5541999270772805,0.4458000729227195,,,0.4831985623640035,0.5168014376359965,0.515691,0.4616406
202012270CHI,0.59648433263463,0.40351566736537,,,0.4420220167481933,0.5579779832518066,0.5884976,0.40606847
202012270SAC,0.5884296548138436,0.4115703451861564,,,0.4576651677533853,0.5423348322466146,0.55040044,0.43041095
202012270LAL,0.866940555497246,0.1330594445027539,,,0.8189545138537851,0.1810454861462148,0.78021556,0.1750565
202012280ATL,0.7214854059239327,0.2785145940760672,,,0.8136019785663652,0.1863980214336348,0.68244135,0.31304228
202012280BRK,0.6819141666148018,0.3180858333851982,,,0.6050498714181827,0.3949501285818173,0.611214,0.3309612
202012280OKC,0.6271339159039094,0.3728660840960905,,,0.4263445655926096,0.5736554344073903,0.60696167,0.37609246
202012280DEN,0.6378584819236502,0.3621415180763497,,,0.6813375348568372,0.3186624651431627,0.60696167,0.35985962
202012280LAL,0.8094576468951927,0.1905423531048072,,,0.5542905875283476,0.4457094124716524,0.7252039,0.24868599
202012290CLE,0.6598552117172016,0.3401447882827983,,,0.6209871088654704,0.3790128911345296,0.6114599,0.36521718
202012290DET,0.6013014165021611,0.3986985834978389,,,0.3848370865740964,0.6151629134259036,0.5801642,0.41985524
202012290IND,0.5641265544281127,0.4358734455718873,,,0.4979325665360061,0.5020674334639939,0.5381449,0.44483662
202012290PHI,0.5168447126603377,0.4831552873396623,,,0.5572813844004187,0.4427186155995812,0.49010694,0.46398646
202012290WAS,0.6944176134474928,0.3055823865525072,,,0.6768301967054146,0.3231698032945854,0.7099254,0.3307929
202012290MIA,0.6639034887512166,0.3360965112487833,,,0.4682781213303271,0.5317218786696729,0.6114599,0.3684563
202012290OKC,0.6559648549366917,0.3440351450633083,,,0.4272407751803625,0.5727592248196375,0.6114599,0.36521718
202012290PHO,0.7001098165262283,0.2998901834737717,,,0.6748830504037824,0.3251169495962176,0.68244135,0.33072066
202012290SAC,0.578730327457168,0.421269672542832,,,0.5278028893199778,0.4721971106800222,0.53672117,0.4366389
202012290LAC,0.8135913032570421,0.1864086967429579,,,0.7739959310171196,0.2260040689828804,0.7252039,0.22545663
202012300BRK,0.7512778305704854,0.2487221694295146,,,0.6170687394835112,0.3829312605164888,0.6828601,0.2784765
202012300MIA,0.5414018039367734,0.4585981960632266,,,0.4196406507493915,0.5803593492506085,0.52345544,0.48625833
202012300BOS,0.7575683290048738,0.2424316709951262,,,0.6605411840792842,0.3394588159207158,0.7090164,0.26711622
202012300SAS,0.5304931914958722,0.4695068085041278,,,0.4770229620676874,0.5229770379323126,0.51707,0.48087052
202012300DAL,0.8161873649179778,0.1838126350820221,,,0.8081030219181623,0.1918969780818377,0.7252039,0.22545663
202012300LAC,0.7132804732572022,0.2867195267427977,,,0.5526338613245342,0.4473661386754658,0.68244135,0.31546414
202012310IND,0.804036333071065,0.1959636669289349,,,0.7784559454748673,0.2215440545251327,0.7252039,0.24315087
202012310WAS,0.6585830813652359,0.3414169186347641,,,0.6698308866648787,0.3301691133351213,0.6114599,0.36521718
202012310ORL,0.6416930225091302,0.3583069774908698,,,0.4605532975870995,0.5394467024129005,0.60696167,0.36521718
202012310HOU,0.6682698846673033,0.3317301153326967,,,0.72877281432259,0.27122718567741,0.611214,0.34350368
202012310TOR,0.8497057137903967,0.1502942862096032,,,0.8477755226772703,0.1522244773227297,0.78021556,0.18701258
202012310OKC,0.6441946746241659,0.3558053253758341,,,0.4611337371416141,0.5388662628583859,0.60696167,0.36521718
202012310UTA,0.6018022918018314,0.3981977081981686,,,0.6086698666620645,0.3913301333379355,0.5801642,0.39412296
202101010CHO,0.5632057285417085,0.4367942714582915,,,0.5673949992025618,0.4326050007974382,0.51496685,0.44483662
