game_id,elo1_pre,elo2_pre,elo1_post,elo_2post,neutral,elo_prob1,elo_prob2
201901210ATL,1385.3443588021669,1411.030509560706,1366.5911442706215,1429.7837240922513,0,0.6053446000196679,0.394655399980332
201901210BOS,1600.394956874251,1504.6494811813297,1604.5231114089156,1500.521326646665,0,0.7552481509705596,0.24475184902944036
201901210BRK,1499.3651521129489,1471.4332183889442,1512.8779891978777,1457.9203813040153,0,0.6762158870117381,0.32378411298826204
201901210CLE,1313.0782906271495,1284.0337234929789,1293.5723962640109,1303.5396178561173,0,0.6776166263767756,0.32238337362322456
201901210LAL,1518.561868333921,1667.7551832647778,1506.4257806836563,1679.8912709150425,0,0.42967445615804883,0.5703255438419512
201901210MEM,1413.123376958835,1533.6923765373297,1399.0674909761162,1547.7482625200485,0,0.4704333649194747,0.5295666350805254
201901210MIL,1671.935974617219,1479.5159755924126,1674.7536778034214,1476.6982724062102,0,0.8433416488737425,0.15665835112625748
201901210NYK,1318.1591036408481,1569.1338110448578,1310.6643303563378,1576.628584329368,0,0.2954457133167089,0.704554286683291
201901210PHI,1605.7777425290801,1594.6869100642239,1620.0172840788434,1580.4473685144605,0,0.6546382188960294,0.34536178110397064
201901210UTA,1610.4200251011214,1568.2407439829312,1600.3123882547327,1578.34838082932,0,0.6939071624161643,0.30609283758383565
201901210WAS,1482.2034047915326,1453.832562522173,1490.3334744327437,1445.702492880962,0,0.6767688258486826,0.3232311741513174
201901220DAL,1476.6982724062102,1498.700871059558,1483.8996512654544,1491.4994922003139,0,0.610398864657335,0.38960113534266494
201901220OKC,1576.628584329368,1578.34838082932,1583.689853795071,1571.287111363617,0,0.6377810845148231,0.362218915485177
201901220PHO,1319.7814173669772,1510.9607918744455,1306.7177038807965,1524.024505360626,0,0.37171401497255613,0.6282859850274439
201901220TOR,1631.0455940739262,1457.9203813040153,1635.1111921472423,1453.8547832306992,0,0.8281020072680405,0.17189799273195952
201901230BOS,1604.5231114089156,1293.5723962640109,1606.7748659673562,1291.3206417055703,0,0.9141680009377131,0.08583199906228699
201901230BRK,1512.8779891978777,1429.7837240922513,1515.943436078248,1426.718277211881,0,0.741537537541801,0.25846246245819904
201901230CHI,1303.5396178561173,1366.5911442706215,1286.293806776882,1383.8369553498567,0,0.5529735761974077,0.4470264238025923
201901230IND,1608.157477063166,1635.1111921472423,1613.2819340680903,1629.986735142318,0,0.6036000699681751,0.39639993003182494
201901230MEM,1399.0674909761162,1476.3652428849346,1388.020750466605,1487.4119833944458,0,0.5326247427394077,0.46737525726059237
201901230MIA,1500.521326646665,1491.4994922003139,1485.2387840813672,1506.7820347656118,0,0.6519405610614296,0.34805943893857033
201901230NOP,1547.7482625200485,1445.702492880962,1537.2546547565867,1456.1961006444237,0,0.761889910498445,0.23811008950155507
201901230NYK,1310.6643303563378,1580.4473685144605,1307.8198519540101,1583.2918469167882,0,0.27341797120945865,0.7265820287905413
201901230PHI,1620.0172840788434,1563.6444058195275,1622.689758545451,1560.97193135292,0,0.7109812814033944,0.2890187185966056
201901230UTA,1600.3123882547327,1580.9754498357272,1605.4099734959925,1575.8778645944674,0,0.6652900196112167,0.3347099803887834
201901240LAL,1506.4257806836563,1524.024505360626,1490.0581832734215,1540.392102770861,0,0.6164104298182767,0.3835895701817233
201901240OKC,1583.689853795071,1537.2546547565867,1588.1769407112527,1532.767567840405,0,0.6990858965127482,0.3009141034872518
201901240PHO,1306.7177038807965,1571.287111363617,1300.7856231495502,1577.2191920948633,0,0.27942055490075973,0.7205794450992402
201901240WAS,1490.3334744327437,1679.8912709150425,1484.4380464585697,1685.7866988892165,0,0.3738966296657904,0.6261033703342096
201901250BRK,1515.943436078248,1307.8198519540101,1518.5248301486008,1305.2384578836572,0,0.8549174382431929,0.14508256175680712
201901250CHI,1286.293806776882,1506.7820347656118,1282.3068560427294,1510.7689854997645,0,0.3332358263416081,0.6667641736583918
201901250CLE,1291.3206417055703,1485.2387840813672,1286.3931635918648,1490.1662621950727,0,0.3680395782276318,0.6319604217723682
201901250DAL,1483.8996512654544,1456.1961006444237,1488.3619863313081,1451.73376557857,0,0.6759279741057586,0.3240720258942415
201901250DEN,1575.8778645944674,1300.7856231495502,1580.2036284112728,1296.4598593327448,0,0.8965257762679298,0.1034742237320701
201901250HOU,1583.2918469167882,1629.986735142318,1587.5471067880612,1625.731475271045,0,0.5761159250206015,0.4238840749793985
201901250MEM,1388.020750466605,1453.8547832306992,1382.1892596475325,1459.6862740497718,0,0.5490108980727112,0.4509891019272889
201901250MIL,1674.7536778034214,1487.4119833944458,1677.4719907462907,1484.6936704515765,0,0.8394406007147516,0.16055939928524843
201901250ORL,1426.718277211881,1484.4380464585697,1419.9410046744772,1491.2153189959736,0,0.5605475546595224,0.43945244534047745
201901250UTA,1605.4099734959925,1540.392102770861,1608.7632988957548,1537.0387773710986,0,0.721098932830175,0.27890106716982493
201901260BOS,1606.7748659673562,1685.7866988892165,1600.467593310716,1692.0939715458567,0,0.530167713086894,0.46983228691310597
201901260DEN,1580.2036284112728,1622.689758545451,1592.3695126559373,1610.5238743007865,0,0.5820212702653648,0.4179787297346353
201901260MEM,1382.1892596475325,1613.2819340680903,1391.5195083308606,1603.9516853847622,0,0.31981326442853947,0.6801867355714605
201901260NOP,1532.767567840405,1560.97193135292,1519.0695208541526,1574.6699783391723,0,0.6018762339467908,0.3981237660532091
201901260POR,1577.2191920948633,1383.8369553498567,1579.8480452044696,1381.2081022402504,0,0.8440720625731611,0.15592793742683878
201901270CHI,1282.3068560427294,1286.3931635918648,1275.2340516809286,1293.4659679536655,0,0.6346281410558248,0.36537185894417523
201901270DAL,1488.3619863313081,1625.731475271045,1483.8646179706839,1630.2288436316692,0,0.44642741219180443,0.5535725878081956
201901270HOU,1587.5471067880612,1419.9410046744772,1589.7371894919454,1417.750921970593,0,0.8235322475250831,0.17646775247491692
201901270LAC,1510.7689854997645,1459.6862740497718,1518.0672637183725,1452.3879958311638,0,0.7046836861942304,0.29531631380576956
201901270LAL,1490.0581832734215,1296.4598593327448,1493.527623585261,1292.9904190209054,0,0.8442357074075252,0.15576429259247482
201901270MIN,1537.0387773710986,1608.7632988957548,1523.8872966950087,1621.9147795718447,0,0.5406020847869208,0.4593979152130791
201901270NYK,1305.2384578836572,1490.1662621950727,1298.7914799143448,1496.6132401643852,0,0.38015656510870505,0.6198434348912949
201901270OKC,1588.1769407112527,1677.4719907462907,1596.2480572798345,1669.4008741777088,0,0.5154007881742038,0.48459921182579613
201901270SAS,1574.6699783391723,1491.2153189959736,1580.5982167662455,1485.2870805689004,0,0.7419349545327816,0.25806504546721837
201901280BOS,1600.467593310716,1518.5248301486008,1604.8938610749658,1514.098562384351,0,0.7402650741912278,0.2597349258087722
201901280CHO,1484.6936704515765,1298.7914799143448,1487.4336892997537,1296.0514610661676,0,0.8383206084216166,0.16167939157838335
201901280IND,1603.9516853847622,1692.0939715458567,1581.812066156496,1714.2335907741228,0,0.5170579993831471,0.4829420006168529
201901280LAC,1518.0672637183725,1381.2081022402504,1505.4811976495512,1393.7941683090717,0,0.7963232366678223,0.20367676333217766
201901280MEM,1391.5195083308606,1592.3695126559373,1388.0629812193372,1595.8260397674608,0,0.3588085121481042,0.6411914878518957
201901290BRK,1514.098562384351,1275.2340516809286,1515.569518452955,1273.7630956123246,0,0.8755186913165889,0.12448130868341115
201901290CLE,1293.4659679536655,1485.2870805689004,1301.7758276498414,1476.9772208727245,0,0.3708516848144096,0.6291483151855904
201901290DET,1451.73376557857,1669.4008741777088,1445.7792373525451,1675.3554024037337,0,0.33685383236335903,0.663146167636641
201901290HOU,1589.7371894919454,1519.0695208541526,1578.8828663000143,1529.9238440460838,0,0.7275925083958559,0.27240749160414407
201901290LAL,1493.527623585261,1610.5238743007865,1481.3006337984616,1622.7508640875858,0,0.47555992163891386,0.5244400783610861
201901290ORL,1417.750921970593,1596.2480572798345,1411.1256827790776,1602.87329647135,0,0.38891723898406266,0.6110827610159373
201901290SAS,1580.5982167662455,1292.9904190209054,1581.3600983365247,1292.2285374506262,0,0.9030208680959189,0.09697913190408128
201901300BOS,1604.8938610749658,1487.4336892997537,1614.2120338297002,1478.1155165450193,0,0.7776115319748726,0.2223884680251274
201901300MIA,1496.6132401643852,1273.7630956123246,1467.0110594349328,1303.365276341777,0,0.8651190774565068,0.13488092254349315
