,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,neutral
202101080MEM,1494.16370054381,1523.90831864182,1472.96876785111,1415.40164108593,0
202101080MIL,1625.50947985897,1533.52791511237,1647.17982749153,1571.02652334742,0
202101080NOP,1538.74775263283,1437.51749989173,1551.75265469682,1418.45154761999,0
202101080NYK,1438.90112161226,1494.91009060235,1402.17797365498,1454.12219519075,0
202101080SAC,1478.69651488283,1583.77864099232,1474.28289164246,1546.72615683507,0
202101090CHO,1453.98844950618,1420.83566322463,1424.81977082439,1513.87042758932,0
202101090DAL,1565.94530321557,1489.39122001097,1551.6225347716,1415.88091594676,0
202101090IND,1543.98891099974,1586.47254198598,1544.55719195914,1590.53841823022,0
202101090MIL,1603.75998404503,1400.67816890474,1608.68993859278,1304.29967432391,0
202101090MIN,1358.30051079544,1533.54021758527,1438.46081326165,1496.49787106019,0
202101090PHI,1562.88760684636,1531.0045177283,1315.20942406073,1571.53386880194,0
202101090SAC,1462.06443813317,1500.85226829373,1466.04116616142,1546.86161872584,0
202101090WAS,1393.74661979483,1563.52836891532,1422.44377887537,1566.77197115805,0
202101100BRK,1518.57466996581,1508.48972350478,1549.89062970207,1461.90555714924,0
202101100DET,1358.42159243492,1555.27741092631,1353.32539335511,1581.02276218663,0
202101100GSW,1424.84429758382,1600.41071774198,1468.61147617083,1599.86552401915,0
202101100HOU,1533.428461727,1644.93329022342,1592.14238762056,1579.71835570234,0
202101100LAC,1568.1957191525,1383.17620380597,1632.98207068742,1365.57170722407,0
202101100MIN,1354.15172774451,1537.6890006362,1363.03303794248,1495.24026759262,0
202101100NYK,1425.32148870983,1548.72696448832,1406.5813527647,1576.02428825768,0
202101110ATL,1415.62960016478,1545.16516008634,1488.83594154819,1440.36616691242,0
202101110CHO,1459.19451256603,1407.76786042057,1431.29625123201,1386.14750459136,0
202101110CLE,1398.19385079282,1499.49734921982,1296.28208485522,1477.48124663574,0
202101110ORL,1483.40142101603,1606.24430215695,1418.69626739311,1639.89275967397,0
202101110POR,1525.20077115579,1595.18754860132,1561.56427435719,1599.99258607182,0
202101110SAC,1437.71593527111,1532.91038617863,1443.25897963808,1539.73394393872,0
202101110WAS,1388.94379834563,1597.55106680709,1432.6424624642,1602.91610739155,0
202101120BRK,1501.0183508784,1566.28059277758,1553.27975057809,1583.93383997054,0
202101120CLE,1387.86603833168,1562.29117552507,1306.93355847821,1585.09187538338,0
202101120GSW,1430.06746672448,1525.99692018179,1469.03293450056,1511.37895844049,0
202101120HOU,1518.83641631675,1659.52533563367,1560.36391168531,1588.51002685664,0
202101120OKC,1526.04604259219,1525.66416348874,1469.78168974743,1483.57623244065,0
202101120PHI,1528.24318204467,1568.33119036452,1537.16680589023,1311.10436065666,0
202101130CHO,1468.11027944248,1571.93510221051,1444.38587362098,1568.60072324287,0
202101130DET,1351.40782783616,1622.31128664727,1349.36871135371,1648.93771278856,0
202101130LAC,1569.67411135014,1522.27680301838,1637.26812660488,1495.59312687067,0
202101130MIN,1366.17656489197,1509.82516168096,1407.67196179346,1482.06001110634,0
202101130NYK,1398.85209354412,1507.79225321876,1378.11328452231,1416.65882905017,0
202101130OKC,1511.59007075584,1672.05728322097,1416.01166852129,1636.74425734459,0
202101130SAC,1444.62940126795,1528.80778108068,1448.10049443709,1537.56914924815,0
202101140DEN,1559.50669043722,1420.18742744387,1584.26240550167,1459.93175187645,0
202101140PHI,1532.66715389936,1563.90721850983,1554.95555217914,1324.51922509173,0
202101140POR,1536.99604246775,1535.8769594624,1561.99052722508,1498.92500695332,0
202101140SAS,1540.12013532509,1506.30446872945,1498.16449053419,1311.32547598518,0
202101140TOR,1591.58053867643,1457.25335113243,1595.35746642903,1432.83639778506,0
202101150BOS,1633.70611032053,1467.33443652571,1423.43024386226,1420.88051970184,0
202101150CLE,1371.58387557696,1390.71396212066,1260.27991358872,1379.91462937939,0
202101150LAL,1688.90008067211,1518.50290219532,1615.22254656391,1487.92924161296,0
202101150MIL,1626.97196616574,1582.79203052056,1641.54611106528,1587.7203006109,0
202101150OKC,1494.7472733047,1381.69781160833,1445.20654771495,1390.5453403753,0
202101150SAC,1436.44113988088,1573.4480121732,1444.78110698258,1632.88259396352,0
202101150UTA,1578.57333827979,1432.55157820645,1590.0477848873,1506.4695066338,0
202101160BRK,1515.93038464222,1461.40552017119,1526.26368121006,1410.74263726749,0
202101160MEM,1519.13529358621,1543.83853798361,1495.62120857787,1538.51116874615,0
202101160MIA,1552.73583442558,1346.74714831769,1470.29031171994,1353.72238681472,0
202101160POR,1510.99901228051,1426.47533153012,1531.00566709853,1492.79503814689,0
202101160SAS,1530.43702340348,1515.98758065106,1493.43124883852,1415.58219416847,0
202101160TOR,1593.52073089723,1455.31315891163,1592.22035741358,1430.45929330777,0
202101170BOS,1639.63502667505,1386.66366573418,1565.54906142602,1374.37520261173,0
202101170DAL,1579.7479418045,1379.82515464808,1574.89453613574,1389.08855009743,0
202101170DEN,1563.01487531212,1584.64958495612,1579.47629605881,1601.74957567531,0
202101170LAC,1596.03079309503,1561.87398964964,1653.22165108697,1449.87692323773,0
202101170SAC,1413.85835895905,1514.30863040154,1434.75447221602,1508.45316306464,0
202101180ATL,1423.01346929467,1356.86643298672,1501.49601847427,1279.86480320643,0
202101180BRK,1520.2910723472,1630.0160548818,1640.18181842304,1650.24517961806,0
202101180CHI,1411.2310892589,1508.71725977768,1392.47400640536,1455.97695046756,0
202101180LAL,1693.09435246589,1416.67924256897,1640.10599413501,1453.37346034422,0
202101180MEM,1522.72013964411,1573.3708815862,1445.50700795855,1585.91238033744,0
202101180MIA,1515.71641787734,1383.76656486593,1478.51578108011,1374.5403900809,0
202101180NYK,1440.53853010361,1457.04483246621,1410.70011959938,1415.41883875294,0
202101180POR,1514.46087451596,1537.70734427686,1474.90302045346,1496.73509448394,0
202101180TOR,1595.42177054846,1548.34200719368,1592.21606774157,1607.25841720313,0
202101190DEN,1554.77089855502,1496.61993026495,1576.83800198366,1404.83759325043,0
202101190UTA,1592.89356171322,1521.33435480846,1611.29695011068,1532.12254457741,0
202101200ATL,1428.40963849068,1381.04933777568,1487.65290706808,1373.19323815081,0
202101200CLE,1375.63417196344,1525.29709576169,1351.36121363481,1674.86470271703,0
202101200GSW,1429.08586189296,1559.68887928767,1456.35639455819,1509.80925840415,0
202101200HOU,1501.74482348403,1568.14513408313,1463.17888073838,1585.81680776048,0
202101200IND,1548.49550847605,1538.6379885632,1493.51961499429,1593.17704690669,0
202101200LAC,1609.40927426862,1406.83263455213,1658.36046492066,1430.11866350659,0
202101200MIN,1351.4702637907,1451.01827798114,1287.19666924369,1433.06903631097,0
202101200PHI,1540.25369192571,1585.76016230562,1560.24736445505,1575.52752130499,0
202101200TOR,1605.12578917894,1518.43364496759,1598.96103122684,1475.67545777539,0
202101210GSW,1448.61247139144,1446.56508458868,1472.71570787527,1423.3684749642,0
202101210MIL,1625.01003146731,1680.6877331419,1648.58066589136,1632.47813753183,0
202101210UTA,1599.60341302771,1514.62450349397,1624.69274008191,1523.90054984555,0
202101220CHO,1453.4121192604,1418.20352555255,1443.85167539518,1399.93863888065,0
202101220CLE,1389.47223846821,1511.45902925692,1390.93728663047,1608.07436459781,0
202101220DET,1376.17956242115,1493.03241635513,1375.61301867677,1393.71115603448,0
202101220IND,1531.83352658735,1455.06691096351,1497.8715741105,1462.61477861725,0
202101220LAC,1613.20423108085,1488.86164410431,1657.52804177537,1397.12664509305,0
202101220MIN,1347.42163080833,1433.27941384521,1304.12848547662,1495.94338023507,0
202101220PHI,1547.60025003033,1578.413604201,1613.17719321236,1570.74939349121,0
202101220PHO,1576.85754121202,1562.52918471566,1593.4365383276,1601.33374263597,0
202101220SAC,1403.0376777399,1465.41165113219,1421.77655931605,1439.17247077378,0
202101220SAS,1540.16226978919,1555.2999704519,1494.54410005694,1595.60568479426,0
202101220TOR,1588.06477439383,1535.4946597527,1552.01464247841,1485.00937553689,0
202101230BRK,1498.8659143238,1526.92427752874,1642.17040100559,1461.63864912099,0
202101230CHI,1437.03453713536,1690.51643292367,1406.8846347931,1636.70006613754,0
202101230DAL,1564.6581898525,1496.82725908146,1600.86131696105,1331.31910796221,0
202101230DET,1372.38471969482,1556.45910486609,1370.41562491978,1601.85657058991,0
202101230MIN,1331.39014496393,1509.70598388601,1292.90975641887,1519.14806453634,0
202101230PHO,1567.6851192457,1571.70160668198,1562.07231452569,1612.97554405747,0
202101230UTA,1604.52193263567,1429.76590484793,1624.33714279222,1456.00204135483,0
202101240BOS,1569.55474936524,1402.06535340133,1563.09190818274,1400.49587979583,0
202101240IND,1534.08141226683,1596.63515661779,1501.82164616866,1541.97171856884,0
202101240LAC,1617.90656658599,1484.15930859917,1661.17439756838,1393.23157812299,0
202101240MIL,1615.18133168554,1449.31089968961,1639.95202610417,1502.79345060376,0
202101240ORL,1452.81902528403,1434.58110767759,1421.82142994302,1435.45413980871,0
202101240POR,1492.47933950515,1456.98160983722,1467.13196845951,1430.3440811685,0
202101240SAS,1530.80405038859,1413.12398356652,1495.22223847637,1028.99831165746,0
202101250BRK,1503.62521647224,1522.1649753803,1633.57740119556,1471.78288267019,0
202101250CHI,1431.29830749049,1577.12108816882,1418.43535266377,1579.38318641829,0
202101250CLE,1394.49901459775,1696.25266256854,1347.3942209435,1644.38478978198,0
202101250DAL,1532.5766728678,1584.18590027285,1580.54149332075,1617.74808427099,0
202101250DET,1367.86552702958,1560.97829753133,1371.47188334744,1565.10362961432,0
202101250GSW,1425.34502802086,1344.91543449786,1445.60786435053,1315.00190416107,0
202101250IND,1526.04781640106,1604.66875248356,1494.83591055687,1518.74239150251,0
202101250ORL,1444.62053201198,1442.77960094964,1444.60623062849,1441.7490683045,0
202101250POR,1495.65014402629,1480.99879029599,1408.28299719828,1348.53885321711,0
202101260ATL,1445.53681667436,1621.06708488917,1492.88448795683,1396.50895159849,0
202101260HOU,1528.90877606616,1406.92508772881,1465.75418536252,1350.10720664241,0
202101260UTA,1608.94280946274,1453.81080531608,1635.36009259176,1427.82001288028,0
202101270ATL,1458.11396577561,1512.47967422501,1518.48771943443,1628.84880090882,0
202101270CHO,1436.34427085577,1538.47137966842,1434.54572555871,1496.32322030313,0
202101270CLE,1391.04503381033,1386.22048924315,1357.97865257089,1386.18050388306,0
202101270GSW,1433.34506163881,1336.91540087991,1454.25419301529,1316.16815739807,0
202101270MIA,1513.31051762753,1591.67541242987,1462.2667786631,1621.25198522353,0
202101270NOP,1496.18069435208,1401.0743993158,1508.25390929928,1336.30646523518,0
202101270ORL,1451.05586210585,1411.46771903487,1447.58636479109,1418.9016054007,0
202101270PHI,1542.62333531776,1699.70664335596,1626.18548369879,1644.58904446184,0
202101270PHO,1555.20082565483,1489.11448022088,1566.33293845598,1432.7534087214,0
202101270SAS,1537.0029462263,1588.90423408679,1495.66104667904,1645.25091714201,0
202101270TOR,1592.2451892162,1618.95541470079,1545.12694775798,1641.72156282812,0
202101270UTA,1612.94083401486,1525.08716071078,1629.50162808585,1584.60218749255,0
202101280DET,1377.43675407726,1694.78165463183,1381.29044311605,1571.1331046883,0
202101280HOU,1534.75946447917,1487.5344541014,1467.90258114827,1402.03566936656,0
202101280MIA,1491.41169532219,1608.48993578792,1447.85536373155,1408.46683181618,0
202101280PHO,1543.4763279323,1438.2528742139,1544.46729956294,1461.14845111318,0
202101290CHO,1426.04780963847,1548.76784088572,1428.18445975566,1517.252184583,0
202101290MIN,1332.00758830482,1547.54832404189,1315.5559577991,1588.15112174486,0
202101290NOP,1502.64745334835,1629.74984422908,1518.15709526998,1647.50778491311,0
202101290NYK,1449.81278076396,1399.82876897622,1432.24908119818,1392.1115503236,0
202101290OKC,1500.83897794341,1519.90090965387,1421.36834621512,1577.29647276571,0
202101290ORL,1431.05438547507,1614.42262341954,1435.9503812015,1641.78690401463,0
202101290SAS,1542.25522272315,1613.57423473521,1499.85030552788,1632.52782583401,0
202101290TOR,1581.45075968791,1431.46919566565,1569.64275733649,1435.48537858771,0
202101290UTA,1618.06449325192,1519.96350147372,1632.3233153057,1603.76931365044,0
202101290WAS,1394.60764031953,1450.69273034675,1459.1868272377,1517.4743452852,0
202101300BOS,1583.65195758994,1669.43970380435,1640.12243975944,1635.73667274609,0
