gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201911270CHO,1422.072740494547,1438.3618062052396,1425.1999644158307,1435.234582283956
201911270CLE,1342.1668695740977,1499.0252045333275,1333.5050595924388,1507.6870145149865
201911270GSW,1471.930410982219,1359.3672003454897,1477.2943437425054,1354.0032675852033
201911270HOU,1630.4546963070309,1564.826045091395,1635.6003312608775,1559.6804101375483
201911270IND,1550.7130274404235,1600.692009144717,1564.8249509709733,1586.5800856141673
201911270MEM,1387.9758582746265,1599.7583609148173,1385.1293431041015,1602.6048760853423
201911270MIL,1711.093010915247,1357.3587012570556,1712.1305300937133,1356.3211820785893
201911270NOP,1430.4722010055875,1586.73887322676,1425.7531389353708,1591.4579352969768
201911270PHI,1602.4333868886683,1461.6761031740189,1605.2142833911387,1458.8952066715485
201911270PHO,1417.0350186675155,1432.3043292253149,1405.9201452080179,1443.4192026848125
201911270POR,1540.9186181398948,1528.9569827751793,1550.9072148739958,1518.9683860410782
201911270SAS,1483.6557028118093,1480.0207631760422,1468.6042104964336,1495.072255491418
201911270TOR,1685.0869272446632,1288.2188411624024,1686.7967789171323,1286.5089894899334
201911290BRK,1475.1543487442596,1640.023653489805,1484.7571756630214,1630.420826571043
201911290CLE,1333.5050595924388,1712.1305300937133,1331.0032421529452,1714.632347533207
201911290DET,1435.234582283956,1425.1999644158307,1427.8711925914465,1432.56335410834
201911290IND,1564.8249509709733,1356.3211820785893,1565.8282299263353,1355.3179031232273
201911290LAL,1591.4579352969768,1443.4192026848125,1597.5148665147335,1437.3622714670557
201911290MEM,1385.1293431041015,1586.5800856141673,1379.1270028596748,1592.582425858594
201911290MIA,1559.6804101375483,1477.2943437425054,1566.8053685673956,1470.169385312658
201911290NYK,1286.5089894899334,1605.2142833911387,1283.7836464561015,1607.9396264249706
201911290OKC,1518.9683860410782,1425.7531389353708,1522.2095421052984,1422.5119828711506
201911290ORL,1507.6870145149865,1686.7967789171323,1501.9757300307474,1692.5080634013714
201911290PHO,1405.9201452080179,1536.3215364961982,1398.9670028543046,1543.2746788499114
201911290POR,1550.9072148739958,1354.0032675852033,1552.5821510981655,1352.3283313610336
