gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201812220LAC,DEN,2019,0.0,2018-12-22,1536.8796673373113,1538.899778895751,1544.6490784285395,1520.1844353680517,0.4433028919330289,0.5273921842475785,0.4901899699091819,0.4956538195580877,0.5337170879254652,0.6254230261865396,0.589158334704173
201812220MIA,MIL,2019,0.0,2018-12-22,1617.7436131560064,1581.5088409320451,1672.268005785845,1617.3738289355254,0.5315161839863713,0.5806084494171984,0.5559879103148615,0.5505337892638422,0.5769437975250973,0.6744154259132549,0.709595828277819
201812220MIA,MIA,2019,1.0,2018-12-22,1581.5088409320451,1617.7436131560064,1617.3738289355254,1672.268005785845,0.4684838160136286,0.4193915505828016,0.4440120896851385,0.4494662107361577,0.4230562024749028,0.3255845740867451,0.2904041717221811
201812220PHI,TOR,2019,0.0,2018-12-22,1500.1902898386495,1632.069930096306,1518.8764602449787,1605.7601069742318,0.2625006371374688,0.4998643440493073,0.2646293436654395,0.3175797511857225,0.376155401366354,0.5992664947036876,0.4048647288303311
201812220PHI,PHI,2019,1.0,2018-12-22,1632.069930096306,1500.1902898386495,1605.7601069742318,1518.8764602449787,0.7374993628625311,0.5001356559506926,0.7353706563345604,0.6824202488142774,0.6238445986336459,0.4007335052963123,0.595135271169669
201812220UTA,UTA,2019,0.0,2018-12-22,1619.2494041848422,1620.346296543535,1633.817533216741,1622.1309277275786,0.549193293261626,0.5654471902010477,0.5295000735421929,0.4998605606906457,0.518249382743082,0.4651433909132726,0.452315211701626
201812220UTA,OKC,2019,1.0,2018-12-22,1620.346296543535,1619.2494041848422,1622.1309277275786,1633.817533216741,0.450806706738374,0.4345528097989523,0.4704999264578071,0.5001394393093542,0.4817506172569181,0.5348566090867274,0.547684788298374
201812220WAS,WAS,2019,1.0,2018-12-22,1399.001583420518,1321.379240344435,1362.18295344764,1373.225131313844,0.6422270143109194,0.7673251953237057,0.8030398531779822,0.6112540421006841,0.4855521674738791,0.6878992880442744,0.7453720323666337
201812220WAS,PHO,2019,0.0,2018-12-22,1321.379240344435,1399.001583420518,1373.225131313844,1362.18295344764,0.3577729856890805,0.2326748046762943,0.1969601468220178,0.3887459578993158,0.5144478325261209,0.3121007119557256,0.2546279676333663
201812230BOS,CHO,2019,0.0,2018-12-23,1539.3575561888929,1611.6753112286956,1548.6243618220967,1550.060267178049,0.2809489832322512,0.2656677262365626,0.2285310919777852,0.3960260862205472,0.4964945078375496,0.3512013205643111,0.3030778680522659
