,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25
201411010DET,-3.078849873590711,-3.6441488875927575,-0.7516366212189229,-1.1452038587364786,-0.854846730025583,-3.124839079109068,4.510429041002274,-1.075381762421784,2.0810556421360986,-1.4491816843103962,-1.4237878924446867,0.5446574441122364,1.3130415510569464,0.39538747742465874,-2.239325541314863,2.2332500974313954,-0.17669860073985283,-0.7714984228191781,-1.8219673678284873,-0.9965721889920791,-0.720470768508729,0.31130026329205746,0.30258496325283857,0.3745850355922633,-0.47708127307972026
201411010MIN,-1.1510170179693278,-0.6629952668327008,3.9703885275096114,-4.832289683664687,-4.544577981697629,-1.7984235677048848,-2.3006228173685215,-1.0205750895419907,0.04384549923701311,-0.24125928847315187,-1.4634540353582124,1.4558773938779697,-2.261796309654093,0.5533775848059019,-1.779601407062995,1.8286606211339418,-0.5054104424879539,0.47062606879798113,-0.13937750003625135,0.46551003023405285,-0.19462839922225458,-0.8707446755682744,0.06214226258190928,0.07124338966410042,0.1072772448804956
201411010NOP,-0.7465365281779042,-0.28716885104787854,1.1770758620511268,0.1333560654062842,-1.0653274095472811,-1.2118874600968743,1.8158496264773352,1.4738977065269627,1.7761049481777964,-0.04826716043933771,-1.879124915686274,1.413724918879483,0.13607425961427344,0.3384783175034135,-1.7429143637525422,-0.794903599226071,0.7360886182151963,1.5814274668964008,-1.430213144251039,0.8856222799306323,0.5859893452756039,-1.1572704242477636,-0.07738415034252984,-1.009421373249352,0.19451893438230183
201411010ORL,-3.2610340905498574,1.3407512879413668,1.1921952076104605,-7.504231764773239,1.2691891770759742,-4.675623453900625,-0.8680701351640308,-1.1085817575722188,-1.2464522808892846,1.7118565689979868,2.2846006720920395,0.9309010146602895,-0.3177008376295348,0.21420159376411868,-0.819233653637145,1.7330209909203627,2.407785153445392,-0.696887593394428,-1.374339171274898,-0.2730976791073582,0.3158427962467493,-1.804877750543348,-0.3927179341247091,0.02987548237014397,-0.3727817564163693
201411010PHI,0.5392030133563619,-0.9418195939077937,2.3364437867792835,-1.8497211913143887,4.489593759554196,6.450461774395335,-0.7783035164285556,-1.108112142372597,0.3828422599848169,-0.8519504057084369,1.925452834202537,3.727357743266863,-0.010937033608414085,-2.6257581589217756,0.6494527360808332,1.5014452158616733,0.4028282497962644,1.0648914539335446,0.4321027606778258,-0.2787653152116593,-0.852584993086929,-0.07389512663924627,0.7888637212643291,0.4962233145374658,0.31736561108329625
201411020LAC,-3.607111000126415,-1.0420794736570362,-1.5942205640171017,-3.9685578998530873,-3.959090515725191,-0.6740932450880697,-2.7525912781169874,1.0344463089339422,-0.9802854884628048,3.1385193059084746,-2.9173714210967265,2.1688757734457997,-1.0197100389228544,-0.8508993335936308,1.403422932209575,0.33540916275123367,-0.7196261055306065,-0.20906303060153542,-0.7515433436761957,-0.5374771782952195,-0.01689644280348618,0.28092131737593906,-0.13114003045089445,-0.11760386689341623,0.33526710129347054
201411020POR,-5.389845630847423,1.132093503772232,3.6918068271072864,2.8120994895914317,-0.46690536466521637,0.6812982819979271,-2.6188552322065606,2.1658779608372662,0.7076196718820471,0.8699254026024743,-0.19494481028307553,0.015694427538227623,0.5333520100881215,0.6515566298734448,-0.7509342124280869,-1.419294535254432,0.3932140706610244,-0.7775393574140168,0.6228252736675085,-0.7899253601532069,-0.06896389206015473,0.04584388852010207,0.3340995357982874,0.307774474059234,0.21985587332716222
201411030DEN,-3.24707216618145,3.8558642370848077,2.2710764149122817,-7.069176533140466,-2.6105965633728205,-1.3361739464693518,1.1032146686514885,0.6233401346016506,-0.9216405743818029,2.855151139713288,1.4444747104688929,2.1844612637329344,1.428473434404637,-1.5730578110854725,-0.2945495904968605,-0.050182964406996586,-1.2213047739084049,-0.49898754036605586,-0.4849254772854847,-0.7939004604622515,1.5188807214456945,0.8206262981360866,-0.2749015278273989,-0.24278841699600442,-0.49054633281591553
201411030PHI,-1.4093333558781849,-1.557947341426776,-2.4077775221671653,-3.3909806454560103,0.445303931907022,4.907119730284843,-1.252249099408833,0.7108754039168963,-2.3420585614008416,-0.7253877371723545,1.2446846931785864,1.5099563810163983,-1.9516242251724945,2.1550104064677926,1.7294353592687435,-0.38506093663931895,0.28213361528519604,-0.8504457425776081,1.7451138010747294,1.4294931081629993,0.10546787987476523,0.7278991813241965,0.6980940707161571,0.17331968367809583,0.384343899960791
201411040IND,-6.592850774142879,-2.4408651013403624,3.1548810340096245,2.419187903623117,1.6520227927014184,0.4655082940741499,2.0344257751951744,1.9153752533479627,0.27519734085662784,-0.9011129688366117,-1.0538851286085027,-0.5401003117116653,-0.05849066693427075,-1.4720800865733834,1.80593058148136,0.5311297282660616,1.6308077425556633,-1.3042285169925056,-0.5119509644585076,-0.27890256808493696,0.5909986698599907,1.28923571457009,-1.049101272613144,0.29275814669945,-0.43503816280970425
