,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away
202110210MIA,MIA,240,51,96,0.531,15,35,0.429,20,31,0.645,11,47,58,28,8,2,11,26,137,0.625,0.609,0.365,0.323,25,90.4,60.4,54.9,7.5,4.8,9.1,100,128.9,89.4,55.3625,55.3625,2.475,0.506,MIL,240,32,84,0.381,12,42,0.286,19,29,0.655,5,33,38,19,6,0,15,26,95,0.491,0.452,0.5,0.345,9.6,75,39.6,59.4,5.6,0,13.4,100,89.4,128.9,53.8875,53.8875,1.763,0.353
202110220BOS,BOS,240,32,82,0.39,11,34,0.324,8,11,0.727,10,32,42,19,6,12,25,19,83,0.478,0.457,0.415,0.134,20.4,60.4,41.2,59.4,6.1,18.5,22.4,100,85,117.8,51.1125,51.1125,1.624,0.372,TOR,240,42,100,0.42,10,35,0.286,21,21,1,21,39,60,22,16,2,11,13,115,0.526,0.47,0.35,0.21,39.6,79.6,58.8,52.4,16.4,4.2,9.1,100,117.8,85,49.9875,49.9875,2.301,0.44
202110220CHI,CHI,240,47,89,0.528,14,28,0.5,20,25,0.8,11,35,46,32,9,7,14,14,128,0.64,0.607,0.315,0.281,25,79.5,52.3,68.1,8.9,12.1,12.3,100,127.2,111.3,51.9375,51.9375,2.465,0.616,NOP,240,42,87,0.483,15,29,0.517,13,16,0.813,9,33,42,26,7,5,16,20,112,0.595,0.569,0.333,0.184,20.5,75,47.7,61.9,7,8.2,14.5,100,111.3,127.2,50.8,50.8,2.205,0.512
202110220CLE,CLE,240,43,84,0.512,9,31,0.29,17,20,0.85,7,29,36,26,9,3,18,15,112,0.603,0.565,0.369,0.238,16.7,72.5,43.9,60.5,8.7,5.1,16.2,100,108.8,119.5,52.25,52.25,2.144,0.498,CHO,240,48,91,0.527,13,32,0.406,14,17,0.824,11,35,46,32,13,1,18,16,123,0.624,0.599,0.352,0.187,27.5,83.3,56.1,66.7,12.6,1.9,15.5,100,119.5,108.8,53.0375,53.0375,2.319,0.603
202110220DEN,DEN,240,44,86,0.512,9,30,0.3,5,8,0.625,8,33,41,26,10,2,21,21,102,0.57,0.564,0.349,0.093,20,82.5,51.3,59.1,9.9,3.3,19,100,100.7,94.8,51.4,51.4,1.984,0.506,SAS,240,40,84,0.476,6,24,0.25,10,14,0.714,7,32,39,24,11,2,20,17,96,0.532,0.512,0.286,0.167,17.5,80,48.8,60,10.9,3.6,18.2,100,94.8,100.7,51.825,51.825,1.852,0.463
202110220HOU,HOU,240,48,95,0.505,17,38,0.447,11,14,0.786,10,44,54,29,12,10,17,18,124,0.613,0.595,0.4,0.147,24.4,84.6,58.1,60.4,11.3,20.8,14.4,100,116.8,85.7,54.325,54.325,2.283,0.534,OKC,240,34,91,0.374,14,43,0.326,9,16,0.563,8,31,39,22,9,4,19,21,91,0.464,0.451,0.473,0.176,15.4,75.6,41.9,64.7,8.5,7,16.2,100,85.7,116.8,54.8,54.8,1.661,0.401
202110220LAL,LAL,240,34,86,0.395,15,34,0.441,22,29,0.759,12,34,46,25,7,3,16,26,105,0.532,0.483,0.395,0.337,23.1,82.9,49.5,73.5,7,5.6,13.9,100,104.5,114.5,51.8875,51.8875,2.024,0.482,PHO,240,42,86,0.488,10,32,0.313,21,28,0.75,7,40,47,31,8,2,11,22,115,0.585,0.547,0.372,0.326,17.1,76.9,50.5,73.8,8,3.8,10.1,100,114.5,104.5,51.65,51.65,2.227,0.6
202110220ORL,ORL,240,33,83,0.398,17,43,0.395,13,15,0.867,9,37,46,24,5,3,18,18,96,0.536,0.5,0.518,0.181,22,86,54.8,72.7,5.1,8.8,16.7,100,98.7,124.4,49.5625,49.5625,1.937,0.484,NYK,240,44,88,0.5,24,54,0.444,9,17,0.529,6,32,38,34,10,4,11,19,121,0.634,0.636,0.614,0.193,14,78,45.2,77.3,10.3,10,10.3,100,124.4,98.7,50.5375,50.5375,2.394,0.673
202110220PHI,PHI,240,43,91,0.473,14,36,0.389,9,11,0.818,5,30,35,17,8,9,8,21,109,0.569,0.549,0.396,0.121,12.2,73.2,42.7,39.5,8.3,18,7.7,100,112.8,118,49.6125,49.6125,2.197,0.343,BRK,240,41,88,0.466,12,38,0.316,20,24,0.833,11,36,47,26,6,6,12,16,114,0.578,0.534,0.432,0.273,26.8,87.8,57.3,63.4,6.2,10.9,10.9,100,118,112.8,50.2,50.2,2.271,0.518
202110220SAC,SAC,240,39,99,0.394,8,36,0.222,15,21,0.714,16,36,52,20,15,5,15,22,101,0.467,0.434,0.364,0.212,29.6,73.5,50.5,51.3,14.7,10.4,12.2,100,98.8,107.6,53.9875,53.9875,1.871,0.37,UTA,240,37,90,0.411,16,42,0.381,20,23,0.87,13,38,51,16,14,3,17,17,110,0.549,0.5,0.467,0.256,26.5,70.4,49.5,43.2,13.7,4.8,14.5,100,107.6,98.8,52.4625,52.4625,2.097,0.305
202110220WAS,WAS,265,49,94,0.521,19,38,0.5,18,19,0.947,6,32,38,24,5,6,9,21,135,0.659,0.622,0.404,0.202,14.6,82.1,47.5,49,4.7,9.5,8.1,100,127.4,126.5,53.0125,58.53463542,2.547,0.453,IND,265,52,97,0.536,15,34,0.441,15,20,0.75,7,35,42,28,5,6,12,22,134,0.633,0.613,0.351,0.206,17.9,85.4,52.5,53.8,4.7,10.7,10.2,100,126.5,127.4,55.75,61.55729167,2.404,0.502
202110230CHI,CHI,240,35,84,0.417,11,26,0.423,16,19,0.842,3,39,42,24,13,11,12,17,97,0.525,0.482,0.31,0.226,6.7,78,44.2,68.6,12.9,18.3,11.5,100,96.3,81.4,51.0125,51.0125,1.901,0.47,DET,240,34,88,0.386,5,28,0.179,9,15,0.6,11,42,53,14,9,8,20,17,82,0.433,0.415,0.318,0.17,22,93.3,55.8,41.2,8.9,13.8,17.5,100,81.4,96.3,52.0625,52.0625,1.575,0.269
202110230CLE,CLE,240,37,89,0.416,7,28,0.25,20,27,0.741,12,42,54,23,6,6,10,16,101,0.501,0.455,0.315,0.303,24.5,71.2,50,62.2,6.3,9.2,9,100,105.6,99.3,49.9125,49.9125,2.024,0.461,ATL,240,38,99,0.384,10,34,0.294,9,15,0.6,17,37,54,20,5,3,9,23,95,0.45,0.434,0.343,0.152,28.8,75.5,50,52.6,5.2,4.9,7.9,100,99.3,105.6,49.0625,49.0625,1.936,0.408
202110230IND,IND,265,38,97,0.392,10,39,0.256,16,21,0.762,14,41,55,18,10,5,16,18,102,0.48,0.443,0.402,0.216,23.7,80.4,50,47.4,9.4,8.6,13.1,100,95.7,85.3,54.4875,60.16328125,1.872,0.33,MIA,265,35,91,0.385,9,33,0.273,12,14,0.857,10,45,55,18,4,2,22,25,91,0.468,0.434,0.363,0.154,19.6,76.3,50,51.4,3.8,3.4,18.5,100,85.3,95.7,54.825,60.5359375,1.66,0.328
202110230LAC,LAC,240,43,99,0.434,13,39,0.333,15,17,0.882,14,30,44,23,7,4,7,21,114,0.535,0.5,0.394,0.172,28.6,69.8,47.8,53.5,7.3,7.4,6.2,100,119.3,125.6,50.0375,50.0375,2.278,0.46,MEM,240,42,90,0.467,15,36,0.417,21,25,0.84,13,35,48,26,5,3,11,19,120,0.594,0.55,0.4,0.278,30.2,71.4,52.2,61.9,5.2,5,9.8,100,125.6,119.3,49.9375,49.9375,2.403,0.521
202110230MIN,MIN,240,39,96,0.406,12,38,0.316,6,10,0.6,13,34,47,22,13,8,19,25,96,0.478,0.469,0.396,0.104,24.5,61.8,43.5,56.4,12.6,16.3,15.9,100,93,86.2,53.375,53.375,1.799,0.412,NOP,240,31,89,0.348,9,40,0.225,18,23,0.783,21,40,61,15,10,5,28,22,89,0.449,0.399,0.449,0.258,38.2,75.5,56.5,48.4,9.7,8.6,22,100,86.2,93,53.4625,53.4625,1.665,0.281
202110230POR,POR,240,51,94,0.543,21,50,0.42,11,17,0.647,8,40,48,24,8,5,9,15,134,0.66,0.654,0.532,0.181,20.5,85.1,55.8,47.1,7.9,8.2,8.1,100,132.7,103.9,51.5375,51.5375,2.6,0.466,PHO,240,43,89,0.483,9,28,0.321,10,15,0.667,7,31,38,27,6,1,14,19,105,0.549,0.534,0.315,0.169,14.9,79.5,44.2,62.8,5.9,2.3,12.8,100,103.9,132.7,51.5625,51.5625,2.036,0.524
202110230SAS,SAS,240,48,99,0.485,10,39,0.256,5,6,0.833,10,28,38,29,10,4,12,18,111,0.546,0.535,0.394,0.061,21.3,80,46.3,60.4,9.7,8.3,10.6,100,108.2,117.9,51.925,51.925,2.138,0.558,MIL,240,44,83,0.53,15,35,0.429,18,22,0.818,7,37,44,21,6,5,20,15,121,0.653,0.62,0.422,0.265,20,78.7,53.7,47.7,5.8,8.3,17.7,100,117.9,108.2,53.225,53.225,2.273,0.395
202110230TOR,TOR,240,34,85,0.4,11,37,0.297,16,23,0.696,11,38,49,17,7,6,12,23,95,0.499,0.465,0.435,0.271,22.9,74.5,49.5,50,7.5,12.2,11.2,100,101.9,110.5,48.4625,48.4625,1.96,0.351,DAL,240,38,91,0.418,14,42,0.333,13,18,0.722,13,37,50,24,6,6,9,22,103,0.521,0.495,0.462,0.198,25.5,77.1,50.5,63.2,6.4,12.5,8.3,100,110.5,101.9,47.775,47.775,2.156,0.502
202110240BRK,BRK,240,38,87,0.437,9,35,0.257,10,12,0.833,9,35,44,18,10,8,17,19,95,0.515,0.489,0.402,0.138,19.1,77.8,47.8,47.4,10,12.5,15.6,100,94.9,110.9,50.35,50.35,1.887,0.357,CHO,240,43,94,0.457,10,30,0.333,15,19,0.789,10,38,48,26,10,5,12,17,111,0.542,0.511,0.319,0.202,22.2,80.9,52.2,60.5,10,9.6,10.5,100,110.9,94.9,52.5125,52.5125,2.114,0.495
202110240HOU,HOU,240,32,75,0.427,14,32,0.438,19,24,0.792,5,35,40,20,7,4,18,20,97,0.567,0.52,0.427,0.32,11.9,85.4,48.2,62.5,7.2,10.3,17.4,100,99.7,110,49.7,49.7,1.952,0.402,BOS,240,38,86,0.442,15,47,0.319,16,20,0.8,6,37,43,22,10,6,11,22,107,0.564,0.529,0.547,0.233,14.6,88.1,51.8,57.9,10.3,14,10.4,100,110,99.7,50.25,50.25,2.129,0.438
202110240LAL,LAL,240,45,84,0.536,16,30,0.533,15,22,0.682,9,27,36,29,10,12,17,14,121,0.646,0.631,0.357,0.262,22.5,60,42.4,64.4,9.9,18.5,15.4,100,120.4,117.4,51.225,51.225,2.362,0.566,MEM,240,45,100,0.45,13,35,0.371,15,18,0.833,18,31,49,25,13,4,17,20,118,0.547,0.515,0.35,0.18,40,77.5,57.6,55.6,12.9,7.4,13.6,100,117.4,120.4,53.775,53.775,2.194,0.465
202110240NYK,NYK,240,37,100,0.37,13,48,0.271,17,25,0.68,16,36,52,20,8,8,12,21,104,0.468,0.435,0.48,0.25,25.4,78.3,47.7,54.1,7.7,17.8,9.8,100,100.3,106.1,53.9375,53.9375,1.928,0.371,ORL,240,36,88,0.409,12,43,0.279,26,34,0.765,10,47,57,22,7,4,13,25,110,0.534,0.477,0.489,0.386,21.7,74.6,52.3,61.1,6.8,7.7,11.2,100,106.1,100.3,53.575,53.575,2.053,0.411
202110240OKC,OKC,240,40,84,0.476,8,31,0.258,15,19,0.789,6,36,42,24,9,4,11,17,103,0.558,0.524,0.369,0.226,14.6,75,47.2,60,9.4,8.5,10.6,100,107.8,120.3,49.0125,49.0125,2.102,0.49,PHI,240,41,88,0.466,17,41,0.415,16,20,0.8,12,35,47,25,4,9,12,17,115,0.594,0.563,0.466,0.227,25,85.4,52.8,61,4.2,17,11,100,120.3,107.8,48.75,48.75,2.359,0.513
202110240SAC,SAC,240,42,86,0.488,15,46,0.326,8,13,0.615,10,37,47,26,0,4,19,16,107,0.583,0.576,0.535,0.151,25.6,72.5,52.2,61.9,0,6.7,17.2,100,109.8,122.1,50.5875,50.5875,2.115,0.514,GSW,240,43,97,0.443,13,37,0.351,20,24,0.833,14,29,43,26,12,3,6,13,119,0.553,0.51,0.381,0.247,27.5,74.4,47.8,60.5,12.3,7.5,5.3,100,122.1,109.8,50.2,50.2,2.371,0.518
202110250ATL,ATL,240,46,90,0.511,12,32,0.375,18,21,0.857,10,39,49,24,11,3,13,19,122,0.615,0.578,0.356,0.233,28.6,78,57.6,52.2,11.1,5.2,11.6,100,123.1,105,51.4875,51.4875,2.37,0.466,DET,240,40,91,0.44,9,33,0.273,15,18,0.833,11,25,36,26,7,6,14,15,104,0.526,0.489,0.363,0.198,22,71.4,42.4,65,7.1,10.3,12.4,100,105,123.1,51.275,51.275,2.028,0.507
202110250BRK,BRK,240,40,94,0.426,10,35,0.286,14,17,0.824,7,47,54,23,6,4,9,19,104,0.512,0.479,0.372,0.181,14,82.5,50.5,57.5,5.9,7.1,8.1,100,101.4,87.8,52.0375,52.0375,1.999,0.442,WAS,240,33,95,0.347,9,39,0.231,15,20,0.75,10,43,53,16,5,5,12,17,90,0.434,0.395,0.411,0.211,17.5,86,49.5,48.5,4.9,8.5,10.4,100,87.8,101.4,53.25,53.25,1.69,0.3
202110250CHO,CHO,265,46,103,0.447,19,44,0.432,18,28,0.643,14,38,52,26,4,6,14,25,129,0.559,0.539,0.427,0.272,25,77.6,49.5,56.5,3.6,11.8,10.8,100,115.3,125.2,58.15,64.20729167,2.218,0.447,BOS,265,50,101,0.495,19,50,0.38,21,25,0.84,11,42,53,33,8,9,12,23,140,0.625,0.589,0.495,0.248,22.4,75,50.5,66,7.2,15.3,9.7,100,125.2,115.3,56.9375,62.86848958,2.459,0.58
202110250DEN,DEN,240,35,86,0.407,9,38,0.237,8,12,0.667,11,36,47,21,10,3,21,22,87,0.477,0.459,0.442,0.14,22.4,76.6,49,60,10.4,5.3,18.7,100,90.4,102.8,50.85,50.85,1.711,0.413,CLE,240,38,82,0.463,7,25,0.28,16,20,0.8,11,38,49,26,8,5,14,18,99,0.545,0.506,0.305,0.244,23.4,77.6,51,68.4,8.3,10.4,13.4,100,102.8,90.4,47.25,47.25,2.095,0.55
202110250IND,IND,240,40,90,0.444,14,36,0.389,15,17,0.882,12,35,47,23,6,1,19,24,109,0.559,0.522,0.4,0.189,25.5,83.3,52.8,57.5,5.9,1.9,16.3,100,106.5,116.3,52.5375,52.5375,2.075,0.438,MIL,240,41,85,0.482,11,32,0.344,26,31,0.839,7,35,42,24,13,6,13,19,119,0.603,0.547,0.376,0.365,16.7,74.5,47.2,58.5,12.7,11.1,11.6,100,116.3,106.5,52.8625,52.8625,2.251,0.454
202110250LAC,LAC,240,44,93,0.473,14,43,0.326,14,19,0.737,5,38,43,37,21,6,17,23,116,0.572,0.548,0.462,0.204,11.1,84.4,47.8,84.1,18.7,12.5,14.4,100,103,76.4,57.0125,57.0125,2.035,0.649,POR,240,32,85,0.376,8,37,0.216,14,18,0.778,7,40,47,15,11,4,30,18,86,0.463,0.424,0.435,0.212,15.6,88.9,52.2,46.9,9.8,8,24.4,100,76.4,103,58.275,58.275,1.476,0.257
202110250MIA,MIA,240,41,87,0.471,6,27,0.222,19,19,1,9,33,42,28,10,2,10,19,107,0.561,0.506,0.31,0.218,21.4,84.6,51.9,68.3,10.5,5.4,9.5,100,112.2,94.4,48.5125,48.5125,2.206,0.577,ORL,240,33,81,0.407,12,44,0.273,12,19,0.632,6,33,39,21,7,6,16,22,90,0.504,0.481,0.543,0.235,15.4,78.6,48.1,63.6,7.3,10,15.2,100,94.4,112.2,50.0125,50.0125,1.8,0.42
202110250MIN,MIN,240,31,90,0.344,15,50,0.3,21,27,0.778,11,30,41,20,10,7,11,19,98,0.481,0.428,0.556,0.3,19.6,66.7,40.6,64.5,10.2,12.3,9.7,100,100.3,109.5,51.4125,51.4125,1.906,0.389,NOP,240,39,87,0.448,10,30,0.333,19,23,0.826,15,45,60,19,5,5,17,20,107,0.551,0.506,0.345,0.264,33.3,80.4,59.4,48.7,5.1,12.5,14.9,100,109.5,100.3,49.9625,49.9625,2.142,0.38
202110250TOR,TOR,240,40,83,0.482,12,30,0.4,16,20,0.8,13,34,47,27,8,1,19,18,108,0.588,0.554,0.361,0.241,35.1,87.2,61.8,67.5,8.4,1.9,17.1,100,113.2,116.3,49.25,49.25,2.193,0.548,CHI,240,39,81,0.481,12,27,0.444,21,22,0.955,5,24,29,24,11,3,13,16,111,0.612,0.556,0.333,0.272,12.8,64.9,38.2,61.5,11.5,5.7,12.5,100,116.3,113.2,49.725,49.725,2.232,0.483
202110260DAL,DAL,240,43,93,0.462,12,43,0.279,18,25,0.72,14,36,50,25,9,7,14,22,116,0.558,0.527,0.462,0.269,26.9,76.6,50.5,58.1,8.8,14.9,11.9,100,114,104.2,52.4375,52.4375,2.212,0.477,HOU,240,36,86,0.419,16,39,0.41,18,26,0.692,11,38,49,24,7,3,17,21,106,0.544,0.512,0.453,0.302,23.4,73.1,49.5,66.7,6.9,6,14.9,100,104.2,114,52.175,52.175,2.032,0.46
202110260NYK,NYK,240,41,87,0.471,16,37,0.432,14,15,0.933,13,32,45,24,7,5,12,18,112,0.598,0.563,0.425,0.172,31.7,72.7,52.9,58.5,7.8,12.2,11.4,100,125.3,110.8,46.5625,46.5625,2.405,0.515,PHI,240,36,82,0.439,12,41,0.293,15,17,0.882,12,28,40,24,9,4,14,14,99,0.553,0.512,0.5,0.207,27.3,68.3,47.1,66.7,10.1,8,13.5,100,110.8,125.3,46.0375,46.0375,2.15,0.521
202110260OKC,OKC,240,36,86,0.419,12,34,0.353,14,17,0.824,9,33,42,19,7,3,13,18,98,0.524,0.488,0.395,0.198,18.8,82.5,47.7,52.8,7.3,7,12.2,100,101.7,110,49.0375,49.0375,1.998,0.387,GSW,240,39,83,0.47,14,40,0.35,14,18,0.778,7,39,46,30,9,8,15,20,106,0.583,0.554,0.482,0.217,17.5,81.3,52.3,76.9,9.3,15.4,14.2,100,110,101.7,49.775,49.775,2.13,0.603
202110260SAS,SAS,265,48,108,0.444,13,36,0.361,12,22,0.545,16,43,59,33,10,6,15,22,121,0.514,0.505,0.333,0.204,25.4,82.7,51.3,68.8,8.6,8,11.3,100,104.3,107.7,58.725,64.8421875,2.06,0.562,LAL,265,50,105,0.476,8,30,0.267,17,22,0.773,9,47,56,20,8,10,13,21,125,0.545,0.514,0.286,0.21,17.3,74.6,48.7,40,6.9,13.9,10.2,100,107.7,104.3,59.725,65.94635417,2.093,0.335
202110260UTA,UTA,240,44,85,0.518,12,39,0.308,22,29,0.759,8,33,41,20,5,6,13,22,122,0.624,0.588,0.459,0.341,21.1,86.8,53.9,45.5,5,10.9,11.7,100,121.9,109.9,51.8875,51.8875,2.351,0.385,DEN,240,42,83,0.506,10,28,0.357,16,24,0.667,5,30,35,19,9,3,13,23,110,0.588,0.566,0.337,0.289,13.2,78.9,46.1,45.2,9,6.5,12.2,100,109.9,121.9,51.2,51.2,2.148,0.371
202110270BOS,BOS,240,37,85,0.435,10,29,0.345,23,28,0.821,10,27,37,18,9,5,13,21,107,0.55,0.494,0.341,0.329,21.7,71.1,44,48.6,9.2,8.5,11.8,100,109.2,118.4,50.65,50.65,2.113,0.355,WAS,240,43,84,0.512,9,25,0.36,21,29,0.724,11,36,47,18,8,7,15,20,116,0.599,0.565,0.298,0.345,28.9,78.3,56,41.9,8.2,12.5,13.4,100,118.4,109.2,50.8875,50.8875,2.28,0.354
