,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201910280SAC,SAC,240.0,33.666666666666664,85.0,0.3953333333333333,10.666666666666666,30.666666666666668,0.33966666666666673,18.0,23.333333333333332,0.7766666666666667,10.333333333333334,30.0,40.333333333333336,16.666666666666668,6.666666666666667,3.3333333333333335,20.0,23.0,96.0,0.5023333333333333,0.45766666666666667,0.35966666666666663,0.27299999999999996,21.8,85.93333333333332,48.43333333333334,49.73333333333333,6.466666666666666,6.2,17.23333333333333,100.0,92.83333333333333,115.73333333333333,52.875,52.875,1.8173333333333332,0.3156666666666667,SAC,240.0,46.333333333333336,87.0,0.535,13.333333333333334,33.333333333333336,0.3953333333333333,13.666666666666666,17.333333333333332,0.7599999999999999,5.333333333333333,37.0,42.333333333333336,27.333333333333332,9.0,5.0,17.0,23.333333333333332,119.66666666666667,0.6356666666666667,0.6136666666666667,0.38799999999999996,0.19899999999999998,14.066666666666668,78.2,51.56666666666666,58.96666666666667,8.6,9.1,15.433333333333332,100.0,115.73333333333333,92.83333333333333,53.449999999999996,53.449999999999996,2.2386666666666666,0.511
201910280SAS,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910280TOR,TOR,248.33333333333334,39.0,87.66666666666667,0.4483333333333333,15.666666666666666,39.333333333333336,0.40233333333333327,21.0,24.333333333333332,0.87,10.333333333333334,43.666666666666664,54.0,24.0,6.0,7.0,20.333333333333332,25.666666666666668,114.66666666666667,0.588,0.5403333333333333,0.454,0.26899999999999996,22.0,72.76666666666667,51.20000000000001,61.79999999999999,5.633333333333333,11.066666666666668,17.566666666666666,100.0,107.93333333333334,99.86666666666667,54.612500000000004,56.714062500000004,2.097,0.44333333333333336,TOR,248.33333333333334,38.0,102.66666666666667,0.36866666666666664,13.666666666666666,39.333333333333336,0.3403333333333333,16.333333333333332,20.333333333333332,0.8226666666666667,16.333333333333332,35.0,51.333333333333336,23.0,7.666666666666667,6.333333333333333,14.333333333333334,25.333333333333332,106.0,0.47433333333333333,0.43500000000000005,0.38366666666666666,0.20033333333333334,27.23333333333333,78.0,48.79999999999999,60.633333333333326,7.366666666666667,12.766666666666666,11.333333333333334,100.0,99.86666666666667,107.93333333333334,55.1625,57.150347223333334,1.9246666666666663,0.416
201910290DEN,DEN,248.33333333333334,35.333333333333336,90.33333333333333,0.39266666666666666,11.666666666666666,31.666666666666668,0.3666666666666667,23.333333333333332,28.0,0.842,12.666666666666666,35.333333333333336,48.0,21.333333333333332,8.666666666666666,7.0,14.333333333333334,22.333333333333332,105.66666666666667,0.5176666666666666,0.4593333333333333,0.3516666666666666,0.31266666666666665,25.266666666666666,73.66666666666667,48.93333333333334,60.56666666666666,8.733333333333333,12.266666666666666,12.333333333333334,100.0,106.10000000000001,100.60000000000001,52.65,54.64826389,2.013,0.4066666666666667,DEN,248.33333333333334,35.333333333333336,88.0,0.40166666666666667,9.0,31.0,0.2866666666666667,20.666666666666668,23.666666666666668,0.8356666666666667,12.666666666666666,37.333333333333336,50.0,21.0,6.666666666666667,4.333333333333333,16.333333333333332,27.0,100.33333333333333,0.5096666666666666,0.4526666666666667,0.3516666666666666,0.27066666666666667,26.333333333333332,74.73333333333333,51.06666666666666,59.666666666666664,6.7,7.533333333333334,14.166666666666666,100.0,100.60000000000001,106.09999999999998,51.45416666666666,53.33263889,1.9503333333333333,0.41100000000000003
201910290LAL,LAL,240.0,40.0,88.0,0.4523333333333333,10.666666666666666,30.0,0.35233333333333333,15.0,19.666666666666668,0.7639999999999999,10.0,33.333333333333336,43.333333333333336,23.0,8.333333333333334,8.0,13.666666666666666,22.333333333333332,105.66666666666667,0.5459999999999999,0.5133333333333333,0.341,0.22566666666666668,22.53333333333333,79.86666666666666,50.0,57.06666666666666,8.566666666666666,16.099999999999998,12.399999999999999,100.0,108.63333333333333,102.63333333333333,50.50416666666666,50.50416666666666,2.0903333333333336,0.4543333333333333,LAL,240.0,35.333333333333336,80.66666666666667,0.43933333333333335,9.666666666666666,30.333333333333332,0.32033333333333336,19.333333333333332,22.666666666666668,0.8576666666666667,9.0,34.333333333333336,43.333333333333336,20.666666666666668,7.666666666666667,3.6666666666666665,16.666666666666668,23.333333333333332,99.66666666666667,0.5513333333333333,0.49899999999999994,0.375,0.283,20.133333333333336,77.46666666666665,50.0,58.96666666666666,7.900000000000001,6.466666666666666,15.733333333333334,100.0,102.63333333333333,108.63333333333333,49.550000000000004,49.550000000000004,2.0163333333333333,0.4186666666666667
201910290MIA,MIA,248.33333333333334,42.666666666666664,90.33333333333333,0.47333333333333333,12.666666666666666,32.666666666666664,0.38999999999999996,22.0,30.0,0.7173333333333334,8.666666666666666,40.0,48.666666666666664,25.333333333333332,7.666666666666667,6.666666666666667,19.333333333333332,28.666666666666668,120.0,0.5810000000000001,0.543,0.35733333333333334,0.3303333333333333,20.033333333333335,80.86666666666667,52.199999999999996,58.73333333333333,6.833333333333333,13.700000000000001,15.933333333333332,100.0,106.76666666666667,101.96666666666665,57.625,59.81423611,2.0820000000000003,0.437,MIA,248.33333333333334,39.333333333333336,91.33333333333333,0.4306666666666667,11.666666666666666,43.666666666666664,0.25333333333333335,24.0,32.666666666666664,0.7319999999999999,9.333333333333334,35.0,44.333333333333336,22.666666666666668,9.666666666666666,4.0,19.333333333333332,26.666666666666668,114.33333333333333,0.5399999999999999,0.49400000000000005,0.4763333333333333,0.35733333333333334,19.133333333333333,79.96666666666665,47.800000000000004,57.699999999999996,8.733333333333333,6.466666666666666,15.433333333333332,100.0,101.96666666666665,106.76666666666667,58.425000000000004,60.57126736,1.9603333333333335,0.38999999999999996
201910300BOS,BOS,240.0,39.0,97.33333333333333,0.4013333333333333,11.666666666666666,35.0,0.32566666666666666,18.0,26.333333333333332,0.727,14.666666666666666,33.0,47.666666666666664,21.0,9.333333333333334,6.333333333333333,10.333333333333334,25.0,107.66666666666667,0.49466666666666664,0.461,0.35966666666666663,0.27899999999999997,25.2,75.63333333333333,46.73333333333333,53.86666666666667,9.166666666666666,13.0,8.7,100.0,105.96666666666668,101.06666666666666,52.75416666666666,52.75416666666666,2.041333333333333,0.3983333333333334,BOS,240.0,35.0,81.66666666666667,0.429,10.666666666666666,30.666666666666668,0.3333333333333333,22.0,29.0,0.7703333333333333,11.0,43.333333333333336,54.333333333333336,20.333333333333332,5.0,5.666666666666667,20.333333333333332,29.333333333333332,102.66666666666667,0.547,0.4956666666666667,0.37733333333333335,0.35233333333333333,24.366666666666664,74.8,53.26666666666667,57.6,4.933333333333334,9.033333333333333,17.766666666666666,100.0,101.06666666666666,105.96666666666665,52.387499999999996,52.387499999999996,1.96,0.38833333333333336
201910300BRK,BRK,256.6666666666667,43.0,93.33333333333333,0.46166666666666667,15.333333333333334,38.666666666666664,0.40199999999999997,22.666666666666668,32.333333333333336,0.6880000000000001,10.666666666666666,38.333333333333336,49.0,22.666666666666668,8.333333333333334,5.333333333333333,19.666666666666668,26.0,124.0,0.5783333333333334,0.5456666666666666,0.419,0.35300000000000004,22.666666666666668,79.83333333333333,51.36666666666667,53.333333333333336,7.4333333333333345,8.166666666666666,15.699999999999998,100.0,108.86666666666667,108.16666666666667,58.84583333333333,63.08064235999999,2.1056666666666666,0.38433333333333336,BRK,256.6666666666667,44.666666666666664,97.33333333333333,0.45999999999999996,14.666666666666666,33.666666666666664,0.46866666666666673,19.333333333333332,27.0,0.719,9.666666666666666,37.0,46.666666666666664,24.333333333333332,10.666666666666666,6.0,17.0,27.333333333333332,123.33333333333333,0.5666666666666668,0.5376666666666666,0.3423333333333333,0.2826666666666667,20.166666666666668,77.33333333333333,48.63333333333333,53.56666666666666,9.433333333333334,11.233333333333334,13.700000000000001,100.0,108.16666666666667,108.86666666666667,58.74583333333334,62.93289930666668,2.0966666666666662,0.412
201910300CLE,CLE,240.0,39.333333333333336,89.33333333333333,0.44166666666666665,10.666666666666666,34.666666666666664,0.3093333333333333,13.0,18.666666666666668,0.7183333333333334,10.666666666666666,38.0,48.666666666666664,20.666666666666668,6.333333333333333,4.0,15.0,19.0,102.33333333333333,0.5246666666666667,0.5016666666666666,0.38800000000000007,0.21766666666666667,22.733333333333334,84.36666666666666,52.666666666666664,53.43333333333334,6.366666666666666,7.033333333333334,13.433333333333332,100.0,101.23333333333333,105.96666666666665,51.26666666666667,51.26666666666667,1.995,0.4043333333333334,CLE,240.0,41.333333333333336,88.33333333333333,0.4666666666666666,12.0,32.0,0.36800000000000005,12.666666666666666,18.666666666666668,0.6973333333333334,7.0,37.0,44.0,25.333333333333332,9.333333333333334,4.666666666666667,14.0,20.0,107.33333333333333,0.5536666666666666,0.5343333333333333,0.36133333333333334,0.21033333333333334,15.633333333333333,77.26666666666667,47.333333333333336,61.43333333333334,9.299999999999999,8.333333333333334,12.700000000000001,100.0,105.96666666666668,101.23333333333335,52.1,52.1,2.0546666666666664,0.4856666666666667
201910300GSW,GSW,240.0,40.0,98.33333333333333,0.4033333333333333,11.333333333333334,36.666666666666664,0.303,24.666666666666668,28.333333333333332,0.8626666666666667,15.333333333333334,32.0,47.333333333333336,27.0,9.333333333333334,1.3333333333333333,15.0,19.333333333333332,116.0,0.5213333333333333,0.4603333333333333,0.3733333333333333,0.29033333333333333,30.13333333333333,82.10000000000001,51.833333333333336,66.13333333333334,8.799999999999999,2.6333333333333333,11.9,100.0,108.3,120.13333333333333,55.729166666666664,55.729166666666664,2.076,0.4816666666666667,GSW,240.0,47.333333333333336,87.0,0.5516666666666666,16.0,37.0,0.4503333333333333,17.333333333333332,24.666666666666668,0.695,7.333333333333333,36.0,43.333333333333336,31.0,9.333333333333334,5.666666666666667,18.333333333333332,23.333333333333332,128.0,0.662,0.6456666666666667,0.422,0.29033333333333333,17.900000000000002,69.86666666666666,48.166666666666664,65.16666666666667,8.666666666666666,9.133333333333335,15.966666666666667,100.0,120.13333333333333,108.3,54.85833333333333,54.85833333333333,2.34,0.5623333333333332
