,,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201411090BRK,0,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090DET,1,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090DET,0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090TOR,1,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090TOR,0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090OKC,1,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090OKC,0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090DAL,1,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090DAL,0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090PHO,1,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090PHO,0,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090POR,1,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090POR,0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090LAL,1,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090LAL,0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100CLE,1,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100CLE,0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100IND,1,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100IND,0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100NYK,1,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100NYK,0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100CHI,1,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100CHI,0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100LAC,1,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411100LAC,0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110TOR,1,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110TOR,0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110MEM,1,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110MEM,0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110MIL,1,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110MIL,0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110DAL,1,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110DAL,0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110POR,1,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110POR,0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110GSW,1,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411110GSW,0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120WAS,1,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120WAS,0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120MIA,1,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120MIA,0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120NYK,1,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120NYK,0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120BOS,1,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120BOS,0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120ATL,1,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120ATL,0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120NOP,1,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120NOP,0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120DEN,1,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120DEN,0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120PHO,1,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120PHO,0,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120MIN,1,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411120MIN,0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130TOR,1,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130TOR,0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130MEM,1,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130MEM,0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130DAL,1,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130DAL,0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130GSW,1,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411130GSW,0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140IND,1,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140IND,0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140ORL,1,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140ORL,0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140NYK,1,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140NYK,0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140ATL,1,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140ATL,0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140BOS,1,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140BOS,0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140HOU,1,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140HOU,0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140NOP,1,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140NOP,0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140OKC,1,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140OKC,0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140PHO,1,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140PHO,0,PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411140LAL,1,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
