,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
202110250CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110250TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110260DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110260NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110260OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110260SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110260UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110270TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110280WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110290BRK,BRK,240,37.8,87.6,0.4314,12.4,36.6,0.3432,14,18,0.7968,7.2,39,46.2,21.4,6.4,6.8,13,19,102,0.5334,0.503,0.4186,0.2062,15.8,78.44,48.18,56.66,6.38,11.18,12,100,101.68,108.2,50.975,50.975,2.002,0.4198,BRK,240,41,96.2,0.426,11.6,35.8,0.3214,15,18.8,0.7962,11,39.4,50.4,21,7.4,6,10.6,18.6,108.6,0.52,0.4862,0.3714,0.1952,21.56,84.2,51.82,51.18,7.4,11.64,9.18,100,108.2,101.68,52.365,52.365,2.075,0.4004
202110290DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110290LAL,LAL,245,44,92.4,0.4762,13,34.2,0.3824,15,21.2,0.709,9,35.6,44.6,24.8,8,6.2,16,21.6,116,0.572,0.5482,0.372,0.2322,19.52,74.82,47.36,57.52,7.56,9.9,13.68,100,109.3,112.82,54.735,55.97927083,2.1242,0.4588,LAL,245,43.8,94.6,0.4646,13,35.8,0.3618,19,25.4,0.744,12,37.4,49.4,28,9.6,3.4,15,19.6,119.6,0.5678,0.534,0.3808,0.274,25.18,80.48,52.64,64.04,9.06,5.66,12.4,100,112.82,109.3,54.8325,56.0559375,2.1858,0.5098
202110290MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110290NOP,NOP,240,38.2,89.8,0.4256,11.6,33,0.3628,12.8,16,0.7956,12.8,37.4,50.2,22.4,6.4,5.4,16.6,19.4,100.8,0.5212,0.4904,0.3674,0.18,26.5,75.68,51.28,58.16,6.46,9.68,14.34,100,102.52,109.94,50.6,50.6,1.9964,0.4448,NOP,240,40.2,91.2,0.4426,12.4,34.2,0.3806,15.4,19.8,0.7604,12.4,34.8,47.2,23.8,9,6.2,13.4,16.6,108.2,0.5432,0.5112,0.3748,0.2194,24.32,73.5,48.72,59.2,9.04,11.12,11.76,100,109.94,102.52,50.8025,50.8025,2.1332,0.4682
202110290POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110290TOR,TOR,240,38.4,93,0.4142,10.8,33.2,0.3312,16.2,21,0.771,16,34.2,50.2,20.4,11.8,3.8,14.2,19,103.8,0.5092,0.4728,0.3594,0.2278,32.36,79.62,54.42,52.88,12.08,7.54,12.18,100,106.9,101.84,50.5875,50.5875,2.058,0.4054,TOR,240,36.6,82.8,0.4428,10.4,31.8,0.3262,15.4,18.8,0.8072,8.8,33.6,42.4,21.2,8.6,7.2,18,18.6,99,0.5438,0.5054,0.382,0.228,20.38,67.64,45.58,57.94,8.74,11.88,16.4,100,101.84,106.9,50.465,50.465,1.9674,0.422
202110300CHI,CHI,240,38.8,84.8,0.457,11,27.2,0.403,18,20.6,0.8746,6.6,33.8,40.4,24.6,9.4,6.2,12.6,16.8,106.6,0.567,0.522,0.3212,0.243,15.22,74.96,45.64,63.24,9.56,10.62,11.76,100,109.04,101.26,50.2925,50.2925,2.1186,0.4886,CHI,240,38.2,86.6,0.442,9.8,28.8,0.3378,12.6,16.8,0.7464,11,36.6,47.6,20,7.2,5.2,16.8,18.4,98.8,0.526,0.499,0.3328,0.1948,25.04,84.78,54.36,51.76,7.34,9.06,15.12,100,101.26,109.04,50.19,50.19,1.9736,0.3994
202110300DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110300GSW,GSW,245,41,89.2,0.461,14,37.4,0.3788,16.4,21.2,0.766,9.4,38.6,48,28.4,8.6,4.8,16.2,17.6,112.4,0.5712,0.5398,0.4198,0.237,20.48,81.9,51.76,69.56,8.38,9.62,14.12,100,109.04,103.84,53.035,54.188125,2.1256,0.5366,GSW,245,40.8,92,0.4442,13.6,42,0.3272,12,16.8,0.7254,8.4,36.4,44.8,23,8,4.4,14.6,19.6,107.2,0.5398,0.5182,0.4568,0.1824,18.12,79.52,48.24,56.52,7.6,8.58,12.76,100,103.84,109.04,53.09,54.24260417,2.0222,0.4344
202110300IND,IND,250,41,91.2,0.4502,11.4,33.4,0.3414,15.2,19.6,0.7828,10.6,35.4,46,21.6,7.2,5.2,16.6,22,108.6,0.545,0.5126,0.3664,0.2146,23.04,78.58,50.52,52.56,7,9.04,14.38,100,105.58,110.74,53.255,55.55161458,2.0366,0.4048,IND,250,41,89.2,0.459,11.8,31.8,0.363,19.8,24.8,0.8062,9.8,35.4,45.2,21.6,9.8,5.2,14.4,21.2,113.6,0.5664,0.524,0.357,0.29,21.42,76.96,49.48,53.1,9.7,9.08,12.54,100,110.74,105.58,52.79,55.03661458,2.1556,0.4098
202110300MEM,MEM,245,42.8,96.6,0.4428,14.2,40.4,0.3604,14.2,17.6,0.8294,15,35.2,50.2,26.2,10.4,5.4,15.2,18.6,114,0.5464,0.5164,0.4192,0.184,31.66,77.68,54.38,62.3,10.18,10.24,12.6,100,113.7,114.4,52.58,53.73260417,2.1752,0.4994,MEM,245,42.6,90,0.4744,14.4,36.6,0.4002,15,20,0.7556,10,32.4,42.4,28.2,8.4,6.8,13.8,17.8,114.6,0.5808,0.5554,0.4066,0.226,22.32,68.34,45.62,65.92,8.36,12.14,12.22,100,114.4,113.7,51.65,52.803125,2.226,0.5446
202110300MIL,MIL,240,40.8,90.4,0.4522,13.8,41,0.3424,18.6,24.2,0.7704,9,35.2,44.2,22.2,8.6,4.6,12.6,19.4,114,0.5654,0.5282,0.4528,0.2734,19.26,78.46,48.46,54.82,8.42,8.64,11.12,100,111.44,111.92,52.7475,52.7475,2.162,0.4214,MIL,240,43.8,92,0.4746,13.8,37.4,0.3788,13.4,18.8,0.7498,9.6,37.6,47.2,25.6,6.4,4,14.2,21,114.8,0.5712,0.5504,0.407,0.2068,21.54,80.74,51.54,58.32,6.2,7.82,12.4,100,111.92,111.44,52.765,52.765,2.172,0.4844
202110300MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
