gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,gameId.1,teamAbbr.1,MP.1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,TS%.1,eFG%.1,3pAr.1,FTr.1,ORB%.1,DRB%.1,TRB%.1,AST%.1,STL%.1,BLK%.1,TOV%.1,USG%.1,Ortg.1,Drtg.1,poss.1,pace.1,poss_per_poss.1,ass_per_poss.1
202102080SAS,SAS,240.0,40.0,87.2,0.4603999999999999,10.2,28.0,0.3646,20.8,26.8,0.7708,8.2,33.8,42.0,26.4,6.8,5.2,11.2,15.6,111.0,0.563,0.5194,0.3213999999999999,0.309,18.08,80.04,47.88000000000001,66.05999999999999,6.859999999999999,9.18,10.22,100.0,111.86,117.8,51.465,51.465,2.1628,0.5146,,SAS,240.0,45.0,88.8,0.5067999999999999,14.2,33.4,0.4296,12.8,17.8,0.7266,8.4,37.6,46.0,27.8,7.4,7.6,12.0,20.0,117.0,0.6058,0.5872,0.3776,0.2032,19.96,81.92,52.120000000000005,61.08,7.479999999999999,13.080000000000002,11.080000000000002,100.0,117.8,111.86,50.4275,50.4275,2.3222,0.5524000000000001
202102090DET,DET,250.0,37.4,88.4,0.4218,11.0,35.4,0.3094,19.0,24.2,0.8155999999999999,10.0,30.4,40.4,22.6,7.8,4.2,14.0,20.0,104.8,0.5289999999999999,0.4838,0.403,0.2772,21.1,76.36,47.12,60.0,7.62,8.040000000000001,12.2,100.0,104.62,113.84,51.947500000000005,54.412083334,2.0132,0.4336,,DET,250.0,42.8,87.0,0.4907999999999999,13.2,31.4,0.4261999999999999,15.4,19.0,0.7798,9.4,35.8,45.2,28.0,7.2,4.4,16.4,21.2,114.2,0.5974,0.5673999999999999,0.3638,0.2195999999999999,23.64,78.9,52.88,65.36000000000001,7.0,8.459999999999999,14.48,100.0,113.84,104.62,51.5125,53.97708333400001,2.2118,0.544
202102090MIA,MIA,245.0,39.6,84.0,0.4714,14.2,36.8,0.3829999999999999,18.0,23.2,0.7766,8.6,36.0,44.6,25.8,7.8,4.2,14.0,19.2,111.4,0.591,0.5549999999999999,0.4368,0.2772,21.58,74.6,50.56,65.3,8.0,8.419999999999998,12.920000000000002,100.0,114.7,110.02,50.21,51.333697916000006,2.2162,0.5138,,MIA,245.0,38.0,87.6,0.434,15.4,39.6,0.3836,15.4,20.2,0.7257999999999999,12.2,31.4,43.6,23.0,7.8,4.6,14.8,20.0,106.8,0.5531999999999999,0.5216000000000001,0.4532,0.2294,25.4,78.41999999999999,49.46,60.2,8.1,9.64,13.339999999999998,100.0,110.02,114.7,49.8975,50.994895834,2.1416000000000004,0.4612
202102090NOP,NOP,240.0,42.6,89.0,0.4828,12.6,32.4,0.3984,17.4,24.2,0.7228,11.6,34.4,46.0,25.8,7.4,6.0,11.4,17.6,115.2,0.5828,0.5548,0.3646,0.2746,25.82,76.6,51.46,60.44000000000001,7.440000000000002,12.419999999999998,10.28,100.0,118.28,115.73999999999998,50.1475,50.1475,2.3084,0.5169999999999999,,NOP,240.0,41.2,89.0,0.4628,15.0,41.0,0.3598,16.0,20.2,0.7898000000000001,10.4,33.2,43.6,29.4,5.6,6.0,13.4,19.6,113.4,0.5786,0.5464,0.4601999999999999,0.2278,23.4,74.17999999999999,48.54,71.28,5.68,10.580000000000002,11.96,100.0,115.73999999999998,118.28000000000002,50.7975,50.7975,2.2306,0.5781999999999999
202102090POR,POR,240.0,42.0,94.8,0.4448,16.6,41.6,0.4,15.6,18.8,0.825,13.4,30.2,43.6,18.0,8.0,4.0,10.0,15.8,116.2,0.5648000000000001,0.5332000000000001,0.4418,0.1996,27.18,78.2,49.46,42.92,8.26,7.459999999999999,8.84,100.0,119.68,121.66,50.165,50.165,2.3208,0.3594,,POR,240.0,45.0,86.6,0.5186,15.6,36.8,0.4117999999999999,12.8,16.2,0.7746000000000001,8.4,36.2,44.6,28.0,5.6,4.4,14.4,16.4,118.4,0.6314,0.608,0.4246,0.19,21.8,72.82000000000001,50.54,61.52,5.699999999999999,8.440000000000001,13.339999999999998,100.0,121.66,119.68,50.1475,50.1475,2.3624,0.5588
202102090SAC,SAC,240.0,43.0,90.0,0.4777999999999999,13.6,37.8,0.36,14.4,19.8,0.6982,11.6,35.2,46.8,26.2,6.4,4.8,13.2,17.4,114.0,0.5776,0.5538000000000001,0.4228,0.2195999999999999,26.26,73.02000000000001,50.44,60.96,6.659999999999999,7.74,11.720000000000002,100.0,116.74,112.52,50.5025,50.5025,2.2576,0.518,,SAC,240.0,40.2,92.0,0.439,10.4,31.6,0.3268,19.0,23.2,0.8187999999999999,13.2,32.8,46.0,24.8,7.2,5.2,11.2,18.2,109.8,0.5404,0.4966,0.3481999999999999,0.2578,26.98,73.74,49.58,61.84,7.300000000000002,10.08,9.98,100.0,112.51999999999998,116.74,50.510000000000005,50.510000000000005,2.1752,0.4924
202102090SAS,SAS,240.0,39.0,90.2,0.4329999999999999,10.4,29.6,0.3486,19.8,25.4,0.7776000000000001,8.4,34.6,43.0,25.4,7.6,6.2,10.8,15.2,108.2,0.5347999999999999,0.4911999999999999,0.3292,0.2844,17.240000000000002,80.76,47.040000000000006,65.17999999999999,7.479999999999999,11.2,9.66,100.0,106.88,113.96,52.3325,52.3325,2.0688000000000004,0.4856,,SAS,240.0,44.4,90.4,0.49,14.0,34.6,0.4094,12.4,16.8,0.7432000000000001,8.2,40.2,48.4,28.6,6.6,7.8,13.0,20.8,115.2,0.5882000000000001,0.5676,0.3842,0.1868,19.24,82.75999999999999,52.96,64.14,6.56,13.2,11.7,100.0,113.96,106.88,51.59,51.59,2.239,0.5558
202102090UTA,UTA,240.0,40.0,85.4,0.4678,17.6,41.6,0.4236,19.8,24.0,0.8219999999999998,10.4,37.2,47.6,24.8,5.2,5.4,14.2,18.8,117.4,0.6134,0.5722,0.4936,0.2904,23.94,76.34,51.86,63.15999999999999,5.279999999999999,8.239999999999998,12.88,100.0,119.9,110.46,50.3,50.3,2.3312,0.4918,,UTA,240.0,40.6,95.0,0.4291999999999999,11.0,30.0,0.3712,15.8,18.6,0.8470000000000001,11.8,32.0,43.8,22.8,8.2,3.2,10.0,20.4,108.0,0.5258,0.4878,0.3154,0.1968,23.660000000000004,76.08000000000001,48.14,56.31999999999999,8.36,7.720000000000001,8.8,100.0,110.46,119.9,51.0175,51.0175,2.121,0.4484
202102100BRK,BRK,240.0,43.2,84.2,0.5138,15.0,36.0,0.417,19.8,24.2,0.8284,7.4,32.0,39.4,27.6,6.2,4.8,16.6,20.0,121.2,0.6384,0.6028,0.4282,0.2892,19.54,74.68,48.78,63.92,6.08,7.62,14.9,100.0,118.26,124.58,52.447500000000005,52.447500000000005,2.3068,0.5258,,BRK,240.0,49.0,96.4,0.51,12.6,32.6,0.3898,17.0,21.2,0.8103999999999999,10.8,30.6,41.4,24.4,10.8,4.6,10.6,19.2,127.6,0.6042,0.5753999999999999,0.3374,0.2191999999999999,25.32,80.46,51.220000000000006,50.08,10.62,9.84,9.2,100.0,124.58,118.26,53.135000000000005,53.135000000000005,2.3994,0.4614
202102100CHI,CHI,240.0,42.8,89.6,0.477,10.0,32.0,0.3182,14.6,18.6,0.7726,8.8,34.2,43.0,26.6,7.0,4.4,11.0,18.6,110.2,0.5631999999999999,0.5328000000000002,0.3581999999999999,0.2084,19.74,75.0,47.64,62.34000000000001,7.1,7.040000000000001,10.1,100.0,112.5,107.72,50.3175,50.3175,2.1924,0.529,,CHI,240.0,39.0,87.6,0.4469999999999999,8.0,26.2,0.3134,19.8,25.2,0.804,11.4,35.6,47.0,21.4,5.8,5.2,13.4,18.0,105.8,0.537,0.493,0.2998,0.294,25.0,80.26,52.36,55.02,5.92,9.1,11.96,100.0,107.72,112.5,50.785,50.785,2.0810000000000004,0.4204
