,,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201411070OKC,0,OKC,240.0,32.8,74.6,0.4428,5.6,20.2,0.269,19.6,27.4,0.7042,9.8,33.4,43.2,20.6,5.8,3.8,16.8,23.8,90.8,0.5268,0.481,0.2748,0.3746,25.68,73.9,52.38,63.2,6.36,6.82,16.36,100.0,99.74,111.52,47.3075,47.3075,1.9182,0.4352
201411070PHO,1,PHO,240.0,37.8,83.2,0.456,7.8,24.0,0.3102,18.0,22.2,0.8094,9.0,33.2,42.2,19.2,6.4,5.2,12.6,23.4,101.4,0.5484,0.504,0.291,0.2672,21.26,75.22,48.7,50.02,6.74,8.16,12.08,100.0,106.72,108.1,48.6725,48.6725,2.0836,0.391
201411070PHO,0,PHO,240.0,37.8,83.2,0.456,7.8,24.0,0.3102,18.0,22.2,0.8094,9.0,33.2,42.2,19.2,6.4,5.2,12.6,23.4,101.4,0.5484,0.504,0.291,0.2672,21.26,75.22,48.7,50.02,6.74,8.16,12.08,100.0,106.72,108.1,48.6725,48.6725,2.0836,0.391
201411070UTA,1,UTA,240.0,38.2,81.2,0.4708,8.2,25.4,0.3078,18.6,22.8,0.8192,12.6,29.4,42.0,21.4,6.2,4.4,14.2,19.6,103.2,0.5654,0.5214,0.3126,0.28,31.2,78.42,54.04,56.36,6.74,8.08,13.52,100.0,113.32,115.16,46.815,46.815,2.2046,0.4602
201411070UTA,0,UTA,240.0,38.2,81.2,0.4708,8.2,25.4,0.3078,18.6,22.8,0.8192,12.6,29.4,42.0,21.4,6.2,4.4,14.2,19.6,103.2,0.5654,0.5214,0.3126,0.28,31.2,78.42,54.04,56.36,6.74,8.08,13.52,100.0,113.32,115.16,46.815,46.815,2.2046,0.4602
201411070DEN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070DEN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411080LAC,1,LAC,240.0,36.0,81.8,0.4428,9.0,27.2,0.338,21.8,26.8,0.8108,8.2,25.6,33.8,23.8,8.8,4.2,11.4,21.8,102.8,0.5518,0.4988,0.3356,0.337,18.16,76.62,44.06,65.98,9.32,8.1,10.86,100.0,108.86,110.16,48.865,48.865,2.1034,0.4872
201411080LAC,0,LAC,240.0,36.0,81.8,0.4428,9.0,27.2,0.338,21.8,26.8,0.8108,8.2,25.6,33.8,23.8,8.8,4.2,11.4,21.8,102.8,0.5518,0.4988,0.3356,0.337,18.16,76.62,44.06,65.98,9.32,8.1,10.86,100.0,108.86,110.16,48.865,48.865,2.1034,0.4872
201411080IND,1,IND,245.0,34.2,82.2,0.4166,7.8,24.6,0.313,14.6,18.4,0.8122,13.0,34.2,47.2,19.6,3.8,6.4,16.8,20.4,90.8,0.504,0.4646,0.3006,0.2254,29.16,81.5,54.4,57.92,4.18,10.44,15.72,100.0,99.06,105.52,47.37,48.448125,1.9196,0.412
201411080IND,0,IND,245.0,34.2,82.2,0.4166,7.8,24.6,0.313,14.6,18.4,0.8122,13.0,34.2,47.2,19.6,3.8,6.4,16.8,20.4,90.8,0.504,0.4646,0.3006,0.2254,29.16,81.5,54.4,57.92,4.18,10.44,15.72,100.0,99.06,105.52,47.37,48.448125,1.9196,0.412
201411080ATL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411080ATL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411080MIA,1,MIA,240.0,35.2,77.0,0.4568,9.2,25.2,0.3614,22.0,29.6,0.7466,10.2,28.2,38.4,22.0,8.8,3.0,13.8,22.4,101.6,0.564,0.5166,0.3284,0.3888,26.54,77.32,50.76,61.92,9.5,5.54,13.24,100.0,111.22,109.38,47.33,47.33,2.1446,0.46
201411080MIA,0,MIA,240.0,35.2,77.0,0.4568,9.2,25.2,0.3614,22.0,29.6,0.7466,10.2,28.2,38.4,22.0,8.8,3.0,13.8,22.4,101.6,0.564,0.5166,0.3284,0.3888,26.54,77.32,50.76,61.92,9.5,5.54,13.24,100.0,111.22,109.38,47.33,47.33,2.1446,0.46
201411080CHI,1,CHI,245.0,36.6,77.0,0.476,9.2,21.8,0.418,22.6,29.6,0.7632,9.0,32.2,41.2,22.4,5.0,8.0,15.6,21.8,105.0,0.5832,0.5348,0.2808,0.3952,22.66,66.3,46.9,61.06,5.38,10.56,14.7,100.0,111.88,108.44,48.83,49.93494792,2.1516,0.459
201411080CHI,0,CHI,245.0,36.6,77.0,0.476,9.2,21.8,0.418,22.6,29.6,0.7632,9.0,32.2,41.2,22.4,5.0,8.0,15.6,21.8,105.0,0.5832,0.5348,0.2808,0.3952,22.66,66.3,46.9,61.06,5.38,10.56,14.7,100.0,111.88,108.44,48.83,49.93494792,2.1516,0.459
201411080HOU,1,HOU,240.0,34.6,73.6,0.4708,13.8,31.8,0.4344,20.6,28.8,0.7196,9.6,33.0,42.6,21.0,8.6,6.2,18.6,22.6,103.6,0.6026,0.565,0.434,0.3926,27.68,74.02,53.66,61.54,9.34,10.3,17.72,100.0,113.12,97.86,48.14,48.14,2.161,0.438
201411080HOU,0,HOU,240.0,34.6,73.6,0.4708,13.8,31.8,0.4344,20.6,28.8,0.7196,9.6,33.0,42.6,21.0,8.6,6.2,18.6,22.6,103.6,0.6026,0.565,0.434,0.3926,27.68,74.02,53.66,61.54,9.34,10.3,17.72,100.0,113.12,97.86,48.14,48.14,2.161,0.438
201411080MIL,1,MIL,240.0,35.2,83.4,0.4238,6.6,20.4,0.3134,14.6,19.0,0.7788,13.4,30.8,44.2,21.6,10.6,5.6,16.8,23.2,91.6,0.5008,0.4634,0.246,0.2294,30.0,75.08,51.66,61.24,11.48,9.72,15.26,100.0,98.9,99.9,47.9125,47.9125,1.9144,0.4526
201411080MIL,0,MIL,240.0,35.2,83.4,0.4238,6.6,20.4,0.3134,14.6,19.0,0.7788,13.4,30.8,44.2,21.6,10.6,5.6,16.8,23.2,91.6,0.5008,0.4634,0.246,0.2294,30.0,75.08,51.66,61.24,11.48,9.72,15.26,100.0,98.9,99.9,47.9125,47.9125,1.9144,0.4526
201411080SAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411080SAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411090BRK,1,BRK,240.0,39.8,81.4,0.4896,9.4,22.6,0.4158,15.8,20.2,0.7852,8.8,33.8,42.6,19.6,6.4,4.8,14.0,22.2,104.8,0.5808,0.5478,0.2782,0.2516,22.58,73.38,50.0,49.12,6.86,7.22,13.26,100.0,112.62,105.28,48.0975,48.0975,2.1898,0.4096
201411090BRK,0,BRK,240.0,39.8,81.4,0.4896,9.4,22.6,0.4158,15.8,20.2,0.7852,8.8,33.8,42.6,19.6,6.4,4.8,14.0,22.2,104.8,0.5808,0.5478,0.2782,0.2516,22.58,73.38,50.0,49.12,6.86,7.22,13.26,100.0,112.62,105.28,48.0975,48.0975,2.1898,0.4096
201411090DET,1,DET,240.0,34.0,82.6,0.4138,7.2,22.0,0.3158,16.0,24.8,0.6294,12.6,32.8,45.4,18.2,4.4,4.4,12.0,21.2,91.2,0.4892,0.4574,0.2672,0.3058,27.64,74.62,50.82,53.66,4.92,7.04,11.36,100.0,101.48,106.3,46.89,46.89,1.9518,0.39
201411090DET,0,DET,240.0,34.0,82.6,0.4138,7.2,22.0,0.3158,16.0,24.8,0.6294,12.6,32.8,45.4,18.2,4.4,4.4,12.0,21.2,91.2,0.4892,0.4574,0.2672,0.3058,27.64,74.62,50.82,53.66,4.92,7.04,11.36,100.0,101.48,106.3,46.89,46.89,1.9518,0.39
201411090TOR,1,TOR,240.0,35.8,82.0,0.4364,6.4,21.2,0.309,26.6,34.8,0.771,10.4,27.6,38.0,16.8,6.8,3.8,9.4,23.6,104.6,0.5376,0.4754,0.2596,0.4262,23.28,69.38,44.74,47.64,7.36,7.34,8.82,100.0,113.2,104.14,48.765,48.765,2.1448,0.3456
201411090TOR,0,TOR,240.0,35.8,82.0,0.4364,6.4,21.2,0.309,26.6,34.8,0.771,10.4,27.6,38.0,16.8,6.8,3.8,9.4,23.6,104.6,0.5376,0.4754,0.2596,0.4262,23.28,69.38,44.74,47.64,7.36,7.34,8.82,100.0,113.2,104.14,48.765,48.765,2.1448,0.3456
201411090OKC,1,OKC,240.0,33.6,74.2,0.455,7.6,22.0,0.34,16.0,24.4,0.5972,9.0,34.4,43.4,20.0,4.6,3.0,17.6,21.8,90.8,0.5368,0.5058,0.2984,0.3382,24.28,75.92,53.0,60.32,5.02,5.42,17.28,100.0,100.14,108.54,47.195,47.195,1.923,0.4232
201411090OKC,0,OKC,240.0,33.6,74.2,0.455,7.6,22.0,0.34,16.0,24.4,0.5972,9.0,34.4,43.4,20.0,4.6,3.0,17.6,21.8,90.8,0.5368,0.5058,0.2984,0.3382,24.28,75.92,53.0,60.32,5.02,5.42,17.28,100.0,100.14,108.54,47.195,47.195,1.923,0.4232
201411090DAL,1,DAL,240.0,42.4,86.8,0.4902,8.4,23.6,0.3546,14.6,18.4,0.8038,10.4,29.6,40.0,22.2,7.0,5.4,10.6,19.2,107.8,0.5694,0.539,0.2724,0.213,25.0,67.84,46.58,51.84,7.7,9.54,9.98,100.0,116.32,109.58,47.87,47.87,2.256,0.465
201411090DAL,0,DAL,240.0,42.4,86.8,0.4902,8.4,23.6,0.3546,14.6,18.4,0.8038,10.4,29.6,40.0,22.2,7.0,5.4,10.6,19.2,107.8,0.5694,0.539,0.2724,0.213,25.0,67.84,46.58,51.84,7.7,9.54,9.98,100.0,116.32,109.58,47.87,47.87,2.256,0.465
201411090PHO,1,PHO,250.0,37.2,86.4,0.432,6.6,23.8,0.2748,19.0,23.6,0.809,9.0,33.6,42.6,18.4,6.8,6.0,12.2,25.0,100.0,0.5188,0.4708,0.2762,0.2742,19.34,75.14,46.68,48.84,6.98,9.2,11.36,100.0,102.04,108.04,50.405,52.7565625,1.9822,0.3622
